,id,date,rating,views,like,title,text
0,5,iri***예매자,2022.09.26,조회 5,"공감 0
공감하기",재밌어요,재밌어요
1,5,key11***예매자,2022.09.20,조회 4,"공감 0
공감하기",배우님들에게 팬이 되었어요,아는 뮤지컬배우님이 없었는데 보고난 후 팬이 되었습니다!!진짜 연기 잘하시고 마지막 인사하면서 웃는모습들이 너무 귀여웠어요ㅠㅠ찐 농구선수팬이라 뮤지컬이 더 끌린거 같아요ㅎㅎ
2,5,sky96***예매자,2022.09.15,조회 6,"공감 0
공감하기",재미있고 눈물난다,ㅠㅠ 반전이라면 반전이고 ... 재미도 있고 눈물도 있는 짱짱극
3,5,26775b***예매자,2022.09.12,조회 7,"공감 0
공감하기",너무 재밌었어요,제목 보고 마냥 웃긴 극인줄 알았는데 묵직하게 다가오는 부분도 있고 눈물도 나면서 또 귀여운 소년들의 이야기에 웃게 되던 극이었습니다
4,5,gytjddms***예매자,2022.09.12,조회 6,"공감 0
공감하기",재밌게봤어요,재밌게봤어요
5,5,hando***예매자,2022.09.12,조회 14,"공감 0
공감하기",전리농.. 제목에 현혹되지 마세요,재밌는 뮤지컬이에요.. 제목 보고 외면하지 마세요 ㅠ
6,5,eunja***예매자,2022.09.12,조회 7,"공감 0
공감하기",신나요,"노래는 신나고

내용은 감동적입니다"
7,5,gkdj***예매자,2022.09.12,조회 5,"공감 0
공감하기",농구 한 판이면 땡,우리 그랬잖아
8,5,ojj***예매자,2022.09.07,조회 10,"공감 0
공감하기",왜 이제야 봤을까요,전설의 리틀 농구단. 제목만 봐선 오글거림 가득할꺼 같은데 이렇게 눈물샘 자극하는극인줄 몰랐습니다 보고나서 계속 생각나는 극이네요
9,5,svtyuseon7***예매자,2022.09.07,조회 6,"공감 0
공감하기",마지막까지 최고,끝까지 정말 최고였습니다.
10,5,svtyuseon7***예매자,2022.09.07,조회 9,"공감 0
공감하기",끝이 다가올수록 슬퍼지는 내용,더욱 이입할 수 있었습니다.
11,5,jeho***예매자,2022.09.07,조회 9,"공감 0
공감하기",마지막까지 최고,"막공이라고 소소한 디테일을 달랐던게 좋았네요
회상씬에서 늘 정수가 모래찜질 했는데 이날은 어린종우가 하고
커튼콜때도 옆구르기 등 하면서 여러 모습으로 피날레 느낄 수 있었습니다
여러번 극 보면서 한번도 빼지않고 울었네요
아쉬웠는데 짧게나마 다시 볼 수 있게되어 기쁩니다
또 봐요"
12,5,hyun19992***예매자,2022.09.06,조회 10,"공감 0
공감하기",놓친사람들 스콘으로 오세요,여름의 끝자락을 느끼러 스콘에서 만나요
13,5,flying***예매자,2022.09.05,조회 7,"공감 0
공감하기",추천합니다,추천합니다
14,5,pinep***예매자,2022.09.05,조회 8,"공감 0
공감하기",ㅠㅠㅠㅠ,흐엉ㅠㅠㅠㅠㅠㅠㅠㅠ
15,5,chyu***예매자,2022.09.05,조회 10,"공감 0
공감하기",진짜 모두가 봤으면 좋겠어요,"줄줄 우는데도 마음이 너무나 깨끗해지는 느낌이에요
상록구청 식구들이 모두 행복했으면"
16,5,g19321***예매자,2022.09.05,조회 9,"공감 0
공감하기",재밌고 감동적인 좋은 극,좋은 극입니다
17,5,ariyu***예매자,2022.09.05,조회 7,"공감 0
공감하기",정말 사랑하는 극입니다.,정말 사랑하는 극입니다.
18,5,espeed0***예매자,2022.09.05,조회 4,"공감 0
공감하기",너무 좋은 극이에요,더 많이많이 봤으면 좋겠어요!!
19,5,jyw5***예매자,2022.09.05,조회 4,"공감 0
공감하기",한판만 더 하자............,승우야... 지훈아...... 다인아............
20,5,pdh***예매자,2022.09.05,조회 5,"공감 0
공감하기",벅차오르는 극!,전리농 어서 돌아오길!
21,5,sojung991***예매자,2022.09.05,조회 4,"공감 0
공감하기",전리농...ㅜㅠ,"자막회차ㅠㅠㅠ 너무 좋았어요
웰댕이 있어서 다행이에요"
22,5,parkki***예매자,2022.09.05,조회 6,"공감 0
공감하기",좋았어요,재밌네요짜임새있고 실제공을 이용한 안무가 동선이참 좋았어요 스토리도 너무좋네요
23,4,jostar0***예매자,2022.09.05,조회 9,"공감 0
공감하기",승패는 상관없어 우리만 있으면 돼!,"극이 주는 메시지도 너무 좋고 넘버도 넘넘 좋았어요~ 티켓팅할 때 할인율이 그치만 안 좋았다는 점,,ㅠㅠ 타임세일 자주 하는 건 좋지만 다음 시즌은 처음 팃팅할 때도 넉넉한 할인으로 와줬으면 좋겠습니당~"
24,5,jong537***예매자,2022.09.05,조회 4,"공감 0
공감하기",너무 좋았어요!,"왜 봐도봐도 눈물은 계속 나는건지...ㅠ.ㅠ
아이스크림 장면...눈물 안나는 방법같은건 없는거죠..ㅠ.ㅠ

유독 더 많이 울고...그만큼 더 웃고..ㅠ.ㅠ
행복했어요...!!

배우들 다 너무너무 좋았어요!"
25,5,chjki***예매자,2022.09.05,조회 6,"공감 0
공감하기",전설의 리틀 농구단,"정말 감동적이었어요ㅠㅠ
농구하자!하는데 눈물이ㅠㅠ"
26,5,961***예매자,2022.09.05,조회 6,"공감 0
공감하기",뮤지컬 〈전설의 리틀 농구단〉,정말 좋은 공연이었어요! 추천합니다♥
