,id,date,rating,views,like,title,text
0,5,joqu***예매자,2019.01.15,조회 1613,"공감 14
공감하기",베스트진짜 또보고싶을정도로 완벽했던 뮤지컬,"무대연출도 독특하고 참신해서 맘에들었고
배우들의 연기도 완벽해서 더 마음에 들었던 뮤지컬.
특히 한지상배우님의 애드리브, 배우들사이의 호흡, 순발력 어느것하나 부족할것 없이 최고였습니다.
이 공연보기 전까지 공연은 한번씩만 보자고 다짐했던 제마음을 한순간에 돌려버릴정도의 뮤지컬 아직 보지 못하신분들은 꼭! 보세요. 정말 재미있습니다."
1,5,id***예매자,2018.12.18,조회 4395,"공감 158
공감하기",베스트무엇하나 빠지는 것 없는 공연이었다!,"오랫만에 가족들과 함께 공연을 보고 왔습니다~
영상을 이용한 무대연출 정말 훌륭했구요~
유연석 이규형 조합으로 관람했는데
이 두분의 뮤지컬은 사실 처음이었더든요
정말 브라보! 기대 그 이상으로 좋았습니다~
오랫만에 물개박수 치며 봤어요~
중간중간 웃을 수 있어서 또 재밌었구요~
남주 뿐 아니라 여주도 정말 훌륭 하시더라구요!
그리고 앙상블도 최고! 오랫만에 음악 무대 배우 연출 뭐 하나 빠지는 것 없는 공연에 기분 좋은 에너지 받고 왔습니다!
감사해요!!"
2,5,dl_g***예매자,2018.11.28,조회 8099,"공감 41
공감하기",베스트젠틀맨스가이드후기,"뮤지컬을 보러 갈 기회가 많지 않았는데, 이번에 기회가 돼서 보러 갔는데 기대 이상으로 재미있었어요.
배우들 연기도 좋았고 노래도 좋았고 아마도 회전문을 돌듯합니다..ㅎㅎ
처음에는 유연석 배우님 보러 예매한 거였는데 다른 배우분들 연기력과 가창력에 감탄하고 갔습니다!
무대매너도 다들 최고셨어요, 마지막까지 인사해주셔서 감동이였습니다.
꼭꼭 다시 보러 갈 수 있었으면 좋겠어요!"
3,5,ekfgus1***예매자,2018.11.13,조회 7867,"공감 57
공감하기",베스트다시 보고싶은 뮤지컬! 젠틀맨스 가이드,"대한민국에서 초연인 젠틀맨스 가이드를 어떻게 잘 풀어낼 수 있을까 걱정을 했는데 그런 걱정이 확 사라졌네요!
뮤지컬이라고 하면 숙연하거나 진지하게만 보는 그런 공연들이 대부분이었는데, 그런 편견을 확 깨버리는 뮤지컬이었습니다
1인 9역부터 시작해서 웅장한 오케스트라도 좋았고 등장인물과 너무 잘 어울리는 넘버, 순간순간 바뀌는 배경들! 정신이 없을 줄 알았는데 그런 것도 전혀 없어서 극의 흐름이 아주 좋아 이런 재미있는 뮤지컬을 언제 다시 볼 수 있을까 하는 생각이 들더라고요
정말 크게 웃으면서 보았고, 다시 볼 수 있는 기회가 생긴다면 꼭 보고 싶습니다"
4,5,tnduswka***예매자,2019.12.04,조회 45,"공감 0
공감하기",재밌어요~!,첫 뮤지컬로 젠틀맨스가이드를 보게되었는데 너무나도 재미있게 봐서 뮤지컬의 매력에 푹 빠지게 되었어요~!! 오만석 배우님의 애드립이 너무 재미졌어요 ㅋㅋㅋ
5,5,cinem***예매자,2019.05.22,조회 49,"공감 0
공감하기",젠틀맨스가이드,"앵콜 공연 또 했으면 좋겠네요~
이규형 다이스퀴스를 알게된 작품이어서 너무 좋았어요~~"
6,5,gogosophy***예매자,2019.05.06,조회 72,"공감 0
공감하기",다이스퀴스!,오조오억개의 매력을 가졌던 한지상 배우님:) 유연석 배우님도 의외의 가창력에 깜짝 놀랐던 공연이었습니다! 가족과 함께 보며 정말 많이 웃고 갔습니다! 애드리브도 너무 잘 어울렸던 뮤지컬이었어요^.^
7,5,ciel7***예매자,2019.03.31,조회 41,"공감 0
공감하기",너무 재미있어요.,정말 재미있게 봤어요
8,5,cys5***예매자,2019.03.29,조회 50,"공감 0
공감하기",웃음보따리,뮤지컬을 좋아하고 많이 봤지만 이런 공연은처음이다..작은 소품과 무대장차ㆍ배우들의 익살 연기로 꽉찬 공연을 볼수 있어 넘 재밌고 좋았다..스트레스 받을태 강추!!!!
9,5,ttot***예매자,2019.03.16,조회 44,"공감 0
공감하기",넘나 재밋는~,재관람이지만 여전히 재밋고 유쾌했던 공연이었습니다
10,5,ricky***예매자,2019.03.13,조회 46,"공감 0
공감하기",행복했습니다 최고였어요;-;,"막공이 너무 아쉬워요~
훌륭한 무대,배우님들,스탭분들,오케분들 ㅠㅠ 너무도 수고 많으셨습니다. 6번을 보았는데 볼때마다 새롭게즐거웠어요~!"
11,5,brid***예매자,2019.03.13,조회 49,"공감 0
공감하기",최고!!,아이와 함께 넘 즐겁게 봤습니다. 아이가 또 보고 싶대요 ^^
12,3,jyjhjw0***예매자,2019.03.12,조회 75,"공감 0
공감하기",젠가,색다른 뮤지컬이였어요~
13,5,limea***예매자,2019.03.04,조회 54,"공감 0
공감하기",몬티와 다이스퀴스의 무한 매력,"몬티, 다이스퀴스, 시벨라, 피비, 미스 슁글, 유지니아 그리고 앙상블님들까지 완벽한 호흡이었다고 생각합니다.
극 자체가 재밌어서 보는 내내 즐거웠고
스코어들도 다 좋아서 계속 흥얼거리게 되네요.
재연 기대하겠습니다!"
14,5,cinem***예매자,2019.03.03,조회 38,"공감 1
공감하기",또 보고 싶은 공연,서경수 이규형 페어로 본 젠틀맨스가이드~입소문 날만하네요 꼭 앙코르공연해주세요 또 보러갈게요!
15,5,douyoung***예매자,2019.03.01,조회 25,"공감 0
공감하기",멋진 공연입니다.,부모님께서 보셨는데 즐거워하시고 추천하셨습니다. 멋진 공연입니딘.
16,5,rudwns1***예매자,2019.02.28,조회 32,"공감 0
공감하기",너무너무 매력적 인 잰틀맨스 가이드,한지상씨 유연석씨 두배우의 완벽 호흡과 다른 배우님들의 연기와 노래에 웃고 즐겁게 즐기다가 갑니다??
17,4,dnfh***예매자,2019.02.28,조회 50,"공감 0
공감하기",놀라운 1인 8역,"유연석 배우의 연기는 좋았지만 노래가 조금 아쉬웠습니다.
이규형 배우의 1인 8역은 재미도 있고 대단하더라고요.
그 외에 무대의 영상도 좋았습니다.
그다지 기대를 하지 않았는데 가볍게 웃을 수 있는 즐거운 공연이었습니다."
18,5,endan***예매자,2019.02.26,조회 23,"공감 0
공감하기",유쾌한 블랙코미디의 세계,"짱잼짱잼이에요
배우들의 능청스런 연기와 극 흐름에 저도 모르게 빨려들게 되는 극이었어요
지방 공연도 정말 기대 됩니다"
19,5,joqu***예매자,2019.01.15,조회 1613,"공감 14
공감하기",베스트진짜 또보고싶을정도로 완벽했던 뮤지컬,"무대연출도 독특하고 참신해서 맘에들었고
배우들의 연기도 완벽해서 더 마음에 들었던 뮤지컬.
특히 한지상배우님의 애드리브, 배우들사이의 호흡, 순발력 어느것하나 부족할것 없이 최고였습니다.
이 공연보기 전까지 공연은 한번씩만 보자고 다짐했던 제마음을 한순간에 돌려버릴정도의 뮤지컬 아직 보지 못하신분들은 꼭! 보세요. 정말 재미있습니다."
20,5,id***예매자,2018.12.18,조회 4395,"공감 158
공감하기",베스트무엇하나 빠지는 것 없는 공연이었다!,"오랫만에 가족들과 함께 공연을 보고 왔습니다~
영상을 이용한 무대연출 정말 훌륭했구요~
유연석 이규형 조합으로 관람했는데
이 두분의 뮤지컬은 사실 처음이었더든요
정말 브라보! 기대 그 이상으로 좋았습니다~
오랫만에 물개박수 치며 봤어요~
중간중간 웃을 수 있어서 또 재밌었구요~
남주 뿐 아니라 여주도 정말 훌륭 하시더라구요!
그리고 앙상블도 최고! 오랫만에 음악 무대 배우 연출 뭐 하나 빠지는 것 없는 공연에 기분 좋은 에너지 받고 왔습니다!
감사해요!!"
21,5,dl_g***예매자,2018.11.28,조회 8099,"공감 41
공감하기",베스트젠틀맨스가이드후기,"뮤지컬을 보러 갈 기회가 많지 않았는데, 이번에 기회가 돼서 보러 갔는데 기대 이상으로 재미있었어요.
배우들 연기도 좋았고 노래도 좋았고 아마도 회전문을 돌듯합니다..ㅎㅎ
처음에는 유연석 배우님 보러 예매한 거였는데 다른 배우분들 연기력과 가창력에 감탄하고 갔습니다!
무대매너도 다들 최고셨어요, 마지막까지 인사해주셔서 감동이였습니다.
꼭꼭 다시 보러 갈 수 있었으면 좋겠어요!"
22,5,ekfgus1***예매자,2018.11.13,조회 7867,"공감 57
공감하기",베스트다시 보고싶은 뮤지컬! 젠틀맨스 가이드,"대한민국에서 초연인 젠틀맨스 가이드를 어떻게 잘 풀어낼 수 있을까 걱정을 했는데 그런 걱정이 확 사라졌네요!
뮤지컬이라고 하면 숙연하거나 진지하게만 보는 그런 공연들이 대부분이었는데, 그런 편견을 확 깨버리는 뮤지컬이었습니다
1인 9역부터 시작해서 웅장한 오케스트라도 좋았고 등장인물과 너무 잘 어울리는 넘버, 순간순간 바뀌는 배경들! 정신이 없을 줄 알았는데 그런 것도 전혀 없어서 극의 흐름이 아주 좋아 이런 재미있는 뮤지컬을 언제 다시 볼 수 있을까 하는 생각이 들더라고요
정말 크게 웃으면서 보았고, 다시 볼 수 있는 기회가 생긴다면 꼭 보고 싶습니다"
23,5,sim***예매자,2019.02.25,조회 24,"공감 1
공감하기",연몬티 똑똑해 잘생겼어,"정확한 딕션과 풍부한 표정연기
몬티의 변화하는 감정에 같이 응원하게 만드는
연몬티 힘."
24,5,knowb***예매자,2019.02.24,조회 28,"공감 0
공감하기",유연석씨 보러갔다 이규형씨한테 반했어요,"ㅋㅋ
지난달에 봤는데 후기가 넘 늦었네요.
내용 전혀 모르고 갔는데 넘 잼있어서 깜놀.
유연석씨는 젠틀맨 그 자체였고 이규형씨의 팔색조 매력에 푹 빠졌답니다. 같이 갔던 친구들도 넘 잼있고 매력있는 배우라고 폭풍칭찬하더라구요."
25,3,eys***예매자,2019.02.23,조회 43,"공감 0
공감하기",기대가 컸을뿐,"배우들의 호연과 무대, 의상 다 좋았어요...
다만 제가 너무 기대한 탓인지 좀 실망...
그래도 좋았어요!!ㅎㅎ"
26,5,littleo***예매자,2019.02.22,조회 25,"공감 0
공감하기",배우들의 케미가 빛났던 작품!!,모든 배우들의 연기가 좋았다
27,5,gch02***예매자,2019.02.20,조회 20,"공감 0
공감하기",눈과 귀가 모두 호강하는 ㅠㅠㅠ,넘 좋았던 뮤지컬??
28,5,il***예매자,2019.02.20,조회 21,"공감 0
공감하기",제 인생의 최고의 뮤지컬,시간이 가는 줄 모르게 빠져드는 뮤지컬 이였습니다 연기자들의 열정과 모든 모습이 완벽한 공연이였습니다
29,4,ple***예매자,2019.02.19,조회 16,"공감 0
공감하기",즐거운 공연 ^^,오만석 유연석 배우님 공연이었습니다. 피비 시벨라 맡으신 두 분도 매력 넘쳤어요 ^^ 공연보러 가기 전 오리지널 음반 들을때는 긴가민가 했는데 보고나서 다시 들으니 그 장면이 떠올라 좋네요~
30,5,coduddl***예매자,2019.02.18,조회 11,"공감 0
공감하기",최고!!,또보고파 부산으로 고고
31,5,imea***예매자,2019.02.18,조회 18,"공감 0
공감하기",두번봐써요^-^,잼나요
32,5,gahw***예매자,2019.02.17,조회 15,"공감 0
공감하기",최고에요!!,"오랜만에 마음껏 웃고왔어요~
전체 케스팅 도전!!"
33,5,db891***예매자,2019.02.16,조회 17,"공감 0
공감하기",최고!!,최고!!
34,5,skyf***예매자,2019.02.15,조회 18,"공감 0
공감하기",정말 재밌어요,딱 내 취향ㅋㅋㅋ 오조오억번 보고 싶어요
