,id,date,rating,views,like,title,text
0,5,bbangji1***예매자,2020.05.05,조회 1358,"공감 8
공감하기",베스트기분 좋은 하루~,"정말 재밌어욬ㅋㅋㅋㅋㅋㅋ 즐겁게 웃고 싶을 때 보러가면 좋아요! 조조조조조조좋아요! 미호 너무 귀엽고 진혁이랑 차미는 능청스러운 연기 정말 잘해요! 공연보면서 육성으로 웃은 게 몇 번 없는데 차미는 진짴ㅋㅋㅋ웃겨요 진짜 잃어버린 웃음 찾을 수 있어요! 그리고 이거 완전 댄스컬입니다... 댄스맛집 차미 그리고 팔로더룰 ㅠ 넘버가 머리에서 안 떠나요 이 시대 최고의 후크송.. 인정합니다.. 지금 핫한 드립 다 나오고, sns에 중독되어서 현실과 괴리된 상황도 잘 녹여냈어요! 결말까지 만족합니다!!!!

그리고 고대... 진짴ㅋㅋㅋ 웃겨요ㅠ 진혁 고대 첫만남 잊지모태... 건대 홍대 고대... 그리고 춤추고 소스라치게 놀라는 거나 마지막 씬까지 의상 변할 때 눈물 흘렸습니다ㅋㅋㅋ 벽치기 꼭 보세요ㅠ 개웃겨 진짜ㅠ 누구나 좋아할 거예요 이거 보고 안 웃으면 사람아님ㄹㅇ

좋은 아침~ 밝은 햇살~ 기분 좋은 하루~ 를 만들어준 차미 너무 재밌었어요!!! 또 봐야징 팔로더룰~ 팔로더룰~"
1,5,gjwk***예매자,2021.02.22,조회 30,"공감 0
공감하기",나를 위로하는 시간,"보는 내내 따뜻했고 유쾌했으며, 용기를 주었습니다"
2,5,tkdzma01***예매자,2020.11.20,조회 41,"공감 0
공감하기",올 해 가장 유쾌했던 공연,웃고 울었던 한 편
3,5,cali***예매자,2020.08.10,조회 57,"공감 0
공감하기",유쾌한 공연,재밌었습니다. OST 발매를 기다리게 되는 공연.
4,5,yd***예매자,2020.07.30,조회 73,"공감 0
공감하기",생각보다 좋았어요,즐겁게 관람했습니다
5,5,ez5***예매자,2020.07.27,조회 65,"공감 0
공감하기",최고 ㅠㅠ,차미 재연 어디쯤...? 곧 돌아올거죠?!?!?!ㅠㅡㅜ
6,5,pl8***예매자,2020.07.27,조회 50,"공감 0
공감하기",다시보고싶어요!!,"진짜 재밌는거같아요!!
신선하고 좋아요~~"
7,5,gusd***예매자,2020.07.20,조회 105,"공감 0
공감하기",이거보고난뒤 잊지못하는,보고 또 보고싶은 작품인데 못봐서 너무 슬퍼요ㅠㅠ 또 올려주시면 꼭 보러가겠습니다ㅠㅠ
8,5,llchocc***예매자,2020.07.20,조회 60,"공감 0
공감하기",차미,"완벽한 막공이었습니다.
아진미호 우연차미 순종고대 성일진혁 보고싶을거에요ㅠㅠㅠ"
9,5,misosy***예매자,2020.07.20,조회 66,"공감 0
공감하기",차미,"행복했어요~ 다시 돌아와줘 차미...
어딜가...
깨물하트 장인 아진 배우님!
다들 너무 수고하셨습니다ㅠㅠㅠ"
10,5,cihm***예매자,2020.07.20,조회 53,"공감 0
공감하기",차미,말그대로 차~~~미한 공연 너무유쾌하고 즐거워요
11,5,tkawjdt***예매자,2020.07.20,조회 64,"공감 0
공감하기",전체적으로 너무 좋았습니다,"실황 실시간으로 보고 가서 보고싶어서 잡았는데 다들 너무 잘해주셔서 감사했어요 ㅋㅋㅋ
애드립도 빵빵터졌구 더 보고싶었는데 세미막이여서 아쉬운 마음이였지만 다음에 또 올려주시리라 믿고 저는 존버해보겠습니다 !! 강영석배우님 5진혁 5래5래...해주세요....티비 속에서 나온 백마탄 왕자님 잊지모다구있어요....."
12,5,sojung991***예매자,2020.07.18,조회 47,"공감 0
공감하기",차미 최고,"재연 기다립니다
안지환 배우님이 또 오시면 좋겠어요"
13,5,jjsm0***예매자,2020.07.18,조회 52,"공감 0
공감하기",막공이라 유난히 더 많이 웃었던 시간.,"유난히 더 애드립도 참 많았던 두시간이었네요. 웃다 울다 했던 것 같아요. 특히나 진혁선배와 우연차미 덕분에 미친듯이 웃었다가 다른 관객 분들한테 피해주지 않으려고 애썼는데 사실 다들 정신없이 웃고계셔서 그냥 다같이 계속 즐거웠던 것 같아요. 그렇게 실컷 웃겨놓고 미호랑 차미가 서로를 찾아나가고 결국 마지막 인사를 서로에게 하며, 누군간 떠나고 너군간 남아서 결국은 둘이 하나가 될 수 있었던 모습에 너무 아쉽고 예뻐서 울기까지 했네요. 다들 수고많으셨고 너무너무 감사했습니다. 마지막 무대인사까지, 배우분들 모두 다 모여서 행복하게 커튼콜 노래까지 부르는 모습 볼 수 있어서 다행이었고 또 많이 웃었어요. 또 참석하지 못한 성원고대의 건강도 꼭 ㅠ ㅠ 빌게요. 다들 건강하게 지내다가 또 만나면 좋겠습니다. 고마웠어 차미- 안녕."
14,5,jjsm0***예매자,2020.07.18,조회 38,"공감 0
공감하기",안녕 차미 안녕 미호 안녕 고대 안녕 오진혁,"봄부터 여름까지 차미 덕분에 내내 행복했어요. 항상 기다려지는 공연이었습니다. 생각없이 웃을 수 있었던 것 같아요. 물론 생각없이 웃는다는게 나쁜의미의 말이 아니라, 정말 모든것들에서 벗어나서 미호와 차미와 고대와 진혁이의 모습에만 집중하면서 이 아이들의 웃음과 고민 눈물 사랑 만남 이별 ..속에서 성장하는 모습을 볼 수 있어서 행복했어요.
또 언제 뮤지컬 차미를 만날 수 있을지 잘 모르겠지만. 다시 만나는 그때까지 차미도 미호안에서 잘 살아숨쉬고 있을거라 생각해요. 또 우리 미호도 고대랑 더 더 많이 행복하게 사랑하며 앞으로 나아가고 있겠죠. 그리구 진혁선배도, 떠나보낸 진짜 오진혁을 생각하면서 그리워하면서 또 새로운 삶을 아주 자알 고민하고 노력하면서 살아가고 있을거라고 생각해요. 많이 많이 그리울거에요. 다시 만나, 얘들아. 그동안 너무 고마웠어."
15,5,jy***예매자,2020.07.18,조회 23,"공감 0
공감하기",있는 그대로의 나를 사랑할 수 있는 용기를 주는 극,한 번만 보지 마세요 두 번 보세요 세 번 보세요
16,5,bbangji1***예매자,2020.05.05,조회 1358,"공감 8
공감하기",베스트기분 좋은 하루~,"정말 재밌어욬ㅋㅋㅋㅋㅋㅋ 즐겁게 웃고 싶을 때 보러가면 좋아요! 조조조조조조좋아요! 미호 너무 귀엽고 진혁이랑 차미는 능청스러운 연기 정말 잘해요! 공연보면서 육성으로 웃은 게 몇 번 없는데 차미는 진짴ㅋㅋㅋ웃겨요 진짜 잃어버린 웃음 찾을 수 있어요! 그리고 이거 완전 댄스컬입니다... 댄스맛집 차미 그리고 팔로더룰 ㅠ 넘버가 머리에서 안 떠나요 이 시대 최고의 후크송.. 인정합니다.. 지금 핫한 드립 다 나오고, sns에 중독되어서 현실과 괴리된 상황도 잘 녹여냈어요! 결말까지 만족합니다!!!!

그리고 고대... 진짴ㅋㅋㅋ 웃겨요ㅠ 진혁 고대 첫만남 잊지모태... 건대 홍대 고대... 그리고 춤추고 소스라치게 놀라는 거나 마지막 씬까지 의상 변할 때 눈물 흘렸습니다ㅋㅋㅋ 벽치기 꼭 보세요ㅠ 개웃겨 진짜ㅠ 누구나 좋아할 거예요 이거 보고 안 웃으면 사람아님ㄹㅇ

좋은 아침~ 밝은 햇살~ 기분 좋은 하루~ 를 만들어준 차미 너무 재밌었어요!!! 또 봐야징 팔로더룰~ 팔로더룰~"
17,5,jy***예매자,2020.07.18,조회 26,"공감 0
공감하기",한 번만 보지 마세요 두 번 보세요 세 번 보세요,한 번만 보지 마세요 두 번 보세요 세 번 보세요
18,5,jy***예매자,2020.07.18,조회 21,"공감 0
공감하기",쇼뮤같은 힐링극입니다,쇼뮤같은 힐링극입니다
19,5,ylim0***예매자,2020.07.18,조회 46,"공감 0
공감하기",막공 잘 봤어요,재밌었어요~
20,5,eki***예매자,2020.07.18,조회 16,"공감 0
공감하기",내이름은차미~~,꼭 다시 돌아왔으면 좋겠어요 유주혜 배우님 사랑해요 완전 차미호 그 자체ㅜㅜㅠ 너무너무 잘하시구 촤고최고ㅜㅠㅠㅠㅠ
