,id,date,rating,views,like,title,text
0,5,cali***예매자,2022.02.07,조회 27,"공감 0
공감하기",호텔쿠로이,저택에 다시 한번 놀러가고싶다
1,5,castlehe***예매자,2022.02.07,조회 17,"공감 0
공감하기",쿠로이,최고의작품
2,5,leemsaeje***예매자,2022.02.04,조회 29,"공감 0
공감하기",너무 재밌고 힐링되는 극!,웃음 재미 따뜻 몽글 힐링을 제대로 표현한 극!
3,4,dltq***예매자,2022.02.03,조회 20,"공감 0
공감하기",쿠로이 최고,쿠로이 좋아요
4,5,yjduwls***예매자,2022.01.31,조회 18,"공감 0
공감하기",쿠로이,훌륭한 배우들과 탄탄한 스토리
5,5,sunhwa***예매자,2022.01.24,조회 23,"공감 0
공감하기",쿠로이는 사랑입니다,스토리도 넘버도 최고??
6,5,822***예매자,2022.01.24,조회 14,"공감 0
공감하기",쿠로이,쿠로이 쿠로이
7,5,822***예매자,2022.01.24,조회 13,"공감 0
공감하기",쿠로이,쿠로이 쿠로이
8,4,aini***예매자,2022.01.24,조회 19,"공감 0
공감하기",끝나서 아쉬운,"뒤늦게 보기 시작해서 일찍 끝나버려 너무 아쉽다.
재연 꼭 다시 와주기~~"
9,5,sh***예매자,2022.01.24,조회 10,"공감 0
공감하기",쿠로이,쿠로이저택에 놀러와요 쿠로이저택에 놀러와요 쿠로이저택에 놀러와요 쿠로이저택에 놀러와요 쿠로이저택에 놀러와요
10,5,chunru***예매자,2022.01.24,조회 16,"공감 0
공감하기",작년 3월부터 올해 1월까지,"정말 행복하게 봤습니다.
창작산실 1달 앵콜로 1달 동안 항상 가슴 따뜻해지고 즐거웠던 것 같아요"
11,5,chunru***예매자,2022.01.24,조회 19,"공감 0
공감하기",언제나 볼 때마다 행복했던 뮤지컬,"곧 다시 볼 수 있게 되기를 바랍니다!
극도 메시지도 넘버도 정말 좋아했어요"
12,5,Whispering***예매자,2022.01.24,조회 6,"공감 0
공감하기",쿠로이 재밌었어요,추천합니다
13,5,seongheun0***예매자,2022.01.23,조회 27,"공감 0
공감하기",후기 쓰다가 또 생각나는 쿠로이ㅠ,"쿠로이 어느새 끝난 지 2, 3주이나 지났네요ㅠ 벌써부터 우리 옥희, 우리 해웅이, 그리고 우리 쿠로이 저택에 살고 있는 귀신들 보고 싶네요ㅠ 진짜 하루빨리 돌아왔으면 좋겠어요~"
14,5,chaeeun040***예매자,2022.01.23,조회 13,"공감 0
공감하기",진짜 너무 좋났어요,혼자 보는데도 외롭지 않은 공연
15,5,chaeeun040***예매자,2022.01.23,조회 9,"공감 0
공감하기",으악 넘 좋아,진ㅋ자 너무 좋아요 배우니뜰 사랑해
