,id,date,rating,views,like,title,text
0,5,intersns***예매자,2020.01.13,조회 607,"공감 1
공감하기",베스트만족합니다~,"당일까지 고민하다가 당일에 잡아서 온 회차였는데 잘했다는 생각이 들어요~ 비록 10열이긴했지만!! 오히려 뒷열에서 망원경들고 보니 배우들 표정이 더 잘보여서 더 좋은것 같기도하더라고요~ 용규세훈은 히카루와 세훈을 많이 동일화해서 연기하는 것 같은데 다른 세훈들과 좀 다른 느낌이라 나름 보는 재미가 있었고, 해진쌤 쇼파에 눕혀 줄 때 머리 감싸서 눕혀주는것도 좋고, 해진한테는 꼭 선생님이라고 해서 다른 세훈들은 ""그사람이 그렇게 썼어?""라고 하는데 ""선생님이 그렇게 썼어?""라고 해서 좋더라고요~
재범해진은 다 좋았어요~ 생의반려에서 정민윤과 포옹하는 장면에서는 어찌나 눈물이 나던지..ㅠㅠ 아! 그리고 오늘 종이 던지기 성공~!! 재미있었어요~^^"
1,5,wlgus***예매자,2021.04.02,조회 16,"공감 0
공감하기",너무 좋아요,중독성이 강한거 같아요
2,5,rigel***예매자,2021.01.13,조회 30,"공감 0
공감하기",내가 죽었을 때,때는 바야흐로 봄이었다
3,5,minhwal***예매자,2020.09.07,조회 851,"공감 4
공감하기",191218 팬레터,"고3, 내가 우울할 때마다 나를 위로해 주던 넘버들. 연강홀에서 만난다는 공지가 떴을 때는 정말 뛸듯이 기뻤다. 하지만 시간이 지나고 서울 생활을 하면서 지쳤고, 우울해서 까먹고있던 어느날 팬레터가 올라왔다는걸 깨달았다.

1ㅁㅏㄱㅇㅢ ㅅㅣㅈㅏㄱ, ㅇㅠㄱㅗㅈㅣㅂㅇㅡㄴ ㅇㅓㄷㅜ ㅊㅣㅁㅊㅣㅁㅎㅏㄴ ㅂㅜㄴㅇㅟㄱㅣㅇㅘ ㅎㅏㅁㄲㅔ ㄷㅡㄹㄹㅣㄴㅡㄴ ㅅㅏㅇㅣㄹㅔㄴㅅㅗㄹㅣㄴㅡㄴ ㄴㅓㅁㅜ ㅅㅣㄷㅐ ㅂㅐㄱㅕㅇㅇㅡㄹ ㅈㅏㄹ ㅂㅗㅇㅕㅈㅝㅅㅓ ㄴㅡㄹ ㅅㅗㄹㅡㅁㅇㅣ ㄷㅗㄷㄴㅡㄴㄷㅏ.
-
ㄱㅡㄴㅕㅇㅢ ㅈㅜㄱㅇㅡㅁㄱㅘ ㅌㅏㄴㅅㅐㅇㅇㅡㄴ ㄱㅐㅇㅣㄴㅈㅓㄱㅇㅡㄹㅗ ㄴㅐㄱㅏ ㄴㅓㅁㅜ ㅈㅗㅎㅇㅏㅎㅏㄴㄷㅏ. ㅇㅣㅇㅠㄴㅇㅣ ㅍㅕㄴㅈㅣㄹㅡㄹ ㄱㅏㅈㅣㄱㅗ ㄴㅗㄹㄱㅗ ㅅㅔㅎㅜㄴㅇㅣㄱㅏ ㅅㅗㄴㅇㅡㄹ ㅃㅓㄷㄱㅗ ㅈㅏㅂㅇㅡㄹㅕㄱㅗㅎㅏㄴㅡㄴㄱㅔ ㅂㅏㄱㅈㅏㄱㅏ ㄷㅡㄹㅇㅓㅁㅏㅈㅇㅏ ㄱㅣㅂㅜㄴㅇㅣ ㅈㅗㅎㄷㅏ. ㅇㅏ ㄱㅡㄴㄷㅔ ㄱㅣㅁㅈㅣㅎㅟ ㅂㅐㅇㅜㄴㅣㅁ ㄴㅏㄹㅏㅇ ㅇㅏㄴ ㅁㅏㅈㄷㅏ. ㄷㅏㅅㅣㄴ ㅇㅏㄴ ㅁㅏㄴㄴㅏㅆㅇㅡㅁㅕㄴ ㅈㅗㅎㄱㅔㅆㄷㅏ. ㅁㅏㅈㅣㅁㅏㄱㅇㅔ ㄱㅡㄴㅕㄱㅏ ㅌㅐㅇㅓㄴㅏㄴ ㄱㅓㄴ ㅇㅓㄴㅡ ㅂㅗㅁㄴㅏㄹ ㅇㅏㅈㅣㄱㅇㅡㄴ ㅊㅜㅂㄱㅗ ㄴㅜㄴ ㄴㅏㄹㄹㅣㅈㅣㅁㅏㄴ ㄸㅏㄸㅡㅅㅎㅏㄴ ㅎㅐㅅㅅㅏㄹㅇㅡㄹ ㄱㅣㄷㅐㅎㅏㅁㅕ ㅂㅏㄹㅏㅁㅇㅔ ㅇㅜㅁㅊㅡㄹㅣㄷㅓㄴ ㅇㅣㄹㅡㄴ ㅂㅗㅁㄴㅏㄹ ㄱㅡ ㅇㅏㄹㅕㄴㅎㅏㅁㅇㅣ ㅈㅓㅇㅁㅏㄹ ㄱㅣㅇㅓㄱㅇㅔ ㄴㅏㅁㄴㅡㄴㄷㅏ.
-
ㅇㅏㅁㅜㄷㅗ ㅁㅗㄹㅡㄴㄷㅏ ㄴㅓㅁㅂㅓ ㄷㅡㄹㅇㅓㄱㅏㄱㅣ ㅈㅓㄴ ㅅㅔㅎㅜㄴㅇㅣㄱㅏ ㅇㅜㅁㅉㅣㄹㅎㅏㄴㅡㄴㄱㅔ ㅈㅓㅇㅁㅏㄹ ㄴㅐㄱㅏ ㅁㅏㅇㅡㅁㅇㅣ ㅇㅏㅍㅡㄷㅏ. ㄱㅡㄹㅣㄱㅗ ㅇㅣ ㄸㅐㄱㅏ ㄱㅏㅈㅏㅇ ㅅㅜㄴㅅㅜㅎㅏㄱㅔ ㄱㅡㄹ ㅆㅡㄷㅓㄴ ㄸㅐㄹㅏㅅㅓ ㄴㅓㅁㅜ ㅎㅐㅇㅂㅗㄱㅎㅐㅂㅗㅇㅣㄷㅓㄹㅏ.
-
ㄴㅜㄴㅁㅜㄹㅇㅣ ㄴㅏㄹㅡㄹ ㄷㅡㄷㄴㅡㄴㄷㅔ ㄴㅓㅁㅜ ㅅㅜㄴㅅㅜㅎㅏㄴ ㅅㅏㄹㅏㅇㅇㅣ ㄴㅡㄲㅕㅈㅕㅅㅓ ㅈㅗㅎㅇㅏㅆㄷㅏ. ㄴㅏㄴㅡㄴ ㅈㅓㄹㅓㅎㄱㅔ ㄷㅓㄱㅈㅣㄹ ㅇㅏㄴㅎㅏㄴㅡㄴㄷㅔ.. ㄱㅘㅁㅗㄹㅇㅣㅂ ㅂㅓㅁㅂㅓㄱㅇㅔ ㅈㅣㄹㅊㅓㄱㅎㅏㄴ ㅅㅏㄹㅏㅇㅇㅡㄹ ㅎㅏㄱㅗ ㅁㅏㄱ ㄱㅡㄹㅓㄴㅡㄴㄷㅔ ㄴㅓ ㄴㅓㅁㅜ ㅅㅜㄴㅅㅜㅎㅏㄴ ㄷㅓㄱㅈㅣㄹㅎㅏㄴㄷㅏ ㅅㅔㅎㅜㄴㅇㅏ. ㄱㅡㄹㅣㄱㅗ ㅎㅐㅈㅣㄴㅆㅐㅁ ㅈㅏㄹㄸㅐ ㅁㅏㄱ ㅂㅜㅇㅓㅇㅇㅣ ㅅㅗㄹㅣ ㄴㅐㄴㅡㄴㄱㅓ ㅇㅘㅇ ㄱㅟㅇㅕㅂㄷㅏ ㅈㅣㄴㅉㅏ.
-
ㄱㅡㄴㅕㄹㅡㄹ ㅁㅏㄴㄴㅏㅁㅕㄴㅇㅡㄴ ㅇㅏㄴㅈㅓㄹㅂㅜㅈㅓㄹㅎㅏㄴㅡㄴ ㅅㅔㅎㅜㄴㅇㅣㄱㅏ ㅈㅣㄴㅉㅏ ㄱㅟㅇㅕㅂㄷㅏ. ㄱㅡㄹㅣㄱㅗ ㄱㅠㅎㅕㅇ ㅂㅐㅇㅜㄴㅣㅁ ㄴㅐㄱㅏ...? ㅎㅏㄴㅡㄴㄱㅓ ㄴㅓㅁㅜ ㄱㅟㅇㅕㅇㅝㅆㄷㅏ.
-
ㄱㅓㅈㅣㅅㅁㅏㄹㅇㅣ ㅇㅏㄴㅣㅇㅑ ㅈㅣㄴㅅㅣㅁ ㄴㅐ ㅊㅚㅇㅐ. ㅇㅕㄱㅣ ㅇㅘㄹㅊㅡㄱㅏ ㄴㅓㅁㅜ ㅈㅗㅎㅇㅏ. ㅎㅣㅋㅏㄹㅜㄹㅏㅇ ㅅㅔㅎㅜㄴㅇㅣㄹㅏㅇ ㅇㅏㄴㅁㅜ ㅁㅏㅈㄴㅡㄴㄱㅓㅇㅔ ㅋㅙㄱㅏㅁㅇㅣ ㅇㅣㅆㄷㅏ. ㅁㅜㄴㅅㅓㅇㅇㅣㄹ ㅂㅐㅇㅜㄴㅣㅁ ㅊㅜㅁㅅㅓㄴㅇㅣ ㄱㅗㅂㄷㅏ. ㅁㅜㄹㄹㅗㄴ ㅎㅘㅇㅡㅁㄷㅗ ㅈㅗㅎㅇㅏㅎㅏㄴㄷㅏ. ㅅㅏㄹㅏㅇㅇㅣ ㅂㅔㅍㅜㄹㅇㅓ ㅈㅜㄴㅡㄴ ㅁㅗㄷㅡㄴ ㅎㅢㅇㅕㄹㅇㅡㄹ ㅁㅏㅅㅂㅗㅇㅏㅆㄴㅗㄹㅏ! ㅎㅏㄴㅡㄴ ㅎㅣㅋㅏㄹㅜㅇㅘ ㅅㅔㅎㅜㄴㅇㅣㅇㅢ ㅍㅛㅈㅓㅇㅇㅣ ㄴㅓㅁㅜ ㅂㅓㄱㅊㅏㅅㅓ ㄷㅓ ㅈㅗㅎㅇㅏㅎㅐ. ㅅㅣㄹㅈㅔㄹㅗ ㅂㅗㄴㅣ ㅅㅜㄴㅅㅜㅎㅏㄴ ㄱㅘㅇㄱㅣㄱㅏ ㄱㅏㄷㅡㄱㅎㅏㄴ ㄴㅗㄹㅐㄹㅏㅅㅓ ㅈㅗㅎㅇㅏㅆㄷㅏ.
-
ㅅㅣㄴㅇㅣㄴㅌㅏㄴㅅㅐㅇ - ㄱㅡㄹㅈㅏ ㄱㅡㄷㅐㄹㅗ - Muse ㄹㅗ ㅇㅣㄹㅓㅈㅣㄹㄸㅐ ㅅㅔㅎㅜㄴㅇㅣㄱㅏ ㅂㅜㄹㅇㅏㄴㅎㅐㅅㅓ ㅎㅣㅋㅏㄹㅜㅇㅔㄱㅔ ㅁㅐㄷㅏㄹㄹㅣㄴㅡㄴ ㄱㅡ ㅅㅏㅇㅎㅘㅇㅇㅣ ㄴㅓㅁㅜ ㅈㅗㅎㄷㅏ. ㅎㅐㅈㅣㄴㅆㅐㅁㅇㅣ ㄷㅐㅂㅜㅂㅜㄴ ㅇㅣ ㄹㅏㅇㅣㄴㅇㅔㅅㅓ ㄴㅜㄴㅊㅣㄹㅡㄹ ㅁㅏㄶㅇㅣ ㅊㅐㄴㄷㅏㄱㅗ ㄱㅡㄹㅓㄷㅓㄴㄷㅔ, ㄴㅏㄴㅡㄴ ㅁㅗㅅㅂㅘㅆㄷㅏ.
-
ㅅㅓㅁㅅㅔㅎㅏㄴ ㅍㅐㄴㄹㅔㅌㅓㄴㅡㄴ ㅁㅕㅊㄴㅏㄹ ㅁㅕㅊㅇㅣㄹㅇㅡㄹ ㅈㅜㅈㅓㅂ ㄸㅓㄹ ㅅㅜ ㅇㅣㅆㄷㅏ ㅈㅣㄴㅉㅏㄹㅗ. ㄴㅐㄱㅏ ㅈㅓㅇㅁㅏㄹ ㅈㅗㅎㅇㅏㅎㅏㄴㅡㄴ ㄱㅘㅇㄱㅣ ㄴㅓㅁㅊㅣㄴㅡㄴ ㄴㅓㅁㅂㅓ. ㅅㅏㄻㄷㅗ ㅈㅜㄱㅇㅡㅁㄷㅗ ㅇㅣㅈㄱㅗ ㅎㅏㄴㄱㅖㄹㅡㄹ ㄴㅓㅁㅇㅓㅅㅓ! ㅎㅏㄴㅡㄴ ㅇㅣ ㄱㅘㅇㄱㅣ ㄴㅓㅁㅊㅣㄴㅡㄴ ㄷㅐㅅㅏ! ㅇㅕㄱㅣㅅㅓ ㅍㅔㄴㅇㅡㄹ ㄷㅡㄴㅡㄴ ㅎㅐㅈㅣㄴㅆㅐㅁ ㅍㅛㅈㅓㅇㅇㅣ ㅇㅏㅂㄱㅝㄴㅇㅣㄷㅏ. ㄱㅡㄹㅁㅏㄴ ㅇㅣㅆㄷㅏㅁㅕㄴ ㅁㅗㄱㅅㅜㅁㄲㅏㅈㅣ ㄴㅐㄷㅓㄴㅈㅣㄹ ㄷㅡㅅㅎㅏㄴ ㅊㅓㅈㅓㄹㅎㅏㅁ. ㅇㅝㄴㄱㅗㅈㅣㄹㅡㄹ ㄲㅡㄹㅇㅓㅁㅗㅇㅡㄱㅗ ㅊㅓㅈㅓㄹㅎㅏㄱㅔ ㄴㅗㄹㅐㅂㅜㄹㅡㄱㅗ ㄱㅡㄹㅓㄴ ㅎㅐㅈㅣㄴㅆㅐㅁㅇㅡㄹ ㅈㅗㅈㅗㅇㅎㅏㄴㅡㄴ ㅎㅣㅋㅏㄹㅜㅇㅘ ㅅㅔㅎㅜㄴㅇㅣ. ㅇㅘㄹㅊㅡㄴㅡㄴ ㄱㅖㅅㅗㄱ ㅁㅏㄹㅎㅏㅈㅣㅁㅏㄴ ㅅㅔㅎㅜㄴㅂㅐㅇㅜㄴㄴㅣㅁ ㅊㅜㅁㅅㅓㄴㅇㅣ ㅁㅜㅇㅛㅇㅎㅏㅅㅕㅅㅓ ㅅㅓㄴㅇㅣ ㄱㅗㅂㄷㅏ. ㄱㅡㄹㅓㄴ ㅊㅜㅁㅅㅓㄴㅇㅣ ㅍㅐㄴㄹㅔㅌㅓㅇㅢ ㅂㅜㄴㅇㅟㄱㅣㅇㅘ ㅈㅏㄹ ㅇㅓㅇㅜㄹㄹㅕㅅㅓ ㅂㅗㄴㅡㄴㄷㅔ ㄱㅡㄱㅇㅣ ㄷㅓ ㅂㅣㄱㅡㄱㅈㅓㄱㅇㅣㄱㅗ ㅇㅏㄹㅡㅁㄷㅏㅇㅝㅆㄷㅏ.
-
ㅂㅕㄹㅇㅣ ㅂㅏㄴㅉㅏㄱㅇㅣㄴㅡㄴ ㅅㅣㄱㅏㄴㅇㅡㄴ ㅈㅣㄴㅉㅏ ㅎㅣㅋㅏㄹㅜㅇㅢ ㄷㅏㅇㄷㅏㅇㅎㅏㅁㄱㅘ ㅈㅏㄱㄱㅏㄹㅗㅅㅓㅇㅢ ㅁㅐㅇㅁㅗㄱㅈㅓㄱㅇㅣㄴ ㅇㅣㅅㅏㅇㅎㅑㅇㅇㅣ ㄴㅓㅁㅜ ㄴㅡㄲㅕㅈㅕㅅㅓ ㅈㅗㅎㄷㅏ.
-
ㅅㅐㅇㅇㅢ ㅂㅏㄴㄹㅕ ㅊㅗㅂㅏㄴㅇㅔ ㄴㅜㄱㅜㄹ ㅁㅏㄹㅎㅏㄴㅡㄴㅈㅣ ㅈㅏㄹ ㅁㅗㄹㅡㄱㅔㅆㄷㅏ. ㄱㅣㅁㅎㅐㅈㅣㄴㅇㅣ ㅈㅣㄱㅡㅁ ㅈㅓㅇㅅㅣㄴㅇㅣ ㅇㅏㅈㅜ ㅁㅏㄺㅇㅏ! ㅎㅏㄴㅡㄴㄷㅔ ㅈㅣㄴㅉㅏ ㅁㅣㅊㅣㄴ ㄱㅓㅅㄱㅏㅌㅇㅡㄴ ㄱㅡ ㅂㅜㄴㅇㅟㄱㅣ. ㅅㅜㅁㅅㅗㄹㅣㄱㅏ ㅅㅓㄲㅇㅣㄴ ㄱㅡ ㄷㅐㅅㅏㄱㅏ ㅅㅗㄹㅡㅁ ㄱㅡㅈㅏㅊㅔㄷㅏ. ㅈㅣㄴㅉㅏ ㅇㅣㄱㅠㅎㅕㅇ ㄷㅐㅅㅏ ㅌㅗㄴ ㅈㅗㅎㅇㅏㅅㅓ ㅁㅣㅊㅕㅂㅓㄹㅕ. ㅇㅜㄹㄷㅡㅅㅇㅣ ㄴㅏㅇㅔㄱㅔ ㅍㅔㄴㄲㅏㅈㅣ ㅃㅐㅇㅏㅅㅇㅏㄱㅏㅈㅣ ㅁㅏㄹㅇㅏㄷㅏㅇㅗ ㅇㅠㄴㅇㅏ.. ㅎㅏㄴㅡㄴ ㄷㅐㅅㅏㄷㅗ ㅅㅏㄹㅏㅁ ㅁㅣㅊㅣㄱㅔ ㅎㅐ.
-
ㄱㅓㅇㅜㄹ ㅈㅓㅇㅁㅏㄹ ㄴㅐㄱㅏ ㅈㅗㅎㅇㅏㅎㅏㄴㅡㄴ ㄴㅓㅁㅂㅓ ㅈㅜㅇ ㅎㅏㄴㅏ! ㅈㅗㅎㅇㅏㅎㅏㄴㅡㄴ ㄴㅓㅁㅂㅓㄱㅏ ㅁㅏㄶㅇㅏㅂㅗㅇㅣㄴㄷㅏㅁㅕㄴ ㅊㅏㄱㄱㅏㄱㅇㅣ ㅇㅏㄴㅣㅂㄴㅣㄷㅏ. ㅅㅗㄹㅈㅣㄱㅎㅣ ㅍㅐㄴㄹㅔㅌㅓ ㄴㅓㅁㅂㅓㄴㅡㄴ ㅎㅏㄴㅏㄷㅗ ㅂㅓㄹㅣㄹㄱㅔ ㅇㅓㅄㄷㅏ ㅈㅣㄴㅉㅏ. ㅇㅣㄱㅔ ㄱㅓㅈㅣㅅㅁㅏㄹㅇㅣ ㅇㅏㄴㅣㅇㅑ ㄸㅐㄹㅏㅇ ㄱㅏㅌㅇㅡㄴ ㅇㅡㅁㅇㅡㄹ ㅅㅏㅇㅛㅇㅎㅏㅁㅕㄴㅅㅓ ㅎㅣㅋㅏㄹㅜㄹㅏㅇ ㅆㅏㅇㅜㄴㅡㄴ ㄴㅐㅇㅛㅇㅇㅣㄴㄱㅔ ㅈㅗㅎㄷㅏ. ㄲㅠㅎㅏㅅㅎㅣㅇㅓㄹㅏ ㅁㅏㄱㄱㅗㅇㅇㅣ ㅎㅘㄱㅅㅣㄹㅎㅣ ㄹㅔㅈㅓㄴㄷㅡㅇㅕㅆㄷㅏㄱㅗ ㅅㅐㅇㄱㅏㄱㅎㅏㄴㅡㄴㄷㅔ, ㅇㅑㄱㅇㅡㄴ ㅇㅏㄴㄷㅚㄴㄷㅏ! ㅎㅏㅁㅕㄴㅅㅓ ㅅㅗㄹㅣㅊㅣㄴㅡㄴㄱㅓㄹ ㅅㅔㅎㅜㄴㅇㅣㄱㅏ ㅎㅣㅋㅏㄹㅜㅇㅣㅁㅇㅡㄹ ㅇㅏㄹㄱㅗㅇㅣㅆㄷㅏㄴㅡㄴ ㄷㅡㅅ ㅂㅜㄷㅡㄹㅓㅂㄱㅔ ㅁㅣㄹㅇㅓㄴㅐㄴㅡㄴㄱㅔ ㅅㅏㄹㅏㅁㅇㅡㄹ ㄷㅓ ㅇㅜㄹㄱㅔㅎㅏㄷㅓㄹㅏ.
-
ㄱㅗㅂㅐㄱㅇㅡㄴ ㅈㅣㄴㅉㅏ ㅁㅏㅇㅡㅁ ㅇㅏㅍㅏ ㅁㅣㅊㅣㄴㄷㅏ. ㅅㅔㅎㅜㄴㅇㅣㄱㅏ ㄴㅓㅁㅜ ㅈㅓㄹㅈㅓㄹㅎㅐㅅㅓ. ㅎㅐㅈㅣㄴㅆㅐㅁ ㅅㅔㅎㅜㄴㅇㅣ ㅎㅏㄴ ㅂㅓㄴㅁㅏㄴ ㄷㅗㄹㅇㅏㅂㅘ ㄷㅏㄹㄹㅏㄱㅗ ㅂㅣㄹㄱㅗㅇㅣㅆㄷㅏ. ㅇㅣㄱㅠㅎㅕㅇㄷㅗ ㅇㅣㄸㅐ ㅈㅣㄴㅉㅏ ㅁㅏㄶㅇㅣ ㅇㅜㄹㄷㅓㄹㅏ. ㅇㅣㄸㅐㄷㅗ ㄴㅓㄴㅡㄴ ㅎㅣㅋㅏㄹㅜㄱㅏ ㅇㅏㄴㅣㅇㅑ! ㄹㅏㄱㅗ ㅅㅗㄹㅣㅊㅕㅇㅑㅎㅏㄴㅡㄴㄷㅔ ㅈㅔㅂㅏㄹ ㅎㅏㅈㅣㅁㅏㄹㄹㅏㄴㅡㄴ ㄷㅡㅅㅇㅣ ㅇㅜㄹㅁㅕㄴㅅㅓ ㅇㅐㅇㅝㄴㅎㅏㄴㅡㄴ ㄱㅡ ㅁㅗㅅㅡㅂㅇㅣ ㄷㅓ ㅈㅓㄹㅅㅣㄹㅎㅐ ㅂㅗㅇㅕㅆㄷㅏ. -
ㅎㅐㅈㅣㄴㅇㅢ ㅍㅕㄴㅈㅣ ㄴㅓㅁㅂㅓㄴㅡㄴ ㄴㅐㄱㅏ ㅍㅐㄴㄹㅔㅌㅓㄹㅏㄴㅡㄴ ㅁㅠㅈㅣㅋㅓㄹㅇㅡㄹ ㅊㅓㅇㅡㅁ ㅈㅓㅂㅎㅏㄷㅗㄹㅗㄱ ㅎㅏㄴ ㄴㅓㅁㅂㅓ. ㄴㅐㄱㅏ 3ㅇㅝㄹ 17ㅇㅣㄹㅁㅏㄴ ㄷㅚㅁㅕㄴ ㅅㅐㅇㄱㅏㄱ ㄴㅏㄴㄷㅏㄱㅗㅇㅛ. ㅇㅣㄸㅐ ㅁㅜㄴㅅㅓㅇㅇㅣㄹ ㅂㅐㅇㅜㄴㄴㅣㅁ ㅅㅔㅅㅏㅇㅇㅣ ㅁㅜㄴㅓㅈㅣㄴ ㅅㅏㄹㅏㅁㅊㅓㄹㅓㅁ ㅇㅜㄹㄷㅓㄹㅏ. ㅅㅔㅎㅜㄴ ㅈㅓㄴ, ㅎㅏㄴㅡㄴ ㄷㅐㅅㅏ ㅎㅏㄴ ㄷㅏㅇㅡㅁㅇㅔ ㅎㅏㄴㅊㅏㅁ ㅂㅏㄹㅏㅂㅗㄴㅡㄴㄷㅔ ㄴㅓㅁㅜ ㅁㅓㄱㅁㅓㄱㅎㅐㅂㅗㅇㅕㅆㄷㅏ. ㅇㅣㄸㅐ ㅊㅓㅇㅡㅁㅇㅡㄹㅗ ㅎㅣㅋㅏㄹㅜㄱㅏ ㅇㅏㄴㅣㄴ ㅅㅔㅎㅜㄴㅇㅣㄹㅏㄴㅡㄴ ㅇㅣㄹㅡㅁㅇㅡㄹㅗ ㅂㅏㄷㅇㅏㅂㅗㄴ ㅊㅓㅅ ㅂㅓㄴㅉㅐ ㅍㅕㄴㅈㅣㄹㅏㄴㅡㄴㄱㅔ ㅈㅣㄴㅉㅏ ㅁㅏㅇㅡㅁ ㅇㅏㅍㅡㄱㅔ ㅎㅏㅈㅣ. ㄱㅖㅅㅗㄱ ㅍㅕㄴㅈㅣ ㄲㅡㄹㅇㅓㅇㅏㄴㄱㅗ ㅇㅜㄴㅡㄴㄷㅔ ㅈㅣㄴㅉㅏ ㅁㅏㅇㅡㅁ ㅇㅏㅍㅏㅆㅇㅓ.
-
ㄴㅐㄱㅏ ㅈㅜㄱㅇㅓㅆㅇㅡㄹ ㄸㅐ ㅁㅜㄴㅅㅓㅇㅇㅣㄹ ㅂㅐㅇㅜㄴㅣㅁ ㅁㅗㄱ ㅅㅏㅇㅌㅐㄱㅏ ㅂㅕㄹㄹㅗ ㅇㅏㄴ ㅈㅗㅎㅇㅡㄴㄱㅓㄴ ㅊㅓㅇㅡㅁㅂㅜㅌㅓ ㅅㅏㄹㅉㅏㄱ ㄴㅡㄲㅣㄱㅗ ㅇㅣㅆㅇㅓㅆㄴㅡㄴㄷㅔ ㅍㅔㅇㅣㅈㅣㄹㅡㄹ ㅂㅗㄹ ㄸㅐㅁㅕㄴ~ ㅎㅏㄴㅡㄴ ㅂㅜㅂㅜㄴㅇㅔㅅㅓ ㅇㅡㅁㅇㅣ ㅎㅡㄴㄷㅡㄹㄹㅣㄷㅓㄹㅏ. ㄱㅡㄹㅓㄴㄷㅔ ㄴㅓㅁㅜ ㅁㅓㄱㅁㅓㄱㅎㅐㅅㅓ ㅈㅔㄷㅐㄹㅗ ㅁㅏㄹㅇㅡㄹ ㅁㅗㅅ ㅇㅣㅇㅓㄴㅏㄱㅏㄴㅡㄴ ㅅㅔㅎㅜㄴㅇㅣ ㄱㅏㅌㅇㅏㅅㅓ ㅂㅕㄹㄹㅗ ㅅㅣㄴㄱㅕㅇ ㅇㅏㄴ ㅆㅡㅇㅕㅆㄷㅏ

_ㅍㅕㄴㅈㅣㅇㅢ ㅈㅜㅇㅣㄴㅇㅡㄹ ㄴㅏㄴㅡㄴ ㅅㅏㄹㅏㅇㅎㅏㅈㅣ ㅇㅏㄶㅇㅡㄹ ㅅㅜ ㅇㅓㅄㄷㅏ."
4,5,cj***예매자,2020.05.16,조회 36,"공감 0
공감하기",감사합니다.,와!!!!!!!!!!!!!!!!!!!
5,5,kanon***예매자,2020.04.21,조회 37,"공감 0
공감하기",잘 보고 왔습니다,다시 보고 싶을 정도에요...늦게 알게 된 거 슬퍼요ㅠ
6,5,jiwony6***예매자,2020.03.19,조회 57,"공감 0
공감하기",언젠가,꼭 돌아오세요 나의 봄 뮤지컬 팬레터...ㅠ
7,2,ansml***예매자,2020.03.04,조회 187,"공감 0
공감하기",역사적 사실을,"역사적 사실을 극 소스로 너무 가볍게 다룬 느낌입니다 세훈이의 행동, 히카루도 잘 설명되지않고 그 이후의 칠인회의 행동도 잘 이해가지 않아요 음향도 별로고... 배우분들 연기는 좋았습니다"
8,5,dan***예매자,2020.03.02,조회 48,"공감 0
공감하기",너무 잘 봤어요,또 보고싶네요
9,5,parkju6***예매자,2020.02.29,조회 37,"공감 0
공감하기",좋아요,좋아요
