,Unnamed: 0,rating,id,date,views,like,title,text
0,0,5,kke***예매자,2021.01.21,조회 60,"공감 0
공감하기",사이다 마신 기분,노래 시원시원하고 사이다 마신거 같습니다
1,1,5,rkdhs0***예매자,2020.09.24,조회 32,"공감 0
공감하기",그리운 리지,단연 최고
2,2,5,minmin200***예매자,2020.08.17,조회 38,"공감 0
공감하기",제박 재연 돌아와주세요,컷콜에서 누구보다 신나게 고개 흔들수있어요 제방  최고다
3,3,4,love081***예매자,2020.08.09,조회 24,"공감 0
공감하기",좋았어요,배우님들 시원한 보컬들에 제가 다 짜릿했습니다개인적으로 라도 나오면 정말 좋을텐데
4,4,5,qlrmalswl***예매자,2020.07.10,조회 35,"공감 0
공감하기",한여름 리지를 만나 시원햇습니다,시원함 가창력 오싹한 연기력 다 너무 좋았어요
5,5,5,roman***예매자,2020.07.06,조회 24,"공감 0
공감하기",좋았어요,리지 보면서 스트레스 해소도 되고 정말 좋았어요 이런 극이 자주 올라왔으면 좋겠습니다 여성으로만 채워진 극이 올라온 다는 것이 어색해지지 않게
6,6,3,gmlgu***예매자,2020.07.06,조회 47,"공감 0
공감하기",리지,코로나가 지나가고 건강한때애 다시 돌아오면 커튼콜 신나게 즐기고싶은 공연
7,7,4,gmlgu***예매자,2020.07.06,조회 30,"공감 0
공감하기",리지 보든,리지보든 마흔번
8,8,5,belk***예매자,2020.07.06,조회 29,"공감 0
공감하기",다시 앵콜,배우 모두 사랑이었타
9,9,5,khi3***예매자,2020.07.06,조회 18,"공감 0
공감하기",나하나 최고,진짜 찐이야
10,10,5,ssucks***예매자,2020.07.06,조회 21,"공감 0
공감하기",정말 멋진 여성서사극,여성 4인으로 무대가 폭팔합니다
11,11,5,sung901***예매자,2020.07.06,조회 24,"공감 0
공감하기",머리가 왜 없어,배우님들 연기와 성대가 열일하는 극
12,12,5,zkdlx***예매자,2020.07.06,조회 15,"공감 0
공감하기",최고입니다 재연 언제 와요,나하나 배우 김려원 배우 최수진 배우 최현선 배우 네 분 다 정말정말 최고의 연기 노래 연기합까지 전부 좋았습니다
13,13,5,chdml***예매자,2020.07.06,조회 26,"공감 0
공감하기",좋이여,좋아용
14,14,4,hie***예매자,2020.07.04,조회 49,"공감 0
공감하기",잘 보고 왔습니다,잘 봤습니다
15,15,4,hie***예매자,2020.07.04,조회 24,"공감 0
공감하기",재밌게 잘 보았습니다,친구가 제 대신 가서 보고 왔는데 너무 재밌게 잘 보았다고 합니다리지 짱짱이래요 너무 신난다고 또 보고 싶다고 했어요
16,16,5,kwangs***예매자,2020.07.04,조회 25,"공감 0
공감하기",최애페어를 보내는 기분 나김최최 사랑해요,나리지가 대사 못 이어가고 오열하길래 봤더니 숮앨이 글쎄비둘기 날개를 정말 감동이었어요배우들 차기작도 예매중인데 꼭 재연했을 때 리지 앨리스 엠마 브리짓으로 만날 수 있기를나하나김려원최수진최현선 배우님 고생하셨어요플라이
17,17,4,tog***예매자,2020.07.03,조회 12,"공감 0
공감하기",다시 돌아와줘요 배우님들,공연의 내용을 제외하고는 상당히 마음에 들었어요커튼콜 신나게 놀 수 있는 그 날다시 돌아와주세요 배우님들
18,18,5,hjin***예매자,2020.07.03,조회 15,"공감 1
공감하기",뤼쥐,하 너무 듣고 싶습니다 엠마가 부르는 뤼쥐
19,19,5,hjin***예매자,2020.07.03,조회 7,"공감 0
공감하기",제발 코로나 끝나고 다시 와주세요 다들 그대로,제발 커튼콜 가능한 리지도 금방 다시 만나요 오기만 해줘요
20,20,5,iamkayou***예매자,2020.07.03,조회 11,"공감 0
공감하기",뮤지컬 리지 볼 수 있어 행복했습니다,언니페어 막공이어서 그런지 다들 목상태는 안좋은 듯 했지만 마지막이라 더 열심히 하시는 듯 했습니다 시국이 이런지라 막공까지 커튼콜에서 함께 소리지르고 호흡하진 못했지만 배우님들도 관객들 마음을 느끼셨을 듯 합니다 여성배우들만 나오는 뮤지컬을 올리기까지 많은 어려움도 있으셨겠지만 리지를 만날 수 있어 정말 좋았습니다 앵콜이나 재연으로 돌아오신다면 불필요한 디테일은 줄여주셨으면 좋겠고 꼭 전캐스트 그대로 다시 만날 수 있음 좋겠습니다
21,21,5,cgyc***예매자,2020.07.02,조회 6,"공감 0
공감하기",너무 좋았어요,아름다운 무대가 특히 기억에 남아요 너무 좋았습니다
22,22,5,vicl***예매자,2020.07.02,조회 19,"공감 0
공감하기",리지 꼭,다시 올라 오시오
23,23,5,vicl***예매자,2020.07.02,조회 19,"공감 0
공감하기",리지,다시 올라오길 꼭 바랍니다
24,24,5,eunhwi***예매자,2020.07.01,조회 7,"공감 0
공감하기",앵콜주세요,이렇게 보낼 수는 없어요앵콜 주세요
25,25,5,lsy021***예매자,2020.07.01,조회 17,"공감 0
공감하기",다음에 온다면 최대한 일찍,가격이 부담되어 미루고 미루다가 막공달에 봤는데 후회하면서 나왔어요 왜 이제봤나  이걸 제일 먼저 봤어야 했는데 커튼콜 너무 신나는데 소리치지를 못해서 서러웠어요 핏줄터지게 박수치고 나왔습니다 배우님들 성량으로 천장 부수겠더라고요 정말 재밌었고 강렬했던 공연이었습니다 빨리 돌아와줬으면 좋겠어요 한여름에 보고 싶은 무대였음
26,26,5,dustn4***예매자,2020.06.30,조회 5,"공감 0
공감하기",리지 ,끝이라니  다시올거죠
27,27,5,dustn4***예매자,2020.06.30,조회 6,"공감 0
공감하기",계속 무대에서 볼 수 있길,코로나만 끝나면  더 신나게 즐겨요 
28,28,5,dustn4***예매자,2020.06.30,조회 5,"공감 0
공감하기",다시 보고싶어요,매년 올라오길 
29,29,5,Rha***예매자,2020.06.30,조회 4,"공감 0
공감하기",안녕 리지 ,꼭 다시 돌아와 조 
