index,Rating,Id,Date,views,like,title,text
0,5,lovely***,2014.05.14,조회 389,"공감 3
공감하기",베스트 삶의 ''윤활유' '가 되어준 그리스♥,대니와 샌디의 귀여운 사랑 이야기와 각각의 남자 여자친구들의 솔직발랄 앙큼한 발칙함까지 고등학생들의 이야기라 미국의 하이틴 영화를 생생하게 보는 듯한 느낌이 들었어요 오글거리 고 유치한 부분도 그들만의 즐거운 파티 느낌으로 즐겁게 승화시켜서 부담이 없었어요 유명한 넘버를 들으며 저도 모르게 따라 불렀네요 특히 엉덩이춤과 주크박스 신이 가장 기억에 남네 요정말 반가웠던 뮤지컬 그리스 이름처럼 삶의 윤활유가 되어주었어요
1,5,tae***예매자,2015.01.18,조회 35,"공감 0
공감하기",또 보고 싶은.,즐겁게 보고 갑니다
2,5,rgtt***예매자,2015.01.15,조회 82,"공감 1
공감하기",그리스,너무 좋아용
3,5,aha4***,2015.01.02,조회 136,"공감 0
공감하기",최고의 공연이었습니다.,그리고 모두 수고하셨습니다 여운이 가시질 않아 뮤지컬 그리스를 찾아보다가 여기 글을 남기네요 다음엔 꼭 한 번 정면에서 보고 싶습니다 미닫이 옆이 아닌 잊지 못할 추억이 될 것 같습니다 모두 새해 복 많이 받으세 요상수 크루2
4,5,gmlwns9***예매자,2014.12.09,조회 145,"공감 0
공감하기",재밌었어요!!!,그리스 꼭 보고 싶었던 작품이었는데 너무 너무 자밌게 봤습니당
5,4,pooheu***예매자,2014.12.09,조회 116,"공감 0
공감하기",생생함이 넘쳐나요~~,너무 본지 오래됐지만 넘넘잼 났어요 눈을 뗄 수 없고 계속 신나요 그리고 엉덩이를 잊을 수 없네요 어쨌든 나무 재밌는 공연이었어용
6,5,yum***예매자,2014.12.03,조회 117,"공감 0
공감하기",세 번째 관람~,그리스만 세 번째 관람이였는데 소극장에서 하니 더 잘 보이고 좋았어요 그리스는 봐도 봐도 재미있네요
7,5,***예매자,2014.11.19,조회 69,"공감 0
공감하기",그리스 ㅋㅋㅋ,연기학원에서 그리스를 해봐서 느낌을 알고 봤기 때문에 더 쉽고 이해가 잘 되었다 무엇보다 내가 보는 입장이 되어보니까 매우 재밌는 작품인 것 같다
8,4,liebe***예매자,2014.11.14,조회 208,"공감 0
공감하기",너무 활기찬 공연이었어요.,지난번 시카고 공연을 2층 석에서 보았던 탓에 이번에는 기필코 앞자리를 사수하겠다는 마음으로 조기 예매를 했습니다 다행히 중앙 2열에서 보게 된 공연 배우들의 표정 하나하나 땀방울 하나하나까지 보일 정도로 가까운 거리였어요 덕분에 공연에 아주 몰입할 수 있었고 배우들의 열정이 고스란히 느껴져 감동받았습니다 역시 공연은 앞좌석이 좋아요
9,3,tngus0***예매자,2014.10.31,조회 110,"공감 0
공감하기",뮤지컬 그리스,와우 처음부터 끝까지 계속 웃기만 했던 거 같은 뮤지컬 너무 재밋어요
10,5,abcha***예매자,2014.10.28,조회 80,"공감 0
공감하기",꼭 한 번 봐야 될 뮤지컬 그리스!,그리스는 정말 꼭 보고 싶었던 뮤지컬이였는데 학생이여서 돈도 없지만 그리스는 할인이 많이 되더라구요 그래서 부담 없이 관람할 수 있어서 너무 좋았구요 뮤지컬 배우님들 연기력도 다들 너무 좋으시고 어느 한 분 빠지는 분이 없으시더라구 요목소리도 너무 좋고 노래도 다들 잘 하시고 부럽습니다 약 2시간 동안 정말 즐거운 분위기에 푹 빠져서 봤어요 여주와 남주의 달달한 모습도 좋고 춤추는 것도 좋고 진짜 스트레스 잘 풀었어요 다음에도 또 보고 싶어요
11,3,orchi***예매자,2014.10.28,조회 135,"공감 0
공감하기",그냥,그냥 생각보단
12,2,***예매자,2014.10.26,조회 210,"공감 0
공감하기",뮤지컬 그리스,젊은 신인들의 뮤지컬을 본 거 오랜만이라 기대가 나무컸나 봅니다 열심히는 하는데 뭔가 채워지지 않는 1%가 아쉬운 무대였습니다
13,5,chd***예매자,2014.10.24,조회 58,"공감 0
공감하기",♡ ♡♡,지방공연도 기대
14,5,alaal***예매자,2014.10.22,조회 112,"공감 0
공감하기",정말 재미 최고,귀에 익숙한 노래들 그리고 배우들의 위트 있는 연기력 시간 가는 줄 모르고 봤어요
15,5,chd***예매자,2014.10.21,조회 69,"공감 0
공감하기",그리스 짱짱맨 ♡ ♡♡,막공까지 고생하셨습니다 지방공연까지 파이팅
17,3,ai***예매자,2014.10.20,조회 176,"공감 0
공감하기",,내용
18,5,ohsora***예매자,2014.10.20,조회 136,"공감 0
공감하기",처음 본 순간,저는 태어나서 뮤지컬이라는 거를 처음 보았는데 정말 재미있게 봤습니다 항상 뮤지컬 보고 싶다보고 싶다라는 생각만 하다가 친구를 통해서 보러 갔지만 돈이 전혀 아깝지도 않고 한 배우 엉덩이도 보고 웃고 또 마지막에 멋진 몸을 봐서 눈 호강도 하고 이힛 정말 즐거웠습니다
19,5,dmsl1***예매자,2014.10.20,조회 167,"공감 0
공감하기",그리스는 진리다!!,그리스는 진리다 서울 마지막 공연이였는데 우와 앞으로의 순회공연도 화이팅
20,3,ddoli0***예매자,2014.10.20,조회 114,"공감 0
공감하기",신나는 뮤지컬 그리스,멋진 댄스와 음악이 어우러져서 신나고 유쾌한 뮤지컬이었습니다 극중 재밌는 장면도 많고 즐겁게 봤습니다
21,4,joy***예매자,2014.10.20,조회 59,"공감 0
공감하기",눈과 귀가 즐거운 시간!,보는 내내 지루함 없이 즐겁게 잘 봤습니다 다만 초등학생이 보기에는 무리일 것 같네요
22,5,qhfkal***예매자,2014.10.20,조회 102,"공감 0
공감하기",뮤지컬 그리스 관람 후기!!,예전부터 대학로 공연을 보러 다니면서 지나가는 길에 포스터만 &48419;었는데 마지막 공연이라는 말에 바로 예매해서 보러 갔어요 워낙 유명한 작품이다 보니 내용은 이미 어느 정도 알고 있었지만 역시 상상 이상의 즐거움이었습니다 배우 분들도 한 분 한 분 역할 하나하나 최선을 다해주셔서 더 재밌었구요 다시 서울에서 공연하게 되며 또 보러 가고 싶어요 다들 수고하셨습니다
23,4,deargr***예매자,2014.10.20,조회 103,"공감 0
공감하기",재미있었어요,마지막 공연 좋았습니다
24,4,gowo***예매자,2014.10.20,조회 174,"공감 0
공감하기",열정~,배우님들의 열정이 그대로 느껴지는 공연이었습니다
25,5,J5***예매자,2014.10.18,조회 57,"공감 0
공감하기",완전 신나요~ 라이브 후기,젊음의 열정이 느껴지는 최고의 뮤지컬이었어요 넘신나고 행복해졌어요
26,5,***예매자,2014.10.18,조회 45,"공감 0
공감하기",완전 신나요~,맨 앞자리에서 배우들 얼굴 볼 수 있는 곳에서 봤답니 다 너무 재미있고 신나는 공연이었습니다 배우들의 열정을 만나볼 수 있답니다앤딩 부분 넘좋았습니다 사랑하는 사람에게 새로운 모습을 보여주는 샌디의 모습에 약간의 감동이 놓칠 수 없는 공연입니다
27,4,pc***예매자,2014.10.18,조회 71,"공감 0
공감하기",괜찮았어요,어셔들 불쌍어이없는 메뚜기들 보기 싫었어요극은 좋았어요 잘생특히 컷콜에 미친 듯이 논듯
28,4,lee970***예매자,2014.10.17,조회 121,"공감 0
공감하기",팝스타 그리스~!!!!,이번에 대학로에 있는 유니플러스에서 보았는데요일단 재미있네요 그니깐 2층에 좌석을 예매했는데 무대가 바로 앞에 있는 것처럼 느껴지구요스토리도 재미있습니다간단히 말하자면 한 뮤지컬 학원에서 여러 학생들이 노래와 춤을 배우는 스토리입니다 이런 것은 아마도 학생들 위주인 뮤지컬 같습니다 물론 다 좋은 것은 아니였습니다 뮤지컬을 보는 동안 갈등이 생기는 듯하더니 갑작스럽게 갈등이 그냥 해결되네요 그니깐 갈등 해결 과정이 확 지나간 느낌입니다뭐 그래도 개그나 재미 때문에 추천하고 싶네요
29,5,hyeiyeo***예매자,2014.10.17,조회 183,"공감 0
공감하기",진짜 꿀잼!!,뮤지컬 그리스를 본 게막공마지막 주였다진짜 마지막만 아니면 다시 또 보러 갈 텐데 아쉽다진짜 내용은 재미있다고 등 학생들의 모습을 잘 표현했다 항상 진지한 것만 보다가보는 내내 웃을 수 있는 뮤지컬을 봐서 기분이 좋았다 공연장 안에는 연령대가 다양하게 있었다 나중에 부모님과 같이 와도 좋을 것 같다
30,5,lady0***예매자,2014.10.17,조회 93,"공감 0
공감하기",너무 흥겨운 무대,그동안 쌓였던 스트레스 한 번에 해소하는 즐겁고 유쾌한 뮤지컬 두 번째 보는 뮤지컬임에도 너무 흥겨워 마구마구 소리지른 즐거운 시간이었습니다 연기자들의 공연과 노래가 참 잘 어울리더군 요누구와 함께 가도 실패하지 않는 아이템 뮤지컬 그리스입니다
31,5,***예매자,2014.10.16,조회 87,"공감 1
공감하기",너무 너무 재밌고 또 보고 싶고 노래가 중독성 있는 뮤지컬!!,너무 재밌고 보고 또 봐도 질리지 않는 뮤지컬 노래도 1주가 지나도 계속 생각이 나서 중독성
33,5,***예매자,2014.10.16,조회 30,"공감 0
공감하기",너무 너무 중독성 있는 뮤지컬!!!!,제가 1번 이미 봤는데 계속 보고 또 보고 싶은 뮤지컬이에요 말 그대로 강력 추천
34,4,SS***예매자,2014.10.16,조회 79,"공감 1
공감하기",팔짝팔짝,생동감이철철철 10살 된 조카가 펄쩍 펄쩍 뛰며 좋아하던 그 모습이
35,4,kjn2***예매자,2014.10.16,조회 63,"공감 0
공감하기",젊음의 열기가 느껴지는 무대였어요,젊은 배우들의 노래와 춤이 참흥겨웠습니다 다만 중학생 딸아이와 같이 보기에는 줄거리가 조금 불편한 내용이었어요 고등학교 남여학생들이 사고치는 내용이 유쾌하게 그려지는 줄거리는 아직까지는 우리 정서에 썩 맞지는 않는 것 같아요 20대 이상의 청소년들이라면 즐길 수 있는 무대인 것 같습니다 배우들의 열정이 참 보기 좋았습니다 인터파크 예매 표 교환소의 여직원 두 명의 불친절함과 융통성 없는 태도에 짜증이 하늘까지 치솟아서 상당히 안 좋은 컨디션이었지만 뮤지컬을 보고 나서 좋아진 걸 보니 수많은 공연을 통해 인정받은 무대와 배우들의 열정이 전달되어 유쾌한 무대였던 것 같아요
36,3,leel***예매자,2014.10.16,조회 137,"공감 0
공감하기",좋아요 라이브 후기,가볍게 보기 좋은 공연이네요
37,5,purejiy***예매자,2014.10.15,조회 101,"공감 0
공감하기",신나고 재미있는 공연!!,예전에도 본 적이 있는 공연이지만 재미있었던 기억에 다시 한 번 보게 된 그리스 역시나 실망시키지 않았다 공연 내내 시간 가는 줄 모르고 신나는 춤과 노래에 빠져들었던 시간 오랫만에 대학로 나들이도 기분 좋았고 여러모로 만족스러웠던 공연
38,4,leej***예매자,2014.10.14,조회 54,"공감 0
공감하기",추천드려 요~,처음에는 춤이 어색해 보였지만 재치 있는 대사와 연기에 후반에는 몰입해서 봤네요 특히 샌디 역할에 최서연 씨였는데 목소리며 노래며 최고였어요 발음도 정확하게 하셔서 귀에 쏙쏙 들어와 더 집중해서 볼 수 있었어요
39,5,sjfj***예매자,2014.10.14,조회 206,"공감 0
공감하기",그리스 후기,역시 쇼뮤지컬이라서 재밌었다 추천
40,4,csed***예매자,2014.10.13,조회 135,"공감 0
공감하기",일반 뮤지컬과는 좀 다른 느낌,일반적인 뮤지컬보다는 대사가 많은 것 같아요 유쾌한 뮤지컬 역동적인 춤이 짱배우 분들 멋지고 아름다우심
41,2,ggomat***예매자,2014.10.13,조회 115,"공감 0
공감하기",ㅋㅋㅋㅋ,대니 역할 배우랑 여조연 배우 들 빼고는 볼 게 없네요 대니 친구들 노래도 연기도 너무 못해 요춤은 잘 추지만 이래저래 아쉽네요
42,4,k***예매자,2014.10.13,조회 54,"공감 0
공감하기",그리스,노래도 좋고 춤도 신나고 즐겁고 재밌게 봤어요
