index,Rating,Id,Date,views,like,title,text
0,5,dhdmsquf***예매자,2021.08.26,조회 45,"공감 0
공감하기",렌트는 사랑입니다,여러분 렌트하세 요 렌트는 사랑입니다
1,5,jslee3***예매자,2021.02.15,조회 43,"공감 0
공감하기",또 보고파요,내용
8,5,jslee3***예매자,2021.02.15,조회 12,"공감 0
공감하기",렌트ㅠㅠㅠㅠ,또 보고 싶네요
23,5,ramki***예매자,2020.12.08,조회 23,"공감 1
공감하기",꺼져가던 내 2020년의 candle에 light를 켜준 작품,렌트 내 2020년에 다시 한 번 불 좀 붙여줄래 너무 그리워요
29,5,ramki***예매자,2020.12.08,조회 7,"공감 0
공감하기",꺼져가던 내 2020년의 candle에 light를 켜준 작품,렌트 내 2020년에 다시 불 좀 붙여줄래 너무 그리워요
43,5,kchi***예매자,2020.11.02,조회 10,"공감 0
공감하기",렌트,25000분의 시간 어려운 시기 공연을 준비하고 보여준 배우들에게 박수를 보냅니다
44,5,lad***예매자,2020.11.02,조회 8,"공감 0
공감하기",렌트,사랑을 노래해요
45,5,gmldnjs1***예매자,2020.10.22,조회 12,"공감 0
공감하기",렌트는 언제나!,렌트는 언제나 옳다 사랑과 삶 그리고 그 안에 눈물과 웃음 뭐 하나 부족하지 않았다
46,5,sungr***예매자,2020.10.19,조회 22,"공감 0
공감하기",코로나 때문에 종영...,네 번째 공연 예매했는데 너무 아쉬웠어요 잶콜린호영 엔젤수하미미 아이비미미지 후로 저종혁로 저다보고 싶을 거예요
49,5,imyourgi***예매자,2020.10.19,조회 14,"공감 0
공감하기",너무 좋았어요,최고입니다
51,5,engle131***예매자,2020.10.01,조회 11,"공감 0
공감하기",너무 좋아요,배우님들 연기에 숨이 멎는 줄 알았어요 넘버도 귀에 감기고 너무 좋아요
54,4,rika0***예매자,2020.09.28,조회 9,"공감 0
공감하기",너무 재밌었어용,잊지 못할 한여름의 겨울 노래
55,5,puff***예매자,2020.09.26,조회 8,"공감 0
공감하기",너무 재밌었어요,넘버 너무 좋습니다
56,5,rhkr0***예매자,2020.09.21,조회 12,"공감 0
공감하기",재밌어요,재밌어요
57,5,yuri***,2020.09.07,조회 30,"공감 0
공감하기",결국 막공이 사라졌네요,너무 아쉽고 슬프지만 곧 머지않아 만날 수 있기를 기대합니다
58,5,mymythol***,2020.09.07,조회 22,"공감 0
공감하기",노데이벗투데이,막공이었는데 취소되서 너무 아쉬워요
59,5,cka0***예매자,2020.09.06,조회 21,"공감 0
공감하기",너무 신나고 즐거운 공연!!!,배우 분들이 너무 예쁘고 멋있었어요 사랑에는 경계가 없고 음악도 너무 훌륭했습니다
63,5,dmstj0***예매자,2020.09.05,조회 27,"공감 0
공감하기",오직 오늘뿐,오직 오늘뿐
64,5,tndus5***예매자,2020.09.04,조회 18,"공감 0
공감하기",너무 재미있어요~!,이 페어막공이 이날 일줄 알았으면 조금 더 집중해서 봤을 텐데 보는 내내 행복하고 즐거웠지만 계속 허전하구 아쉬움만 남네 요렌트 꼭 다시 올 수 있었으면 좋겠어요
65,5,vDo***예매자,2020.09.03,조회 10,"공감 0
공감하기",오직 오늘뿐,오직 오늘 뿐이라는 멜로디를 메시지를 언제나 기억할게요
66,5,vDo***예매자,2020.09.03,조회 15,"공감 0
공감하기",최고의 공연,렌트의 정신으로 살아갈 수 있게 만드는 공연
