index,Rating,Id,Date,views,like,title,text
0,5,leah1***예매자,2022.12.12,조회 1139,"공감 3
공감하기",베스트 업그레이드된 연기와 탭댄스.. 빠져듭니다!!,34년 전 관람하고 재관람으로 선택한 공연인데요 다시 본 저도 만족이지만 함께 간 지인들이 정말 재미있다며 강추하더라구요 희망적인 메시지에 각 배우들이 찰떡같이 배역을 소화하는 데다 실제 1930년대에 유행했을 만한 쇼뮤지컬의 모습을 업그레이드해서 보여주는 탭댄스까지 눈이 호강하는 느낌입니다 제 기억으로는 지난 공연보다 코믹한 대사가 늘어나고 의상과 무대 장치가 세련되진 것 같아요 첫 관람이었던 지인들은 화려한 볼거리와 무대공연으로 스트레스가 해소되는 기분이었다고 하더군 요오랜만의 뮤지컬 관람으로 좋은 시간 되었습니다
1,5,a93994***예매자,2023.02.13,조회 18,"공감 0
공감하기",진짜 화려한 쇼!!,포스터처럼 무대도 반짝반짝하고 탭댄스가 진짜 얼마나 노력했을지가 보이는 무대였습니다
2,5,nj***예매자,2023.02.12,조회 17,"공감 0
공감하기",업그레이드 된 42번가 !!,예전엔 별로 안 좋했었는데 이번 거는 무대가 화려하고 신났어 요입문작으로 강추입니다
3,5,gkdud970***예매자,2023.02.10,조회 16,"공감 0
공감하기",새해 첫날,새해 첫 공연을 브로드웨이로 시작 너무 재밋 엇어요
4,5,boo***예매자,2023.02.07,조회 29,"공감 0
공감하기",엄청난 탭댄스와 그들의 노력이 있었다.,브로드웨이와 웨사스 중 고민하다가 탭댄스 하나로 브로드웨이를 선택했습니다 평소에 탭댄스를 볼 기회도 없었고 또 관심 있는 분야도 아니었고 잘하면 얼마나 잘 하나 하는 심정으로 보러 갔다가 금방 어리석은 생각이라는 것을 알게 되었습니다춤과 노래 그리고 그들의 연기만으로도 충분히 즐기고 올 수 있었고 그 노력이 대단하다고 생각하는데 그들의 화려하고 대단한 탭댄스는 그 노고를 더욱 생각하게 하는 것 같아요 이번 공연 솔직히 기대하지 않은 상태로 봐서 그랬는지 엄청 재밌었고 관객들과의 티키타카가 너무 좋았습니다오랜만에 또 고3 수험생의 첫 공연으로 선택한 저는 후회 없고 뿌듯하게 보고 왔습니다다음 공연은 제가 성인이면 오게 될 텐데 그때는 정말 여러 번 볼 생각입니다
5,5,jh8***예매자,2023.02.06,조회 17,"공감 0
공감하기",이주순짱,이주순 최고
6,5,ajtdlTsm***예매자,2023.02.05,조회 14,"공감 0
공감하기",진짜짱,탭댄스와 노래 모든 것이 잘 어울러졌습니다
7,5,eunj***예매자,2023.02.05,조회 14,"공감 0
공감하기",재관람햇어요,남편과 본 후 친정 엄마 예매 드렸어요
8,3,phili***예매자,2023.02.05,조회 27,"공감 0
공감하기",뮤지컬 입문작으로 탁월,가벼운 소재 대극장 기준 상대적 저렴한 표값 신나는 탭향연 눈요기하며 뮤지컬 입문하기 좋아요
9,5,sm821***예매자,2023.02.04,조회 14,"공감 0
공감하기",결기 10주년,신랑과 첨으로 뮤지컬 관람했네요 신랑이 너무 신나고 재미있다고 좋아했어요 탭댄스 배우고 싶은 마음까지 들었습니다 한 분 한 분 정말 대단하신 것 같고 너무 멋있어요
10,5,gowjd0***예매자,2023.02.01,조회 15,"공감 0
공감하기",N차 관람이 가능한 뮤지컬,정말 배우들의 노력과 열정이 느껴지는 뮤지컬 너무 신 나서 차 관람해도 지겹지 않을 듯한 공연입니다
11,5,aquate***예매자,2023.01.31,조회 19,"공감 0
공감하기",대학 동기들과 봤어요,졸업한 지 12년 만에 대학 동기들과 만나서 공연 봤어요 오랜만에 모여서 좋았는데 좋은 공연까지 보니까 뜻깊은 시간이 이었습니다 배우들 연기도 너무 열정적이고 공연보는 내내 신나고 행복했습니다 3명이 보면 할인율도 좋아서 저렴히 티켓을 사서 봤습니다
12,4,pislov***예매자,2023.01.30,조회 16,"공감 0
공감하기",눈과 귀가 호강하는..,말 그대로 <브로드웨이 42번가>였습니다
13,5,haley1***예매자,2023.01.30,조회 15,"공감 0
공감하기",탭댄스가 너무 멋있어요!,너무 잘 보고 나왔습니다
14,5,hyemi5***예매자,2023.01.30,조회 11,"공감 0
공감하기",허어어어어어어어,지방공연 보고 싶어요
15,5,leeyj1***예매자,2023.01.30,조회 10,"공감 0
공감하기",재밌네요,다음에 또 보고 싶은 작품이네 요 감사합니다
17,5,rhdqn2***예매자,2023.01.30,조회 10,"공감 0
공감하기",재밌어요,오슷 대본 집중계주세요
18,5,yeunch***예매자,2023.01.26,조회 14,"공감 0
공감하기",탭댄스의 잔상이 남는 공연,동생의 졸업식 이후 본 뮤지컬인데 자극적인 요소 하나 없이 마음 편하게 볼 수 있었습니다기회가 된다면 한번 더 보고 싶은 공연이네요
19,5,jylb***예매자,2023.01.25,조회 18,"공감 0
공감하기",연말연시 최고의 스윙댄스파티,워낙 익숙한 작품이 라 이번에는 이 캐스팅으로 어떤 공연을 할까 기대했는데 역시 무대 예술보다는 댄스 퍼포먼스에 큰 비중을 둔 작품인 듯합니다스윙팀 기대 이상이었는데 평일 저녁 공연이라 중장년층이 많았는데 다들 옛날 생각나시는지 들썩하시더만 요 가족들과 보기 좋은 연말연시 공연입니다
20,5,idton***예매자,2023.01.25,조회 16,"공감 0
공감하기",여러 번 봐도 질리지 않네요,지난 시즌 보고 이번에도 보는데 역시나 재밌네요역이 앙상블님들 최고
21,5,wldus6***예매자,2023.01.24,조회 17,"공감 0
공감하기",갓상블들 최고!,진짜 모두가 다 연기도 노래 잘하지만 이 작품의 주인공은 갓상블이라도 생각해 요 진짜 현란한 탭댄스 미침
22,5,jhk2***예매자,2023.01.23,조회 11,"공감 0
공감하기",나는 행복하다,고로 존재한다
23,5,canaria***예매자,2023.01.23,조회 11,"공감 0
공감하기",다음에 한 번 더,군무와 탭댄스 다음에 한 번 더 제대로 보고 싶어요
24,5,kwi***예매자,2023.01.23,조회 13,"공감 0
공감하기",꾸준히 올라오는 공연에는 이유가 있는 법,꾸준히 올라오는 공연에는 이유가 있는 법
25,5,lhk080***예매자,2023.01.23,조회 10,"공감 0
공감하기",신나는 탭댄스!!,정말 피나는 연습을 하셨을 것 같아요 멋진 무대와 경쾌한 리듬 최고예요
26,3,junyuj***예매자,2023.01.23,조회 24,"공감 0
공감하기",쇼뮤지컬,연초 분위기나 고신나는 극그러나 머글 분들이 많아서 역대 극관 크 겪어서 많이 아쉬웠음
27,5,dlw***예매자,2023.01.23,조회 10,"공감 0
공감하기",브로드웨이 42번가,신나게 잘 즐기다 왔습니다
