,rating,id,date,views,like,title,text
0,5,qkrasd1***예매자,2022.07.25,조회 11,"공감 0
공감하기",빈센트 반 고흐,재밌었습니다
1,5,qkrasd1***예매자,2022.07.25,조회 9,"공감 0
공감하기",고흐,좋았습니다의 자도 편안해서 재밌게 봤습니다
2,5,ghdwl0***예매자,2022.07.18,조회 6,"공감 0
공감하기",재밌어요,재밌어요
3,5,asdw961***예매자,2022.07.18,조회 4,"공감 0
공감하기",고흐,고갱님 고흐다시와 줄 거라고 믿어요
4,5,tnals1***예매자,2022.07.11,조회 4,"공감 0
공감하기",프롬빈센트,저는 당신이 행복했으면 좋겠어요
5,5,lth7***예매자,2022.07.11,조회 13,"공감 0
공감하기",강추,강추
6,5,angergir***예매자,2022.07.11,조회 4,"공감 0
공감하기",좋은 공연이었어요,즐겁고 행복하게 봤습니다 감사합니다
7,5,rom***예매자,2022.07.11,조회 4,"공감 0
공감하기",최고였어요,마지막까지 너무 멋있는 공연이 았어요
8,5,g19321***예매자,2022.07.11,조회 2,"공감 0
공감하기",감동적이고 아름다운 뮤지컬,감동적이고 아름다운 뮤지컬
9,5,qtj***예매자,2022.07.07,조회 13,"공감 0
공감하기",김경수 배우님고흐는 최고,연기 너무 잘 하시고 노래도 너무 잘하세요
10,5,ahnmy***예매자,2022.07.04,조회 13,"공감 0
공감하기",배우들의 섬세한 감정 연기가 돋보여요,제가 보던 뮤지컬 중에서 강력하게 추천하는 뮤지컬 중 하나입니다 배우들의 섬세한 연기력에 감탄을 하면서 보게 됩니다 이극은 2인극이라서 무대 위를 2명의 배우가 채우는데 2명의 배우가 넓은 무대를 꽉 채워주십니다 김경수 배우님은 정말 반고흐 그 자체라고 해도 될 정도로 연기를 너무 잘해주셔서 보는 제가 손을 꼭 모으고 보게 됩니다 동생 테오 역을 맡으신 황순종 배우도 아픈 모습과 다양한 여러 가지 역까지 완벽하게 보여주셔서 만족하면서 관극을 할 수 있었습니다 그리고 고흐의 또 다른 포인트는 영상미라고 생각합니다고 흐의 작품들을 다양한 시각화를 통해서 볼 수 있는데 이 극의 묘미라고 생각합니다
11,5,lq10***예매자,2022.07.04,조회 10,"공감 0
공감하기",가지마,가지 말라고 날 두고 가면 난 죽어버릴 거야
12,5,alstj***예매자,2022.07.04,조회 2,"공감 0
공감하기",영상미가 뛰어난 뮤지컬,뮤지컬이 무슨 영상미가 뛰어나겠냐 싶겠지만 정말 엄청난 영상들이 무대 위로 펼쳐져서 순간 압도 당하는 기분입니다 영상에 맞추어 배우 분들이 연기하시는 게 굉장히 인상 깊었습니다
13,5,wldnjs0***예매자,2022.07.04,조회 10,"공감 0
공감하기",나의 사람하는 페어덕밍,고흐를 처음 알게 된 날 4월 1일 벌써 6월 거의 매주 가서 봤던 내가 사랑하는 작품 그 중에서도 가장 좋아했던 페어덕밍이 둘은 그냥 형제다형제 연기가 아니라 진자형제인 듯 너무 좋았다 다른 페어들도 사랑하지만 이 페어는 진짜 매년 와줬으면 좋겠다 박유덕 배우님 황민수 배우님 화이팅
14,5,lubss***예매자,2022.07.04,조회 1,"공감 0
공감하기",화가,화가가 아닌 빈센트라는 사람에 대해 생각하게 되는 작품입니다
15,5,jyw5***예매자,2022.07.04,조회 5,"공감 0
공감하기",시작할 때 나왔던 곡이,마지막에 리프라이즈되는 게 좋았어요 같은 노래인데 빈센트 반 고흐의 일생을 보고 다시 들으니 느낌이 새로웠습니다
16,5,hyunseo***예매자,2022.07.04,조회 1,"공감 0
공감하기",정말 사랑했다,고흐만의 넘버 분위기를 사랑했구 김빈센트 반 고흐 경수를 사랑했다
17,5,leejk2***예매자,2022.07.04,조회 1,"공감 0
공감하기",너무 좋아요,넘버들도 다 너무 좋고 배우님들 연기도 미쳤어요
18,5,jiyus***예매자,2022.07.04,조회 2,"공감 0
공감하기",프롬빈센트 반 고흐,충동적으로 긁은 표였는데 너무 만족스럽게 봤다 긴 러닝타임에 고흐 배우가 갈려나가는 걸 실시간으로 보지만 밀밭에서 해방된 듯한 후련함이 담긴 연기에 나만이 극장에 덩그러니 남아 있는 쓸쓸함을 느꼈다 총성 후에 행복해 보인 채 나오는 반 고흐형제를 어찌하면 좋으냐
19,5,yuuki1***예매자,2022.07.04,조회 1,"공감 0
공감하기",정말 좋았어요,평소 빈센트를 좋아하지만 극을 보고 테오 같은 사람이 되고 싶다 생각했습니다
20,5,leejk2***예매자,2022.07.04,조회 1,"공감 0
공감하기",너무 재밌어요,저는 지금까지 대극장 음향 빵빵 웅장한 극이 제취향인 줄 알았는데 고흐고 흐를 알고 난 후 아니라는 걸 깨달았어요 너무 좋은 극이에요 넘버들도 다 너무 좋고 얼른 돌아와 주세요
21,4,clamp***예매자,2022.07.04,조회 2,"공감 0
공감하기",잘 봤어요,잘 봤어요
22,5,leejk2***예매자,2022.07.04,조회 1,"공감 0
공감하기",고흐짱,궁금해서 보러 갔다가 그대로 남은 티켓되는 대로 다잡아버린 사람 나야나 너무 늦게 알아서 아쉬워요전 캐 못 돌아서 너무 아쉬운 극
23,5,rom***예매자,2022.07.04,조회 1,"공감 0
공감하기",굿바이고흐,이번 시즌도 너무 행복했어요
24,5,brendal***예매자,2022.07.04,조회 1,"공감 0
공감하기",고흐를 좋아하면 꼭 보세요,무대 연출도 예뻐요
25,5,s2j***예매자,2022.07.04,조회 1,"공감 0
공감하기",고흐보고 싶어요,얼른 다시 해주세요
26,5,qhqlsd***예매자,2022.07.04,조회 1,"공감 0
공감하기",고흐빨리 돌아와 주세요,전 아직 오베르에 살아요
27,5,junk1***예매자,2022.07.03,조회 1,"공감 0
공감하기",잘 봤습니다,잘 가요
28,5,gudtjan***예매자,2022.07.02,조회 15,"공감 0
공감하기",테오야 선물이다,승테오 최고형을 위하는 마음이 너무 감동적이었어요
29,5,gudtjan***예매자,2022.07.02,조회 9,"공감 0
공감하기",윤승우 베우님,윤승우 배우님이 연기하는 테 오 너무 좋았어요
30,4,ide***예매자,2022.07.01,조회 7,"공감 0
공감하기",계속 생각남,그림채워지는 게 예쁘고 넘버가 은근히 중독성 있다 그리고 볼수록 1인 다역하시는 테오 배우님께 감겨들게 됨 그림자 이용한 연기도 좋았다
31,5,llchocc***예매자,2022.07.01,조회 3,"공감 0
공감하기",빈센트 반 고흐,빈센트 반 고흐
32,5,signoc***예매자,2022.07.01,조회 2,"공감 0
공감하기",기억에 남는 공연이었습니다,좋은 공연감사합니다
33,5,0815***예매자,2022.06.30,조회 1,"공감 0
공감하기",빈센트 반 고흐,기억해줘 빈센트 반 고흐를
34,4,x24***예매자,2022.06.30,조회 0,"공감 0
공감하기",재미있어요,내용
35,5,sim9***예매자,2022.06.29,조회 1,"공감 0
공감하기",세미막,세미막으로 뮤지컬 빈센트 반 고흐를 떠나보냈네요 이번 시즌 마지막이라는 마음에 아쉬움이 가득했습니다 가능하다면 지방공연도 너무 보고 싶네요
36,4,sourire***예매자,2022.06.27,조회 2,"공감 0
공감하기",빈센트 반 고흐,고흐의 일생을 느낄 수 있어 좋았습니다
37,5,nyj030***예매자,2022.06.27,조회 1,"공감 0
공감하기",오베르에서의 마지막 밤,아름다운 형제들의 이야기로 물들었던 나의 3개월 형의 마지막을 그의 그림을 어떻게든 알리고자 했던 테오와 그를 믿고 마음껏 그림을 그리고 살았던 빈센트 모든 대사 한마디 한 마디가 가슴 깊게 들어왔던 공연이 제영원히 오베르에 함께 있는 두 형제에게 감사하다는 말과 지금의 당신들은 생각보다 더 위대한 사람이라고 전해주고 싶다
38,5,170***예매자,2022.06.27,조회 1,"공감 0
공감하기",좋아요,좋아요
39,5,mi1k***예매자,2022.06.27,조회 1,"공감 0
공감하기",다음 시즌을 기다립니다,이번 시즌 너무 좋았어요이 멤버 그대로 다음에 또 만날 수 있으면 좋겠습니다
40,5,kbemkls***예매자,2022.06.27,조회 1,"공감 0
공감하기",마음에 남는 공연,마음속 깊이 오랫동안 남을 것 같아요 재미있게 봤습니다
41,5,shdalk***예매자,2022.06.27,조회 1,"공감 0
공감하기",너무 좋았습니다,다음에 오면 또 보고 싶을 정도로 너무 좋았습니다
42,5,liqui***예매자,2022.06.27,조회 1,"공감 0
공감하기",떠나보내는 오베르의 밤,무대 배경으로 수놓아진 고흐 작품들과 개의 눈물 넘버에서 꺼지는 미디어아트만으로도 고흐가 얼마나 처절하게 그림인생을 살았는지 느껴지는 작품 많은 편지를 주고받았다는 사실은 익히 알려진 점이지만 그 형제애를 가슴 울리게 표현해 준 배우님들 덕분에 촉촉한 위로가 되는 바람과 온 도달과 별의 하모니였어요 삭막한 주5일의 따뜻한 위로가 되어 주셔서 감사합니다
43,5,tjy9***예매자,2022.06.27,조회 1,"공감 0
공감하기",바람과 온도,바람과 온 도달과 별의 하모니 참 좋았다고 흐배우들의 연기도 참 좋았다 끝나서 아쉽다
44,5,kim382***예매자,2022.06.27,조회 8,"공감 0
공감하기",배우님들 연기가,공연 내내 감탄하면서 봤어요 배우님들 연기랑 노래가 너무 좋습니다
45,4,hyemi***예매자,2022.06.27,조회 9,"공감 0
공감하기",빈센트 반 고흐,빈센트 반 고흐
46,4,oks1***예매자,2022.06.27,조회 8,"공감 0
공감하기",추천,배우님들 연기가 너무 좋았습니다
47,5,kimny2***예매자,2022.06.27,조회 1,"공감 0
공감하기",바람과 온도,프롬빈센트 넘버가 제 눈물 버튼이에 요 첫 소절부터 울컥
48,5,kimjuyou***예매자,2022.06.27,조회 2,"공감 0
공감하기",나의 반 고흐,진짜 미술사 아시는 분들이 보시면 앞부분 은 행복하게 볼 수 있는데 눈물이 차오르는 예
49,5,***예매자,2022.06.27,조회 2,"공감 0
공감하기",잘 보내줬어요,황민수 박민성 배우님 막공 잘 보내줬습니다 3개월 동안 행복했어요
50,5,zza***예매자,2022.06.27,조회 2,"공감 0
공감하기",재밌어요,인생극입니다
51,5,grn***예매자,2022.06.27,조회 1,"공감 0
공감하기",아름다운 넘버와 그림,아름다운 넘버와 그림
52,5,rukaw***예매자,2022.06.27,조회 1,"공감 0
공감하기",최고,좋아 완벽해
53,5,dud6***예매자,2022.06.27,조회 2,"공감 0
공감하기",바람과 온 도달과 별의 하모니 모든,끝나지 않을 거 같은 빈센트 반 고흐가 오늘 끝났습니다 바람과 온도 넘버와 같이 등장하는 빈센가 벌써보고 싶네요 잊지 않겠습니다빈센트 반 고흐를 기억하겠습니다 빈센트 반 고흐를 보는 동안 넘행복했습니다금방 또 찾아 왓으면 좋겠습니다 배우님들 모두 수고하셨습니다
54,5,sha5***예매자,2022.06.27,조회 1,"공감 0
공감하기",슬퍼요,막공이라 그런지 혼신의 연기를 하신 듯 하네요 그래서 더 좋았습니다슬퍼서 많이 울고 나왔네요 얼른 다음 시즌 돌아오길 기다릴 게 여
55,5,jhyeyeo***예매자,2022.06.27,조회 1,"공감 0
공감하기",또 보고 싶어요,너무 좋았어요 또 보고 싶어요
56,5,guswjdrud***예매자,2022.06.27,조회 9,"공감 0
공감하기",빈센트의 인생을,알게 된 멋있는 뮤지컬
57,5,jhyeyeo***예매자,2022.06.27,조회 1,"공감 0
공감하기",짱이에요,노래 너무 좋아요
58,5,jhyeyeo***예매자,2022.06.27,조회 2,"공감 0
공감하기",재밌어요,최고의 뮤지컬
59,5,sil***예매자,2022.06.27,조회 2,"공감 0
공감하기",빈센트 반 고흐,울고 싶은 밀밭
60,5,rightwin***예매자,2022.06.27,조회 2,"공감 0
공감하기",좋았어요,재밌어요
61,5,pink***예매자,2022.06.27,조회 2,"공감 0
공감하기",재밌었어요,실존 인물 대상이라 어떨지 궁금했는데 너무 좋았어요 배우님들 연기도 최고
62,5,ran***예매자,2022.06.27,조회 1,"공감 0
공감하기",좋아요,좋아요
63,5,linda0***예매자,2022.06.27,조회 1,"공감 0
공감하기",너무 재밌어요,눈물줄 줄 흘리며 재밌게 보고 왔습니다
64,5,cotto***예매자,2022.06.27,조회 1,"공감 0
공감하기",영상미굿 연기굿,솔직히 못 사 없어야 하는데 막공은 해버렸음제발 또와 주실 거죠
65,4,ell***예매자,2022.06.27,조회 1,"공감 0
공감하기",재밌었어요,재밌었어요
66,5,blossom5***예매자,2022.06.27,조회 1,"공감 0
공감하기",넘버가 독특하고 좋아요,선우정 아님 특유의 분위기와 극이 정말 잘 어울렸어요
67,5,gahyun***예매자,2022.06.27,조회 1,"공감 0
공감하기",오베르의 밤,너무 잘 봤습니다 넘버도 너무 좋고 스토리도 좋아요
68,5,blossom5***예매자,2022.06.27,조회 1,"공감 0
공감하기",배우들의 연기 차력쇼,김경수 배우님 연기 진짜 잘해요
69,5,seyon0***예매자,2022.06.27,조회 1,"공감 0
공감하기",빈센트 반 고흐,고흐라는 인물이 어떤 삶을 살았는지 다시 한 번 생각해보게 되는 극이었습니다 감동이었어요
70,5,dada1***예매자,2022.06.27,조회 1,"공감 0
공감하기",박민성 빈센트,다음 시즌도 꼭꼭 해주세요제발
71,5,dbs8***예매자,2022.06.27,조회 1,"공감 0
공감하기",빈센트 반 고흐,굿바이고흐
72,5,dudrma1***예매자,2022.06.27,조회 1,"공감 0
공감하기",고흐보고 싶을 거예요,어서 돌아와요
73,5,whdgns0***예매자,2022.06.27,조회 1,"공감 0
공감하기",아름다웠습니다,배우들의 연기도 음악도 영상도 연출도 마지막 엔딩까지도
74,5,hans***예매자,2022.06.27,조회 1,"공감 0
공감하기",고흐를 좋아한다면 꼭 보세요,충무블랙에서는 처음 봤는데 영상이 정말 미쳤습니다
75,5,ejrdl***예매자,2022.06.27,조회 1,"공감 0
공감하기",바람과 온도별과 달의 하모니,테오넌 아마지긋지긋했겠지
76,5,ljh960***예매자,2022.06.27,조회 1,"공감 0
공감하기",빈센트 반 고흐,고흐와 함께하는 동안 너무 행복했어요 얼른 다시와 주실 거라 믿고 기다릴게요
77,5,corqkqh0***예매자,2022.06.27,조회 1,"공감 0
공감하기",벌써 막공,막공이라니 너무 슬프고 쥬고흐릉 다시 볼 수 있을까란 생각에 하염없이 눈물이 흘렀던 것 같아 요쥬고 흐세 달 동안 고생했고 행복했고 고마웠어요
78,5,trewqq***예매자,2022.06.27,조회 1,"공감 0
공감하기",가지마가지 말라고,날 두고 가면 난 미쳐버릴 거야 아아아아아원 앤온리저의 인생 극빈 센트 반 고흐그동안 볼 수 있어서 너무 행복했고 즐거웠습니다 보면 서울기도 많이 울고 함께 아파했지만 감동과 위로를 더 얻어갔네요 이런 갓극 올려주셔서 감사드립니다 빠른 시일 내로 또 볼 수 있었으면 좋겠어요
79,5,kujone2***예매자,2022.06.27,조회 1,"공감 0
공감하기",최고의 뮤지컬,이걸 왜 이제야 봤을까요 이렇게 대단한 극을 다음에도 이 페어가 꼭 왔으면 좋겠습니다
80,5,nabi***예매자,2022.06.27,조회 2,"공감 0
공감하기",아넘재밌어요,마지막으로 본 거라 넘아 쉽지만 다음을 기약합니다
81,5,sha10***예매자,2022.06.27,조회 1,"공감 0
공감하기",고흐,전보다 극장이 커져서 그런지 그림이 더 웅장하고 멋있게 다가오네요고흐의 일생에 대해 이렇게 알게 되어 좋았고 너무 감동적이었어 요 배우님께서 고흐의 인간적인 부분을 너무 잘 표현해 주신 거 같아요
82,5,mul***예매자,2022.06.27,조회 1,"공감 0
공감하기",고흐다시 돌아와,막공이라니 다시 돌아와 고흐고 흐흑테오야
83,5,pios***예매자,2022.06.27,조회 1,"공감 0
공감하기",고흐,넘버 진짜 좋아 요 배우 분들 연기 뭐 야 진심
84,4,avine***예매자,2022.06.27,조회 1,"공감 0
공감하기",잘 봤습니다,너무 감동적이네요고흐인생이 안타까웠습니다 무대도 너무 이쁘네요
