index,Rating,Id,Date,views,like,title,text
0,5,bit1***예매자,2021.11.01,조회 5731,"공감 20
공감하기",베스트 단숨에 인생 작품 등극,와 빌리 엘리어트 빌리 엘리어트 입소문이 애익히 들어 알고 있었고 어린 배우들이 대단하단 얘기도 듣긴 했지만 실제로 보고 듣는 것과는 천지 차이네 요 정말 올 한해 위키드부터 시작해 시카고라만차 하데스타운 등 등 쟁쟁한 작품들이 많았지만 제게 있어 올해의 뮤지컬은 단연코빌리 엘리어 트입니다 이제야 처음 봤다는 게 너무 아쉬우면서도 한편으론 처음 볼 때만 느낄 수 있는 감동과 벅참이 참 행복하네요 올해 안에 꼭 한번 더 다시 보고 싶은 명작입니다 사랑해 요 빌리 마이클
1,5,hj2***예매자,2021.11.01,조회 3481,"공감 5
공감하기",베스트 역시 최고에 요~,시훈빌리에 이어 현준빌리 보고 왔어요시훈빌리 보고 다른 3명의 빌리들 공연 모두 보고 싶다고 생각했었는데 현준 빌리보고 오니 빠른 시일 내에 2명의 빌리들도 보고 싶더라고요 보면 볼수록 감동입니다 얼마나 노력했을지 노력하는지 노력할지 안쓰럽기도 하고 대견하고 멋있었어요 빌리뿐만 아니라 모든 배우들의 열정과 노력으로 만들어진 뮤지컬입니 다 약 3달 정도 남았으니 모든 배우들 다치지 않고 건강히 공연 마치면 좋겠어요 각 넘버들이 안겨주는 의미와 감동을 다시 느끼러가 야겠어요 빌리 엘리어트 최고
2,5,abcd***예매자,2022.06.13,조회 28,"공감 0
공감하기",이 최뮤,행운을 빌어 빌리
3,5,dlalgus***예매자,2022.03.13,조회 26,"공감 1
공감하기",빌리...,잘 지내니 보고 싶다 우리아가들 나는 아직도 더 럼마을에 살아
4,5,jsscj***예매자,2022.03.10,조회 27,"공감 0
공감하기",보고 싶다 그립다ㅠㅠㅠ,강혁이 공연 너무 그립 다디비디도 없고 …말로 하는 연기 진짜 못 본다 생각하니까 너무 슬퍼요신시
5,5,tkakrdudn***예매자,2022.03.07,조회 20,"공감 0
공감하기",이 최뮤,단언 컨데 최고였어요
6,4,sim***예매자,2022.03.07,조회 31,"공감 0
공감하기",빌리 엘리어트 홈커밍데이,1대2대 3대 빌리들이 모인 스페셜커튼 콜 가슴 뭉클하고 행복했습니다
7,5,s_hyo***예매자,2022.03.04,조회 21,"공감 0
공감하기",이.최. 뮤,1막 마지막 곡이랑 2막 구름이 나오면 집중해주세요 대박입니다
8,5,msujin***예매자,2022.03.03,조회 19,"공감 0
공감하기",재밌었어요,빌리들붕 붕날아다니는 거 좋았어요
9,4,lsyso***예매자,2022.03.02,조회 26,"공감 0
공감하기",좋았오요,최고의 뮤지컬 최고의 뮤지컬 최고의 뮤지컬 최고의 뮤지컬 최고의 뮤지컬 최고의 뮤지컬
10,5,wodudtm***예매자,2022.03.02,조회 22,"공감 0
공감하기",이 시대 최고의 뮤지컬,이 시대 최고의 뮤지컬이라는 수식어로도 부족한 뮤지컬
11,5,jonge***예매자,2022.02.28,조회 13,"공감 0
공감하기",넘재밌었어요,굿굿굿
12,5,hrjksr2***예매자,2022.02.28,조회 32,"공감 0
공감하기",김시훈 빌리 정말 최고입니다,봐도 봐도 볼 때마다 레전드 갱신해주시는 김시훈 빌리 최고입니다
