index,Rating,Id,Date,views,like,title,text
0,5,khy101***예매자,2021.07.03,조회 67,"공감 0
공감하기",미친 작품??,배우님들 연기 너무 실감 나서 좋았어요
25,5,conve***예매자,2021.03.20,조회 19,"공감 0
공감하기",마이클리배우님 사랑합니다????,마이클리배우 님 너무 멋있어요 진짜 기대했는데 기대 이상입니다
33,5,edward215***예매자,2021.02.24,조회 34,"공감 0
공감하기",꼭 재연와 주라,썸 씽로튼 보고 싶어서 질척이는 중진짜 인생 뮤지컬 중 하나로 꼽자면 꼽을 수 있을 정도로 모든 배역 좋았구요 진짜 이 시국에 올려줘서 너무 감사했어요 넘버도 다 좋고 앙상블조차 좋았다는 꼭 재연와 주라준다 끝내
34,5,smt***예매자,2021.02.11,조회 16,"공감 0
공감하기",썸 씽로튼이즈썸씽,뮤지컬이 궁금하다 그럼 썸씽 로튼 보세요 다채롭고 뮤지컬틱하고 아주 혼자 다 합니다
35,5,irene***예매자,2021.01.16,조회 25,"공감 0
공감하기",인생 뮤지컬 등극??,진짜 짱 인생 뮤지컬
36,5,shinje1***예매자,2021.01.10,조회 19,"공감 0
공감하기",다시 봐도,질리지 않고 진짜 재밌는 뮤우 지컬
43,5,shinje1***예매자,2021.01.10,조회 6,"공감 0
공감하기",다시 봐도,질리지 않고 재밌는 진짜 뮤우지컬
48,5,leey***예매자,2021.01.05,조회 8,"공감 0
공감하기",신나고 즐거웠어요,어느 배우도 멋지지 않은 사람이 없었고 역할에다 몰입하셔서 정말 즐겁고 재밌게 잘 관람했습니다다음엔 친구와 같이 가겠습니다
49,5,qwtf3***예매자,2020.12.14,조회 21,"공감 0
공감하기",인생 뮤지컬,제 인생 첫 뮤지컬이였고 최고의 뮤지컬입니다 저는 처음에 혼자보다 가 너무 재밌어서 친구에게 추천하고 동생이랑도 같이 총 3번을 보았는데 보면 볼수록 더 재밌고 놓쳤던 부분까지 확실하게 볼 수 있어서 좋았어요 썸 씽 로튼의 갓상블 최고였습니다 또 언제 이런 멋진 작품과 배우님들을 볼 수 있을까요 정말 최고였습니다
50,5,harrypotter***예매자,2020.12.08,조회 12,"공감 0
공감하기",다시와주세요...,꼭 다시 보고 싶어요 재연기다립니다
52,4,xoxo3***예매자,2020.12.04,조회 15,"공감 0
공감하기",최고로 유쾌한 오믈릿,이미 이벤트 응모 기간도 끝나고 공연도 끝이 났지만 이 공연만 생각하면 기분이 너무 좋아져 이렇게 후기를 남겨봅니다 개인적으로 준비하고 있는 일이 있어서 좋아하던 공연도 못 보고 자칫하면 썸 씽로튼도 못 보고 보낼 뻔 했었는데 함께 준비하는 분들이 흔쾌히 휴식 좀 취하고 오라고 해주셔서 _> 겨우 본 썸로 진짜 너무 행복하고 최고의 힐링이었어요 사실 이런 장르의 뮤지컬을 별로 좋아하지 않는 편인데요 좀 지루하더라도 완전 무게 잡는 극을 더 좋아하는데 _ 특정 넘버에서 제가 아는 곡 이 나오면 너무 신나고 윌리엄이 나오면 막앙상블들과 같이 윌파워 부르고 싶고 진짜 너무 재미있었어요
