SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
27077,1,뮤지컬영웅,문화공연,뮤지컬,창작,525,2742,3267,20230201
27078,2,뮤지컬캣츠,문화공연,뮤지컬,창작,260,1138,1398,20230201
27079,3,뮤지컬빨래,문화공연,뮤지컬,창작,125,483,608,20230201
27080,4,뮤지컬레드북,문화공연,뮤지컬,창작,72,288,360,20230201
27081,5,신비아파트뮤지컬,문화공연,뮤지컬,창작,29,263,292,20230201
27082,6,뮤지컬드라큘라,문화공연,뮤지컬,라이선스,74,194,268,20230201
27083,7,뮤지컬스위니토드,문화공연,뮤지컬,라이선스,50,180,230,20230201
27084,8,뮤지컬로빈,문화공연,뮤지컬,창작,45,178,223,20230201
27085,9,뮤지컬맘마미아,문화공연,뮤지컬,창작,45,132,177,20230201
27086,10,뮤지컬더북,문화공연,뮤지컬,뮤지컬,20,142,162,20230201
