"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"19405","1","뮤지컬그날들","문화공연","뮤지컬","창작","208","2331","2539","20210301"
"19406","2","뮤지컬시카고","문화공연","뮤지컬","라이선스","153","980","1133","20210301"
"19407","3","이별식당","문화공연","뮤지컬","뮤지컬","25","445","470","20210301"
"19408","4","뮤지컬영웅","문화공연","뮤지컬","창작","43","406","449","20210301"
"19409","5","뮤지컬제이미","문화공연","뮤지컬","창작","13","383","396","20210301"
"19410","6","신비아파트뮤지컬","문화공연","뮤지컬","창작","31","310","341","20210301"
"19411","7","뮤지컬캣츠","문화공연","뮤지컬","창작","53","279","332","20210301"
"19412","8","뮤지컬젠틀맨스가이드","문화공연","뮤지컬","라이선스","17","284","301","20210301"
"19413","9","뮤지컬호프","문화공연","뮤지컬","창작","64","200","264","20210301"
"19414","10","뮤지컬팬레터","문화공연","뮤지컬","창작","45","205","250","20210301"
