SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
27357,1,뮤지컬영웅,문화공연,뮤지컬,창작,342,4417,4759,20230301
27358,2,뮤지컬캣츠,문화공연,뮤지컬,창작,79,731,810,20230301
27359,3,뮤지컬빨래,문화공연,뮤지컬,창작,53,570,623,20230301
27360,4,신비아파트뮤지컬,문화공연,뮤지컬,창작,12,490,502,20230301
27361,5,뮤지컬맘마미아,문화공연,뮤지컬,창작,22,172,194,20230301
27362,6,뮤지컬로빈,문화공연,뮤지컬,창작,28,133,161,20230301
27363,7,뮤지컬스위니토드,문화공연,뮤지컬,라이선스,19,142,161,20230301
27364,8,뮤지컬레드북,문화공연,뮤지컬,창작,18,138,156,20230301
27365,9,뮤지컬앤,문화공연,뮤지컬,창작,10,139,149,20230301
27366,10,뮤지컬모차르트,문화공연,뮤지컬,라이선스,13,125,138,20230301
