,SRCHWRD_NM,Count, GENRE_NM
0,뮤지컬빨래,32, 라이선스
1,신비아파트뮤지컬,28, 창작
2,뮤지컬레베카,25, 창작
3,뮤지컬시카고,22, 라이선스
4,뮤지컬영웅,22, 창작
5,뮤지컬드라큘라,19, 라이선스
6,뮤지컬캣츠,16, 창작
7,뮤지컬모차르트,14, 라이선스
8,뮤지컬아이다,13, 라이선스
9,뮤지컬스위니토드,12, 라이선스
10,뮤지컬웃는남자,10, 창작
11,뮤지컬그날들,10, 창작
12,뮤지컬엑스칼리버,9, 창작
13,뮤지컬팬레터,9, 창작
14,뮤지컬하데스타운,9, 라이선스
15,뮤지컬베르테르,9, 창작
16,뮤지컬마리앙투아네트,9, 라이선스
17,뮤지컬지킬앤하이드,7, 라이선스
18,뮤지컬엘리자벳,7, 라이선스
19,뮤지컬광화문연가,6, 창작
20,뮤지컬그리스,5, 뮤지컬
21,뮤지컬브로드웨이42번가,5, 창작
22,뮤지컬제이미,5, 라이선스
23,뮤지컬리지,5, 라이선스
24,뮤지컬오페라의유령,5, 오리지널
25,뮤지컬빌리엘리어트,5, 라이선스
26,뮤지컬헤드윅,5, 라이선스
27,뮤지컬잭더리퍼,5, 라이선스
28,뮤지컬호프,5, 창작
29,뮤지컬사의찬미,5, 창작
30,뮤지컬라이온킹,4, 오리지널
31,뮤지컬광주,4, 라이선스
32,뮤지컬친정엄마,4, 창작
33,뮤지컬맘마미아,4, 창작
34,뮤지컬젠틀맨스가이드,4, 라이선스
35,뮤지컬썸씽로튼,4, 라이선스
36,뮤지컬렌트,4, 뮤지컬
37,뮤지컬빅피쉬,4, 뮤지컬
38,뮤지컬귀환,4, 뮤지컬
39,뮤지컬마리퀴리,4, 라이선스
40,뮤지컬레드북,4, 창작
41,뮤지컬사랑했어요,3, 창작
42,이별식당,3, 뮤지컬
43,뮤지컬킹아더,3, 라이선스
44,뮤지컬위윌락유,3, 라이선스
45,뮤지컬벤허,3, 창작
46,뮤지컬영웅본색,3, 뮤지컬
47,뮤지컬미스터쇼,3, 뮤지컬
48,뮤지컬해적,3, 창작
49,뮤지컬보디가드,3, 뮤지컬
50,뮤지컬마마돈크라이,2, 창작
51,뮤지컬시티오브엔젤,2, 라이선스
52,뮤지컬박정희,2, 창작
53,뮤지컬차미,2, 창작
54,뮤지컬디바,2, 창작
55,뮤지컬로빈,2, 창작
56,뮤지컬1976할란카운티,2, 창작
57,뮤지컬작은아씨들,2, 창작
58,뮤지컬시라노,2, 라이선스
59,뮤지컬여명의눈동자,2, 창작
