title,size,price,rerun_cnt,class,genre
광화문연가,1,150000,3,1,
그날들,1,160000,6,1,
그리스,1,140000,28,0,
난설,0,55000,2,1,
드라큘라(Dracula: The Musical),1,175000,5,0,
땡큐 베리 스트로베리,0,66000,2,1,
랭보,0,66000,3,1,
레드북,1,110000,3,1,
레베카,1,140000,7,0,
렌트,1,140000,8,0,
렛미플라이,1,66000,2,1,
리지,1,77000,2,0,
마리앙투아네트,1,150000,3,0,
마리퀴리,1,99000,3,1,
맘마미아,1,150000,3,0,
명동로망스,0,66000,3,1,
모차르트,1,170000,7,0,
베르나르다 알바,0,88000,3,0,
베르테르,1,140000,11,1,
벤허,1,140000,2,1,
브로드웨이42번가,1,140000,18,0,
빈센트 반 고흐,0,66000,5,1,
빌리엘리어트,1,150000,3,0,
사의찬미,0,66000,7,1,
스위니토드,1,150000,4,0,
시데레우스,1,66000,3,1,
시카고,1,140000,11,0,
썸씽로튼,1,140000,2,0,
아랑가,0,66000,3,1,
아이다,1,150000,6,0,
엑스칼리버,1,150000,2,1,
엘리자벳,1,150000,5,0,
영웅,1,150000,9,1,
웃는남자,1,150000,3,1,
이토록 보통의,0,60000,2,1,
전설의 리틀 농구단,1,66000,6,1,
젠틀맨스가이드,1,110000,4,0,
지킬앤하이드,1,150000,8,0,
차미,0,66000,2,1,
쿠로이 저택엔 누가 살고 있을까?,0,66000,2,1,
킹아더,1,110000,2,0,
팬레터,1,77000,4,1,
포미니츠,0,70000,2,1,
해적,0,660000,3,1,
헤드윅,1,110000,13,0,
호프: 읽히지 않은 책과 읽히지 않은 인생,1,880000,3,1,
