index,Rating,Id,Date,views,like,title,text
0,5,KeepGo***예매자,2017.10.10,조회 1182,"공감 6
공감하기",베스트 감동과 스케일 두 마리 토끼를 잡은 작품,요즘 핫한 엔터테인먼트 아이템 중 하나인 뮤지컬 추석 연휴에 부모님께 선물로 보여드릴 뮤지컬을 여름부터 찾았습니다 뮤지컬은 주로 젊은이들 대상이라 부모님과 같이 볼 공연물을 찾기 어려&50911 ;습니다 부모님께서는 어르신들 대상으로 하는 너무 구태스런 이야기는 싫어하셨습니다 명작 영화를 뮤지컬로 한 것이라 망설임 없이 선택했고 유다벤허역의 카이씨는 복면가왕으로 친근한 부모님께도 반가운 배우였습니다 부모님 아주 만족하셨습니다카이씨의 눈물 흘리는 진 심어린 연기 유다를 배신한 친구의 날카로움 아이비씨의 아름다움 유다 어머니의 자애로움 헤롯왕의 익살스러움이 가득한 무대는 훌륭했습니다 노래와 무대 활용도는 상상 이상이었습니다 전차 경주 장면 바다에 빠져 로마 장군을 구하는 장면은 기술의 발전이 예술의 발전을 가져오는 것을 실감했습니다 배우와 모든 스탭 여러분 수고 많으셨습니다
1,5,nenen***예매자,2017.09.26,조회 3246,"공감 9
공감하기",베스트 올해 가장 성공한 뮤지컬,처음 벤허라는 타이틀을 듣고는 음벤허딱히 보고 싶거나 봐야겠다거나 한 느낌은 아니었습니다 제가 좋아하는 유준상 씨가 나온다고 해서 관심이 생겼죠 유준상 씨가 하는 거니 한 번만 볼까라며 시작된 벤허는 계속해서 결제를 하게 만드네요 뮤지컬 선택하기에는 가벼운 내용이 아니어서 쉽게 골라 지지는 않습니다 하지만 한 번 보고 나서는 여운이 계속 남게 되어 한 번 더라는 욕구가 생기는 극입니다 특히 1막 마지막 곡이 쇼케이스에서 배우들이 말했듯이 강렬하게 남습니다 아무래도 유명 한 영화고 긴 영화다 보니 뮤지컬에서 어떻게 풀었을까라는 궁금증과 벤허의 하이라이트 전차씬은 어떻게 처리했을지가 궁금했는데 스토리 전개도 군더더기 없이 깔끔하게 빠른 진행이 되서 지루하지 않았고 전차씬도 무대에서 훌륭하게 소화해낸 느낌입니다 전차씬은 좀 멀리서 보는 게 낫더군 요 너무 가까이서 보니 말보느라 집중이 ;; 유준상 배우부터 민우혁 아이비 그리고서지영 배우 서지영 배우의 엄마역은 정말 최고입니다 덕분에 같이 본 언니가 펑펑 울었네요 유준상 배우야 뭐말 할 것도 없이 특히 마지막 씬에서의 연기는 몰입도가 엄청나더라구요 전체적으로 노래부터 연출 스토리 흐름 등이 프랑켄보다 더 나아진 것 같습니다 혹 안보시고 고민 중이시라면 추천 드립니다
2,5,dream9***예매자,2017.09.19,조회 2562,"공감 20
공감하기",베스트 완벽한 올해 최고의 대극장 창작 뮤지컬,벤 허익히 영화나 책으로의 그 유명함을 알고 있었기에 시대를 뛰어넘은 명작의 재탄생이라는 홍보 문구에 호기심이 갈 수밖에 없었습니다 제작된다는 얘기를 듣고 관심을 가지면서도 계속 올라오지 않았기에 드디어라는 생각부터 들었지만 그래서인지 보기 전까지 더욱 걱정 반기 대반의 심정이었습니다 그러나 결론은 정말 보기 잘했네요 이것이 우리나라의 창작 뮤지컬이라는 것이 믿기지 않을 만큼 좋은 연출 좋은 넘버 좋은 무대와 더불어 주연 배우뿐만 아니라 앙상블분들까지 완벽한 뮤 지컬이었습니다 물론 모든 점이 맘에 드는 것은 아니었지만 올해 본 창작 뮤지컬 중에 단연 최고라는 생각이 들었어요 일단 티켓값이 전혀 아깝지 않은 무대와 연출이 가장 돋보였습니다 특히 영상과 무대를 적절히 접목시켜 보여준 해상 씬은 정말 짜릿함을 주었습니다 놀라운 것은 다른 대형 뮤지컬의 경우 거의 고정된 무대를 사용하는 경우도 있는데 1막 내내 무대가 겹치는 걸 본 기억이 안 날 만큼 장면전환에 따른 다양한 무대를 보여주는 것이 너무 신기하고 눈을 즐겁게 해주었습니다 빠른 무 대전환이 극에 몰입도를 높여주었죠 그리고 주연배우들과 앙상블분들의 뛰어난 연기가 이 장점을 더욱 돋보이게 해주었습니다주연인 벤허와 메셀라의 경우 워낙 쟁쟁한 배우들만 모아놓은 트리플 캐스팅이었기 때문에 정말 누구로 볼지 고민이 될 수밖에 없었습니다기회가 된다면 모든 캐스트를 관람해보고 싶네요 일단 제가 본유준상 벤허는 정말 좋았습니다 또 보고 싶을 정도로 요무대 위에너지 넘치면서도 섬세한 연기 그리고 그 상황에 완전히 집중한 듯한 감정 연기가 대극장인데도객 석에 고스란히 전달되었습니다 넘버소 화력도 알려진 것보다 뛰어났구요 메셀라의 경우 박민성 메셀라로 관람하였는데 이 페어는 벤허와 메셀라가 한때 정말로 친한 친구였었다는 생각을 들게 하는 페어였습니다 두 분 다 연기를 너무나 잘하셔서 벤허와 메셀라의 안타까운 관계의 무너짐이 더 절절하게 다가왔습니다 그러나 더 좋았던 것은 이 두 분 뿐만 아니라 에스더미리암티르자티 토시 모니테스 빌라도역의 배우님들도 너무나 자신의 캐릭터 그 자체가 되어 극에 녹아계셨기 때문입니다 그리고 화려한 무대와 함께하는 앙상블 분들의 떼창과 칼 군무는 공연 중간 중간 소름을 돋게 했습니다 저는 특히나 메셀라와 골고다 장면을 다시 보고 싶습니다 각각 벤허와 메셀라를 대표하는 곡이라고 생각되는데요 그래서인지 커튼콜에서도 이넘버가 선택되었는데 그게 또 좋았습니다 단순히 넘버의 좋음뿐만 아니라 이 두 장면에서의 무대 연출 배우들의 연기 완벽한 배경을 만들어 주시는 앙상블분들의 열연극 내에서의 이넘버의 중요성이 모든 것이 모두 완벽하게 하나가 되어 극을 만들 어감을 느꼈습니다 왕용범 연출이 인터뷰에서 복수란 무엇인가 싸워 이기는 경쟁 끝에는 무엇이 있는가 1등을 성취하고 난 뒤 느끼는 허무함은 무엇인지 등에 대한 묵직한 질문을 던져보고 싶었습니다라는 말씀을 하시던데 제 감상으로는 이러한 메시지를 정말 잘 담아냈다고 생각합니다 보고 나서 여운이 참 좋네요 고전 명작인 만큼 다가오는 추석에 가족 모두가 함께 관람해도 좋을 뮤지컬입니다 대극장이라서 보여줄 수 있는 장점들을 모두 끌어모아 만든 느낌이고 그것이 티켓 값을 전혀 아 깝지 않게 합니다극이 전하는 메시지도 좋구요 올가을 모두가 꼭 한 번은 보셨으면 좋겠습니다
3,5,imeun***예매자,2017.09.11,조회 3689,"공감 116
공감하기",베스트 역시 박은태...,현재 우리나라의 남자 뮤지컬 배우 중대세는 역시 박은태 씨 죠 믿고 보는 배우라 전 꼭 박은태씨 주연공연을 놓치지 않습니다 결코 실망을 해본 적이 없거든요 이번에도 역시 노래는 정말 최고 연기도 물론입니다 초반에 뮤지컬 치고 노래가 너무 없는 거 아닌가 하는 생각이 조금 들었었지만 전체적으로 멋진 공연이었습니다 무대 연출도 정말 멋있었구 요 중간에 나오는 수중씬그리고 전차 경우 씬도 정말 멋졌습니다2부 초반에 나오는 남자 배우들의 단체 춤도 노래에 못지않게 너무 멋졌습니다 최선을 다하는 모습에 박수를 보낼 수밖에 벤허공연을 2번 본사람으로서 박은태안시하씨의 조합이 단연 이번 공연에서는 최고라 생각됩니다
4,5,ghss***예매자,2017.09.05,조회 2703,"공감 35
공감하기",베스트 최고의 창작 대형 뮤지컬,정말 웰메이드했다는 말이 잘 어울리는 작품이에 요 원작 또한 베스트셀러로서 오랜 시간 사랑을 많이 받았지만 영화 벤 허도 3시간으로 20대인 저에겐 솔직히 조금 너무 호흡이 길고 지루하다는 느낌이 있었고 더군다나 기독교인이 아닌 사람으로서 재미있게 보긴 했지만 큰 감동이 밀려 오진 않았었거든요 그런 벤허를 2017년이 되어 뮤지컬화한다는 소식을 들었을 때 호기심보다는 걱정이 먼저였습니다 2016년 영화도 크게 흥행하지 못한 상태에서 뮤지컬화 라니 이런 생각이 먼 저들었거든요 하지만 오늘 유준상 박민성 아이비서지영배우님의 페어로 관람한 감상은 정말 최고였습니다 유준상 배우님은 역시 여러 번 무대에 서셨던 분처럼 무대에서의 그 자연스러움이 정말 좋어요 운명에서의 안정적인 샤우팅과 아이비 배우님과의 카타콤 듀엣 두 분 목소리가 정말 잘 어울리고 아름다웠습니다 드라마랑 같이 하고 계시다고 들었는데 많이 힘드실 와중에도 불구하고 정말 좋았어요 특히 커튼콜이 정말 귀여우셨어요 아이 같은 순수함이 엿보이는 해맑은 얼굴이었습니 다 박민성 배우님도 정말 가창력과 연기에 넘을 수 없는 벽이 있다고 생각하는 배우님들 중 한 분인데 극 자체에서 메셀라 캐릭터를 매우 멋지게 연출해 준 장면들과 함께 배우님이 서계시니 그 매력이 몇 배가 되는 기분이었어요 아이비 배우님의 그리운 땅에서는 정말 소름이 돋을 정도였습니다 쇼케이스 때보다 무대 위에서 좋아진 음향으로 들으니 3층까지 꽉 채워지는 감동이 있었어요서지영배우님의 기도에서는 항상 눈물을 흘리게 되더라구요 어쩌면 그렇게 연기를 잘 하실 수 있는 건지전 체적인 극구조도 원작을 보신 분이라면 뮤지컬로 만들기 어려웠을 작품임에도 불구하고 잘 만들었다는 생각이 드실거에요 3시간짜리 영화가 2시간짜리 뮤지컬이 되었으니 작품을 만든 스탭 및 제작진 분들의 노고가 잘 느껴지는 흐름이었습니다 그래도 확실히 3층에서 보니 전체적인 극에 대한 몰입감이 확 떨어지네요 최악은 아니었지만 할 수 있으시면 되도록 1층 혹은 2층에서 보시길 추천 드립니다[여기서부터는 스포일러가 있을 것 같아요 ※주의해주세요] 벤허는 주인공인 벤 허가 거의 매장면에서 등장하기 때문에 의상이 정말 많던데 의상이 전체적으로 예뻐서 좋았어요 시대상을 해치지 않으면서도 참 예쁘게 잘 뽑혔다 그런 생각이 들더라구요메셀라는 분량이 좀 적어서 슬펐지만 그만큼 큰 임팩트와 카리스마로 극장을 다 휘어잡은 것 같았구요 아그리고 앙상블 넘버와 연출들이 참 좋았어요 초반에 다 같이 식탁에서 부르는 넘버와 이정수 배우님의 시저만 세 그리고 김성기 배우님-시 모니텝스와 유대지주들의 회의 씬이요 그 장면은 특히 무대 미술과 조명 그리 고연출이 너무 아름다워서 좋았어요 넘버도 자꾸 귀에 남구요제일 좋아하는 씬입니다 커튼 콜도 정말 멋있었습니다 커튼콜 데이 생기면 홍보 엄청 잘 될 것 같아 요 초연 기간이 2달 정도밖에 안 되어서 너무 아쉽네요 재연이 꼭 왔으면 좋겠습니다 벤허를 만들어 주신 모든 분들 오늘도 좋은 공연 만들어 주셔서 감사합니다다음에는 부모님 모시고와 야겠어요
5,5,***예매자,2017.08.29,조회 3916,"공감 114
공감하기",베스트 창작 뮤지컬계에 한 획을 그을 것 같네요.,<프랑켄슈타인> 때의 충격과 감동을 오랜만에 느꼈습니다 같은 창작진이라고 듣기는 했지만 그래도 그 이상을 해낼 수 있을까 싶었거든요스토리에서 오는 차이가 있기 때문에 극적인 감동 이야 개인의 취향에 따라 나뉠 수 있겠지만 일단 공연 자체의 퀼리티만 봐서는 국내 창작 뮤지컬의 수준이 이렇게 높다는 것을 여실히 보여주는 작품인 것 같아서 보는 내내 감탄스럽고 자랑스럽기도 하고 그랬네요 군데군데 좀 쳐내야 할 것 같은 부분들이 보이기는 했는데 일단 대극장에 어울리는 화려한 무대 세트와 시각장치 무대 효과의상 등이 너무나 훌륭해서 그것만으로도 별 다섯 개가 전혀 아깝지 않은 공연이었어요 개인적으로는 벤허의 유명한 전차씬보다 배에서 노를 젓거나 물에 빠진 장군을 구하는 장면 콜로세움에서의 전투장면에 더 전율 했네요 배를 이렇게 표현할 수 있다니 정말로 물속을 헤엄치는 장면을 표현하다니 등등 무대 장치나 효과가 너무 좋아서 신선한 충격을 받았답니 다 너무나 너무나 너무나 너무나 인상적이고 대극장에서 관람하는 뮤지컬의 값어치를 톡톡히 했다 고 생각해 요간 만에 정말 제대로 된 대작이구나 싶어서 보고와서 주변 사람들에게 많이 추천했네요 제가 본회차는 박은태 배우 아이비 배우 박민성 배우님이 나오신회차였어요 박은태 배우는 이제 명실공히 대한민국을 대표하는 배우라고 해도 과언이 아닐 정도로 타이틀 롤을 맡은 작품들 중에 실망시킨 작품이 없으셨던 것 같아요 믿고 보는 배우라는 말이 은태 배우를 지칭하는 수식어가 아닐까 싶습니다 최근 맡으셨던 팬텀이나 메디슨 카운티의 다리에서의 로버트도 다 좋았지만 그래도 오 랜만에 고뇌하는 리더상을 제대로 표현해 주셔서 은태 배우에게 딱 맞는 옷을 입은 느낌이었어요지저스크라이스트 슈퍼스타 속의 지저스 모습도 떠오르고 프랑켄슈타인의 괴물도 떠오르고 여러 가지 다양한 은태 배우만의 캐릭터를 벤허라는 인물 속에 녹여서 고뇌와 갈등과 슬픔 그리고 결단까지 잘 표현해 주신 것 같아 몰입이 아주 잘 되었답니 다 겉으론 여리면서도 분노를 표할 땐 아주 뜨겁고 강하게 표현하시는 모습이 너무나 매력적이었고요검 투장면이나 전 차장면 노역을 하는 장면등 에서는 굉장히 남자다운 모습들로 시선을 사로잡기도 했네요 노래 실력 이야 뭐 말해봐야 입아프죠 아이비 배우님은 이번에 처음 뵀어요 그간 시카고 위키드 등대작들에 많이 출연하셨던 건 알고 있었는데 볼 기회는 사실 없었거든요 이번 공연에서는 첫 등장 때는 살짝 과장된 연기 같은 부분이 불편하기도 했는데 뒤로 갈수록 점차 익숙해 지시더라구요 프리뷰 기간이었으니 아무래도 그런 부분은 있을 수 있겠죠 그런데 넘버소 화력은 단연 으뜸이셨어요 넘버가고 저도 심하고 되게 난이도 있는 넘버였는데도 정말 매끄럽게 잘 부르시더라구 요 저도 모르게 소름이 쫙쫙 돋았네요 후반부에 연기력과 가창력이 폭발하셔서 몰입이 잘됐어요 역시 아이비 배우도 이제는 경력을 무시할 수 없는 수준까지 오셨구나 하는 생각이 들어 편견을 날려버릴 수 있었답니 다 박민성 배우님은 메셀라그대로셨던 것 같아요 연기를 정말 잘 하시더라구요 메셀라의 열등감 분 노 배신 등을 있는 그대로 잘 표현해 내셨고 최후의 모습까지 디테일 하나하나 다 살려서 잘 표현해 주셨어요 보는 동안 메셀라에게도 이입이 많이 되더라구요 사실 스토리적인 부분에서는 굳이 메셀라에게 그런 사연을 입혀 줄 필요가 있었나 아예 필요 없진 않지만 조금 길었던 부분하는 생각이 들기는 하는데 어찌됐든 배우님의 소화력은 너무 좋으셨으니까요강약을 잘 알고 표현하셨던 부분들이 좋았네요 앞으로도 기대가 됩니다 이외에도 조역배우 분들과 앙상블 배우님들까지도 벤허에서는 큰 역할들을 잘해주셨어요 특히 앙상블분들은 체력적으로 되게 힘드셨겠다는 생각도 많이 들고 몸만들기도 힘들었을 텐데 어려 운안무와 전투의 합까지 맞추시느라 정말 고생하셨겠더라고요 그 덕분에 볼거리 많고 시각적으로도 훌륭한 작품이 탄생한 게 아닌가 싶습니다 칭찬을 쭉 적었으니 조금의 아쉬웠던 부분도 짚자면 요스토리에서 조금 지루한 부분들도 있었어요 2부 시작을 맡은 빌라도와 무희들의 장면은 굳이 필요한 장면일까 의문이 들더라구요 어느 뮤지컬이든 그런 부분들은 다 있지만 사실 그다지 내용에 중요한 포인트는 아니거든요 볼거리를 제공하거나 잠깐 쉬어가는 의미에서 웃음 포인트를 잡는 거 라는 생각은 들어도 사실 빌라도의 유머 코드가 별로 웃기거나 공감되지는 않았어요 저뿐만 아니라 제 주변 분들이나 함께 관람한 지인 그리고 커뮤니티에서도 대부분 저와 비슷한 반응이신 것 같더라구요 앙상블 분들의 안무가 화려하고 멋지긴 하지만 글쎄요 빌라도와 무희들 장면은 꼭 수정이 필요할 것 같습니다 그리고 위에도 잠깐 적었지만 메셀라의 사연-벤허 가족에게 배신을 생각하게 된 계기 장면은 굳이 그렇게까지 깊은 설정을 해야만 개연성이 생기나 오히려 의아하더라구요 여기 서부터는 살짝 스포일 수 있는데 배신을 하게 되는 계기는 여러 가지가 있을 수 있잖아요 단순한 열등감이 든 오해든 더 높아지고 싶은 야망이든 그것만으로도 충분히 배신의 동기부여는 된다고 생각하거든요 그런데 메셀라의 이야기를 들어보면 벤허 가족이 항상 자신을 차별했고 아무리 갈 곳 없는 자신을 거둬줬다고는 해도 결국 주워온 아이에 불과했다는 신파적 사연을 넣었더라구요 꼭 그렇게까지 벤허 가족을 흠집 내는 설정이 필요했을까 싶습니다 크게 스토리에 영향을 주는 부분이 아니 었기 때문에 더더욱 불필요한 것 같은 이제 갓 프리뷰 기간을 거쳤으니 앞으로는 스토리도 더 매끄럽게 다듬어지고 배우 분들도 좀 더 배역에 녹아들겠죠 길게 적었지만 제후기가 정답은 아니니까요 아쉬웠던 부분들도 분명 있었지만 그럼에도 불구하고 또 보고 싶은 앞으로가 더 기대되고 다른 캐스트 분들 역시 너무나 궁금한 작품이라는 점만큼은 결코 인정하지 않을 수 없네요 초연과 재연 이후로도 계속 사랑을 받고 있는 프랑켄슈타인처럼 벤허도 우리나라를 대표하는 창작 뮤지컬로써 더승 승장구 하길 기대합니다 또한 체력적으로 힘드실 배우 분들 모두 화이팅
6,5,ydaji***예매자,2019.01.12,조회 111,"공감 1
공감하기",올해 본 공연 중 최고였어요,타이틀 롤 외에 매력적인 캐릭터가 없다는 것은 다소 아쉽지만 넘버와 배우들 연기 모두 좋았습니다
7,5,tngus0***예매자,2018.07.02,조회 84,"공감 2
공감하기",벤허,재미있어요
8,5,fate***예매자,2018.05.28,조회 49,"공감 1
공감하기",넘나 행복했습니다,엄마가 좋아한 영화였는데 엄마도 만족하셨대요
9,4,yenisur***예매자,2018.04.25,조회 45,"공감 1
공감하기",너무 좋았어요,역시 은벤 허장난 아닙니다
