,Adjectives
1,아련한
3,없더라도
4,풍부한
5,쌀쌀한
6,아련해지고
7,싸한
8,가득한
9,잔잔한
10,같은것이
13,아련한
14,바빠
24,소중한가를
25,재미있었는데
28,재미있었던거
32,재미있을거
33,같음
34,아름답고
36,아니야
37,앙해오
38,잔잔해서
39,좋다
40,슬프
42,즐거운
43,좋았네요
46,재미있어요
47,아쉬웠다면
49,멋졌지만
50,귀여웠네요
51,실패했지만
52,재미있었습니다
53,아련한데
54,더하겠죠
55,재밌었어요
56,재미있었고
57,행복했던
59,행복했습니다
60,편한
61,좋았어용
62,좋으셨으나
63,지루했다고
64,재밌었네요
65,가까운
67,좋아했어요
70,재미있게
71,훌륭하고
73,부족한
75,즐겁고
76,행복한
80,시원시원해서
82,없구
83,스럽네요
84,행복했어요
85,좋았음
86,없었는데
89,행복함을
90,멋있어서
91,좋고요
93,지루했습니다
95,좋았구요
96,익숙하게
97,즐거웠습니다
98,좋아하실
100,좋았구요
102,깊숙히
105,아쉬웠던
106,강력한
113,괜찮았던
114,행복했습니다
115,재밌어오
116,잔잔한
117,있었네요
118,즐거운
119,멋진
122,넘치는
124,완전히
125,기대했던
126,젊은
127,젊은
128,좋았지만
129,흥겹고
130,노련하게
131,궁금해지더군요
132,안타깝
133,아름답고
134,소중한
135,어마어마한
137,따뜻해졌으면
138,좋겠다는
141,익숙한
142,멋있었어요
144,익숙한
145,행복한
146,익숙한
147,행복한
148,재미있게
150,훌륭한
152,복잡하기는
154,있었다는게
156,좋지
157,불안하시긴
158,좋았구요
159,익숙한
160,좋아하는
162,익숙한
163,신선한
165,없었지만
167,뻔하지만
169,아름다운
170,그리워져서
171,고셨어요
172,지루한
174,잔잔하니
175,편안하고
176,아름다워요
178,아까워
179,유명한
183,다르다고
184,설레
185,아니란
186,달랐습니다
190,얇은
191,정확히
192,신기했습니다
194,재미있었어요
196,어느샌가
197,붉은
198,비슷했나
199,붉은
200,재미있었습니다
201,좋을
203,좋아했을
204,유명한
205,애잔한
206,있으셨는지
208,젊었을
209,고마운
211,많았으면
212,좋겠습니다
214,즐겁게
216,없었던거
218,추웠음에도
220,있는것은
221,아니나
222,좋아했던
224,많은거을
225,아니라서
227,촉촉하고
228,어수선한
229,멋졌지만
230,필요할
235,훌륭한
236,활발한
237,좋아하고
238,좋아하는
241,좋았었구요
242,묵직한
245,암울한
246,젊은
247,무거운
248,짧은
249,부족했지
253,같던
254,있었을까요
256,짠한
257,뜨겁게
262,멋진
263,아팠던
265,아니라고
266,깊은
268,행복하게
272,좋았답니다
273,멋졌어요
274,젊은
275,바쁘셔서
276,젊은
278,무뚝뚝하게
279,재밌다는
280,재밌고
282,좋아하셨습니다
288,즐거워하셔서
289,기뻤답니다
290,어느덧
291,새로운
292,많으셨고
293,무사히
294,좋겠습니다
295,아름다운
