,Adjectives
0,같지만
2,슬펐습니다
8,행복하고
9,따뜻한
10,행복했어요
12,아니란
14,잔잔한
16,고마워요
18,행복한
21,재미있게
24,슬퍼서
25,아쉽
26,따뜻해지는
33,아름다웠더라면
34,좋았을
35,씁쓸한
36,좋은데
37,곱니다
38,따뜻하고
40,가볍게
41,고마울
42,미안하단
44,아쉽네요
45,따뜻함을
46,고마워요
47,어색했고
48,불편했지만
49,행복했어요
52,영원히
53,의한
54,있으면서도
55,확실해서
57,행복했어요
59,좋겠네요
60,뻔했어요
61,행복했습니다
62,가볍게
65,궁금했던
66,재미있어서
67,재미있게
69,따뜻하게
70,있었고요
71,재미있는
74,궁금했던
75,재미있어서
76,재미있게
78,따뜻하게
79,있었고요
80,재미있는
84,좋았고요
85,친절하셔서
86,행복했습니다
87,소중한
89,좋겠네요
91,행복했어요
92,말랑말랑하고
93,따뜻한
95,좋겠습니다
96,가볍게
97,행복한
99,좋겠습니다
101,행복합니다
104,어려웠습니다
105,재미있었습니다
106,다양한
108,아쉽고
109,슬펐습니다
111,있을까요
112,좋겠습니다
113,비슷한
116,신선하고
118,귀여웠어
119,슬프고
120,재미있었습니다
122,좋겠다고
124,슬프고
125,행복한
126,행복했으면
128,가볍게
129,재미있습니다
131,예쁘고
133,슬펐어요
134,고맙습니다
135,싫은
137,행복했습니다
138,행복하길
140,기뻐요
141,대단한
143,행복하게
144,슬프지만
145,따뜻해지는
146,어느새
150,아니라니
151,쾌적해서
154,만족스러운
155,따뜻해지는
156,좋았어서
157,슬프고
161,좋을
163,쓸모없는
164,아니야
165,재밌었어요
166,재밌었어요
167,행복하길
168,따뜻하고
170,좋아했고
171,재밌겠
176,가득한
177,슬퍼요
179,아니었던
181,귀여운
182,귀여운
183,엄청난
184,있었네요
185,어려운
186,무사히
188,많으셨습니다
190,재밌었어요
191,있을지도
192,아쉽네요
193,불필요하다고
194,아니지
195,행복하게
197,미안하단
198,좋겠어
199,평범하고
200,유치하게
201,쾌적하고
202,좋다는
204,행복한
205,고마워
206,어려운데
207,무리해서
210,좋겠다
211,잔잔하고
212,따뜻한
214,가볍게
215,깊은
216,따뜻한
217,따뜻한
218,슬픕니
219,많이나
220,상당히
222,귀여워요
223,좋아했으니까
224,더울
225,같으니까
226,행복했고
227,아쉬울
228,어려운
229,슬픈데
230,따뜻해지는
232,행복했습니다
234,좋겠습니다
237,행복한
238,행복했던
239,있겠죠
241,따뜻하고
243,기대할게요
244,좋겠다
245,평범하고
246,유치하게
247,고마울
