,Adjectives
2,재미있어
7,예쁘고
8,아름다울
10,완벽한
11,재밌었던
14,아쉬워요
15,어마어마한
17,벅찬
18,설렘으로
20,아쉽게도
22,즐거웠습니다
25,행복했던
26,행복하시길
29,아쉽다
31,미쳤고
33,재밌는
34,재밌어요
35,재밌어요
37,재미있게
38,좋겠네요
42,좋으시고
45,힘들었다
46,아쉬운
47,힘든
50,깊었다
52,아쉬워요
55,재밌었구
56,아무런
57,신선한
58,재밌었어요
59,재밌었어요
60,아쉬웠어요
63,재밌었습니다
64,새롭진
65,괜찮았습니다
66,재밌었어요
71,재밌어요
72,재밌어요
73,재밌어요
74,재밌어요
75,재밌어요
76,재밌어요
77,재밌어요
78,재밌어요
79,재밌어요
80,재밌어요
81,재밌었습니다
82,재밌고
83,좋기만
84,아름다운
85,아름다워요
86,재밌어요
87,재밌어요
89,아쉽고
91,좋겠습니다
93,좋아하던
95,좋아해서
98,심해서
99,괘씸해서
101,좋았는데
102,좋겠습니다
103,좋아하던
105,좋아해서
108,심해서
109,괘씸해서
111,좋았는데
112,좋겠습니다
113,좋아하던
115,좋아해서
118,심해서
119,괘씸해서
121,좋았는데
122,좋겠습니다
123,좋아하던
125,좋아해서
128,심해서
129,괘씸해서
131,좋았는데
132,좋겠습니다
133,좋아하던
135,좋아해서
138,심해서
139,괘씸해서
141,좋았는데
142,좋겠
143,좋아하던
145,좋아해서
148,심해서
149,괘씸해서
151,좋았는데
152,좋겠습니다
153,좋아하던
155,좋아해서
158,심해서
159,괘씸해서
161,좋았는데
162,좋겠습니다
163,좋아하던
165,좋아해서
168,심해서
169,괘씸해서
171,좋았는데
172,좋겠습니다
173,좋아하던
175,좋아해서
178,심해서
179,괘씸해서
182,좋겠습니다
183,좋아하던
185,좋아해서
188,심해서
189,괘씸해서
191,좋았는데
192,좋겠습니다
193,좋아하던
195,좋아해서
198,심해서
199,괘씸해서
201,좋았는데
202,좋겠습니다
206,나쁘지
207,행복했다고
208,좋아하기
209,다양한
215,나쁘지
216,행복했다고
217,좋아하기
218,다양한
224,나쁘지
225,행복했다고
226,좋아하기
227,다양한
233,나쁘지
234,행복했다고
235,좋아하기
236,다양한
242,나쁘지
243,행복했다고
244,좋아하기
245,다양한
251,나쁘지
252,행복했다고
253,좋아하기
254,다양한
260,나쁘지
261,행복했다고
262,좋아하기
263,다양한
269,나쁘지
270,행복했다고
271,좋아하기
272,다양한
278,나쁘지
279,행복했다고
280,좋아하기
281,다양한
285,좋은데
288,좋은데
291,좋은데
294,좋은데
297,좋은데
300,좋은데
303,좋은데
305,미쳤네요
306,지겹습니다
307,다양한
308,좋은데
309,많았어요
311,지겹습니다
312,미쳤네요
313,지겹습니다
314,다양한
315,좋은데
316,많았어요
318,지겹습니다
319,미쳤네요
320,지겹습니다
321,다양한
322,좋은데
323,많았어요
325,지겹습니다
326,미쳤네요
327,지겹습니다
328,다양한
329,좋은데
330,많았어요
332,지겹습니다
333,미쳤네요
334,지겹습니다
335,다양한
336,좋은데
337,많았어요
339,지겹습니다
340,미쳤네요
341,지겹습니다
342,다양한
343,좋은데
344,많았어요
346,지겹습니다
347,미쳤네요
348,지겹습니다
349,다양한
350,좋은데
351,많았어요
353,지겹습니다
354,미쳤네요
355,지겹습니다
356,다양한
357,좋은데
358,많았어요
360,지겹
361,미쳤네요
362,지겹습니다
363,다양한
364,좋은데
365,많았어요
367,지겹습니다
370,행복했어요
377,미쳤다는
378,생생한
381,잔인하게
382,있냐구
384,좋겠습니다
386,같기도
387,재밌어요
388,재밌어요
389,재밌어요
391,새로운
392,순수한
393,순수한
394,깊었다
396,답답하긴
400,있겠다는
403,재밌어요
404,필요해
406,즐겁게
407,아름다운
408,재미있게
415,있긴
416,아쉬웠던
