,Adjectives
0,좋아하는
1,이렇세
4,행복할
6,비싸고
7,화려한
8,많았지만
9,좋겠습니다
12,반했습니다
13,행복해지길
14,영원히
17,솔직한
18,후련했어요
20,좋겠네요
24,행복했었습니다
25,똑똑하게
26,흠잡을
28,완벽했
29,자연스러웠다
30,아까웠던
31,미안했던
32,새로운
33,행복했다
34,기대해보다
37,역시였어요
38,지루할
40,멋진
43,뿌듯합니다
45,훌륭하게
46,있다니전
47,정확한
48,아님에도
49,섬세하게
50,고맙구요
51,기대합니다
52,멋있다
53,아니었음에도
58,아쉽다
62,안타까웠다
64,야한
65,좋아하는
67,같지
68,대등한
70,좋겠고
73,평등하고
75,재밌어요
79,시끄럽게
80,아쉬워용
83,훌륭한
84,완벽한
85,재밌어요
89,재미있지만
90,낡은
93,시원하고
96,고마웠어요
100,좋겠고
102,좋겠네요
104,발랄하고
105,귀엽지만
106,또렷한
107,멋진
108,유쾌한
110,완벽했던
112,행복했습니다
113,없어서는
114,안될
115,대단하세요
117,재밌단
118,이상한
119,당당하게
120,당당한
121,성한
123,탄탄한건
127,틀림없습니다
129,아쉽지만
130,자잘한
131,더우셨나
133,행복했어요
135,아파서
136,아쉽네요
137,경쾌하고
138,발랄하면서도
141,유쾌하기도
142,사랑스럽
144,아니어서
145,아쉬웠습니다
147,즐겁고
148,예쁜
151,좋더라
152,괜찮구요
153,재미있게
154,특별하거나
156,빠른
159,소중했던
162,있길
165,두근거림이
168,슬퍼요
170,유쾌하고
171,발랄한
172,예쁘고
173,사랑스러운
174,딱이었던
179,반했습니다
181,깊었어요
182,힘드셨던
183,있었고
184,계셨습니다
187,없다고
188,다르다고
190,행복했습니다
191,많으셨습니다
193,있죠
195,좋겠네요
197,행복해하는
199,다르지
200,멋지고
201,아름다운
202,행복했습니다
206,당연한
207,당연해질
208,자리는
209,안좋았지만
211,멋졌습니다
213,좋을
215,멋진
216,행복했습니다
219,있길
220,비싸서
221,좋음
222,비쌈
223,좋지만
224,좋겠네요
225,행복하고
228,좋지만
230,행복했습니다
234,완벽했습니다
235,시끄러운
236,필요한
237,행복했습니다
238,있겠습니다
239,소중했던
240,짧은
242,즐겁고
243,행복했으면
246,사랑스러운
247,고맙다구요
248,빠른
250,기대하게
251,행복했던
254,행복한
255,행복하게
256,좋겠네요
257,다양한
258,원만하게
260,충분히
261,불쾌하지
262,쉬웠고
266,재밌어요
267,재미있게
271,재미있습니다
273,좋구요
277,행복했습니다
278,고마웠어요
279,신선한
280,흥미로웠어요
282,고마웠어요
283,행복했습니다
284,짧은
285,너무하잖아
287,있길
288,많으셨고
289,야합니다
290,아쉬워요
291,작인듯
292,재밌어요
294,행복했습니다
295,즐겁게
300,고맙
302,고마워요
303,행복했으면
308,강렬함
310,특별하지
312,새까만
313,고마웠어요
314,당연한
315,당연해질
316,시끄러워질
317,안됩니다
318,없죠
320,아쉬워요
321,없죠
323,없다고
324,아니라고요
325,아닙니다
327,식상해질
329,식상해지는
330,있으므로
331,아닙
332,미까
333,많았던
335,행복합니다
338,아쉬워요
339,당연해질
340,시끄럽게
341,자세히
343,있으므로
347,있으므로
349,나빴어
350,행복해요
351,좋겠는데
354,좋겠습니다
355,좋겠네요
358,고마워요
360,행복했어요
361,행복했습니다
362,행복했습니다
363,변하듯
365,아쉽지만
367,행복했어요
368,있을게요
369,행복했어요
372,깊어져서
375,행복했어요
378,재밌다고
379,뿌듯했습니다
380,좋내요
381,재미있게
383,아슬아슬하고
385,괜찮았습니다
390,가까운
393,당연한
394,당연해질
395,시끄럽게
396,슬프게
397,필요한
398,좋을
402,당연하게
403,자세히
404,행복해졌어요
406,있어서는
409,재밌네요
410,재밌어
416,당연한
417,당연해질
418,시끄럽게
426,어색하지
427,재미있다
428,신선하고
429,재미있고
433,끝내줍니다
436,아쉬울
438,재미있었습니다
439,새까만
441,길었으면
442,그만한
445,사랑스러워요
447,좋다
448,반하게
449,없다고
450,아닌것도
451,아니고이해
452,없다고
453,좋아하지
455,아쉬운
456,아름다운
457,행복한
460,완벽했던
463,짧게해서
464,슬펐는데
465,행복했던
468,필요한
469,유쾌한
471,소중히
473,많았습니다
476,아기자기해서
478,좋겠네요
484,당연한
485,당연해질
486,시끄럽게
487,아름다운
488,충분해
489,야한게
490,어때서
491,어때서
492,당당하게
494,부끄럽거나
495,좋았다내가
498,불편한
500,공정하고
501,공평한
503,좋겠다
504,새까만
506,기대합니다
507,재미있었다
508,반했다
510,탄탄함과
515,많으셨습니다
516,높은지
517,재밌는
518,상당한
519,노련한
520,지루할
521,재밌었던
524,아쉬웠어요
525,변하지는
526,식상해지는
527,아쉽네요
528,멋진
529,무례하거나
530,불편한
532,재밌고
533,사랑스럽고
534,아쉽지만
535,건강하게
536,신나고
537,귀여운
538,오래된
539,어색하지
541,이럴
543,행복했어요
544,재미있다는
545,재미있고
546,슬프고두
549,반하고
550,빠른시
554,행복했고
555,좋고요
557,재미있습니다
558,재미있고
562,재미있었어요
564,좋았는데
565,아쉽습니다
567,즐겁고
568,재밌고
571,행복했어요
573,행복했어요
574,재밌다고
576,아니오
578,아니오
579,부랴
580,부랴
581,가능한
582,강력하게
583,같았다
585,좋았
586,무겁지
587,가볍지
588,적절한
589,조화롭게
590,좋겠다는
591,설레는
593,다르더라도
594,이상한게
595,아니라는
596,있게한
598,무거울
603,없던
604,재밌었어요
605,좋았음
606,그지같은
607,아닌데
608,재밌다고
609,같다고
610,좋았던어여
613,변해가고
615,대단한
618,성공한
623,뒤늦게
624,아쉬울
628,있길
629,행복했습니다
630,낡은
632,있잖아
633,행복해질
636,고마웠어요
637,고마웠다는
638,같기도
639,멋진
640,같았다
642,커다란
644,커다란
645,낡아
647,새로운
649,비싸요
650,즐거운
651,아쉽고
652,사랑스럽고
653,멋지고
654,귀엽고
655,멋진
658,삼연했으면
659,좋겠네요
662,아쉽고
665,필요한
666,좋아했고요
668,좋았고요
669,있고요
670,만족스러웠던
671,추해요
672,아쉽네요
673,깊었습니다
674,없어야
676,좋아하게
678,사랑스럽고
679,귀엽고
680,재밌는데
681,슬프고
682,안쓰럽다가도
683,멋진
687,노래하던
691,행복했던
692,없으신
693,충분한
694,괜찮았음
696,있었
698,당했던
699,좋잖아
700,야한
701,좋았다내세우고자
702,좋긴
703,완전히
705,아쉽
707,그럴것을
708,기대했고
709,가깝게
712,많을
716,조져
717,이런거
718,통쾌한
720,같기도
724,이럴
725,행복해졌어요
728,재미있고
729,벅찬
731,그러한
733,대단한
737,좋았구요
