,Adjectives
1,완벽했어요
2,즐겁게
3,많지는
8,따뜻해지는
9,따뜻해지는
13,따뜻해지는
15,좋겠네요
16,넘쳤던
19,행복했고
20,아니라는
23,아쉬운
25,따뜻한
26,행복합니다
30,좋게
32,고우
33,예쁜
34,예쁜
35,좋았던
36,사랑스럽고
37,예쁘고
38,귀엽고
39,아름다우면서
41,따뜻하게
43,있을까요
44,재밌어요
45,따뜻하고
46,뭉클하게
48,아름답고
49,뭉클한
50,부탁드립니
51,성공했대
53,슬프네요
55,따뜻하고
56,예쁜
57,아쉬웠는데
58,다행히
59,예쁘고
61,좋겠네요
66,아름다웠습니다
67,가능한
69,다양한
73,따뜻하고
76,따뜻해지는
79,좋았구요
80,아쉬울
84,다르네요
86,간절히
88,재밌어요
90,소중함도
94,가까운
97,소중함과
98,소중함을
99,행복한
101,좋았는데
102,힘들었던
103,막막하고
104,팍팍해도
106,아쉬워요
107,순수하고
108,씩씩한
110,행복한
111,좋아하는
112,따뜻한
114,예쁘고
116,예쁜
120,사랑스러운
123,황홀했고
124,따뜻했고
125,아름다웠어요
129,따뜻하고
130,행복했어요
131,재미있고
134,아쉬워
135,행복했습니다
136,고맙던
138,있겠어요
140,아름다운
141,아름다운
142,재미있는
145,슬퍼서
146,기쁘고
147,뿌듯해요
148,성공할
152,안남았으니
156,멋있었고
157,몽글몽글해지는
159,빠른
161,행복하게
162,아니아니
163,행복했어요
165,행복했습니다
166,사랑스러운
167,귀여워요
169,그럼요
171,아쉬워요
172,어마어마했습니다
174,행복했고
175,따뜻하면서
176,소중한
177,행복했어요
178,빠른시
179,시급합니다
181,좋구요
184,야함
185,재밌었어요
188,야합니다
189,야함
192,가능했지만
196,깊어져서
197,미칩니다이
198,뿌듯할
202,미쳤는데
203,많았음
204,재밌었지만
206,잘생겼다
208,행복해
212,있겠죠
213,좋았던
216,소중하다는
219,행복했습니다
220,아름답고
221,행복한
223,깔끔하고
224,완벽했던
226,즐겁고
227,행복했습니다
228,행복한
229,고맙습니다
231,완벽한
232,재밌었어요
233,있었을텐데
234,당연해서
237,차갑고
238,잔인한
240,소중하고
241,찬란하게
243,따뜻하고
244,아름다운
245,행복했습니다
249,아름다운
250,험난한
253,예쁘고
254,완벽한
257,그러한
258,있기에
266,좋았던
269,아니라고
272,소중한
275,소중하고
276,값진
283,아쉬워
284,뭉클한
286,아쉬워요
287,몽글몽글해지는
292,있노라면
293,행복해지는
295,빠른
296,좋겠네요
297,좋아하셨어요
298,재밌어요
300,있냐구
303,행복했습니다
304,잔잔한
306,아니라고
307,따뜻한
309,빠르게
311,재밌고
315,아쉽지만
318,행복했습니다
322,있었나
323,순수한
324,슬프기만
325,아니에요
326,행복한
328,아쉬워요
329,있을게
330,변해가
331,불가능한건
341,없게
342,아쉽습니다
343,행복하게
345,따뜻하고
346,재밌고
349,빠르게
351,재밌어요
352,아쉽네요
353,빠르게
354,멋진
355,행복한
356,슬퍼요
357,재밌었고
358,좋아하셨어요
359,유쾌하면서도
361,훌륭한
363,슬퍼
364,행복해라
367,그러는지
368,빵터졌습니다
369,재밌고
370,유쾌하게
371,이상하게
375,심했지만
378,아쉽지만
379,부질없겠지
380,불가능하지
381,슬퍼요
383,완벽했던
386,뻔하지
391,좋겠네요
392,변해가
393,불가능한
395,변해가는
396,재밌어서
400,그렇다는
401,우직하게
403,기뻤습니다
404,따뜻한
405,좋겠는
407,부족해요
408,행복했으면
410,무리겠지두
420,슬퍼서
422,예뻐서
423,예뻐서
424,아름다운
426,재밌는
429,좋았다고
431,멋지게
432,젊은
433,순수한
434,담담하게
435,아련하고나하나
436,풋풋한
437,야할거
439,슬프네요
440,말랑말랑해진거
443,포근하고
444,재밌고
445,사랑스러운
447,편하게
449,사랑스럽고
450,이쁘고
451,젊은
452,재밌었어요
454,기대하고
455,즐겁고
456,좋게
458,찡하게
467,따뜻해지고
468,행복해지는
470,재미있었어요
472,잔잔하니
474,똑같은데
475,힘들었던
479,아름다운
484,충분히
487,드문데
489,행복한
490,좋으셨습니다
492,슬퍼요
493,슬픕니다
495,안남았지만
496,없길
497,따뜻한
499,건강하세
501,좋아해요
504,좋아여
505,좋아여
506,좋아여
507,좋아여
508,좋아여
509,좋아여
512,따뜻하고
513,몽글몽글한
517,좋고다시
518,슬픈
519,아니었어요
520,슬프고
521,행복한
523,좋겠어
525,후회됩니다
526,좋았을
528,순한
529,유쾌하게
530,궁금해서
531,궁금했던
532,어느새
533,따뜻해지는
534,다정하고
536,가득했던
537,따가울
539,따뜻한
541,흔한
542,아니었내
544,예쁘고
545,좋다
546,고운
547,안남았어요
548,안된다
553,행복했어요
555,귀한
556,따뜻한
559,예뻐
561,있어주는거다
562,엄청난
563,대단한
566,아름다운
567,벅찬
569,흐뭇해지고
573,따뜻하고
576,행복해요
577,따뜻하고
580,안남았다는
582,안될까
583,많아
584,슬프
585,좋아했는데
586,안되는데
587,없으시겠죠
589,아까운
590,안남아서
591,쉬워요
592,즐거운
593,섬세한
595,즐거운
596,이쁜
597,고운
600,있다면나도
602,다정하고
603,즐겁게
604,원하는
609,완벽한
611,슬프
612,슬프고
614,아쉽고
615,알차서
619,뭉클하면
621,예뻤습니다
622,재밌어요
623,좋아하는
627,뻔하고
628,확실하게
629,재밌어요
631,따뜻한
632,재밌어요
635,따뜻한
638,기뻐요
640,희도
641,귀엽고
642,다정해
643,귀엽게
645,견고한
648,미쳐있고
650,다정하고
651,좋았
652,아파가지마
653,유쾌하고
654,뭉클해지는
657,멋진
658,따뜻해지는
660,씩씩하고
661,야무지고
663,멋진
666,아닌지
667,안되는
669,아름다운
670,따뜻하고
671,아쉬워요
674,편안하게
677,고마운
679,재미있는데다가
681,재밌었어요
682,따뜻한
683,아쉽기만
686,재밌었어요
687,아름다운
688,아름다운
690,좋아하는
691,슬픕니다
692,행복했어요
693,서먹했던
694,아름다
695,있더라구요
696,안남아서
697,아쉬워요
700,필요없이
701,편하고
702,즐겁게
703,그러면서도
705,넓은
706,편한한
709,아름답고
710,따뜻한
711,뻔하기도
712,없었음
713,좋겠네요
714,있겠습니다
721,편안하고
722,따뜻한
723,지루하지
729,좋았는데
735,잔인한
736,그래놓고
737,뒤늦게
739,좋겠습니다
740,따뜻해졌어요
741,재미있고
743,탄탄한
744,좋구요
747,재밌어요
750,아쉽네요
751,재밌고
752,따뜻한
754,좋아하는
757,편안하고
758,재미있고
761,젊은
762,답답해
766,예뻐
767,젊은
768,슬프
769,재미있었고
770,많았던
772,따뜻해지고
775,따뜻한
776,좋네
777,아름다운
778,재밌다고
779,좋아하셨어요
782,재밌었
783,따뜻해지고
784,행복해지는
786,행복한
787,후회됨
789,따뜻하고
790,귀엽다
793,따스해서
794,좋아하는
796,이뻐서
797,만족스러운
798,슬퍼
800,안남았어요
802,좋아하는
803,미안하다며
804,따뜻해지시면
805,좋겠네요
806,시원하게
807,개운하게
810,슬프고
811,아름다운
812,행복하게
814,야한다고
815,소중한
816,중요하니깐
818,좋다고
819,뿌듯한
823,새로운
825,아름다워요
826,아름답고
827,슬프고
830,사랑스럽고
836,따뜻하고
839,안되는
840,야했던
841,안되는건
842,아팠는데
843,있겠지
844,행복하겠지
849,재밌어요
850,따뜻하고
851,아름다운
853,따뜻하고
854,아름다운
857,좋을
860,나란히
861,따뜻하고
862,사랑스러운
864,재밌어요
869,따뜻하고
871,행복했으면
872,좋겠습니다
873,있을지
874,귀여운
875,사랑스럽고
876,귀여운
877,아기자기한
878,예쁘고
881,없고의
882,아닙니다
887,행복했지만
888,슬프더라구요
889,필요없는
890,씁쓸했어요
893,잘맞으시고
894,좋아합니다
895,없다고
897,따뜻한
898,많았으면
899,좋겠습니다
901,완벽한
902,재미있었습니다
903,행복할
906,당연하지만
913,안남았다고요
915,그런건
918,불편해요
