,Adjectives
0,시원시원하고
2,신나게
3,시원한
4,짜릿했습니다
5,좋을텐데
6,시원함
7,오싹한
11,좋겠습니다
12,어색해지지
13,신나게
15,좋아용
17,신난다고
19,상당히
20,신나게
22,가능한
24,안좋은
26,있으셨겠지만
29,불필요한
30,좋겠고
32,좋겠습니다
33,아름다운
36,신나는데
37,서러웠어요
38,부수겠더라고요
39,재밌었고
40,강렬했던
42,신나게
43,재밌었어요
44,재밌는
45,재미있어요
46,재미있었어요
48,짜릿한
49,행복했습니다
94,우아한
96,재밌었습니다
98,재미있었어요
99,빠른
100,원합니다
105,진지해요
107,아쉬워요
109,신나는데
110,두려워
111,신나게
112,후회됩니다
114,영원히
115,아니지
116,좋았지만
119,멋진
121,짜릿함만
122,편한
123,편안할
126,불편해
127,아쉬웠어요
129,아쉬운
130,재밌고
131,즐거웠어요
132,슬프게도
134,시원하기도
136,짜릿했어요
140,벅차고
141,멋지고
142,행복했던
144,아쉬운게
146,신나서
148,힘든
151,행복했어요
152,행복하세요
154,시원해요
155,미친
157,편하게
160,빠른
161,이럴
163,이렇게는
165,아쉬워요
167,슬프네요
169,힘찬
170,어색한
221,없는내
222,낯설어질
223,아쉬워요
224,부탁드려요
226,너무해
227,귀엽고
230,좋음
232,좋겠네요
233,아쉬운
234,인한
239,기대하고
241,재미있어요
242,신나고
243,즐거웠어요
244,없어야
247,없데요
248,있었니
249,엄청났었지
250,있었나
251,짜릿함과
252,충분히
255,좋겠습니다
256,소중했습니다
258,신나는데
260,있다는걸
262,재밌어요
264,좋겠습니다
265,재밌는
266,좋겠습니다
267,멋있었습니다
269,행복했어요
270,아쉽네요
273,아쉬운
274,그리워서
275,짜릿하지
280,아쉽지만
282,많으셨습니다
284,힘든
286,아니였어여
287,멋져
290,아쉬워
292,좋았을텐데
296,좋은데
297,강인한
299,특이하고
300,특이하고
301,아쉬워서
302,멋있지만
303,어색함이라
304,아쉽다가
305,없었을
306,멋졌고
308,재밌었어요
309,좋겠네요
311,재밌고
312,신나고
313,시원하고
314,즐거웠던
318,신나게
319,재밌었습니다
322,재밌는
325,즐거웠습니다
326,즐거웠습니다
327,즐거웠습니다
328,즐거웠습니다
329,즐거웠습니다
330,즐거웠습니다
331,즐거웠습니다
332,즐거웠습니다
333,즐거웠습니다
334,즐거웠습니다
335,즐거웠습니다
336,즐거웠습니다
337,즐거웠습니다
338,멋있게
339,고맙습니다
341,좋을텐데
342,아쉬워요
343,강렬한
344,이런말하기
345,섣부른거
347,재밌었어요
348,재미있었습니다
349,아쉬웠던
350,입니다이
351,가능할
352,좋겠습니다
353,아니었지만
354,사랑스러운
355,많으셨고
356,많으셨습니다
357,안전하게
358,있길
359,있길
360,많으셨습니다
361,좋죠
362,식겁하나
363,사랑스러워
365,완벽합니다
367,시원하고
369,신나게
370,아쉽지만
372,멋지세요
377,좋겠습니다
378,미흡한
379,많았지만
380,어려운
381,완벽할
384,재밌고
385,멋있었습니다
386,시급해요
387,없어도
388,괜찮으니
389,아쉬워요
391,있긴
392,엄청난
393,어려운
394,즐겁게
397,행복해
398,슬프다
399,미친
400,행복했습니다
401,아쉬웠어요
402,짜릿한
405,미친
407,아쉬운대로
408,행복했습니다
409,빠른
411,좋았는데
412,아쉬웠어요
414,좋았을텐데
416,행복하고
421,강렬한
422,드문
424,좋아하는
425,새로운
429,다양하게
431,좋겠는데
433,아쉬운
436,충분히
437,성공하고
441,재밌었고
443,신나고
444,좋았는데
445,아쉽고
446,슬플줄이야
447,좋겠습니다
448,아쉽습니다
450,통쾌하게
451,슬프지만
452,즐거운
454,신나게
455,아쉽습니다
456,그리워
458,완전히
459,아니었지만
461,즐겁게
464,영원히
465,좋요
469,아쉽지만
472,행복했습니다
474,재밌어요
476,미친
479,소중한
480,좋았는데
482,만족했고
483,없다고
484,슬프네요
485,딱히
486,좋진
488,아쉬웠고
489,아쉬웠습니다
492,멋졌다
493,충분히
494,마땅해
495,어둡고
496,아프고
497,기괴하고
498,잔인한
499,미친듯
501,답답한
502,멋지다
503,완벽하고
505,없던
506,벅차오르는
507,가득한
508,설레이는
511,좋아했던
514,뒤늦게
516,필요한가
517,짜릿하고
518,행복했습니다
519,가혹합니다
520,미친
521,빠른
522,재밌었습니다
524,미친듯이
525,아쉬운
527,멋있고
528,예쁘고
529,아쉬워
530,행복했어요
531,기뻤어요
532,아닐수
533,없었네요
534,아쉬웠어요
535,다름엔
536,많으셨습니다
537,힘든
543,즐거웠고
545,매정해요
548,재미있어요
553,좋겠네요
556,재밌어요
557,있을지
564,좋겠습니다
565,좋아하는
566,색다르고
567,뭉클했어요
568,좋아합니다요
571,재미있었어요
574,다양한
575,실망하는
577,재미있게
578,행복합니다리지
579,힘찬
580,동그란
582,재미있어요
583,기대하던
584,행복해요
585,아쉽네요
587,잠잠해지면
588,소소하게
590,빠른시
591,똑같은
594,신나는
595,멋진
597,상관없이
598,만족스러웠던
599,행복한
601,미친
602,탁월한
603,잠잠해지면
604,신나게
605,아쉬워요
606,신나게
608,좋겠네요
611,짱짱하시고
612,안되나요
614,행복했습니다
615,그럽시다
620,아니었어도
621,재밌었을것
623,아쉽습니다
629,빠른시
630,부탁드림다
632,다른거
634,좋아서요
638,만족스럽고
639,사랑스러웠어요
640,빠른
642,아니였으면
643,좋았을
644,좋은데
645,신나는데
646,아쉬웠어요
647,행복했어요
649,없다는게
650,대단하더라고요
652,고팠어요
655,엄청난
656,아쉽네요
658,즐겁게
661,안됩니다
663,야해요
666,길도
667,착하면
668,짜릿하고
669,벅차고
670,아팠던
672,허전하네요
673,미친
674,재밌는
676,흥분했고
677,무서운
679,아팠던
680,자유롭겠죠
681,야합니다
683,없을거
685,아쉬워요
686,없다는게
687,많으셨고
688,행복했습니다
689,힘들것
690,같으니까
691,미친
692,재미있게
693,슬퍼
694,마라
695,재미있었어요
696,없다는
697,야함
699,신나고
702,슬픈
703,슬펐다가
704,슬펐다가
706,행복했어요
707,빠르게
708,부탁드립니다
709,조화로운
710,아름다운
712,아쉽네요
714,좋게
717,힘들었어요
720,멋있었어요
721,선하나리지
724,없을지도
726,많으셨고
728,없던
729,많아요
731,화끈하고
732,멋있는
733,좋겠습니다
734,미친
735,슬플
736,아니지
737,미친
738,행복했습니다
742,아쉬운
743,없었다면
745,찰진
746,시원하지만
749,아쉽지만
750,있겠지요
754,아쉬워요
756,재미있게
757,괜찮으신
759,좋지만은
761,즐거운
767,행복했어요
770,재미있게
773,행복했습니다
774,재밌어요
775,있어도
777,강하고
778,시원한
780,아니었으면
781,신나서
784,신나게
786,좋겠습니다
787,불행한
788,엄청난
795,간절히
796,신나는
797,슬프네요
798,완벽하고
802,불쾌해
807,괴로워
813,깊은
816,강한
817,열렬한
819,복잡하고
820,어려운
822,섬세한
823,있자면
826,잔혹한
827,아니라는
829,다양한
832,잔인한
833,불편한
834,넘치며
836,좋았던
838,신나는
839,아름답고
840,멋지게
843,엄청난
845,멋있어요
846,엄청났어요
847,강렬한
849,안쓰러워서
851,안됩니다
852,부당한
853,있는거고
854,있는거니
855,존하고요
856,유일한
857,아무런
858,스럽기만
860,힘든
862,재미있어요
863,미쳤다
865,안남았다는데
866,아쉬워요
868,강하고
869,좋아하는
870,아쉽네요
871,좋았는데
875,없다는게
