,Adjectives
2,재미있게잘
3,신나고
4,즐거운
5,괜찮아요
6,익숙한
8,재밌는
9,신나지만
11,완벽하고
12,행복한
13,기쁩니다
15,더라구요
16,적절한
17,깊었던
19,즐겁고
20,행복했습니다
23,행복하고
24,기뻐요
25,영원하다는
28,좋아해서
29,뻔히
30,있었어요
32,유쾌한
34,지루하지만
35,재미있게
36,재미있어요
37,익숙한
38,유명하기도
40,있었습니다
41,귀여우셨고요
42,깊었습니다
43,재밌고
47,가벼운
48,신나고
50,맑고
51,이뻤어요
53,좋았을걸
55,멀어
56,반했음
59,안됬지만
60,있죠
61,재밌었습니다
63,유쾌하고
64,신나는
70,좋아하셨어요
71,젊을
72,두근거려
73,없거니와
74,즐거운
77,재밌는데마
78,미친거
79,아니야아
80,행복해요
82,익숙하고
87,재미있어요
88,재밌어요
89,남달랐던
90,즐겁게
92,같기도
93,화려하고
95,안되는
96,멋졌어요
98,신나게
101,예쁘고
102,귀엽고
104,부탁드려
105,미다
107,즐거웠습니다
108,행복했고
110,젊은
111,발랄하고
114,단순하면서도
116,신나게
119,어려운데
120,즐겁게
124,재밌고
125,민망하기도
129,길지
131,고맙습니다
132,재밌었어요
136,부담스러워요
137,더거
139,행복합니다
141,있잖아요
142,길어
143,바빴어요
145,신나는
146,신나게
147,신나고
148,행복했어요
149,있었는줄
150,신나고
151,행복하고
152,유명한
153,빼어나더군요
154,좋구요
155,좋을
157,반했습니다
158,딱이시고
159,흠잡을
160,훌륭합니다
162,섹시하시고
163,예뻐서
164,즐거운
165,비싼
166,아깝고
167,저렴하단
168,훌륭한
169,현란하게
170,저렴해서
171,멋졌습니다
173,부탁드립니다아
174,필요한
177,많지
179,신나고
180,좋지
181,어색하지
182,행복해지는
185,행복한
186,유명한지
190,신나고
191,재미있어용
193,유명하고
194,있잖아요
195,신나고
196,유쾌하고
197,즐거웠습니다
199,신나는
200,즐겁게
201,있기에
202,슬플
203,깊은
204,유명한
205,좋아하는
206,설레였고
207,가득했다
209,아쉽
210,신나게
211,싫다고
213,행복하고
214,소중하고
