,Adjectives
4,강한
6,같긴
9,굉장했습니다
10,미쳤음
11,통쾌하고
12,멋있었습니다
13,아프고요
14,있었습니다
17,강렬합니다
20,대단한
21,있었다면
22,좋았을
23,아쉬웠습니다
24,반해
25,멋지더군
26,대단한
28,슬펐습니다
29,미쳤어요
35,좋앗어요
37,행복했습니다
38,슬퍼요
39,다르지
40,충분한
42,없었으면
43,있었을
45,젊잖아
49,뛰어납니
50,아쉬웠던
51,다양한
52,낡았다
54,죄송합니
55,멋있네
57,좋게
59,아픈
60,카랑카랑하신
61,멋있는
63,기쁜
66,아름다울
68,아름답고
69,아름답고
70,아쉬운
71,더할
73,멋있을
76,비슷한
77,있었어요
79,뛰어났어요
81,좋았어
82,많아
83,싫어
84,예뻤어지
87,아쉬웠네요
88,멋진
89,탄탄한
90,강렬한
92,단단한
93,풍부한
96,생생했어요
100,강렬한
102,아쉽지만
104,그랬겠죠
105,기대했던
106,멋진
107,좋겠는데
110,틀림없네요
116,아쉽네요
118,있다만
120,행복한
121,우울하고
122,어둡고
123,나쁘게
124,좋았던
125,음울한
127,불쾌하기도
128,반가웠습니다
129,짜릿한
130,부족한
131,있다고
132,아프게
133,아프게
135,당당하게
136,좋았지만
137,갸웃하게
138,아쉽지만
140,아쉬워요
142,좋았는데
143,아쉽네요
144,간결한
145,있다는
146,강렬한
147,재밌
148,재밌다
149,중요한
150,아니였어요
151,좋았을
153,재밌어요
155,흉했던
159,뜨거웠고
160,즐겁고
161,행복했습니다
162,즐겁게
163,마르소
165,좋겠습니다
166,힘든
171,귀여우세요
172,좋겠다
175,차가
177,어마어마했던
178,강렬한
179,당하면서
180,멋진
187,짜릿하고
189,재미있었습니다
191,아쉬웠지만
193,멋있고
195,가까
196,다르
197,차가웠던
198,엄숙하고
199,삼엄하게
200,고통스러운
201,유일하게
203,행복했어요
204,길어
205,새로운
206,행복한
207,멋졌어
208,행복한
209,색다르고
210,신기했던
212,있었고
213,멋진
217,멋진
219,대단하시다고
220,대단하십니다
221,행복했어요
224,완전히
225,같았고
229,재밌어요
230,멋져요
231,깊었습니다
234,깊었습니다
236,있길
237,미친
241,없죠
242,어려웠지만
243,있었습니다
246,망한
248,흔해져
250,찡한
251,답답하고
254,단순히
258,대단하셨습니다
259,미쳤다
261,미쳤다
262,화려한
263,있었어요
264,아쉬운
266,만족한
268,좋으네요
269,멋져요
270,완벽한
272,신선했음
273,아니네
274,무서웠어요
275,조아여
277,신선했구요
278,멋졌습니다
279,멀지
280,인한
282,쾌적하였습니다
283,아쉬웠습니다
286,안전하게
287,멋진
288,좋겠
289,무겁고
293,강렬한
296,만족해야
298,당했네요
301,강렬하고
302,멋지고
307,엄청나요
308,아프지만
310,후회되네요
312,괜찮아
318,강렬하고
325,다양하게
327,있는지
328,대단하기도
330,빨간
331,오래되었다가
334,힘든
335,아쉬워하던
337,작았다
338,그랬다
339,좁아
340,깊었다
341,어려웠지만
343,신선한
344,신기하게도
345,엄청난
347,강렬한
348,재밌네요
349,훌륭했어요
350,완벽했던
351,훌륭했어요
353,멋있는
354,만족스럽니다
355,강렬함에
356,있었습니다
358,새로워요
360,재밌습니다
362,즐거운
364,완벽함
365,출중하고
366,즐거웠는데
369,많더라고요
371,깊었습니다
375,다양하고
377,있길
379,강렬한
380,빨간
382,아쉽습니다
383,아쉽네요
385,많아요
386,드물죠
390,멋있어요
392,친절하게
394,푹신해서
395,편안했네요
397,강해서
398,부족하게
400,지루했어요
404,멋있어요
405,아쉬웠어요
407,멋있었어요
410,멋지면서도
416,영원히
417,놀랬던
422,애매해서
425,아쉽네요
426,멋진
428,익숙하지
429,납작하게
431,멋있게
432,같았던
