,Adjectives
0,없다는
1,아쉽지만
3,재미있어요
4,좋아한
5,만족하셨
6,아닙니다
8,다양하게
9,뛰어난
10,많구
12,궁금했던
13,멋졌고
17,오래된
18,짜릿한
21,궁금했는데
22,멋지고
23,다양한
24,확실했던
26,있었을
28,대단하셔요
31,좋음
32,좋음
33,좋게
36,필요없음
37,어렵다거나
38,훌륭해서
39,즐거운
41,좋구
43,멋진
45,옳은
48,아쉽다
50,훌륭했다고
51,좋았음
56,깊었다
57,중요한지
59,탄탄해서
60,좋겠다
61,필요한가요
63,아쉽고
64,행복한
65,완벽했다
66,멋졌어요
68,다정한
69,멋졌어요
70,화려하고
73,자랑스러운
75,정확한
76,훌륭했습니다
79,괜찮았던것
81,불편한
83,불편했던것
85,즐거운
87,완전히
89,흡사하게
90,대단하네요
91,좋겠고
94,좋게
96,멋진
97,높았어요
99,좋겠네요
100,행복한
104,궁금해서
105,실망한
106,계신다는데
110,그런지는
111,미워할
113,흥미로웠네요
115,그리운
118,행복했어요
125,좋겠습니다
126,그리운
127,아쉽네요
129,재미있게
131,아쉬웠거든요
133,기쁘네요
135,충분히
138,훌륭한
139,아낌없는
140,있었나
141,좋았던
142,훌륭한
143,대단한
144,입니다고전은
145,영원하다는데
148,훌륭하고
150,완벽한
151,섬세하신
152,멋졌어요
160,잔잔함
161,충분히
162,다양합니다
164,화려합니다
165,느리다는
166,아쉬운
167,많지만
168,충분히
169,만족했어요
173,딱히
174,어려운
175,아닐거
177,좋았겠다는
178,딱인데
181,다르진
183,멋지고
184,멋졌습니다
185,있구요
187,사랑스러운
188,좋고고전이
189,강렬한
192,강한
194,아쉽고다시
196,자랑스럽습니다
198,완벽한
199,완벽해요
203,아쉽지만
204,빠른
206,야합니다
208,아니었던
209,아쉬웠다
212,원하는건
213,기대할게요
215,재밌었습니다
216,멋있고
217,화려하고
222,그리워요
223,멋졌어요
224,짧았어요
227,재밌었어요
231,좋아하시는
232,좋아하셨습니다
234,기대합니다
235,만족해하셔서
236,뿌듯했답니다
237,시원했던
238,반했습니다
239,아쉬웠습니다
240,멋있었지만
241,넘쳤으면
242,좋겠고
243,좋았지만
245,아쉬웠어요
247,지루한
249,아쉬워요
250,있는거
253,훌륭해서
255,가까와
256,이럴줄
257,탁월한
258,아쉽네요
259,나열하는
260,많던데
261,필요한
262,빠르게
263,멋지게
265,지루할
267,좋았다면
269,만족스러웠고
270,흠잡을
272,화려하고
273,넘치는
274,많으므로
275,재미있게
278,재밌어요
279,화려한
281,넘치는
283,아쉬운
284,모호한
288,멋짐
289,필요없이
291,힘든것은
293,아쉬웠습니다
294,멋졌습니다
295,조아요
296,즐겁게
298,대단하시네요
302,추해요
303,재미있게
305,더해진듯
306,찡했다
307,야하는가의
309,멋졌고
310,좋아하는
311,화려해서
312,아까운
313,좋지만
315,독특했는데
316,단조롭지
317,다양한
318,아쉽지만
320,아쉽네요
324,아쉬웠다
325,좋았음
327,아쉬워요
329,있겠습니다
330,만족했고
331,슬펐네요
332,재미있는
334,화려한
335,즐거운
