,Adjectives
0,반짝반짝하고
1,안좋
2,화려하고
3,신났어요
7,아니었고
8,어리석은
9,충분히
11,대단하다고
12,화려하고
13,대단한
16,기대하지
17,그랬는지
18,재밌었고
21,뿌듯하게
23,가벼운
24,저렴한
25,신나는
27,신나고
28,재미있다고
29,좋아했어요
30,대단하신것
32,멋있어요
33,신나서
34,지겹지
36,좋았는데
38,깊은
39,신나고
40,행복했습니다
42,저렴히
43,편하게
45,익숙한
47,기대했는데
48,많았는데
51,재밌네요
52,현란한
53,미침
54,꾸준히
57,멋진
58,경쾌한
59,신나는
61,아쉬웠음
62,신나게
63,미쳤습니다
65,즐거운
67,멋진
68,멋졌어요
70,화려하고
71,멋지고
75,멋진
76,멋진
78,멋진
79,좋겠다는
80,편안하게
83,그러면서
85,사랑스러웠어요
86,넘치더군요
87,스럽고
88,익살스럽더라고요
89,멋있었어요
91,아쉽긴
92,멋진
93,멋진
94,쉬운
95,재미있게
97,즐겁게
99,재미있었습니다
100,행복하게
101,화려하고
103,넘치구
104,멋있었습니다
107,가득한
111,훌륭하고
112,화려한
113,멋졌어요
114,즐거운
115,멋진
116,화려하고
117,멋진
118,좋았음
119,그랬는지
120,피곤한
121,예쁘고
122,없고오
123,좋아해서
124,아쉬웠어요
126,예쁘고
133,신나는
135,안타까웠는데
136,무사히
139,새로운
141,어려운
142,많으셨습니다
143,재미있었어요
145,귀엽고
146,재밌어요
147,신나고
148,화려해서
149,재밌는
150,어렵지
151,무겁지
152,없게
153,화려하고
154,신비함
155,귀여운
156,재밌네요
157,멋지고
158,귀엽고
159,예쁘셨어요
160,건강하시고
163,재미있게
165,아쉬웠어요
166,좋겠고
169,아쉽네요
170,화려한
171,즐거운
172,멋지더라구요
175,멋져
176,만족했답니다
177,아쉬운
178,아쉬운게
180,아쉬운
182,멋지고
183,힘차고
184,가득하게
185,좋게
186,재미있었다
187,그러면서
188,익숙한
189,신기했다
190,화려하고
191,멋있고
192,있고전혀
193,지겨운
195,어느새
196,화려해
197,풍부해지면
198,스러웠다
199,어렵지
200,재밌어요
205,같았고줄리
206,흥미로웠습니다
208,재밌습니다
209,괜찮고
