,Adjectives
1,슬퍼요
2,뭉클하고
3,행복했습니다
6,부족한
10,빠른
11,귀여운
13,영원히
14,행복할
15,있었습니다
18,완벽한
21,뒤늦게
22,슬플
24,행복하게
25,그리워져요
26,멋있고
27,자랑스러운
28,영원히
29,멋있고
30,자랑스러운
32,없겠지만
33,행복한
34,건강하고
35,행복하길
39,행복해졌음
41,있었습니다
44,부족한
45,있었습니다
46,있다는
47,소중한
49,영원히
50,좋은데
52,있던데
53,그렇고
57,따뜻한
58,많으셨고
60,행복했던
61,고맙고
62,영원히
64,영원히
65,행복했습니다
68,행복했어요
69,입니당
70,영원히
72,좋은데
73,아니겠죠
74,다시없을
75,귀여웠다
78,야무지게
79,귀엽고
80,넘쳤던
82,어마어마했다
83,어떨지
84,좋더니
85,아니나
86,다를까
88,없도록
89,부은
90,대견하고
91,멋있고
92,사랑스럽고
93,자랑스런
94,사랑스러웠다
96,행복한
98,묵묵히
99,간절하게
100,원하는지
101,안타까웠다
103,빨개지던
105,미치는
106,야하지
107,귀여웠다
110,아기자기한
111,사랑스러웠다
112,다행히
114,죄송하다는
117,꾸준히
118,성장했고
119,따뜻한
121,안쓰럽고
122,뻔했는데
124,사랑스러워서
125,많았어
126,영원히
128,깊고
129,많았어
130,철저히
132,멋진
133,좋다
136,아니에요
138,영원히
140,따스했어요
143,좋겠습니다
146,영원히
148,그리워
149,건강하고
150,행복하셨으면
153,영원히
154,그리워요
155,영원히
157,행복했다
159,아쉬웠던
160,멋진
161,없기에
162,아쉽지만
163,새로운
164,영원히
166,있었음에도
167,무사히
169,만족스러웠습니다
170,슬프고
171,아쉬운
172,힘들게
173,새로운
174,영원히
175,아니였죠
177,좋았을걸
179,행복했습니다
180,영원히다시
181,영원히
184,아쉬울
187,넘치는
188,만족스러운
190,새로운
192,슬프네요
194,슬프지만은
196,성장할지는
198,영원히
199,행복한
202,재밌
204,재밌어요
205,자랑스러웠어
207,어려운
208,유치할
209,같다는
212,황홀하고
214,있도록
215,행복했다
216,행복한
217,행복했어
218,영원히
219,영원히
220,완벽한
221,무사히
223,아쉬워요
224,좋으면서도
225,아쉬워요
226,꾸준히
227,좋을거
230,같았던
231,슬펐는데
232,어떨지
233,아프지
234,고마웠어요
235,벅차고
236,행복한
237,벅차고
238,행복했습니다
239,좋으면서도
240,아쉬워요
241,꾸준히
242,좋을거
245,같았던
246,슬펐는데
247,어떨지
248,아프지
249,고마웠어요
250,건강하고
251,무사하게
252,고마워요
253,똑같겠지
256,가득하길
257,영원히
259,다정한
260,고마워요
261,완벽한
263,빠른
264,고마워요
266,따뜻한
268,슬퍼요
269,있는거
272,없다는
273,아쉬워요
274,슬퍼요
275,있는거
278,없다는
279,아쉬워요
280,슬퍼요
281,있는거
284,성장한
286,미치네요
288,뿐이기에
291,영원히
292,아쉽네요
293,빠른
295,아쉽네요
296,재밌어요
297,무사히
298,많으셨습니다
300,슬펐던
301,영원히
302,슬펐는데
303,그리워
304,있었어
305,성장하는
309,행복했어요
311,그리운
313,기대하고
314,있겠습니다
315,없다니
316,아쉽네요
317,빠르게
318,있었어
320,없다는
321,아프지만
322,새로
324,기쁘
325,특별해요
326,있길
327,영원히
328,벅차요
330,영원히
331,따뜻해지는
332,좋으니까
333,행복했어요
334,영원히
335,멋진
336,고마웠어요
337,다정한
338,없다는게
341,기뻤습니다
343,있을까요
345,아쉽고
346,슬프지만
347,있었어요
348,고마워요
349,영원히
351,재밌다
352,신선하다
354,새로운
356,영원히
357,없겠지만
359,있겠지만
360,영원히
361,미쳐
362,깊었어요
363,벅찰지
364,많았어
365,그리워
366,영원히
368,괜찮아요
370,고마워요
371,아프지만
372,촉촉한
373,있을게요
374,야무지게
375,유쾌하게
376,멋진
377,기대할게요
378,귀엽고
379,재밌었습니다
380,야무진
383,뻔했어요
385,슬퍼요
386,아니었습니다
387,기대하겠습니다
388,영원히
390,있다는
391,행복했습니다
394,대단합니다
