,Adjectives
0,설레는
1,필요없었습니다
2,없었지만
3,스럽다는
6,생생히
9,아쉬웠습니다
10,잔혹하고
11,생생하게
12,아팠던
13,설레는
14,스러우면서도
15,슬프던
18,생생히
20,잔혹하고
21,아름답기만
22,있기
24,좋겠습니다
30,만족하면서
33,재밌었어요
34,크나큰
36,독특하고
37,흥미로운
38,만족스러웠습니다
39,현란하게
40,단조로운
43,없었지만
44,넘치는
46,훌륭한
51,좋을
53,스러우면
54,흥겨
55,자세히
56,미친
58,찰지게
59,달랐지만
60,없이도
62,새로운
63,사악함을
64,섹시함
65,섹시하게
66,잘생겼다
67,식겁했지만
68,멋있었다
69,재밌었습니다
73,대단했고
74,엄청났습니다
78,있죠
79,그러냐고
80,아쉬웠거
81,부담스러웠을텐데
82,대단해
83,상당히
84,궁금했던
86,새롭게
87,대단했습니다
88,섬세하고
90,섬뜩함마저도
92,대단한
95,예쁘고
96,아름다운
99,사랑스러
100,무서운
103,뛰어나서
105,아쉬웠던
106,지루해질
107,아쉬웠
109,재밌었어요
114,야하는
115,잘맞으시더라구요
116,친하시고
118,있던데
120,아쉬운
121,많았습니다
124,아쉬운
125,아쉬운
127,만족스러운
128,뛰어나서
129,안타깝
131,순수한
133,같기도
136,좋지
138,그랬던
140,많았을것
142,즐거운
143,미쳤다
144,유쾌할
146,어둡기만
147,가득한
148,절묘하게
149,무섭기만
150,유쾌하게
151,어떨까
152,기대했는데
153,어떨까
154,뿐이었고
155,대단한
156,두터운
157,있겠다만은
161,중요하다면
163,아쉬운
165,좋으니까
166,아쉽더라
168,높지도
169,없다면
173,답답하게
176,기대하고
177,실망하지
178,완벽한
180,좋을
181,신선했어요
185,재밌네요
186,숨막힐듯
187,충분한
188,아니었지만
189,좋아하는
192,특별했
193,멋있으시고요
194,멋진
195,멋진
196,신선한
200,똑같아요
201,재밌고
202,엄청납니다
203,우울했던
204,더해져
205,음침하고
206,있었으나
209,강렬한
214,아쉽네요
215,아쉽습니다
216,끝내주신
217,많았습니다
219,아쉽네요
220,아쉽습니다
221,끝내주신
222,많았습니다
224,아쉽네요
225,아쉽습니다
226,끝내주신
227,많았습니다
229,멋진
230,멋진
235,신선한
236,힘든
237,좋았
238,아쉬워요
239,훌륭한
240,깊었습니다
241,기대하지
244,새로운
246,깊은
248,기괴하고
249,섬뜩한
250,없을만큼
251,멋집니다
252,재밌어요
253,엄청난
254,아쉬운
256,완벽했습니다
257,아쉬웠지만
259,시퍼런
260,날카로
261,아쉬웠습니다
263,무섭다고
264,무서워
265,무섭겠어라는
266,무섭더라구요
267,깊었고
270,참신함이
272,무섭긴
273,넘치기에
275,깊었었구요
286,흠잡을
287,빈약한게
288,기괴함을
290,지루하지
292,아까웠어여
294,강렬한
295,무서운
297,필요없음
298,엄청난
299,덤덤하기까지
300,담박한
302,같았던
303,멋집니다
304,대단한
307,강한
309,적절한
311,무겁지
314,재밌었어요
315,무겁지만은
316,아쉬웠습니다
318,기대합니다
319,신기했고
320,풍부한
322,서늘한
323,짧게만
324,아쉽습니다
