,Adjectives
0,없게
1,재미있어요
5,예뻐요
6,좋을
7,같아용
8,재미있어요
11,아름다워
12,행복한
15,많았습니다
16,행복했어요
19,아름다워요
20,좋아했던
21,예쁘게
25,재밌었습니다
27,예쁘고
28,예뻐요
34,좋아하는
35,행복했어요
36,아쉽지만
39,좋아하는
40,편안하고
45,귀엽고
46,사랑스럽고
49,재밌어용
50,멋있어요
51,넓은
52,완벽한
53,고마워요
54,재미있어요
56,재밌어요
57,재밌네요
58,이랬다면
59,있니
60,따뜻하고
62,넓은
65,잔잔하지만
67,좋아용
68,아쉬워요
71,빠른
73,재밌었습니다
74,새로
76,멀쩡한
81,아름답고
82,좋다
83,비슷한
84,황홀한
85,행복했습니다
88,벅차고
89,재밌었어요
91,예쁘고
92,예쁘게
96,아름다운
97,예쁜
98,행복한
99,예뻐용
100,예뻐요
102,만족스러웠어요
103,행복하고
104,즐거웠어요
105,행복하고
106,벅차오르는
107,행복했습니다
108,행복해지는
109,완벽하지
112,재미있어요
113,잘생겼다
114,같았던
115,어느새
118,행복했다
119,멋진
121,행복했다
123,따뜻하고
124,슬픈
125,유쾌하고
126,즐거웠다
128,행복해질
130,추할
133,재밌었습니다
134,유일한
139,재미있고
140,그득한
142,재미있게
146,즐겁고
147,행복하게
151,슬퍼지는
153,행복했어요
154,즐겁게
155,행복하세요
156,행복한
157,슬퍼요
161,즐거운
162,행복한
163,아쉽네요
164,아쉽고
165,행복했어요
167,이쁘고
169,행복한
170,행복했어요
171,재밌고
176,예쁘네요
177,벅차요
360,아쉽고
361,빠른
362,좋겠네요
363,행복했습니다
364,많으셨습니다
368,좋았던
369,슬프네요
370,예쁩니다
371,재밌어요
372,이쁘고
374,아름다운
375,아쉬워
376,좋았
377,즐겁
379,따뜻하고
380,행복하고
381,멋진
383,반짝반짝하던
385,아쉽긴
386,귀여웠다
387,아쉽지만
390,그러
393,성장해서
395,새로운
396,좋겠습니다
397,좋아해요
399,예쁘시고
401,어느새
403,깔끔했고
404,행복했습니다
407,아쉬워요
408,행복했습니다
410,슬펐어요
411,따스한
412,슬펐어요
413,아름다운
414,차가운
416,있었다는
419,무겁게
421,소소하게
422,예뻐요
423,재밌네요
424,재밌어요
425,재미있게
426,차가운
428,있었다는
431,무겁게
437,슬펐어요
438,새로운
439,만족했던
440,즐거웠던
441,엄청난
443,필요한
445,따뜻해지는
446,조화롭게
448,뻔했어요
450,재밌고
452,대단한
457,재밌었겠다
463,재밌고
464,귀엽고
465,의젓합니다
474,틀림없다
477,이쁘고
478,자연스럽고
481,좋아하는
485,입니다시데
488,소중한
490,재미있었습니다
491,재밌어요
492,어느새
493,아쉬워요
495,가득해졌던
499,힘들어요
502,예뻐서
503,아름다운
507,쉬운
508,가득한
509,순수하게
510,아름답고
511,고귀한지
513,아쉽네요
514,아름답다는
515,예쁜
516,행복했습니다
517,아쉽
520,많지만
521,소중하다
522,행복해져
524,재밌어요
525,잔잔한
527,벅차오르고
528,좋앗어요
529,재밌
531,소중하고
532,행복하고
534,아쉬운
536,따스하고
537,뭉클한
538,아름답고
539,벅찬
540,아름다운
543,실패하지
546,없이도
549,예쁘고
550,아파서
551,좋아할
552,예뻐요
554,아름다웠고
555,중요하다
557,용하는데
559,그러
560,담하는
561,재밌
562,예쁜
563,궁금하다면
564,맑게
566,미쳤어요
567,예쁘고
569,예뻐서
570,만족했습니다
571,아쉬워
572,아쉽네요
573,그렇고
575,아름다운
576,행복했습니다
577,없던
580,예뻐요
582,좋은데
583,좋았던
587,재밌겠다
588,아름다운
589,행복한
590,아름다운
592,만족스러웠음
596,분명해서
597,편했어요
598,화려하고
599,아름다워서
602,미쳤
604,반했습니다
605,재밌다
606,넘치는
607,예쁘네요
608,아쉬워요
611,벅차요
615,재밌어서
616,아쉬워요
618,예뻐요
619,재밌었습니다
620,행복한
623,재밌습니다
624,재밌어요
627,아름답고
628,좋은데
633,좋은데
635,아쉽
637,예뻐서
639,마라
642,단단하고
643,힘찬
648,슬퍼요
650,아니시네요
653,단단하고
655,벅차오르는
656,행복한
657,사랑스럽고
658,아름답습니다
659,고마워요
664,추워요
666,멋지고
668,재밌어요
669,만족한
670,행복해져
671,재밌어요
672,없나
673,불편하네요
674,이쁘고
677,이쁘고
680,소중합니다
682,좋았서요
683,잘생겼다
688,예쁘고
690,고마웠어요
691,예쁘고
692,재밌어요
694,후회되는
695,예쁘고
697,재밌고
702,재밌고
703,좋았다고
704,예쁘고
705,화려해서
707,재미있어요
709,좋을
711,이뻐서
714,행복했습니다
717,아깝냐고
718,재밌었고
720,완벽했던
721,부산스럽고
722,힘들었지만
724,단조로울
728,당연합니다
730,힘들
732,예뻐서
733,바빴습니다
734,아무런
735,완벽했어요
737,특출나게
738,아름답고
739,황홀한
740,매끄러웠습니다
742,재밌고
743,즐거웠습니다
744,계시다면
746,젊으셔서
747,재밌었어요
748,부드럽고
749,섬세하셔서
750,편안했네요
751,있으신
753,완벽하게
754,기대하고
755,풍부하고
756,든든한
759,단단하고
760,충분히
761,재미있고
762,예쁜데
764,재밌다
766,따스하고
767,찬란한
769,귀여워요
770,좋아하면
771,좋아할
772,예쁘게
774,예뻐요
777,신나서
778,좋게
780,예뻤고
782,깔끔하고
786,재밌
787,예쁘고
788,예쁘고
790,예뻐요
791,좋구
792,가볍게
795,흥미로웠고
798,완벽해서
800,편히
802,즐겁고
803,유쾌한
804,재미있었어요
805,지루하지
806,이쁘고
808,재밌었어요
812,싫어하고
813,미워하더라도
814,둥글다는
816,더해
817,성한
820,끈질긴
821,황당한
826,신선하다
829,환하게
830,다양한
831,뛰어나다
832,힘들어하는
833,젊은
835,재미있게
836,수많은
837,무모한
838,아쉬웠다
843,따뜻한
844,반해서
845,재밌어요
846,아름다운
848,귀엽네요
849,예뻐요
850,가득한
851,따뜻하고
852,진지하고
853,재미있고
854,벅차오름이
857,좋을
859,좋다기
860,아름다워요
861,어렵지
862,이쁩니다
863,가까워서
869,재밌어요
870,예뻐요
871,즐거운
872,괜찮은
875,있겠죠
878,궁금해요
879,재밌어요
880,이쁨
881,멋진
883,따뜻해져요
884,순수한
885,가득한
886,선한
889,좋아하는데
890,이쁜
894,재밌어요
899,확실하게
901,행복했어요
902,예쁜
903,예쁜
907,아름다운
908,재밌었어요
910,좋겠다
911,따뜻하고
914,예쁘고
915,예쁘고
916,예쁜
917,예뻐지는
918,예쁜
921,완벽한
922,다르지
925,재밌었고
928,재밌어요
930,재밌어요
931,아름다워
932,벅찼습니다
933,재밌을
934,같지
935,없었어
937,예쁘고
938,좋음
939,미쳤
940,미치는
945,재미있습니다
946,성한
947,어떨까
948,불편하더라고
949,아팠
950,기대해서
952,엄청나게
953,좋다는
955,재밌어요
958,신선했습니다
959,뛰어난
960,성하게
963,좋겠지만
964,간절하게
966,재밌었어요
967,몽글몽글하면서도
969,좋았지만
970,예뻤습니다
974,황홀했던
975,아름다웠어요
976,예쁘고
980,재밌습니다
981,벅차올라
982,아름다운
983,아름다워요
984,예쁘고
987,짱짱하고
988,예뻐요
990,재밌어요
991,예쁜
994,좋을
997,재미있어요
999,아니어서
1002,아름답군
1004,예쁜
1005,분명히
1008,따뜻함
1010,없었는데요
1012,답답했을
1013,대단하신
1014,즐거운
1016,뿌듯할
1018,예쁘고
1023,즐거웠다는
1025,기쁘네요
1027,가득한
1031,따뜻하고
1034,따뜻하고
1035,아름다운
1036,어땠을까
1038,멋져요
1039,재밌고
1040,재밌어요
1042,따뜻하고
1045,오만하고
1052,고운
1054,따스한
1055,예쁘고
1056,아름다워요
1057,좋아할
1058,똑같을
1059,따뜻해
1060,고맙다는
1061,예쁘고
1062,재미있어요
1066,뭉클하고
1067,벅차오르는
1069,예쁘고
1071,있거
1073,좋을
1075,좋겠습니다
1079,귀엽고
1080,더가까
1081,이렇게나
1082,귀엽게
1084,예뻐서
1087,없다는
1089,아름다운
1090,예쁨
1091,재밌어요
1092,재밌습니다
1094,예뻐서
1096,벅차올라서
1097,아기자기하니
1098,예뻤고
1100,깊었어요
1103,재미있더라
1109,재미있고
1110,예뻐요
1111,예쁘고
1112,즐거운
1113,멋있음
1114,재밌어
1115,아름다운
1118,재밌었습니다
1121,벅찬
1124,좋아하지만
1133,색다르네요
1137,없어야
1139,차가운
1141,있었다는
1144,무겁게
1146,예뻐요
1147,재밌어요
1148,재밌어요
1149,재밌어
1150,예뻤고
1152,예쁘고
1153,아니였는데
1154,충분히
1156,예쁘고
1157,아름답고
1159,자잘한
1160,진지하게
1162,좋을
1165,벅차오르는
1166,있어도
1167,예쁘고
1168,좋음
1169,깊어요
1173,재밌었어요
1175,재밌다
1176,후회되지만
1178,재밌지
1183,필요할
1185,귀여워요
1188,예쁩니다
1192,벅차고
1193,설레는
1198,재미있어요
1199,아름답다고
1200,귀엽고
1201,사랑스럽네요
1202,정확한
1204,아름답고
1206,예뻐요
1207,예뻐요
1208,가득해서
1210,좋아하는
1211,예쁜
1212,재밌었어요
1214,예쁘고
1216,미쳤어요
1218,좋아하고
1219,예쁜
1220,좋아하면
1221,황홀했던
1223,아니었는데
1227,아팠고
1229,예뻐요
1230,자세하게
1232,좋아하는
1238,기대하고
1239,재밌었습니다
1242,좋겠네요
1243,재밌어요
1244,아름다웠어요
1245,재밌어요
1246,예뻐요
1248,행복합니
1250,행복했어요
1251,재밌었습니다
1253,엄청난
1256,찡해서
1258,재미있고
1259,재밌어요
1261,예뻤
1262,재밌어요
1263,재미있어
1265,끝내줍니다
1267,슬프고
1268,아름다
1269,벅차올라서
1270,예뻐서
1271,즐거웠어요
1272,벅차오르는
1274,멀면
1275,좋아야지
1276,벅차고
1277,좋은데
1278,재밌네
1280,좋다구요
1286,반해서
1287,재밌고
1288,예쁘고
1293,벅찬
1294,예쁘네요
1296,예쁘고
1297,좋아해
1298,예쁘고
1301,예쁨
1302,예뻐요
1303,넓은
1305,재밌어
1306,멋짐
1307,예뻤어요
1308,재밌어요
1313,이쁘고
1314,재미있어요
1316,아닌가요
1317,예뻤어요
1318,재미있어요
1320,잘생겼
1321,재미있었어요
1323,시립니다
1324,예뻐서
1325,좋을
1327,더해져서
1328,풍부한
1332,아니어서
1334,예쁘고
1335,따뜻한
