,Adjectives
1,멋있어요
2,기대했는데
5,좋았구요
7,좋았다는
8,궁금하다
10,재밌는
11,재밌는
12,멋지지
14,즐겁고
17,재밌어서
18,재밌고
19,확실하게
23,멋진
24,있을까요
27,좋아하던
28,흔쾌히
29,행복하고
31,좋아하지
32,지루하더라도
33,좋아하는데
34,신나고
35,재미있었어요
36,유쾌하고
37,독특한
38,기대할게요
39,완벽한
40,재밌는
41,재밌어요
44,재밌는
45,길었어서
46,아쉽고
47,슬픕니다
48,아니었어도
49,재미있고
50,신나는
52,재미있어서
53,다양하게
56,만족스러웠고
57,편안하게
58,없다는
59,아쉬웠어요
60,없었더라면
62,신나는
63,슬펐습니다
64,신나고
65,재미있게
66,있길
67,건강한
68,있겠습니다
69,재미없는
71,가득했던
72,만족스러웠고
73,신나게
75,즐겁고
76,재밌을
78,많았다
79,재밌고
80,있을게요
82,좋구요
83,되서
84,신나는건
85,당연하고
86,완벽했습니다
88,많으셨습니다
89,재미있어요
90,재밌었습니다
91,귀여웠어요
92,좋은가요
94,좋았을텐데
95,아쉽지만
96,있겠죠
97,재밌어요
98,재밌었어요
99,미었어요
101,즐거운
102,고맙습니다
105,유쾌한
107,좋구
108,재미있어요
109,흥겹고
110,유쾌하고
111,따뜻한
112,힘들어
113,힘들어
115,재밌어서
116,신나게
118,신나는
119,인한
120,아쉬워요
121,아쉽다
122,기대했지만
124,좋았다다시
125,아쉬웠지만
129,좋았을텐데
130,아쉬워요
131,재밌어요
132,흥미로운
133,재밌고
134,신나고
135,좋았던
136,신나고
137,유쾌한
138,즐거운
140,아쉽습니다
141,힘들었어요
143,아쉬웠는데
144,아쉬웠을거라
146,재미있었습니다
147,아쉬웠습니다
149,힘들어
150,힘들어
151,좋아한다면
152,야하는
153,재미있었습니다
154,좋게
155,없다가
156,재미있네요
157,좋겠습니다
158,재밌었다
159,재밌고
160,신났다
161,어렵구나
162,아쉽
163,다양한
164,화려한
166,유쾌하게
168,재밌을
170,재밌었어요
171,재밌었어요
172,재밌었어요
173,재밌었어요
174,재밌었어요
175,재밌었어요
176,재밌었어요
177,재밌었어요
178,재밌었어요
180,유쾌한
183,그리워요
184,행복했던
186,행복했던
188,재밌었습니다
189,잔혹한
190,딱히
191,재미없던
192,스러워
193,놀라워이게
194,새로운
195,눈부시게
196,세련되고
197,멋진
198,멋져
199,새로운
201,새로워라
202,새롭
203,새로운
204,그럼요
217,재미있게
219,기대하면서
220,행복하게
221,힘든
222,아쉽습니다
224,무사히
225,신나는
226,유쾌하게
228,억울하고
229,억울하고
230,있겠습니다
231,많으셨고
232,좋았을텐데
233,아쉬웠어요
235,신나니까
236,재밌으니까
237,즐겁고
238,유쾌한
239,섹시한
240,소중히
242,자유로워지고
243,적절한
245,낮이오듯
246,재밌었습니다
247,재밌었고
249,아니었나요
252,특별히
253,뿐이었어요
254,바쁘다가
258,아닌가요
259,그렇
260,있어도
261,아닙니다
262,안되고
263,없으시다면
265,안되는
266,좋았어서
267,좋겠습니다
268,신나는
269,가볍게
271,엄청납니다
272,유쾌하고
273,즐거운
275,아쉽네요
277,깊다
278,달콤한
279,슬픔이어라
281,같으니
282,좋겠지만
284,재밌고
286,아쉽지만
287,재밌었어요
288,달콤한
289,재미있었어요
291,즐거워
293,잘생겼다
298,사랑스러워요
299,재밌다
302,재밌습니다
303,재미있어요
304,아쉬워요
306,아쉽네요
308,좋을텐데
310,귀여워
312,궁금해지
313,재밌는
314,많았구요
315,초조함
316,색다른
317,재밌었어요
318,재밌어요
320,재밌겠지만
322,충분히
323,재미있었습니다
324,있을게요
327,즐거웠습니다
328,즐겁게
330,멋진
331,신나는
332,즐겁고
333,좋있습니다
337,아쉬울
338,아쉽습니다
339,유쾌하고
340,새로운
343,야합니다
344,뒤늦은
345,후회될
347,소중함까지
348,있었기에
349,아쉬워
352,필요하고
354,아쉬우면서도
356,있었지
358,아쉬웠습니다
359,그랬을지도
360,행복한
361,어려워
363,할가
364,더했던것
366,필요했지만
367,괜찮은
369,유쾌하고
371,유머러스함과
373,절묘하게
374,사랑스러웠던
375,발광함은
377,노련해지는
380,새로운
383,어려운
385,소중한
386,행복한
388,열렬히
389,즐겁고
390,훌륭한
391,재미있게
392,아니네요
398,좋겠네요
399,아쉽고
400,없었네요
404,아쉽다
405,대단하지만이
408,어려운
409,같다는
412,끊임없이
413,대단하다
415,즐겁게
416,즐거웠어요
417,어려운
419,행복한
422,좋겟어요
423,귀여웠어요
424,있어도
425,즐거워지는
426,흥겨운
427,아쉬웠어요
431,즐거운
432,재밌는
433,신나게
434,속상했습니다
439,사랑스러워요
440,괜찮습니다
441,아쉬워요
443,있으리라
444,행복하게
445,있던거
446,아쉽고
447,좋았을텐데
448,아까
449,답답해
450,그랬음
451,좋게
452,재밌었고
453,행복했습니다
454,즐거워
456,재밌다는
457,뒤늦게
459,행복했어요
460,망하면
461,신나고
462,즐겁게
464,재밌는
465,행복했습니다
467,아쉽
468,유쾌한
469,아쉬웠음
472,재밌는
473,아쉽습니다
474,쏠쏠한
476,있겠습니다
477,진정한
478,아무런
479,무사히
481,많으셨고
482,많은데
485,행복한
486,멋진
487,어려운
488,행복하고
489,즐겁게
491,좋겠습니다
492,행복하고
493,즐겁게
494,행복했어요
495,어려운
496,멋진
498,즐겁게
501,귀엽고
502,벅차오르는
507,아무런
508,있겠지만
509,싫어
510,강했음
511,신나고
512,미친듯
513,좋아하는
514,없어이
515,아쉽지만
516,많았음
517,아니라고
518,뻔했다
519,재밌었고
520,같다전에
521,귀엽고
524,즐겁고
525,재밌는
526,좋겠습니다
527,아쉬웠지만
528,좋았음
529,재밌었고
530,아쉬운
532,힘들어
534,즐겁게
536,독특해서
537,부질없는
539,좋다고
540,작아서
541,아쉬워요
542,재밌었어요
544,재밌어요
545,즐거웠어요
546,신나고
549,힘듭니다
550,좋겠다
551,신나고
552,재밌었던
554,신나는
557,즐겁게
560,똑같은
562,유쾌하고
563,즐거운
567,부탁드려요
568,즐거웠어요
570,미쳐
573,힘들었어요
574,조켔
576,행복해요
580,즐겁고
581,만족스러웠습니다
582,아쉽진
583,아니에요
585,행복해지는
586,용맹하고
587,재밌고
588,즐거웠던
589,재미있는
593,좋아하면
596,신나게
599,우울했는데
600,즐거운
604,재밌는
605,아쉬워요
607,힘들었어요
610,신나게
611,재미있게
612,아쉬울
613,재밌고
614,유쾌한
616,편하게
619,아까워서
620,달콤하지
621,좋고요
625,재미있었어요
626,미치는
627,자세히
628,낡은
631,있으시다고
632,좋았겠다
633,아쉬운것
635,아낌없는
636,아쉬운
637,있는것
641,즐겁게
642,깊은
644,따뜻했습니다
646,안되어
647,아쉽지만
649,완벽한
650,아쉬워요
651,쉬운
653,화려한
655,즐거워져요
657,가득해요
658,신나는
660,즐겁고
661,확실한
662,유쾌한
663,신나는
665,뻔했어요
666,입니다건
667,노련하고
669,어려운
672,아쉬웠고
673,같아오
675,아니었던지
677,연했지만
678,재밌습니다
679,좋겠네요
680,재밌었어요
681,좋겠다
682,유쾌하고
683,즐거운
684,재밌었어요
685,즐거운
687,안좋고
689,즐겁게
692,신나고
694,재밌고
695,즐거운
696,죄송할
700,좋겠습니다
701,있을게요
702,많았는데
703,멋진
704,신나게
706,달콤한
707,가득했던
708,아쉬운
709,쏠쏠하네요
710,아쉽네요
711,많아
712,원하는
713,아닙니다
716,아쉬
718,뒤늦게
719,후회될
720,재미있었
721,쏠쏠했던
722,힘들어
723,아니야
725,좋았던
727,행복했습니다
728,있을게요
730,재미있고
733,좋겠
734,유쾌하고
735,행복한
736,재밌습니다
740,미았었어요
741,미았었어요
742,즐거웠던
744,같고잘
745,재밌었어요
747,있길
748,즐거웠습니다
750,유쾌하고
751,재미있는
752,재미있었습니다
753,아쉬웠는데
755,힘들었
757,유쾌하고
758,재밌었어요
759,가벼운
763,예뻐요
764,좋았던
765,재밌네요
766,유쾌하고
767,벅차오름
769,즐거웠어요
772,독특한
773,괜찮았을
776,많지
777,아쉬웠지만
778,씬나
779,씬나
780,신나는
781,없었지만
783,신나여
784,힘들게
785,신나고
786,재미있게
788,많지만
791,재밌어요
793,재밌었습니다
794,아쉬운
796,재미있는
797,많았다
798,재미있게
801,야해요
802,야해요
803,좋은데
804,재밌어요
806,즐겁고
807,가볍게
808,즐겁게
809,재밌었어요
812,많았던
813,아쉬웠어요
814,아니던데
816,즐겁고
817,행복했습니다
818,우울할
823,힘든
825,완벽했던
830,재밌어요
833,즐거웠습니다
835,우울한
836,멋진
837,좋아하는
838,야한다고
839,즐겁게
841,즐거웠어요
847,무서운
848,있었어서
850,기대했는데
851,아쉬우니
853,빠른시
854,신나고
855,가득한
856,아쉽
857,우울한
858,평화로운
860,그러지
861,아쉽
862,찰지기
865,즐거웠다네요
867,행복한
868,재밌고
869,행복했어요
871,아까워요
876,변함
878,진실하라
879,신나는
880,행복해
883,흥겹고
884,즐겁고
886,행복했습니다
887,아프게
888,즐겁고
889,사랑스러운
890,안전한
891,재미있게
894,낮이오듯
895,재밌습니다
896,넘칩니다
897,흥겹고
898,즐거웠어요
900,즐거운
902,싫어
904,완벽한
905,부탁드려요
906,재밌고
907,유쾌했어요
909,완벽했네요
910,재밌는
913,좋겠다
914,자유롭게
915,있길
916,싫으니까
917,행복했습니다
918,힘든
919,멋있고
920,섹시하고
921,재밌었어요
922,귀엽고
923,재미있어서
924,색다른
926,아쉽네요
927,빵터진
928,재밌긴
929,재미있게
930,아쉽습니다
935,재밌었어요
936,재미있다
937,귀엽고
938,사랑스럽고
939,재밌었네요
940,많지
941,재밌고
942,사랑스러운
944,재밌어
945,재밌었어요
947,신나고
948,짜릿해요
950,신나는
951,귀엽고
952,사랑스럽고
956,좋아하는데
960,아니었으면
961,신나고
962,재밌었
964,재밌습니다
965,재밌었어요
966,좋을
968,유쾌한
970,좋겠습니다
971,멋진
972,재미있어요
973,잘생겼다
974,재밌었어요
976,슬프네요
978,짜릿하고
980,행복했습니다
981,신나고
982,재밌었어요
984,아니었으면
985,즐거웠겠네요
986,많았네요
987,유쾌하고
988,재미있는
990,재미있어요
994,없는게
995,아쉽지만
996,아니었나요
997,재밌다
1001,행복한
1002,어려운
1003,편히
1004,아쉽지만
1007,좋겠습니다
1009,좋겠습니다
1010,어렵게
1011,좋겠습니다
1013,좋겠습니다
1014,어렵게
1015,좋겠습니다
1017,좋겠습니다
1018,어렵게
1019,좋겠습니다
1021,좋겠습니다
1022,어렵게
1023,힘든
1025,신나고
1028,빠른
1029,가까운
1031,팍팍한
1032,행복했습니다
1033,아쉬워요
1036,그럴듯하게
1038,같은게
1039,선명히
1040,그랬어요
1041,유쾌한
1042,있었다면
1043,즐거웠을
1045,재밌었어요
1046,아쉽네요
1047,재밌어요
1048,재밌었어요
1049,아쉬웠지만
1050,행복하고
1051,즐거운
1052,많은것
1054,좋겠습니다
1058,깨끗하게
1059,유쾌한
1061,재밌어요
1065,좋아한다면
1068,엄청난
1069,원하는
1070,반해
1071,소박한
1072,귀엽고
1073,순수한
1075,자연스러운
1076,완전히
1082,힘든
1084,아쉬웠어요
1085,있길
1086,재밌었어요
1088,유쾌하고
1089,뻔해서
1090,즐거운
1091,비슷한
1102,재밌어요
1104,재미있어요
1105,귀여워
1106,끊임없이
1107,유쾌한
1108,즐거웠어요
1109,신나고
1110,있었어용
1113,안되는
1114,즐거웠어요
1115,재밌고
1116,좋으네요
1118,지루했지만
1122,수많은
1123,재미있게
1126,어떨지
1128,있었겠구나
1129,수많은
1130,재밌을텐데
1131,행복한
1132,행복했어요
1133,만족할
1136,재밌어요
1140,좋았구요
1141,행복했습니다
1142,재미있었습니다
1143,재미있었어요
1144,행복해지는
1145,즐거운
1146,우울한
1148,즐겁고
1149,유쾌한
1150,재미있게
1152,아쉬웠습니다
1153,없다는
1154,싫어
1156,쏠쏠하네요
1158,아쉬운
1160,그랬어서
1161,야해요
1162,노래해
1165,아까웠지만
1167,재밌습니다
1168,재밌어요
1169,재밌어요
1170,행복한
1172,즐거운
1173,많았고
1174,재밌고
1179,신났어요
1180,재밌었어요
1181,즐거웠습니다
1183,재미있었습니다
1187,빠른
1188,있길
1189,짧아서
1190,아쉬웠습니다
1193,재밌고
1194,신나는
1202,좋아하고
1203,서운했는지
1204,건강하시고
