,Adjectives
0,웬만해서는
5,무사히
7,좋은데
8,아쉽네요
11,아쉽네요
12,좋겠습니다
13,예뻤습니다
14,좋았는데
17,좋을
21,불편한
23,좋겠다는
26,훌륭합니다
27,짧았어
29,좋았는데
30,아쉬워요
31,아쉬워
32,새로운
35,좋았던
40,완벽했어요
41,아쉬운데
42,좋겠습니다
45,좋겠습니다
47,아쉬워요
52,짧았습니다
53,넓은데
54,좋아서도
55,좋았구요
58,아쉬워요
59,뒤늦게
60,아쉬웠네요
61,아름다웠습니다
63,힘들지만
64,완벽했어요
65,후회됩니다
66,빠른
67,궁금했던
68,행복했어요
69,좋구
73,아쉬웠던
76,좋아했고
80,좋겠네요
84,아쉬우니까
88,슬프고
89,안쓰럽
91,잘생겼다
92,좋아하던
93,좋아했는데
94,아쉽네요
95,좋았어
96,행복할
99,착한
101,재미있어요
102,멋있는데
103,불쌍함
104,나쁜
106,나쁘다고도
107,있구나라는
108,좋아해서
109,멋졌습니다
110,아름답습니다
112,좋지
115,멋있고
116,있었나
117,멋있어서
118,아쉬웠고
120,많다는
121,속상합니다
122,안타깝네요
125,특이해서
126,재미있었습니다
128,아쉬워요
131,좋아했는데
132,짧아서
133,아쉬웠던
134,있길
139,훌륭한
140,재밌었어요
143,강한
146,아닙니다
147,불쌍한
148,불쌍한
149,당해서
150,불쌍한
151,나쁜
152,시원하게
159,아름다워요
161,아름다
167,새로운
170,멋있네
171,아쉬워요
172,나쁜
173,안쓰럽
175,즐거웠습니다
177,즐거운
178,다양한
179,많았고
181,멋집니
184,길고
185,있는가
186,없구나
188,좋았는데
189,안타까웠어요
190,슬펐습니다
191,고우
192,설렜고
193,행복할
195,아팠습니다
196,있으시고
197,멋있느
198,많으셨고
199,있었
200,행복했습니다
202,아파서
203,길었더라면
204,아쉽네요
206,잘생겼다
207,좋다
208,나쁘지
210,미잘
211,아쉬워요
212,아쉬웠는데
215,어렵고
216,힘든
217,아쉽네요
218,깊었던
219,아름답고
223,좋았는데
224,아쉽네요
226,없죠
227,아닌가요
228,좋았던
229,소중함을
232,슬프고도
233,아름다운
235,좋을
236,아름다운
237,아쉬웠어요
239,불안함
242,뿐입니다
247,적당히
248,깊었다
249,아쉬웠다
251,있길
252,많으셨습니다
254,행복했어요
255,재미있어요
256,예쁜
257,완벽했던
259,아깝게
261,궁금했는데
262,있었네요
263,흥미롭
265,아쉬웠습니다
266,빠른
271,있으나
273,즐거운
274,대단한
277,애틋하게
279,재밌었어요
281,이렇게나
283,짧았어요
284,재밌
285,신기했다
286,슬펐다
287,짧았어
288,멋진
289,좋았지만
290,멋져요
293,아쉽지만
296,나빠
297,안타까웠던
299,아프게
301,아픕니다
302,못지않게
307,아쉽네요
308,좋았어
314,빠른
315,무리란
316,재밌고
317,만족한
319,슬퍼지는
321,대단했습니다
322,재미있어요
323,좋았
324,재미있어요
325,다를
328,조화롭게
329,좋았어
331,아쉬울
333,있내요
335,멋있으시네요
336,시원하고
337,다양한
341,특별함이
343,이상합니다
344,깔끔한
345,편했습니다
346,좋겠습니다
348,이렇게도
349,가능하네요
350,짧다고
351,부탁드립니다
352,없게
353,확실하고
354,다르니까
355,좋아해서
356,괜찮게
357,재미있는데
358,스러워요
361,좋아하는
362,행복해
363,어렵게
370,좋아하네요
376,당해서
377,스럽네요
378,스러
379,대단합니
380,아깝네요
382,아름다운
383,쓸데없는
384,시원했습니다
386,아쉬울
388,아쉬워요
390,빡치는데
394,조마조마했지만
395,짧은
397,힘든
400,편하게
403,충분히
406,있었으며
407,완전한
412,신비하고
414,흔하게
418,좋았던
420,아름답다
421,가득했네요
422,아니었어
423,재밌었습니다
424,나쁘다고
426,재밌어요
428,아쉬웠는데
431,멋있었어요
432,깊었어요
433,재밌습니다
434,따뜻한
435,고픈
436,아름다운
438,깊은
439,아쉬울
443,있자
450,섹시한
452,같다도
455,어렵게
457,짧지만
458,강한
461,짧아서
462,아쉬워요
464,기뻐요
465,예뻤어
466,나쁜
467,괴로워하니
468,아프고
469,당했는데
470,아깝고
471,아쉽습니다
472,좋음
475,좋았네요
476,단순히
477,나쁜
479,만족스럽습니다
480,힘들어
481,나쁜
483,허전한
484,아니었다
485,충분한
488,다행히
490,아까워
493,안타깝습니다
494,아쉬워요
495,멋진
496,짠하지만
497,예쁘게
498,따뜻하게
499,안타깝게
501,없는데도
502,멋있어요
506,짠하고
507,슬프네요
508,멋있고
509,멋있고
511,아쉽네요
513,멋진
514,행복했어요
517,없는데도
518,멋있어요
519,좋았어
521,멋있고
523,멋있음
524,재밌어요
525,잘생겼어요
526,좋았어서
527,색다른
530,쏠쏠합니다
531,좋겠네요
533,입니다도
534,멋지셨어요
536,애절한지
538,슬프네요
540,없어야
541,아닌가요
542,재밌었어
544,특별한
545,예쁜
546,멋지고
547,멋지네요
548,재밌어
549,좋더라구요
550,멋져요
551,상당히
555,새로운
557,기뻐
559,즐거운
560,아름다웠던
562,좋으련만
565,아름다웠어요
567,아팠어요
570,슬펐는데
572,행복했어요
573,스러울
574,좋았던
580,좋아하는데
582,작지
585,예뻐서
586,좋을
591,유명한
593,색다른
597,좋더라구요
599,안타까웠습니다
607,이쁘고
608,귀여운
612,무서워서
613,즐거운
617,안타깝게
618,색달랐습니다
620,부담스러웠지만
621,좋았어
622,있나요
624,당하며
625,부조리한
627,그리워하던
629,안쓰럽고
630,불쾌했습니다
631,스럽
635,자리는
636,아팠지만
638,예뻐요
