,Adjectives
0,명확했었으면
1,좋았을
3,있겠습니다
4,어렵다
6,재밌었어요
8,슬프다
11,없었지만
12,몽글몽글한
13,아름답게
16,슬픈
18,안타깝
19,같던
21,행복했으면
22,좋겠다는
23,뿐이에
24,재밌어요
25,새로운
26,행복했던
27,좋았겠지
28,아니여서
29,좋더라구요
30,빠르게
31,좋겠습니다
32,슬픈
33,행복하게
35,재미있어요
36,엄청나게
37,재미있었어요
38,행복했으면
39,행복했으면
40,좋겠습니다
41,좋겠습니다
42,슬펐던이
43,스러워서
44,아쉬웠지만
48,진하게
49,깊은
50,아름다운
53,행복했고
54,행복해야
56,고마웠어요
57,즐거운
58,있길
59,아쉬워요
61,예뻐요
63,아쉬운데
64,부탁드려요
67,다르기
75,슬픈데
76,사랑스러운
78,즐거운
83,소소한
85,아련합니다
89,즐거웠던
90,고맙습니다
91,행복해졌겠죠
93,같아선
94,좋겠다
98,좋아했어요
100,후련해지고
101,행복했어요
102,재미있었어요
103,행복해라
104,단순히
109,아름다웠던
111,어렵지
113,아름다웠구요
115,충분히
116,아름답고
117,풍부해서
120,따스한
123,꾸준히
125,행복했으면
126,좋겠습니다
130,씩씩하게
131,예뻐진
132,깊어진
134,특별한
139,따뜻하게
141,슬펐어요
144,비슷하지만
147,행복하길
153,지루하다고
155,비슷하게
156,예뻤어요
157,행복했던
158,행복했으면
159,좋겠습니다
160,수많은
162,소중한
163,아름다운
164,행복했으면
165,좋겠습니다
166,행복했고
167,차분한
168,슬프고
169,아프고
170,그렇더라구요
172,빠른
173,아쉽네요
174,있겠습니다
177,즐거웠습니다
182,잔잔하게
183,좋아했던
184,평범하게
186,좋겠네요
188,좋아했던
189,이쁘게
190,행복했어요
195,슬퍼요
197,부탁드려요
198,차분해서
201,발랄하지만
202,불안함을
207,행복했습니다
209,재미있어요
210,차분한
213,행복했습니다
214,고맙습니다
215,소중한
217,행복했습니다
219,잔잔한
220,예쁩니다
222,행복한
225,아까운
228,행복했고
229,부탁드립니다
230,재미있게
231,좋아하시는
232,행복했습니다
235,섬세한
236,따뜻한
237,무사히
239,없었는데
240,좋았음
241,재밌었어요
243,편하고
245,단순히
249,새로
250,가득하고
253,평범하다는
254,있기에
256,아름답게
258,부족하기는
261,있는가라는
262,재밌는
264,부탁드려
265,없나요
267,사랑스러워요
270,행복했으면
271,좋겠습니다
272,매운
273,잔잔하고
274,잔잔하고
275,슬픈
276,슬퍼졌던
277,잔잔한
