,Adjectives
0,재밌어요
1,없었는데
2,귀여웠어요
6,묵직하게
8,귀여운
10,재밌는
11,신나고
13,그랬잖아
14,가득할
17,소소한
18,달랐던
19,좋았네요
21,아쉬웠는데
22,짧게나마
24,기쁩니다
25,행복했으면
30,재밌네요
36,좋았다는
37,좋지만
38,넉넉한
39,좋겠
42,행복했어요
45,만족할
48,즐겁게
55,있다가
56,재밌어요
57,재밌어서
65,미친
68,다정하고
69,날렵하고
72,깊고
73,여린
75,멋있고
79,깊어서
80,좋겠다
81,반하고
85,부탁드려요
87,있었음
89,좋았는데
90,재밌었습니다
91,아님에도
96,잔잔하고
97,따뜻한
100,행복해야
101,슬퍼
102,멀다
103,멀어
106,훈훈하고
107,가능하긴
108,즐거운
112,미쳤어
113,미쳤고
114,미쳤고
115,편하고
121,있었음에도
123,많아
125,없던
126,아쉽네요
127,재밌고
128,그러다
129,귀엽고
130,짠하고
131,안쓰러웠는데
132,따스해졌어요
133,완벽히
137,재밌고
138,따뜻하고
139,뭉클한
141,재밌었습니다
142,더하고
143,아니가
144,중요한
145,아니야
146,재밌어요
148,없었나요
149,아니어
150,재밌고
156,재밌습니다
157,재미있다고
158,재미있게
159,재밌어요
160,재밌습니다
162,좋을
164,재밌어요
165,따뜻한
166,아쉽네요
167,유쾌하고
170,즐겁게
171,행복하자
172,따뜻하게
173,아쉬워요
174,아깝고
175,찡할까
176,낡은
177,새로
178,따뜻한
180,귀여운
188,따뜻한
189,미안해
190,곤란하기
192,참신하고
193,있으신
195,귀엽고
196,부을
198,재밌어요
199,새로운
200,또렷한
202,신선했습니다
203,새로운
204,같더라고
205,미친
206,재밌습니다
207,아쉬운
211,사랑스러웠어요
212,재밌어여
214,슬픈
215,슬프고
216,좋았는데
217,슬프네요
218,따스한
222,재밌고
224,좋아하는
227,무거운
229,힘들
231,재미있게
233,외로울
237,두려워
242,아쉬워요
243,슬픈
244,슬퍼요
245,그랬어요
248,행복했어요
249,나쁜
250,부탁드립니다
251,흥미롭게
257,행복했고
260,원하는
261,안됨
265,있다지만
266,엄연히
270,안일하게
272,아쉬웠구요
276,행복해
279,재미있어요
280,재미있게
281,재미있게
283,다양한
284,유일한
285,재미있고
286,재미있어요
289,재미있어요
290,재미있게
291,재미있게
293,다양한
294,유일한
295,재미있고
296,재미있어
299,슬프고
303,좋아하는
304,좋아해서
305,좋아하는
306,힘들었지만
308,아니야
309,원하는
310,설레는
313,재밌어요
314,후련하게
315,기대할게요
316,아쉽네요
317,벅차는
318,아쉽네요
319,더라구요
320,가능한
321,뻔한
322,친한
326,나쁜
327,아쉽지만
329,슬프고
331,슬퍼서
332,만족스러워요
333,따뜻해지는
334,어느새
335,재밌다
337,행복한
339,행복한
340,달랐으면
341,있았을
342,슬퍼요
343,귀여워요
349,슬펐던
352,영원하라
355,자유로운
358,좋더라
361,슬픈
367,기대하고
369,재밌고
370,슬프고
372,즐거운
373,멋진
376,영원해
378,다정한
380,즐겁고
381,행복한
382,행복했다
384,즐거웠어요
385,재밌어요
386,재밌다
388,소중하고
389,고마운
390,아쉽지만
392,재밌고
393,넘치면서
394,따뜻한
395,재밌어요
396,새롭게
398,시원하게
401,따뜻하고
402,착한
403,좋게
404,성장하는
406,슬픈
407,행복한
409,재미있게
412,재미있게
413,행복했어요
415,벅차는
417,있으니까
421,찡해요
422,즐거운
423,아니었네요
424,활기차요
429,재미있습니다
433,미안해는
434,슬프네
435,미세한
436,좋을
438,재밌었다고
439,계시다면
440,좋을
442,아름다운
443,재미있었어요
444,좋아하면
451,유치한
453,유쾌함이
454,어느새
455,뻔하다면
456,뻔하다
459,탄탄한
462,아쉬워요
463,청량한
464,귀여운
465,어느새
468,들뜨게
470,행복했습니다
474,이럴
475,없었는데
476,재밌는
477,계시다는
479,재밌답니다
480,즐거운
481,좋았던
482,귀여운
483,슬픈
485,안쓰럽지만
486,이쁜
491,즐거운
493,즐거운
494,상관없어
496,재밌어요
499,행복한
504,충분하고
505,청량한
506,신나고
509,좋은데
511,좋았어서
512,같음
514,좋겠습니다
516,재미있게
517,청량한
518,사랑스럽고
519,청량하고
520,좋았어
521,열광하는
525,재미있게
527,재밌어용
528,재미있어요
530,없죠
534,멋있고
536,아닌데도
539,있죠
542,재밌고
543,슬프고
544,속절없이
548,피곤해서
549,아파서
550,만족하고
554,훌륭하세요
555,아쉽습니다
557,좋겠네요
558,즐겁고
559,만족해하며
564,아름다운
565,아름다운
566,귀여워요
567,재밌는
568,재밌는
570,중요하다는
572,재밌어요
574,궁금해
581,괜찮은
584,대단하다고
585,따뜻하고
586,슬프고
587,벅차고
588,좋다
589,재미있어용
591,귀엽고
592,재밌고
595,좋았는데
597,슬퍼요
599,원하는
600,아니야
601,원하는
605,아니었어
606,행복하게
607,따뜻한
608,소중한
609,재미있어오
612,완벽했다
613,스러울
614,재밌어
616,슬프지만
618,재밌어요
624,없게
625,재미있었습니다
628,깊은
630,귀엽고
636,따뜻한
643,좋은데
644,아쉽습니다
645,좋아하는
646,벅차는
648,예뻐요
650,짧아서
651,아쉬워요
652,즐거운
653,재밌어요
658,좋못
659,재밌어
660,재밌다
661,좋았던
662,이럴
664,행복한
665,있어선
666,재밌어
667,재밌다
668,좋았던
669,기대할게요
670,그리워요
672,좋았고요
673,엄청나게
674,기대하고
675,흔한
676,유사하여
680,싫은
682,아쉬워
685,부자연스러워요
686,부족할
689,아쉬운
690,소심한
692,슬펐어요
695,촉촉하게
697,활기차게
701,즐거운
704,아니구요
706,자유로운
707,가볍게
709,좋을
711,따뜻해지는
713,재밌어요
714,아쉬워요
715,청량한
716,따뜻한
717,아닙니다
718,재미있게
720,재미있지만
721,슬퍼
722,신났구요
723,재밌어서
724,가벼운
725,재밌고
726,슬프고
729,행복해라
730,행복해야
731,재밌기도
734,안남아서
735,아쉬워요
736,좋아하는
737,계시다면
738,소중한
740,착하고
743,즐겁
747,즐겁게
749,미쳤음
750,찡해서
754,예쁘다는
755,좋아하시는
756,좋아하실
758,재밌었습니다
760,재미있고
765,건강한
768,괜찮아가
772,좋겠습니다
775,새로운
778,좋아여
779,완벽한
782,귀엽고
783,쉬워서
786,안타까운
788,좋다
790,재밌음
794,재밌고
797,신나고
798,넘치는
800,어느새
801,그렇고
802,그렇고
803,재미있었고
805,재미있어요
806,재미있게
807,재미있었어요
808,재미있었습니다
809,부족한
810,아쉬운
811,분명히
815,넘치는
819,재밌어요
825,좋았음
827,재밌는데
828,슬픈
830,조아요
831,재밌습니다
832,재밌다
833,원하는
835,피곤하고
842,신기하고
845,들뜬
846,신남이
847,뻔한
848,슬픈
851,행복한
853,성장하는
854,예뻤어
855,따뜻한
856,원하는
858,넘쳐서
860,재밌어요
861,재밌고
862,슬퍼요
864,행복합니다
866,소중해졌어
867,입니다나의
868,영원한
869,재밌었어요
870,그랬잖아
872,엄청나구
873,좋았는데
874,좋더라
878,좋아하는
879,그랬잖아
882,재밌고
886,귀엽다가
887,우울한
888,아름답게
890,좋다
892,짧은
893,아쉽다
895,청량하고
898,실패하면
900,뛰어나지고
901,섬세한
902,성해지고
906,아쉬울
907,만족하며
908,아쉬워요
910,벅차는
911,특별해요
913,넘치는
914,귀엽게
915,재밌어요
918,재밌고
919,즐거운
923,있었다니
924,좋겠다
925,많네요
926,당연함
927,재밌음
928,갑작스럽게
929,재미있어요
931,재미있게
934,여전했어요
936,뻔함은
939,계실
941,행복하게
945,그렇긴
949,행복한
950,고마워
951,괜찮지만
954,건강한
955,비슷한
957,새롭
958,힘들었을
960,힘들
963,적절한
967,찬란함
969,좋음
970,더한
971,재밌어요
972,실패한
977,행복해라
978,저렴하게
980,짧은
981,있냐구
983,많은데
984,유쾌하다가도
985,슬픈
988,훌륭한
991,슬픕니
992,짧은
995,재미있습니다
996,좋아하시는
997,재미있게
998,재밌어요
999,좋겠다
1001,담담하게
1003,같았고
