,Adjectives
0,재미있게
1,좋겠네요
3,재미있게
4,좋아하고
8,재밌고
11,유쾌했던
12,아쉬워요
13,훌륭한
14,많으셨습니다
15,새롭게
16,즐거웠어요
17,즐겁게
18,색다른
19,완벽한
20,재밌어서
21,즐거웠고
23,기대하겠습니다
24,즐거워하시고
25,멋진
27,즐겁게
28,좋았지만
29,아쉬웠습니다
30,역은
32,대단하더라고요
34,가볍게
36,즐거운
37,정확한
38,풍부한
41,기대한
44,좋았던
45,완벽한
46,넘쳤어요
48,평범하지
49,지루하지
50,가득한
53,재미있게
54,좋겠네요
55,멋진
56,가난하고
58,유쾌하고
59,즐거운
62,좋았구요
63,유쾌하네요
64,재밌었어요
65,까말까
67,좋았구
68,야할까봐
69,많으셨습니다
70,야해요
71,예뻐요
72,탄탄하고
73,유쾌하고
74,즐거웠습니다
76,완벽했다
77,재밌어서
80,완전히
81,속상할
83,재밌는
85,대단하게
86,만족스러웠던
88,사랑스럽고
89,재밌었는데
91,유쾌한
92,즐거웠습니다
93,아쉬워요
94,아쉽다
97,만족했던
98,재밌다
99,아쉬
107,재밌었어
108,적절한
109,즐거웠어요
110,좋을
113,없는게
114,슬프네요
115,재미있습니다
118,맛깔나서
120,잘생겼다
121,잘생겼다
122,잘생겼다
124,재밌고
126,재밌었고
128,재밌었던
129,좋겠습니다
130,좋다
134,탄탄한
135,아닐수
136,있겠어요
137,완벽한
142,아쉬워요
143,유쾌하게
145,스럽고
146,살벌한
147,유쾌하게
150,재밌는
151,즐거운
153,재밌었어요
154,즐겁고
155,행복하게
157,재밌었어요
158,편하게
159,재밌는데
160,아쉬워요
161,궁금하니까
162,완벽한
163,즐겁네요
164,재미있습니다
165,실망했다
167,야하는
168,즐거웠다
169,재밌었을
171,재밌기는
172,아까운
173,따끈한
174,시끄러운
175,멋져요
176,솔직하게
177,아름답다네
178,영원히
179,계시더군요
180,없으시고
181,재밌어요
182,재밌었습니다
183,튼튼해져서
186,약했지만
188,미에
190,행복하고
191,즐거운
194,똑같고
196,안되는
198,재밌어요
199,힘들게
200,행복했어요
201,재밌었구요
204,유연해졌더군요
207,끝내주셔서
208,아쉽네요
209,재밌었습니다
210,유쾌하고
211,즐겁게
212,재미있게
213,뒤늦게
214,아쉬운
215,입니다다
219,흡족한
220,훌륭했습니다
221,아쉽네요
222,유머러스하게
225,즐겁게
226,많으셨다고
227,멋진
229,즐겁게
230,행복했어요
231,즐거웠습니다
232,좋았지만
234,재밌어요
238,필요했다
239,좋아하는
240,많았던
243,재밌었어요
244,좋아할지
246,재미있게
247,멋졌어요
250,딱좋
251,연하는
253,완벽하고
255,엄청났다는
257,재밌다고
258,기대하며
259,재밌고
260,재밌는
261,즐겁게
