,Adjectives
3,아쉬운
4,대단했던
6,안되어
7,대단한
10,지루하지
11,충분했습니다
12,식상할거라
13,흥미로운
16,서운했을
17,좋아하는지
20,애절한
22,이상하게
24,달콤한
25,충분히
26,있었기
27,정확히
32,변하는
34,고우셨어
35,고운
37,예쁘더라
38,반할듯
39,그러다
40,민망하기도
41,좋았지만
42,폭넓은
43,대단했던
45,없도록
46,풍부한
47,깊은
50,지루하지
52,많았어
53,좋았지만
55,완벽하게
57,찡해지구요
58,끝내줬습니다
59,깊었던
63,뚜렷하게
67,좋으셔서
68,좋아했었는데
69,역이셨던
71,아름다운
74,좋아하는
75,유명한
77,무섭게
79,엄청난
80,어색함
81,완벽히
82,있었고
85,불과하더라도
86,있었습니다
88,있었습니다
90,강하게
91,진하게
92,강하게
94,아쉬웠어요
95,멋진
99,쓰릴
100,아니었다구요
104,좋아하거든요
105,아쉽네요
107,같으니라
108,유명한
109,좋아하고
110,가까운
113,없었구요
114,좋으셨다는
115,끔찍할
116,악독하지만
118,용감하지만
119,서글픈
120,아파하고
121,좋으셨다면
124,한심하고
125,불쌍하고
126,어리석었던
129,부러워서
130,찌질하게
132,치열한
133,있다는
134,무심했는데
136,더랍니다
137,아까운
143,환장하고
144,뚜렷하게
145,선하게
146,악하게를
147,짧게
149,무섭다
151,없었다
152,없듯이
153,훌륭하게
159,저렴한
161,기대하고
162,높아서
164,자리는
165,아무런
168,빠르게
171,필요한
172,출중하다
175,같았는데
176,변하기
180,기대했던
181,멋있으셨어요
182,섹시하면서도
183,슬픈
185,멋있었는지
188,충분히
190,좋아하다
194,아니었어요
195,불편함이
196,없더라구요
197,성공해서
200,아쉬워서
201,미치곤
203,아니더라구요
204,탄탄한
206,섬세하게
207,대단하다고밖에
209,훌륭한
210,변하는
211,좋았지만
213,좋았던
214,죄송하지만
215,즐거운
216,신나던지
217,반했던
218,차분한
219,좋아합니다
220,새로운
223,좋아해서
225,있으니까
226,역지
228,훌륭하고
230,스럽고
231,차분하고
232,고운
233,발랄하고
234,선명한
235,같다는
236,힘들어요
237,좋아하는
238,있었더라구요
239,아름다운
240,불안했는데
241,좋아해서
243,애절한
244,반해
245,깨끗한
247,맑고
248,청아한
253,많은데
254,매끄럽고
256,멋진
259,차분한
261,많더라구요
262,부족한
263,불안하고
264,그랬어요
266,대단하다는
267,멋진
270,깊은
271,좋게도
272,똑같은
273,있었습니다
274,훌륭하신
276,있더군요
277,아까울
278,있었어요
279,좋아하는
283,훌륭한
287,대단했어요
288,좋았는데요
290,좋지만
291,좋으셨어요
292,찡해지고
293,설레기도
294,좋아해서
296,괴로운것처럼
298,괴로운듯
299,계신데
300,멋지다고
301,화려하고
302,멋있는
303,멋져요
305,스러웠어요
306,쓰릴
308,젊은
309,대단하다
314,비싸다며
317,멋진
318,대단했으니까
319,아쉬운
323,아름다운
324,진중함
325,짙은
327,불가능하더라도
328,선한
329,있도록
330,너그러
331,아름답게
332,훈훈한
333,훈훈합니다
335,멋졌어요
336,뜨거워지고
337,뻔히
339,두근거림이
343,당했네요
344,좋았네요
345,훌륭해요
348,없을만큼
349,완벽했어요
351,가녀리지만
353,완벽한
354,대단하다고
355,유익한
357,아니라서
358,실망했지만
359,못지않은
361,적절한
365,없던
366,지루해
369,충분하다
370,굉장하다
371,아쉬웠던
374,가득합니다
375,행복했던
376,고맙습니다
377,슬프네요
380,좋겠습니다
381,있었기
382,좋아하는
383,아니기
385,없었다
387,성공하는
388,변해가면서
391,아쉬웠지만
392,있는것으로
393,아쉽네요
394,뒤늦게
395,아쉽긴
406,없더라구요
407,뛰어난
408,신들린
410,재밌네요
411,멀지
412,괜찮았어요
413,시끌벅적하고
415,덥니다
416,심히
417,불쾌했습니다
419,없었는지
420,궁금하네요
421,성장하신
423,당당한
424,유명한
428,아까울
429,대단하다던
430,대단했다는
431,미치지
432,어렵겠지만
433,가까운
435,열악한
437,성공하기에
439,가능한
440,속상했지만
441,훌륭한
447,선한
448,당당히
451,미친
453,없었다
454,미친
456,좋다
457,있는듯
459,좋아했는데
460,아름답고
461,섹시하게
462,야하다고
463,섹시했다
464,아쉽
465,좋았을걸
467,아쉬워
468,시원해하는
469,좋겠다
471,재미있어요
472,멋졌다
473,지루했지만
474,재미있어지는
475,같았다
476,다양했음
477,좋았겠단
478,아쉬운이
479,놀랬던
481,미치는거
482,같았다
483,좋았고아이랑
485,스러웠긴
486,훌륭한
487,짠하기도
488,재미있게
492,훌륭했고
493,훌륭했습니다
495,좋을
496,소중하지
498,바람직한
499,바쁜
500,대단했었
503,짜증나는거
504,멋진
505,그럴만
506,어려운
508,아쉽고
509,아쉬워서
510,아까울
511,수많은
512,행복했습니다
513,대단해요
514,같더라구요
515,작으시고
517,좋았던것
519,안좋아
520,재밌었습니다
521,안될듯
524,거대한
525,좋을것이다
528,아쉽게도
529,아쉽지만
530,좋겠네요
532,힘들어하는
533,비싼
534,비싸서
535,아쉬울
536,좋은데
537,불편하다
539,빠르게
540,넘치는
541,즐거운
542,어렵게
544,있었음
545,좋겠습니다
546,괜찮을
549,기뻤습니다
552,짧게
553,아쉬어요
555,더군요
557,있을지도
558,행복했습니다
560,뛰어난
561,열렬했습니다
562,있었거든요
563,있기
564,힘든데
566,즐거웠어요
567,기대하며
568,유쾌하고
570,새로운
572,만족하고
573,야할지
574,궁금해서
576,같았다
578,같았다
580,있는지는
581,새로운
582,새로웠다
586,대단할수있을까
588,맑을수있을까
589,대단한
590,많이있는데
592,부러웠다
593,멀다는걸
594,자연스러운거
597,사납게
598,딱이었나보다
599,대단했지만
600,대단했구나
602,그득했고
603,대단하기도
604,짠하기도
605,그랬답니다
606,길고
607,재미있었어요
609,같다는요
610,멋지시고
611,이쁘시더라고요
612,설레여요
613,아쉽네요
614,아쉽다
615,실망했었습니다
616,미친
617,없더군요
618,어색하고
619,편안한
624,재미있었어요
625,멀어서
626,없었지만
628,없어도
629,없다더니
630,좋았
631,어느덧
632,더군요
633,당당한
634,멋있었습니다
635,같은걸
636,즐거웠구요
637,만족스러웠습니다
638,있겠지만
639,없다는
640,슬펐다
641,필요없을
642,재미있는
643,익숙한
645,재미있는
646,훌륭히
647,멋지다는
651,힘들었거든요
653,소중하고
654,벅차오르게
655,어마어마한
656,아름다운
657,섹시한
659,아쉬워서
662,많으셨습니다
663,있을까요
665,슬퍼요
666,필요없는
668,뛰어나시고
669,아쉽고
673,행복하고
675,행복하고
678,없을거라는
680,아쉽고
681,어렵고
682,그러네요
684,많으셨습니다
686,재밌어요
687,멋진
689,멋지게
691,재미있었어요
692,멋진
693,그렇게나
695,아니였지만
697,반갑고
699,재미있게
700,힘드실
702,좋았지만
704,자리는
705,아쉽지만
706,대단하다
707,멋진
708,미친
710,깔끔한
712,완벽한
713,아쉽고
714,아쉬운
715,가까운
717,많으셨습니다
720,비싼
724,놀라운
725,반했습니다
727,부탁드립니다
728,대단한
729,탁월한
730,고급스런
733,더해지면서
734,깊은
741,없던
742,새로운
743,더해지는것
745,좋았구요
749,아쉽지만
750,많으셨구요
751,빠른시
