,Adjectives
1,막연한
3,깔끔하고
4,재밌는
5,재밌어요
6,휩쓴
8,궁금해서
9,새로운
10,재밌어요
11,재밌어요
12,재밌어요
13,재밌어요
14,재밌어요
15,재밌어요
16,재밌어요
17,재밌어요
18,재밌어요
19,재밌어요
20,재밌어요
21,재밌어요
22,재밌어요
23,재밌어요
24,재밌어요
25,재밌어요
26,재밌어요
27,재밌어요
28,재밌어요
29,재밌어요
30,재밌어요
31,재밌어요
32,재밌어요
33,재밌어요
34,재밌어요
35,재밌어요
36,재밌어요
37,재밌어요
38,재밌어요
39,재밌어요
40,재밌어요
41,재밌어요
42,재밌어요
43,재밌어요
44,재밌어요
45,재밌어요
46,재밌어요
47,재밌어요
48,재밌어요
49,재밌어요
50,재밌어요
51,재밌어요
52,재밌어요
53,재밌어요
54,재밌어요
55,재밌어요
56,재밌어요
57,재밌어요
58,재밌어요
59,재밌어요
60,재밌어요
61,재밌어요
62,재밌어요
63,재밌어요
64,재밌어요
65,재밌어요
66,재밌어요
67,재밌어요
68,재밌어요
69,재밌어요
70,재밌어요
71,재밌어요
72,재밌어요
73,재밌어요
74,재밌어요
75,재밌어요
76,재밌어요
77,재밌어요
78,재밌어요
79,재밌어요
80,재밌어요
81,재밌어요
82,재밌어요
83,재밌어요
84,재밌어요
85,재밌
86,재밌어요
87,재밌어요
88,재밌어요
89,재밌어요
90,재밌어요
91,재밌어요
92,재밌어요
93,재밌어요
94,재밌어요
95,재밌어요
96,재밌어요
97,재밌어요
98,재밌어요
99,재밌어요
100,재밌어요
101,재밌어요
102,재밌어요
103,재밌어요
104,재밌어요
105,재밌어요
106,재밌어요
107,재밌어요
108,재밌어요
109,재밌어요
110,재밌어요
111,재밌어요
112,재밌어요
115,슬프고
116,재밌고
119,재밌다
121,재밌고
122,몽글몽글한
124,신나기도
125,슬프
128,재밌네요
132,재미있게
133,행복해요
135,막연한
136,있다는
137,아쉬운데
138,있겠죠
142,재미있는
143,재밌어요
146,아니에요
147,재밌을
148,실패하지
152,무서워서
153,좋았
155,실패해서
156,새로
158,귀여워
160,완벽한
161,신선한
163,실패해서
164,새로
168,막연한
169,달콤함
170,좋았네요
173,따뜻하고
174,재밌는
175,멋있어요
176,즐거워요
177,재미있게
178,유쾌하고
179,재밌어요
180,재밌고
181,따뜻해지는
183,신기했습니다
185,귀엽고
188,행복한
189,재밌어요
190,좋고요
192,재밌어요
193,완벽한
195,있었습니다
196,재밌는
198,무서운
202,추웠어요
203,추웠나
204,천진난만한
205,재밌고
206,많아
210,훌륭하고
211,미쳤어요
212,재미있게
213,재밌고
215,재밌었습니다
218,넘치게
220,유쾌하고
221,재밌어요
222,좋았는데
223,느리고
224,지루한
225,있었어요
226,빨라져서
227,괜찮아졌어
228,좋으셔서
229,아쉽
230,행복한
231,즐겁게
233,재미있어요
236,슬픔다
238,적당히
239,재밌고
240,적당히
241,있었어요
242,적당했
243,행복했습니다
244,유쾌한
248,완벽한
249,부족하지
250,좋았구요
253,있으면서도
257,행복해
258,꾸준히
260,행복한
261,가득한
263,좋지만
264,행복한
266,재밌습니다
267,재밌는
270,재밌어
271,재밌는
273,즐거운
276,힘들었어요
277,재밌네요
278,신나고
279,유쾌하고
280,따뜻한
281,바빠용
282,좋다
283,재밌는
284,지루해서
285,아쉬웠습니다
286,신기하고
287,깊었어요
290,행복한
292,행복해서
296,행복했으면
298,재밌어요
301,아쉬운
303,적절히
306,재미있는
307,촉촉해진
308,재미있어요
309,재미있고
310,지루하지
311,행복했어요
312,행복했고
314,즐거웠는데
315,신나기만
318,재밌어요
320,같지만
321,재밌습니다
322,같지만
323,재밌습니다
324,같지만
325,재밌습니다
326,같지만
327,재밌습니다
328,같지만
329,재밌습니다
330,같지만
331,재밌습니다
332,같지만
333,재밌습니다
334,같지만
335,재밌습니다
336,같지만
337,재밌습니다
338,같지만
339,재밌습니다
340,같지만
341,재밌습니다
342,같지만
343,재밌습니다
344,같지만
345,재밌습니다
346,같지만
347,재밌습니다
348,같지만
349,재밌습니다
350,같지만
351,재밌습니다
352,같지만
353,재밌습니다
354,같지만
355,재밌습니다
356,같지만
357,재밌습니다
358,같지만
359,재밌습니다
360,같지만
361,재밌습니다
362,같지만
363,재밌습니다
364,같지만
365,재밌습니다
366,같지만
367,재밌습니다
368,같지만
369,같지만
370,재밌습니다
371,같지만
372,재밌습니다
373,같지만
374,재밌습니다
375,같지만
376,재밌습니다
377,같지만
378,재밌습니다
379,같지만
380,재밌습니다
381,같지만
382,재밌습니다
383,같지만
384,재밌습니다
385,같지만
386,재밌습니다
387,같지만
388,재밌습니다
389,같지만
390,재밌습니다
391,같지만
392,재밌습니다
393,같지만
394,재밌습니다
395,같지만
396,재밌습니다
397,같지만
398,재밌습니다
399,같지만
400,재밌습니다
401,같지만
402,재밌습니다
403,같지만
404,재밌습니다
405,같지만
406,재밌습니다
407,같지만
408,재밌습니다
409,같지만
410,재밌습니다
411,같지만
412,재밌습니다
413,같지만
414,재밌습니다
415,같지만
416,재밌습니다
417,같지
418,재밌습니다
419,같지만
420,재밌습니다
421,같지만
422,재밌습니다
423,같지만
424,재밌습니다
425,같지만
426,재밌습니다
427,같지만
428,재밌습니다
429,같지만
430,재밌습니다
431,같지만
432,재밌습니다
433,같지만
434,재밌습니다
435,같지만
436,재밌습니다
437,같지만
438,재밌습니다
439,같지만
440,재밌습니다
441,같지만
442,재밌
443,같지만
444,재밌습니다
445,같지만
446,재밌습니다
447,같지만
448,재밌습니다
449,같지만
450,재밌습니다
451,같지만
452,재밌습니다
453,같지만
454,재밌습니다
455,재밌어요
456,재밌어요
457,재밌어요
458,재밌어요
459,재밌어요
460,재밌어요
461,재밌어요
462,재밌어요
463,재밌어요
464,재밌어요
465,재밌어요
466,재밌어요
467,재밌어요
468,재밌어요
469,재밌어요
470,재밌어요
471,재밌어요
472,재밌어요
473,재밌어요
474,재밌어요
475,재밌어요
476,재밌어요
477,재밌어요
478,재밌어요
479,재밌어요
480,재밌어요
481,재밌어요
482,재밌어요
483,재밌어요
484,재밌어요
485,재밌어요
486,재밌어요
487,재밌어요
488,재밌어요
489,재밌어요
490,재밌어요
491,재밌어요
492,재밌어요
493,재밌어요
494,재밌어요
495,재밌어요
496,재밌어요
497,재밌어요
498,재밌어요
499,재밌어요
500,재밌어요
501,재밌어요
502,재밌어요
503,재밌어요
504,재밌
505,재밌어요
506,재밌어요
507,재밌어요
508,재밌어요
509,재밌어요
510,재밌어요
511,재밌어요
512,재밌어요
513,재밌어요
514,재밌어요
515,재밌어요
516,재밌어요
517,재밌어요
518,재밌어요
519,재밌어요
520,재밌어요
521,재밌어요
522,재밌어요
523,재밌어요
524,재밌어요
525,재밌어요
526,재밌어요
527,재밌어요
528,재밌어요
529,재밌어요
530,재밌어요
531,재밌어요
532,재밌어요
533,재밌어요
534,재밌어요
535,재밌어요
536,재밌어요
537,재밌어요
538,재밌어요
539,재밌어요
540,재밌어요
541,재밌어요
542,재밌어요
543,재밌어요
544,재밌어요
545,재밌어요
546,재밌어요
547,재밌어요
548,재밌어요
549,재밌어요
550,재밌어요
551,재밌어요
552,재밌어요
553,재밌어요
554,재밌어요
555,재밌어요
556,재밌어요
557,재밌어요
558,재밌어요
559,재밌어요
560,재밌어요
561,재밌어요
562,재밌어요
563,재밌어요
564,재밌어요
565,재밌어요
566,재밌어요
567,재밌어요
568,재밌어요
569,재밌어요
570,재밌어요
571,재밌어요
572,재밌어요
573,재밌어요
574,재밌어요
575,재밌어요
576,재밌어요
577,재밌어요
578,재밌어요
579,재밌어요
580,재밌어요
581,재밌어요
582,재밌어요
583,재밌어요
584,재밌어요
585,재밌어요
586,재밌어요
587,재밌어요
588,재밌어요
589,재밌어요
590,재밌어요
591,재밌어요
592,재밌어요
593,재밌어요
594,재밌어요
595,재밌어요
596,재밌어요
597,재밌어요
598,재밌어요
599,재밌어요
600,재밌어요
601,재밌어요
602,재밌어요
603,재밌
604,재밌어요
605,재밌어요
606,재밌어요
607,재밌어요
608,재밌어요
609,재밌어요
610,재밌어요
611,재밌어요
612,재밌어요
613,재밌어요
614,재밌어요
615,없게
616,재밌습니다
617,재밌습니다
618,재밌습니다
619,재밌습니다
620,재밌습니다
621,재밌습니다
622,재밌습니다
623,재밌습니다
624,재밌습니다
625,재밌습니다
626,재밌습니다
627,재밌습니다
628,재밌습니다
629,재밌습니다
630,재밌습니다
631,재밌습니다
632,재밌습니다
633,재밌습니다
634,재밌습니다
635,재밌습니다
636,재밌습니다
