,Adjectives
2,따뜻하고
3,아픈
4,슬퍼요
5,좋겠습니다
6,유명한
7,재밌어
12,그리운
15,없겠지만
17,재밌는
18,부탁드리는
19,가능했던
21,아니었으면
24,반가웠던
26,없다니
27,없네
28,행복한
29,행복하다고
30,없겠지만
36,좋은데
37,어지간하면
39,같진
40,심하게
42,급하게
43,기대할게요
44,행복한
46,재밌어요
47,재밌어요
48,재밌어요
49,아련한
50,아름다운
51,아름답다는
56,아쉬워요
58,즐거운
59,아름다워
60,좋아하는
66,재밌네요
68,좋았던
69,아릿해지는
70,아쉽지만
72,기대하고
73,설레여
74,좋지
75,없다니
76,아쉽지만
77,멀고
78,재밌어요
82,수많은
83,아프다는
87,좋아했어요
88,예쁘고
89,재미있게
91,재미있을까
94,아쉬운
95,재밌었어요
96,아니야
98,반갑고
99,아쉽고
100,좋았던
102,있겠으나
104,그리워하겠죠
105,길다라고
106,슬프면서도
107,소중하게
112,재밌어요
113,슬프고
114,슬픈
115,행복했습니다
116,재밌어요
117,멋진
120,행복했어요
123,재밌었습니다
124,아름다운
125,아쉽지만
126,재밌어요
128,즐거운
129,있겠습니다
133,있을까요
134,무사히
137,반가웠구요
139,없다다음
141,행복했어요
142,슬펐어요
144,어려운
145,있길
147,재밌어요
148,많았지만
149,좋겠
150,그리워요
151,재미있었습니다
152,불안했는데
153,귀하게
158,소중했어요
161,행복했습니다
162,없었는데
166,슬퍼하던
167,좋겠네요
169,특별한
173,새로운
174,행복했어요
175,재밌어요
176,넘치게
177,슬펐어요
178,있는거
182,자리는
183,슬프고도
184,아름다운
185,더해진
186,역이었던
187,아니하지
191,없죠
192,야해요
195,또렷한
196,동그란거
198,좋게
200,좋앗습니다
201,잔인해
203,아니라고
207,다르지만
208,저렇구나
209,신선하고
210,재밌었어요
211,따뜻해지는
213,행복했습니다
214,재밌어요
216,어떨까
217,궁금해하면서
218,급격하게
219,변한
222,있길
224,행복했습니다
226,아쉬웠어요
227,생생한데
228,아쉽고
229,있다고
232,없어도
233,섭섭해하지마
234,달콤한
235,당당하고
236,아름답고
240,따스함
241,소소하게
242,소소하게
243,소소하게
244,소소하게
245,소소하게
246,있다는것이
247,아니겠습니까
248,재미있어요
249,벅차는
252,재밌었어요
253,그렇습니다
254,아쉬울
259,힘든
260,행복했던
263,좋은데
264,어떡해요
267,벅찬
268,중요한
269,행복했어요
270,재밌었어요
271,재밌어요
273,있죠
275,아니까
276,아쉽지는
277,뭉클했습니다
278,아쉬운
282,행복하시길
286,시시해서
287,계시겠지만
288,많으셨습니다
289,아니네요
290,행복했어요
291,재밌었어요
292,슬프고
293,그래요
294,힘들었으나
295,즐거웠습니다
296,즐거웠던
297,좋아했던
299,기뻤습니다
303,그리워하던
305,기쁩니다
306,기대하고
307,있을게요
309,있으면서
310,단조롭지는
311,같음
317,미치겠음
318,강한
319,미쳐
321,필요한가
322,잘생긴
323,좋다
325,좋음
327,딱히
328,고소할
329,미침
330,유명한
331,유명한지
333,많았습니다
334,섬세한
335,뭉클한
336,기대합니다
340,완벽했던
341,없다는
342,재미있었습니다
343,아닌데
344,아니냐면
346,행복했습니다
347,행복했으면
348,좋겠습니다
350,슬프게
354,아쉬웠고
355,맑았던
358,재미있어요
359,가득했던
360,슬픈
362,아쉬웠어요
363,좋았던
365,완벽한
367,미쳤다
368,좋던걸요
371,행복한
372,행복한
373,깊고
374,즐거운
375,재밌어요
377,아쉬워요
378,있었을
381,있겠지
382,아쉽기만
383,쌀쌀한
386,뻔했냐고
388,슬프지만
390,있다고
391,저릿한
393,정신차려
395,안녕하고
396,있더라고요
399,같다는
402,있었고
403,그렇기에
405,순수한
407,다정함이
408,아니었을까요
409,아니라고
410,다정함에
413,다정함을
418,같았거든
419,훌륭한
420,좋겠고
421,있는게
423,좋겠습니다
425,재밌어요
426,슬퍼요
427,재밌고
428,완벽합니다
429,아름다운
432,좋겠네요
434,없었다면
435,어떠려나
436,충분히
440,재밌어요
441,마르질
442,야해요
443,건강하게
444,좋았겠지만
446,아쉬운
447,가득한
449,재밌고
450,이럴
451,행복했으면
453,행복했습니다
454,행복했습니다
456,아름다웠어요
457,행복한
458,유일한
461,아팠어요
464,당해서
468,좋았다고
469,그랬어용
470,안될까
471,힘드네요
472,재밌어요
475,아쉽네요
476,그랬어
477,가능한
478,재밌어요
480,좋음
481,멀까봐
483,높아서
484,작음에도
485,넓게
486,노련하시고
487,아쉬운
490,대단하다고
491,많았지만
492,아름답다라고
496,재미있고
497,멋진
499,행복했습니다
502,신선해서
504,좋았구요
505,멋진
508,어려운
509,따뜻한
510,새로운
512,아쉽지만
513,빠른
515,없지요
516,길게
518,섬세한
519,아름다운
522,재밌었습니다
523,싫네요
526,슬펐어요
527,아름다운
528,순수한
529,재밌어요
530,재밌어요
531,재밌어요
532,재밌어요
533,아쉬워요
534,불가능해요
537,고맙고
539,입니다다시
541,따뜻했어요
543,재밌었다
544,아니었어요
545,가까워
547,가까운
549,섬세한
553,어려운
555,행복했어요
556,슬펐어요
557,좋겠습니다
559,없다아주
561,다정한
562,다정하세요
563,무섭게
565,차갑게
566,변해서
567,무서울
569,힘들었어요
571,짧았고
573,예뻤습니다
574,행복했습니다
575,더해져서
576,성한
579,아닌데
580,아쉽고
581,후련하네요
582,많았지만
583,사랑스러웠던
584,기뻤고
586,아쉽네요
587,안되는
588,대단하고
590,다난한
591,행복했어요
592,재미있었어요
595,슬프지만
598,슬펐지만
600,행복하게
601,대단한거
604,힘든
605,행복해지길
606,행복해졌으면
607,좋겠습니다
610,아니잖아요
611,힘들게
612,끝내주고
613,끝내주고
614,끝내주는데
615,빠르게
617,많지만
618,어두워
619,짧게
621,행복했습니다
622,어느덧
623,기대하고
624,있겠습니다
625,고마웠습니다
626,힘들겠지만
627,따뜻한
628,드러지게
629,완벽한
630,행복했습니다
634,멍한
636,재밌었습니다
637,고소합니다
640,잘생겼어요
641,무사히
644,길게
645,아쉽네요
646,좋아하는
648,재밌다
649,재밌어요
650,다르네요
651,행복했습니다
652,따뜻하게
654,지루하지도
656,아쉬웠는데
659,그랬나
660,깊어진
663,재미있는
664,멋진
666,좋아해요
667,좋겠습니다
668,아쉬워요
670,빠른
672,재미있게
673,좋았던
675,새로운
676,가득하면서
678,부탁드려요
679,예쁜
680,있냐구요
681,완벽한
682,재미있고
683,노래가사
685,행복했습니다
686,기대하며
687,필요하다고
690,행복했습니다
691,미쳤네요
692,재밌어요
694,재밌어요
699,재밌네요
700,아쉬웠는데
702,잘생겼다
703,행복하고
704,즐거웠습니다
705,건강하시고다시
706,힘든
708,힘든
709,있었습니다
710,있었습니다
713,두렵
714,완전하게
716,힘든
719,가득합니다
720,당당하게
721,있도록
722,단단해지도록
723,새로운
724,성장한
725,미쳤다
726,미쳤어요
727,뒤늦게
729,아쉽네요
731,무사히
732,섭섭하다
733,좋겠다
734,완벽했습니다
735,있는줄
736,예쁘고
737,좋죠
740,행복했습니다
743,무사히
745,좋다
746,지루하기만
749,있겠습니다
751,아쉽지
754,그렇고
758,행복했던
759,기대할게요
760,잘생겼다
761,다정함은
762,아닌가요
766,찬란했습니다
767,재밌다
769,진부할
771,좋겠네요
773,있었어요
775,같기도
779,있길
781,행복했어요
782,척박하고
783,아름다웠다
784,완벽했던
785,있울께요
786,재미있어요
787,아쉬워
788,무사히
790,반갑고
794,있길
796,재미있었습니다
797,아쉬웠지만
799,새로운
801,아까워
808,좋으셔서
811,재밌습니다
813,행복했습니다
814,좋아하겠습니다
816,좋을까요
817,벅차고
818,슬프고
820,기쁜
822,좋아했던
824,중요했던
825,행복했어요
827,넘치는
828,섬세한
829,아니겠구나
831,이럴
833,좋더라고요
840,행복했습니다
841,유일한
842,완벽했던
843,재미있었던
845,행복했어요
846,재미있어요
847,좋겠습니다
849,좋아하는
850,슬퍼요
852,있길
853,간절히
854,있겠소
855,입니다아니
856,슬프다고
857,예쁘고
858,아름다워요
861,아쉽지만
862,소중한
865,행복했어요
867,즐거웠는데
868,있길
869,서운하지만
871,고마웠어요
873,무사히
875,아쉽게
876,기대합니다
879,아쉬웠던
881,많았지만
887,싫었어
889,필요합니까
894,좋앗
897,행복했어요
901,고맙습니다
902,좋겠습니다
904,좋았던
905,많았는데
906,유연하게
907,멋진
908,많았다고
909,많았습니다
911,그랬나
913,조아요
915,아픈
916,편하게
917,행복했어요
918,행복했던
919,행복했습니다
920,위험한
922,재밌어요
924,좋고요
927,행복했어요
