,Adjectives
1,충분한
2,행복했어요
3,강렬한
4,강렬한
5,섬세한
6,재밌어요
10,확실하도록
14,단순해서
15,아쉬웠는데
16,아름다운
18,아쉽지만
20,아쉬웠습니다
21,강렬하게
22,대단한
23,훌륭했습니다
24,아쉽네요
25,강렬한
26,강렬한
27,강렬한
29,미묘하게
30,좋아했는데
31,재미있게
32,급하게
34,아니었는데도
35,어려웠습니다
37,미묘하게
38,좋아해서
39,아쉬운
41,재미있게
42,강렬한
46,좋았어
49,재밌었어요
52,벅차는
53,젊은
54,깊었습니다
55,예쁘고
57,행복한
61,비슷하게
62,진한
65,아쉽게
69,단순한데
70,단순한
71,섬세한
72,단순한
73,아름답게
75,아쉬울
78,엄청납니다
79,급해요
80,좋았음
82,멋졌어요
83,뻔한
85,좋아하는
86,있다기에
88,반가웠다
94,짱짱함
96,아쉽지만
97,아쉽지만
98,아쉽고
101,소중한
103,기대합니다
106,불쾌한
108,강렬한
110,있길
113,재미있어
117,훌륭한
118,좋아해서
120,아쉬운
127,신기했고
128,대단했음
130,아쉬운
134,싫어하는지
136,개운하게
140,아름다운
141,아쉬운
142,많았지만
143,좋앗어
147,아쉽지만
149,괴로운
150,힘들
151,있겠단
153,그랬네요
154,아쉬워요
159,많았어
161,아쉬웠어요
162,동그란거나
165,삼연하면
166,젊어지던
177,그러하니
179,계셨으니
180,재밌어요
181,좋지만
182,대단하세요
184,아름답고
185,아팠습니다
187,강렬했던
190,멋집니다
196,아쉽습니다
197,지루한
199,좋았
201,뚜렷하고
202,멋있다라는
203,덜해서
205,진한
206,화려하진
208,재밌었어요
209,깊었어요
210,슬프고
212,재밌을까
213,탄탄한
216,좋겠다
219,아니였으면
220,멋지고
221,많았네요
223,슬프면서도
227,즐거웠습니다
232,좋았어
234,재밌어요
235,아름답게
236,재밌었어요
237,멋져요
238,친절해졌네요
239,좋았지만
240,친절한
243,좋은데
244,어색하게
245,급하게
246,성합니다
249,어색했습니다
253,새로운
255,뜨겁고
257,완벽하게
258,기대해도
259,엄청난
261,변해가던
262,어느새
263,단단하게
264,아름답
265,초라함을
269,궁금해서
272,재밌었습니다
274,상당히
276,좋더라구요
279,미쳤네요
280,아쉬운
282,없게
284,초라한
288,유일한
289,반했습니다
290,아닌지
293,재밌고
296,많습니다
300,어떨까
301,그랬어여
302,궁금해서
305,재미있어요
306,재밌요
307,아름다운
308,화하다
310,좋았던
315,강렬한
316,대단하셔서
320,없었는지를
321,자연스럽고도
322,친절하게
324,행복해
326,현란하고
327,멋있고
331,행복했습니다
334,아프면서도
335,흥미로웠고
338,높아서
339,힘들었지만
341,놀라워요
342,아름다
