,Adjectives
1,좋으세요
3,있었네요
5,있었네요
8,멋진
10,대단한
12,잔잔하게
14,행복한
16,깊고
17,진하게
18,찡해지는
21,좋았
22,좋아하는
26,훌륭한
27,훌륭한
28,아니네요
31,행복해
32,괴팍한
33,미친
34,처절하게
37,귀여웠는데
38,포근하게
42,재밌어요
43,따뜻한
44,아니나
45,다를까
47,멋짐
48,따스한
52,있길
53,좋아했어요
54,찬란한
55,슬퍼서
56,좋겠다
61,중요한
64,행복했으면
68,같았다
70,그만한
73,안락했다면
74,아니더라도
75,힘든
79,평범한
81,아닌지
82,그랬다면
83,시원하고
84,따뜻했다
85,그러고
89,많이하고
90,어려워하시긴
92,재밌었어요
93,슬프고
95,작아서
96,아쉬운
98,충분히
99,좋아할만
101,없고요
105,재밌당
107,아니었고
108,좋아해서
111,지루할
112,미친
113,뭉클하고
116,뛰어나서
118,좋았
120,아닙니다
121,후련함과
122,따뜻함을
124,아니에요
128,아니야
130,따뜻해지는
131,재밌었어요
134,좋았고요
137,좋았
139,두렵고
140,밉고
142,있으며
146,깊은
148,따뜻함에
150,충분하다
151,아쉽습니다
152,따뜻한
153,깊어져서
155,재밌어요
156,재밌어요
157,즐거운
158,슬프
159,즐거운
160,찡하게
162,훌륭합니다
163,재미있게
164,따뜻해지는
165,탄탄하고
166,같거나
167,비슷한
171,미친
173,좋아하면
175,흥미로웠네요
178,많더라구요
179,안될
180,안되는지
184,완벽한
185,가볍게
187,아프게
189,안남았는데
190,아쉽고
191,좋겠어
192,좋음
194,안쓰러웠어요
195,좋다며
196,신나게
197,중요하게
198,아팠습니다
199,끝없는
201,힘들어
202,나쁜시
203,있었다면
205,안타까웠어요
206,괜찮다고
207,충분하다면서
208,없겠죠
209,충분하니까
210,새로운
214,멀어서
215,있을지는
220,힘들었을까
221,충분하다라는
222,충분한
226,새로운
228,후련하기
230,있겠지만
231,쾌적했고
238,좋게
239,완벽한
241,따뜻함을
242,시원한
244,잘맞는
246,아픕니다
249,너덜너덜해져서
250,없는게
251,아쉽고
252,소중해요
254,안될
255,기대하고
256,따뜻한
257,멋진
258,다정함과
260,단단한
261,좁아진
262,아쉽긴
265,행복하세요
267,힘들
268,좋아하는
270,힘든
271,따스하고
272,좋더라구요
276,다정한
277,행복했으면
283,스럽
284,재미있어요
285,없는거죠
286,즐거운
287,즐거운
289,행복해야해
290,좋더라고요
292,충분히
294,황홀한
296,자리였어
297,깊어진
298,두렵지만
299,새로운
301,과장해서
302,부었던
303,미쳤어요
304,충분했다
306,고마워
308,따뜻하게
309,고마워
311,따뜻하고
312,따뜻해서
314,멋있었습니다
315,행복한
316,행복해야해
317,슬픈
318,괜찮았어요
320,이상한
321,정확하게
322,힘들었어요
323,힘들었어요
324,따뜻한
325,같이있을
330,좋아하는데
331,좋지만
334,좋았다고
335,찡함을
336,확실하고
337,장난없고
338,재밌셔여
341,뭉클했어요
344,행복해
346,소중한
347,반하고
348,고마워요
353,좋았던
357,필요한
359,많았던것
362,완벽한
363,재밌어요
364,차분한
365,작고지도
368,짱짱해서
369,소소한
371,당연한
375,재미있어요
376,재미있어요
377,영원한
380,힘들었던
382,따뜻한
383,뛰어나
384,좋았네요
387,필요한
388,슬프고
389,슬픈
392,참혹한
393,아쉬워요
394,아파요
395,좋아하는
396,많았어서
397,힘들었었습니다
399,멋있었고
400,신기한
402,재미있게
405,재밌어요
406,즐거운
407,즐거운
409,간절했지만
411,부끄러운
412,깊은
414,진정한
418,흔히
419,행복했네요
421,충분하다
422,행복했습니다
423,불행하고
424,안쓰러운
425,행복했습니다
426,훌륭한
427,성한
429,깊었던
433,생생해요
434,없었는데
435,정확히
436,아쉬웠어요
440,담백하며
441,강한
443,힘들었지만
444,좋았네요
445,있더라구요
448,재밌었어요
449,가벼운
450,사느라
451,궁금하고
452,안되
453,아픈
455,없었다며
456,이상할
457,슬픈게
461,재밌어요
462,행복하기를
463,많아
464,충분하다
465,많아
466,충분하다
467,멋있어요
475,행복합니다
476,찡하네요
477,재밌고
478,입니디
479,많아
480,뭉클하고
484,좋다
485,재미있게
486,따뜻하고도
487,강한
488,깊은
490,행복하고
491,있을까요
492,행복하길
493,안좋아서
496,무거운
498,있다는게
499,행복했어요
500,멋진
501,야한다고
502,촉촉히
503,같았는데
505,행복해지자
507,여전한
512,재밌고
513,무거운
514,따뜻한
516,재밌어요
517,깊었고
519,재밌었어요
521,어둡고
522,슬프지만
523,행복해지길
524,있을테니
525,따뜻하고
527,소중했고
530,어떤지
531,재밌었습니다
535,힘들
536,후련해지는
538,안타까워
539,잔잔하게
541,훌륭합니다
542,튼튼해서
544,답답한
546,아쉽지만
548,많네요
549,높아서
551,재밌어요
