,Nouns
0,나중
2,생활
3,정상화
5,기억
6,한창
8,중인
10,연극
11,갑자기
12,중단
13,기도
15,연기
16,조기
17,폐막
20,자주
22,상황
24,마무리
27,기적처럼
32,사람
34,새삼
43,생각
46,신분
47,차이
49,일어나지
51,사랑
55,진균
56,페어
60,상태
61,별로
66,커튼
70,눈물
76,길이
77,길이
78,이분
79,만날
83,승리
87,페어
88,막회
91,페어
95,나름
97,구현
98,매력
103,회전
105,캐스팅
107,적도
109,무대
110,연출
115,바닥
116,활용
118,바닥
120,시구
123,동선
128,넘버
129,연출
131,넘버
132,가사
133,연출
139,무대
140,일부러
141,경사면
142,것일
143,관객
144,입장
146,보이
147,막상
149,생각
150,경사면
151,서서
152,연기
156,수도
158,어쨌든
162,멀리
165,불길
169,제목
170,연출
175,진균
182,페어
184,일주일
186,기간
189,페어
199,실감
200,기도
202,프리뷰
205,무대
206,양쪽
207,사이드
208,활용
209,연출
210,사이드
212,불구
215,무대
216,가운데
217,실세
218,사이드
220,세계
229,표정
230,웃음
231,어딘가
232,모양새
236,매력
238,거문고
244,추천
247,경험
250,유독
251,사극
253,서정
254,국악
255,기반
256,넘버
259,회전
260,처음
261,나중
262,오열
268,프리뷰
272,공주
275,다행
278,준비
288,눈물
291,눈물
292,기도
293,눈물
297,가기
302,손수건
307,시작
308,눈물
309,주체
312,손수건
313,눈가
314,꾹꾹
323,손수건
325,순식간
326,품절
327,손수건
328,눈물
333,장면
334,기억
336,죽음
337,상징
338,장면
340,눈물
341,평소
346,손수건
350,오른쪽
353,손수건
359,감정
360,집중
362,당황
363,아무
366,생각
370,디비디
371,보시
375,감동
378,소리
381,한여름
384,최고
386,최고
387,승리
388,최고
394,애정
395,회전
396,이유
397,생각
401,넘버
410,메시지
411,조선
412,대한국
419,향기
422,대사
423,가사
427,하차
430,포함
437,디테
440,역할
444,디테
448,마음
451,본인
453,얼룩
456,핀잔
460,얼룩
461,발견
463,티끌
464,세상
466,강박
467,성격
471,소위
473,세상
475,상처
476,입지
478,더없이
481,세계
482,짐작
486,성격
491,테일로
496,세계
498,당부
500,멀리
501,노력
504,약속
505,생각
507,완벽
508,갈망
509,성격
513,역모
515,처형
518,스승
520,세상
526,지음
532,레젼
536,앞뒤
538,재고
539,선택
543,사람
544,위로
545,말씀
547,시국
548,관객
550,내년
554,동생
556,시선
560,가사
562,향기
568,처음
570,연기
571,음색
572,그것
573,증폭
576,처음
577,대화
582,수만
584,감정
586,얼굴
587,프리뷰
590,시작
593,연기
594,밀도
596,진해
601,견흥
605,눈물
611,연기
614,가사
615,의미
616,생각
619,스스로
621,생각
623,짐작
624,신분
625,장벽
627,여성
629,장벽
631,스스로
632,위로
633,리라
637,멀리
638,당부
656,계절
657,여운
661,재미
662,썽용
665,연극
667,생각
668,취향
669,도포
672,어쩜
681,버세
683,읹초히
685,스튜
687,실황
688,슷딥디
695,게지콘플
699,세상
701,극도
702,이의
705,곡조
706,오슽
726,최고
727,내용
739,승리
741,유현
746,페어
747,승리
750,엽기
755,최고
756,연기
757,넘버
758,최고
759,내년
768,여름
770,만날
778,세상
785,상처
789,마음
790,리다
794,상처
795,그대
796,무릎
797,누운
798,세상
800,달빛
801,대작
802,숨결
803,바람
804,마음
805,그대
806,마음
807,세상
808,마음
809,지음
816,요건
817,약속
819,사랑
820,내용
821,내용
822,여름
823,이면
826,강릉
828,생가
837,가득
839,분위기
843,아쉬움
847,여름
848,이면
851,강릉
853,생가
862,가득
864,분위기
868,아쉬움
874,처음
876,눈물
880,감정
884,리피
885,내용
905,매일
908,매일
910,재미
916,나날이
917,감동
922,매일
923,이레
926,갑자기
930,페어
932,정성일
936,의회
940,무대
941,연출
942,소품
945,디테
949,넘버
952,가면
954,머릿속
956,수능
957,금지곡
958,수준
960,서도
961,넘버
962,그동안
963,가사
964,의미
966,생각
969,가사
973,언급
976,바보
980,대사
985,향기
988,이면
989,표현
992,내포
995,대사
997,게었다
998,생각
1002,절절
1003,감동
1004,가사
1005,넘버
1006,마음
1007,나중
1010,유진
1020,연기
1023,행운
1026,시기
1032,기억
1035,거지
1036,진심
1037,사랑
1039,페어
1040,자연
1041,흐름
1046,추천
1047,추천
1048,달래
1056,내용
1057,정성일
1060,어정
1062,대사도
1063,넘버
1064,분위기
1066,눈물
1068,사람
1069,세미
1080,창작
1081,마찬가지
1082,마음
1085,말씀
1087,위로
1089,오래오래
1090,기억
1091,처음
1092,이해
1096,감겨
1101,사랑
1105,스승
1108,실존
1109,인물
1110,내용
1111,노래
1113,연기
1116,시리
1118,사람
1122,서나
1129,기억
1132,다그
1133,발자취
1139,지음
1140,시기
1141,기억
1142,선사
1143,주신
1145,창작
1148,감사
1149,눈물
1151,사랑
1152,시국
1153,시국
1155,마무리
1156,다행
1159,고생
1162,향기
1165,사랑
1167,고생
1175,생각
1176,이제야
1177,거문고
1178,연주
1180,선생님
1187,루즈
1189,넘버
1190,내용
1199,마음
1204,연기
1206,손곡
1208,환생
1212,스승
1218,적금
1223,최근
1225,달이
1227,중요
1232,거랬어
1237,애드립
1241,생각
1245,유현
1256,넘버
1257,사건
1259,사건
1261,대화
1264,자칫
1267,내용
1268,최고
1270,처음
1272,차기작
1277,음악
1280,달균
1286,시기
1290,수고
1302,노래
1304,최고
1308,음색
1313,시기
1316,마무리
1322,정성일
1328,막바지
1330,감정
1331,최고
1335,최고
1347,달님
1354,넘버
1355,연출
1356,무대
1360,인생
1363,최고
1365,넘버
1367,연기
1370,희님
1372,남매
1373,케미
1374,비숲
1375,열연
1376,중이
1377,정성
1382,기준
1383,최고
1385,넘버
1387,연기
1390,희님
1392,인생
1394,현석
1396,남매
1397,케미
1398,어요
1400,넘버
1402,연기
1405,희님
1407,인생
1410,어요
1413,수묵화
1422,인물
1423,보배
1438,통해
1449,듯이
1450,승리
1451,달누
1453,사랑
1454,그리움
1458,우여곡절
1460,마무리
1462,다행
1469,시가
1476,기간
1478,위로
1482,스텝
1484,시국
1485,시국
1488,고생
1493,남매
1495,선생님
1497,사랑
1500,오기
1501,약속
1505,연기
1506,노래
1508,최고
1517,연기
1518,넘버
1524,시대
1527,위로
1530,여름
1534,사랑
1538,아무나
1541,지음
1544,아무나
1547,지음
1549,세상
1552,주인
1556,겨울
1562,연기
1563,음악
1565,감동
1575,유현
1585,걸음
1586,마그
1588,마볼
1591,울림
1594,노래
1599,이후
1600,갈수
1602,다난
1611,만날
1616,위로
1622,최고
1624,감동
1626,넘버
1627,무대
1629,뻤던
1631,대레
1633,순간
1636,사랑
1641,사랑
1643,이예
1645,사랑
1654,연기
1655,노래
1662,최고
1666,유현
1669,페어
1673,페어
1675,박제
1677,소식
1682,노래
1683,연기
1684,펑펑
1685,울면
1692,마음껏
1706,만세
1708,지음
1709,스승
1715,위로
1722,난설팀
1723,행복
1724,손곡
1726,선생
1727,처음
1747,인생
1749,하루
1750,마티
1751,페어
1753,휴가
1755,후회
1759,여름
1760,바닥
1761,조명도
1763,정성일
1767,유현
1770,하모니
1771,페어
1776,제적
1777,마음
1781,연습
1783,소화
1786,연주
1797,콘플비새
1798,거나
1799,바깥
1800,소음
1805,연기
1808,난설삼
1816,정성일
1817,유현
1821,반박
1822,불가
1832,이오
1835,위로
1836,스승
1837,제자
1838,위로
1839,제자
1840,스승
1841,격려
1843,동생
1845,사랑
1847,여름
1849,현석
1851,시오
1852,그대
1854,위로
1860,지음
1861,생각
1867,처음
1868,충격
1878,종이
1882,백지
1883,마음
1889,상상
1890,여지
1891,가능성
1893,직접
1894,사용
1898,인지도
1904,연출
1907,메시지
1908,퇴색
1910,최악
1912,고생
1913,셨습니
1919,도루
1924,넘버
1930,불구
1932,시기
1940,그동안
1942,내용
1951,마음
1960,생각
1963,진심
1965,사랑
1969,지음
1973,맆달
1983,시기
1987,추천
1988,추천
1989,위로
1990,용기
1992,사랑
1994,장난
2001,연기
2002,스토리
2003,처음
2007,달이
2008,서사
2009,연안
2010,콘플
2012,누울
2017,사랑
2022,향기
2027,가면
2034,눈물
2036,승리
2045,지음
2046,난설왜
2048,청루
2049,사회
2050,거리
2051,두기
2052,넘버
2054,만날
2056,기억
2060,잡고
2062,간직
2065,페어
2066,사랑
2070,구려
2071,승리
2074,공안
2075,유진
2077,조기
2078,하차
2082,페어
2084,기운
2085,굿바이
2094,객석
2095,앞뒤
2096,간격
2100,페어
2101,처음
2103,다음주
2107,마음
2108,구석
2110,굿바이
2113,한복
2116,눈물
2119,멀리
2121,사람
2122,대란
2132,최고
2133,강추
2135,최고
2138,그녀
2139,일대기
2140,최고
2148,버해
2150,리곡
2162,연기
2168,소화
2169,승리
2171,상처
2175,유현
2179,대도
2182,절절
2185,백옥
2186,루상량문
2190,페어
2191,요인
2193,진균
2196,남매
2197,다해
2205,계절
2207,엇습니
2208,노래
2211,시국
2212,진정
2215,승리
2219,출근
2225,고생
2233,이의
2236,무대
2238,여류
2239,시인
2241,단면
2245,낭설
2246,조명도
2247,넘버
2255,날인
2257,승리
2258,달이
2260,여운
2261,페어
2264,추가
2265,일부
2266,기도
2269,불호
2270,경우
2275,특유
2276,분위기
2279,며칠
2282,연기
2285,눈물
2291,이후
2299,시기
2300,위로
2302,스승
2303,감동
2304,힐링
2305,텍스트
2306,수고
2307,노댚
2308,버시
2313,고생
2319,공기
2323,생각
2326,여름
2328,지음
2332,지음
2333,최고
2334,최고
2344,진가
2345,가미
2347,캐스팅
2349,정상
2351,유진
2358,정성
2360,승리
2371,통장
2374,마누
2375,여름날
2379,냉방
2380,여름
2382,외투
2384,콘텐츠
2385,라운드
2386,무대
2388,무대
2389,시작
2391,마무리
2394,겨울
2395,여름
2396,그다지
2400,겨울
2402,나폴
2406,바닥
2412,이의
2413,시선
2415,가르침
2417,시가
2418,손바닥
2419,직전
2421,찰나
2422,다시금
2424,생애
2426,생각
2432,인사
2435,풍경
2437,분명
2439,세상
2444,겨울
2448,반년
2455,감사
2459,글재주
2460,시대
2463,만난
2464,여류
2469,동생
2475,후세
2476,남아
2478,기억
2479,음악
2480,눈물
2481,펑펑
2482,제겐
2487,글재주
2488,세상
2495,세상
2498,무대
2501,백년
2503,현대
2507,한계
2508,존재
2510,시대
2512,방향
2517,역사
2520,비극
2523,인물
2524,무대
2527,걱정
2528,혀균
2530,로서
2532,지음
2535,노래
2536,한국
2537,정서
2538,처음
2539,금세
2541,나중
2545,소망
2546,재밋
2547,봣습니당
2557,조명
2558,기억
2559,오래오래
2563,생각
2565,사랑
2568,지음
2570,결단
2573,비극
2579,죽음
2580,문턱
2581,깨달
2586,시가
2588,전개
2589,빠르기
2590,급전
2592,넘버
2593,바닥
2594,조명
2595,글씨
2596,연출
2597,여운
2598,장난
2599,시국
2603,정성일
2604,유현
2607,페어
2617,콘텐츠
2618,플래닝
2620,지음
2624,마음
2625,여운
2632,마음
2633,한쪽
2639,정성일
2643,페어
2645,실황
2646,촬영
2649,분다
2653,설딥
2654,디도
2656,기대
2660,마음
2665,대박
2668,감정
2670,대박
2684,감정
2687,면서
2688,처음
2691,절대
2695,승리
2696,유현
2700,페어
2703,노래
2705,최고
2710,대박
2713,감정
2715,대박
2729,감정
2732,면서
2733,처음
2736,절대
2743,대박
2746,감정
2748,대박
2762,감정
2765,면서
2766,처음
2769,절대
2770,존버
2772,처음
2773,시국
2780,자첫
2782,소리
2783,연기
2785,집중
2787,행동
2789,위주
2790,세미
2792,페어
2797,달도
2798,이해
2803,이해
2806,이해
2807,달도
2808,이해
2816,차별
2817,세상
2819,노력
2821,피하
2822,려고
2826,넘버
2829,평소
2832,세상
2836,래서
2837,평소
2839,콧물
2842,페어
2845,요나
2850,마가
2852,아악
2853,부채
2855,시작
2858,해명
2859,해명
2860,애애애애쨋
2866,고민
2867,무척
2869,달빛
2870,문장
2871,바람
2872,문장
2873,현실
2881,덩달아
2882,마음
2884,선생님
2885,말투
2887,상처
2888,마음
2890,선생
2892,감히
2894,감정
2895,공감
2899,통해
2903,영광
2908,펑펑
2909,눈물
2915,기대
2918,위로
2922,인생
2923,임팩트
2924,그것
2926,아우
2928,통해
2930,그녀
2931,인생
2933,인생
2937,그녀
2938,인생
2939,대중
2942,아우
2943,위안
2946,관객
2947,위로
2949,의미
2958,눈물
2963,와중
2964,방역
2965,주시
2966,클린
2972,원동력
2976,장품
2983,감사
2985,승리
2986,유현
2989,페어
2992,남매
2993,케미
2999,승리
3003,웃음
3005,넘버
3006,바닥
3008,칠해
3010,연출
3013,바닥
3014,조명
3015,연출
3022,펑펑
3023,눈물
3029,기대
3032,위로
3036,인생
3037,임팩트
3038,그것
3040,아우
3042,통해
3044,그녀
3045,인생
3047,인생
3051,그녀
3052,인생
3053,대중
3056,아우
3057,위안
3060,관객
3061,위로
3063,의미
3072,눈물
3076,부어
3082,살짝
3083,미소
3084,머릿속
3085,그녀
3086,통해
3089,생각
3097,연기
3099,감탄
3102,백옥루
3104,노래
3105,청루
3110,애드립
3114,장난
3119,함박
3120,웃음
3123,감동
3127,설인
3129,승리
3132,달이
3134,인생
3135,난관
3145,정성일
3153,체인
3159,목소리
3164,페어
3169,페어
3170,불구
3177,질리
3182,감동
3183,승리
3185,달이
3186,처음
3192,화가
3193,슬픔
3195,경험
3199,처음
3202,노래
3203,안정
3204,호강
3206,호강
3208,무대
3211,감탄
3217,페어
3232,나이
3235,연기
3236,감탄
3242,성량
3250,처음
3255,연기
3256,노래
3257,처음
3260,불구
3263,해석
3266,페어
3268,디테일
3275,처음
3277,넘버
3278,가사
3279,리곡
3281,눈물
3282,한참
3292,감동
3295,조명
3296,이용
3297,연출
3302,바닥
3303,달이
3306,기대
3308,부모님
3311,감동
3313,눈물
3322,구름
3324,구슬
3325,나무
3326,궁궐
3329,백옥루
3331,최고
3334,전이
3338,위로
3339,위안
3342,스승
3343,말씀
3344,노래
3346,그동안
3347,마음
3351,대화
3352,크게
3353,용기
3360,무력감
3363,보폭
3370,어둠
3373,래서
3374,미소
3375,절로
3376,눈물
3381,연기
3382,노래
3383,넘버
3387,마음
3389,승리
3393,최고
3395,나마
3398,시국
3399,위험
3400,감수
3401,책임감
3402,부담
3403,감사
3404,명감
3409,스태프
3410,제작사
3412,감사
3416,감사
3418,감사
3420,힐링
3423,진심
3429,공정
3430,정성일
3431,유현
3438,이브
3441,시작
3444,현석
3448,감정
3451,장면
3455,방향
3456,이해
3463,상봉
3465,유선
3467,조명
3468,조명
3470,효과
3472,대박
3473,다달이
3474,한시
3475,표현
3476,무대
3477,효과
3479,대박
3481,자리
3485,애초
3486,콘플
3487,무대
3488,기도
3492,만남
3493,애드립
3495,기억
3499,균씬
3501,가인
3503,공주
3504,포즈
3505,하니
3508,애드립
3511,거지
3512,이면
3514,이군
3518,작가
3520,역기
3523,작가
3525,설정
3526,정성일
3529,일주일
3530,기억
3531,연속
3535,명불허전
3537,리곡
3539,티키타카
3540,애드립
3543,애드립
3545,갈수록
3546,리곡
3550,진균
3551,기억
3552,갈수록
3554,감정
3556,가면
3557,갈수록
3558,눈물
3564,가면
3565,눈물
3568,조선
3569,탐방
3577,최고
3580,지음
3581,세상
3584,사람
3588,정해진
3589,사람
3591,상처
3595,지음
3597,위로
3598,지금껏
3601,세월
3603,여류
3604,시인
3607,존재
3610,아버지
3613,형제
3614,배움
3616,기회
3619,여자
3620,감히
3622,사람
3628,표현
3629,견흥
3632,백옥
3633,루상량문
3636,시라
3641,시대
3642,천재
3643,소리
3652,표현
3655,흐름
3657,표현
3662,역할
3666,다사전
3667,인터뷰
3668,표현
3670,미리
3671,고지
3675,표현
3681,변복
3683,남장
3689,여자
3690,생각
3692,과정
3699,본인
3704,거문고
3705,곡조
3707,답례
3708,이자
3709,위로
3710,견흥
3718,상봉
3722,밤사이
3723,소이
3724,비단
3725,하늘
3727,스승
3729,표현
3732,집안
3733,남동생
3735,남동생
3737,신념
3741,유모
3743,끝단
3745,존재
3758,번의
3760,넘버
3762,전하
3764,가사
3765,표현
3767,추가
3768,리곡
3769,갖가지
3770,감정
3771,표현
3773,형님
3774,아마
3776,홍길동전
3778,유래
3780,무리
3783,알리
3785,습격
3787,버전
3792,몰래
3795,끝단
3796,슬픔
3799,나균
3800,차마
3804,설득
3808,걱정
3809,선택
3810,최후
3811,수단
3813,이해
3815,생각
3818,표현
3820,인물
3822,생각
3823,표현
3828,장면
3831,나머지
3835,부탁
3838,이의
3839,나중
3842,시가
3843,세상
3844,아마
3856,동생
3857,제목
3859,시작
3863,작가
3867,직접
3870,생각
3871,그녀
3872,인생
3873,표현
3880,이점
3882,이해
3884,시국
3891,회소
3892,중하
3897,스탭
3899,노고
3900,감사
3907,최고
3909,노래
3910,의상
3911,무대
3915,연기
3916,최고
3917,전개
3924,장면
3925,무대
3927,엔딩
3929,기구
3930,인생
3931,초점
3934,시절
3936,사람
3937,재능
3940,사람
3945,글쓰기
3949,사람
3952,멀리
3957,마음
3960,세상
3961,사람
3964,장르
3967,전날
3972,노래
3973,무대
3975,테이블
3976,공간
3978,점도
3979,인상
3983,객석
3984,통로
3985,가운데
3987,출입
3990,만족
3995,횡포
3998,옛날
3999,글자
4000,세상
4001,사람
4003,반역
4004,자라
4005,제거
4006,모양새
4007,세상
4008,무리
4014,반상
4015,질서
4017,조선
4019,세상
4023,얼자
4025,여자
4027,세상
4029,호기심
4030,이성
4031,존경
4033,티끌
4034,보아
4035,마음
4040,신분
4041,차이
4042,세상
4043,용기
4044,두려움
4046,부족함
4051,마음
4054,고금
4055,막론
4056,시대
4058,여성
4059,변화
4060,세상
4063,성별
4064,진심
4065,지음
4066,그녀
4067,이해
4070,하루
4071,역사
4072,생각
4073,다극
4076,안타
4078,눈물
4081,생각
4087,보임
4092,위로
4095,연기
4097,원성일
4099,페어
4101,디비디
4102,박제
4103,페어
4104,이해
4108,합결
4109,음색
4110,러닝
4111,타임
4113,몰입
4114,끝단
4115,죽음
4116,눈물
4118,추스렸더
4121,비척비척
4122,등장
4125,눈물샘
4127,눈물
4128,컷콜
4132,이의
4133,죽음
4134,눈물
4135,주체
4140,서울
4149,감사
4151,진짜진짜
4153,최고
4155,여름
4156,초입
4157,여름
4159,시기
4166,스탭
4168,고생
4169,수고
4173,무대
4174,연출
4175,넘버
4177,노래
4178,연기
4180,향기
4182,여름
4183,만날
4185,요나
4186,지음
4188,디비디
4191,기대
4196,균형
4197,페어
4203,인물
4209,조명
4215,남지
4216,기간
