,Nouns
0,노래
1,사이다
2,단연
3,최고
4,컷콜
6,고개
7,제방
8,최고다
10,보컬
14,가창력
15,연기력
17,스트레스
18,해소
21,자주
22,여성
26,건강
29,커튼
36,사랑
39,여성
41,무대
42,폭팔
44,연기
45,성대
47,나하
54,최현
59,최고
60,연기
61,노래
62,기합
64,친구
66,대신
68,짱짱
74,대사
76,어가
77,오열
78,숮앨
79,글쎄
80,비둘기
81,날개
83,감동
85,차기작
91,앨리스
93,브리
95,만날
97,나하
101,최현
104,고생
107,내용
108,제외
109,마음
110,커튼
117,뤼쥐
119,커튼
122,금방
124,오기
125,언니
126,페어
129,상태
134,시국
135,지라
137,커튼
139,소리
140,호흡
142,관객
143,마음
147,어려움
149,만날
152,앵콜
154,디테일
156,캐스트
159,만날
161,무대
162,기억
163,남아
165,시오
169,앵콜
170,가격
171,부담
174,후회
179,먼저
180,커튼
182,핏줄
183,박수
185,성량
186,천장
189,한여름
191,무대
196,매년
202,나려숮현
204,페어
205,소름
206,무대
207,여성
208,여성
209,인극
211,상반기
215,최고
221,사랑
224,자극
225,소재
226,락뮤
227,넘버
228,위주
229,하니
230,소재
232,부담
234,가창력
250,여배우
252,파워
259,최고
264,커튼
267,최고
268,최고
269,나하
270,나짱
272,주시
273,엄마
275,아빠
276,한텐
277,니야
278,마흔
282,노래
283,중독
284,컷콜
286,맘껏
289,디브이
291,대극장
293,어머
301,사랑
302,사랑
306,사랑
307,사랑
311,커튼
312,콜때
313,함성
314,대한민국
315,여배우
324,세상
332,제너럴
335,버세
339,오십
341,버세
345,노래
346,내용
347,불호
349,노래
353,추천
357,할인
372,와중
373,독성
375,최고
376,넘버
377,사랑
378,장면
379,스태프
381,연출
382,드레스
383,의상
385,아쉬움
386,남지
388,연기
389,노래
393,드레스
394,후의
395,의상
396,좀더
398,라면
399,입장
403,드레스
405,억압
406,편견
407,과거
409,의미
410,드레스
411,조이
412,의상
415,의상
416,드레스
417,대조
418,해방
424,극히
425,일부
431,내용
432,오늘날
438,전개
441,연대
444,감동
446,무대
447,여자
450,노래
451,연기
454,순간
455,순간
456,남자
460,여자
464,무대
466,처음
468,실력
469,여자
471,노래
474,순간
475,기분
480,캐슷
482,둏다
484,갓캐슷
486,연출
488,멱살
489,잡고
491,감오
495,이제야
500,노래
501,연기
502,컷콜때
506,여름날
509,여름날
513,연때
515,눈물
516,마음
517,간직
521,사이다
523,기분
525,스토리
527,가창력
529,최고
530,최고
531,여름날
537,상태
539,걱정
540,넘버
542,이쯤
544,순간
545,대레전
547,감사
548,쫀쫀
549,연결고리
551,훤히
555,관객
557,집중
558,마음
564,처음
566,가면
573,굿굿굿굿굿굿굿굿굿굿
574,여배우
576,이서
577,최고
583,도끼
585,앵콜
586,환호성
595,오슷
597,사태
598,함성
599,내적
600,현실
604,보컬
605,번역
607,의상
609,커버
615,방법
616,자유
617,아픔
618,희망이
620,씉나
622,오슷
623,안주
624,박제
630,머리
631,꺠기
635,심장
636,여자
641,나하
642,천재
643,반박
644,불가
646,최현
648,천재
655,활활
656,앨리
657,드르
