,Nouns
4,장면
5,장면
6,넘버
10,할인
11,쿠폰
12,혜택
16,처음
17,이해
19,내용
25,명불허전
27,열연
28,남자
34,관객
35,눈물
38,김소현
41,유명
43,불구
47,네트
49,처음
50,마디
57,절정
59,분노
60,위기
61,여왕
62,존엄
64,왕자
65,모성
66,사랑
67,사람
69,절절
72,표현
75,마찬가지
78,눈물
80,건강
82,염려
85,몰입
86,동시
92,인상
96,가창력
98,극적
99,주신
100,장본인
101,셨습
102,김소현
106,분노
109,관객
110,절로
111,감탄
112,백미
116,장면
123,장면
127,성량
128,호소
129,절정
130,윤형렬
133,외모
134,목소리
135,로맨틱
136,여성
138,김소현
141,사랑
142,노래
143,연기
144,십분
145,민영기
149,삼총사
150,레베카
152,인상
155,성량
157,역할
158,다해
159,주신
163,네트
170,호연
171,노래
173,매력
174,흠뻑
179,막바지
185,감사
187,제작
188,노래
191,버전
193,포함
194,주시
196,감사
197,김소현
199,윤형렬
200,민영기
201,캐스트
202,김소현
204,워낙
206,소리
210,처음
214,연기
216,성량
217,폭팔
220,포스
222,인터
223,미션
224,자리
225,기분
230,김소현
232,주저
233,전쟁
234,생각
237,커튼
238,콜때
239,감정
240,눈물
243,눈물
248,처음
249,노래
250,연기
253,소화
254,인간
260,정의
262,인지
264,감명
265,윤형렬
269,파리
270,처음
272,목소리
273,비쥬
277,호강
280,사랑
281,마음
282,연기
283,민영기
286,애정
288,박수
289,넘버
293,악역
294,소화
295,매력
297,어제
299,상태
301,노래
302,연기
304,친구
305,조연
306,앙상블
309,감사
310,주변
311,추천
314,우리나라
315,정서
316,비엔나
319,보증수표
320,레베카
321,황태자
322,루돌프
323,모차르트
324,레베카
325,엘리자
329,네트
332,이자
333,흥행
334,크게
335,대작
336,캐스팅
338,하반기
339,최고
340,대작
341,쿤체르
342,베이
343,콤비
347,네트
350,흥행
351,몰이
352,내용
353,아시
354,프랑스
355,대혁명
356,사치
357,향락
359,국가
362,국가
363,재정
364,탕진
367,루이
369,단두대
370,비극
374,네트
376,아시
378,과장
379,사치
382,빈민
385,국가
386,재정
387,어려움
389,생활
391,미국
392,독립전쟁
393,지원
395,일화
397,과자
402,전쟁
404,대국
405,오스트리아
406,프랑스
407,앙숙
408,관계
409,화해
410,의미
411,프랑스
