,Nouns
2,인터
3,미션
6,시작
7,정말루
16,기도
17,인상
18,넘버
24,번울
28,눈물
29,펑펑
31,눈물
32,줄줄이
33,온갖
34,명대사
38,루즈
40,기억
45,엠디
46,손수건
47,내지
49,오열
52,해지
62,여자
63,라면
68,등장
72,서사
73,매력
74,지니
78,로서
81,관계
82,유성
84,시선
85,무성애
86,시선
91,감정
93,가상
95,실존
96,인물
98,친구
104,관객
106,생각
108,명의
111,해석
115,생각
117,포인트
119,삼각자
120,앵콜
123,질척거릴래
125,라이브
126,대표
127,앵콜
128,우리나라
129,여성
130,서사
132,여태
137,초점
141,혼란
144,욕심
145,억지로
148,아마
149,연출가
150,작가
156,회차
159,재정
161,생각
171,세미
173,처음
180,매력
181,네이버
182,실황
183,중계로
186,다행
189,멜로
193,앙상블
196,기대
197,노래
198,감정
204,창작
205,산실
207,시절
209,대극장
212,블랙
213,회전무대
214,점도
216,종식
222,창작
225,스태프
226,하우스
227,관계자
229,고생
231,운영
232,예측
234,무언가
237,대극장
238,나위
241,자막
242,오열
250,리사
261,여성
262,서사
263,주가
267,무대
282,커튼
291,관객
292,자고
294,매년
295,여성
300,지기
307,자리
308,시야
313,실감
316,리사
324,캐스트
326,내용
338,자첫
345,최고
351,단어
354,그녀
365,여성
366,주체
367,역할
369,나날
380,서사
381,개연
383,라돈
385,전개
387,스토리텔링
390,열연
398,사극
400,넘버
401,나름
406,사랑
408,오기
409,앵콜
412,매혹
413,흥미진진
414,앵콜
417,온통
420,앵콜
421,앵콜
422,창작
423,산실
426,생각
428,이전
436,열연
439,추천
444,소화
445,재미
446,이기
448,발전
450,스케줄
451,생각
454,열정
459,말퀴
460,아뇨
461,앵콜
466,여성
467,투톱
469,연기
470,분위기
472,프로메테우스
473,염불
477,위인
478,서사
480,압축
483,업적
484,인물
485,로서
486,갈등
488,표현
489,서사
490,모로
492,자극
495,생각
504,만날
511,이과
514,공부
516,연기
517,연출
518,서사
524,그녀
525,인생
530,노벨상
531,그녀
540,만점
550,무대
554,박수
555,김소형
556,김아영
560,응원
567,무조건
575,감동
576,무조건
584,만세
587,라듐
589,일치
590,친구
593,자아
595,과학자
599,넘버
602,역할
607,기간
608,오슷
609,딥디
610,박제
611,눈물
618,사람
622,최고
623,눈물
625,사랑
631,천재
634,무대
635,인사
636,감동
637,사랑
638,무언가
643,예측
644,차마
645,감동
648,사랑
652,스카
659,감동
660,서사
661,여성
664,앵콜
667,입덕
669,회전
671,제목
673,감동
677,요다음
680,왓으
682,시너지
683,효과
684,최고
687,내용
688,넘버
689,듣기
693,앵콜
696,사람
697,지지
699,영향
701,주변
706,진작
707,볼걸
708,앵콜
711,최고다
717,어서
724,세계
725,여성
727,즈음
731,다그
735,주씨
737,앵콜
740,무인
742,앵콜
744,얘기
746,기억
747,읍니
752,클린
757,최고다
758,사랑
766,신뢰
767,조력
770,관계성
773,약자
775,성장기
776,식민지
777,국가
778,국민
779,이자
780,여자
782,가능성
783,가치
788,눈물
789,시작
790,과학
792,가치
795,가치
797,가치
800,신의
801,존재
802,인정
806,주변
807,사람
809,영업
817,사람
818,라듐
824,걱정
827,오기
831,약속
832,아무
839,반복
843,내용
844,넘버
846,유튜브
848,영상
856,경우
857,성공
860,확신
865,노벨상
867,여자
868,이유
871,과학자
877,통해
878,재미
879,감동
881,과학
882,내용
887,정보
892,서사
896,직공
897,서사
899,마음
909,넘버
911,감정
912,표현
913,노래
917,고뇌
918,고통
919,슬픔
920,불안
922,감정
923,기분
924,막도
927,장면
931,실황
932,영상
941,감동
942,공감
946,호칭
950,사람
953,기분
959,추천
964,무드등
966,덕후
967,어니
968,평소
971,생각
972,주변
973,추천
975,인간
976,감동
977,위로
980,가량
981,절정
982,파트
983,기승
984,전결
985,기승
986,해당
988,전개
990,처음
994,가면
995,몰입
1000,겨울
1004,기대
1005,만세
1006,삼창
1009,오슷
1010,딥디
1012,영광
1015,내년
1016,내후년
1017,눈빛
1018,손끝
1019,머리카락
1022,대변
1023,평범
1024,사람
1028,스콜
1029,도프
1030,스카
1034,번만
1035,폴란드
1045,보완
1047,열연
1052,야망
1054,선택
1055,후회
1056,고뇌
1057,여성
1061,여성
1062,간의
1063,우정
1067,자첫
1068,자둘
1071,일찍
1073,시작
1077,아쉬움
1086,비교
1090,형식
1094,극작
1096,연출
1097,스토리
1098,감동
1100,매년
1102,극소
1106,박수
1107,환호
1110,스토리
1115,호평
1116,일색
1117,이유
1120,생각
1123,리지
1125,본인
1126,욕심
1130,중심
1132,무릎
1140,깨달음
1141,도구
1147,통해
1148,간다
1149,스토리
1152,생각
1155,서사
1157,중심
1158,남편
1160,역할
1161,동반
1162,협력
1163,자로
1165,역할
1168,심장
1169,여자
1170,과학자
1172,차별
1173,대우
1180,사랑
1182,살짝
1185,눈물
1191,필요
1203,인생
1205,만난
1210,자체셨
1212,눈물
1218,연기
1220,필요
1221,금은
1223,후회
1226,일찍
1241,캐스트
1242,호흡
1243,조화로움
1244,단연
1246,최고
1259,순간
1262,생각
1265,시국
1267,용기
1269,요트
1270,아웃
1274,감동
1275,창작
1278,감사
1279,프리뷰
1281,시작
1285,장민수
1287,차기작
1290,프리뷰
1293,몰입
1295,충무로
1296,출근
1300,생각
1301,하니
1303,시작
1305,눈물
1306,전이
1307,시작
1308,폴란드
1310,피에로기
1313,베타
1315,웃음
1316,찾기
1317,시작
1320,머리
1324,시작
1325,후회
1326,해도
1327,후회
1330,몰입
1333,현실
1336,마음
1338,불쑥
1339,불쑥
1340,눈물
1341,기억
1342,장민수
1346,리사
1351,생각
1352,프리뷰
1353,기간
1358,일부러
1362,세명
1366,고마리
1367,회전
1370,판단
1373,회차
1376,절반
1379,다행
1383,다행
1385,페어
1386,리사
1390,번의
1391,회차
1394,회차
1395,자리
1400,마음
1401,화산
1402,리사
1405,생각
1406,과학자
1410,선택
1419,갈등
1420,죄책감
1421,후회
1425,의지
1427,고뇌
1434,금방
1438,리사
1442,양루벤
1447,아쉬움
1448,잔뜩
1451,만족감
1452,잔뜩
1453,프리뷰
1460,줄줄이
1461,승리
1470,실수
1471,거나
1472,상대
1473,애드립
1475,안정감
1476,승리
1480,사람
1483,사람인
1485,사업가
1487,명예
1490,사람
1493,삼중창
1496,데리
1497,협박
1500,내면
1502,와중
1504,인사
1508,협박
1510,압박
1513,이용
1517,사람
1518,장면
1521,라듐
1522,엔젤스
1523,시계
1524,장면
1525,계단
1527,서서
1528,지휘
1532,변태
1536,디테일
1537,나노
1538,단위
1547,감정
1551,디테
1552,일도
1554,기도
1556,감정
1557,예측
1558,갈수록
1559,슬픔
1560,감정
1562,페어
1563,과학자
1566,바탕
1567,여성
1568,서사
1572,출연
1573,정보
1577,기대
1580,과학자
1585,생각
1590,사이
1591,전문
1592,용어
1593,과학
1594,정치
1595,관련
1596,여성
1597,등장인물
1601,희망이
1602,실험
1603,성격
1609,연기
1610,처음
1615,스카
1619,소름
1627,대사
1628,작가
1629,능력
1630,감탄
1632,무대
1633,관객
1635,원형극장
1636,장면
1637,넘버
1640,몰입
1643,표정
1645,측면
1646,정면
1648,생각
1650,처음
1652,형광
1653,물질
1654,분장
1655,조명
1656,연출
1658,무대
1660,반주
1661,박자
1663,넘버
1665,생각
1666,클라리넷
1667,소리
1668,예술
1669,나중
1674,기억
1676,여성
