,Nouns
1,자도
2,고갱
9,강추
13,감동
15,연기
16,노래
20,추천
25,연기력
26,감탄
28,인극
29,무대
31,명의
33,명의
35,무대
43,해도
45,연기
49,동생
53,순종
63,포인트
64,상미
65,생각
69,통해
74,묘미
75,생각
79,가면
83,영상
84,미가
86,영상
87,무대
88,위로
89,순간
90,압도
91,기분
92,영상
95,연기
97,인상
99,처음
105,사랑
110,페어덕밍
113,형제
114,형제
115,연기
116,진자
117,형제
120,페어
121,사랑
123,페어
125,매년
129,황민수
132,화가
134,사람
136,생각
139,리프
140,라이즈
142,노래
146,일생
151,넘버
152,분위기
153,사랑
159,사랑
160,넘버
162,연기
166,만족
167,러닝
168,타임
172,실시간
174,밀밭
175,해방
177,연기
181,남아
182,총성
187,형제
189,평소
194,사람
195,생각
198,대극장
199,음향
200,빵빵
201,웅장
203,취향
212,넘버
217,사람
218,나야
219,요전
224,무대
225,연출
229,오베르
233,최고
235,마음
236,감동
237,윤승우
239,연기
242,그림
244,넘버
245,은근
246,중독
250,감겨
251,그림자
252,이용
253,연기
258,기억
262,내용
263,세미
272,마음
273,아쉬움
274,지방
278,일생
280,형제
283,개월
287,그림
291,마음껏
292,그림
295,대사
297,마디
301,오베르
303,형제
307,생각
309,사람
313,멤버
317,만날
319,마음속
320,깊이
327,무대
328,배경
333,눈물
334,넘버
335,미디어아트
338,그림
339,인생
341,편지
345,형제
348,표현
352,위로
353,바람
355,도달
357,하모니
359,위로
360,바람
362,도달
364,하모니
367,연기
370,감탄
372,연기
373,노래
378,연기
379,프롬
381,넘버
383,눈물
384,버튼
389,미술사
390,아시
392,보시
398,눈물
400,황민수
405,개월
407,인생
408,넘버
409,그림
415,바람
416,온도
417,넘버
418,등장
425,기억
430,금방
432,왓으
435,수고
438,혼신
439,연기
452,노래
453,최고
456,밀밭
457,실존
458,인물
459,대상
461,연기
462,최고
463,눈물
475,우정
476,특유
477,분위기
480,넘버
481,스토리
484,연기
487,인물
491,생각
493,감동
496,꼭꼭
498,굿바이
500,어서
502,연기
503,음악
504,영상
505,연출
507,엔딩
509,블랙
510,처음
511,영상
515,아마
523,쥬고흐릉
528,생각
529,눈물
531,요쥬
532,흐세
535,고생
537,가면
541,리저
542,인생
543,극빈
544,센트
547,그동안
550,서울
551,기도
553,감동
554,위로
557,감사
565,이제야
569,페어
574,기약
575,전보
577,그림
579,웅장
581,일생
584,감동
588,인간
590,표현
591,주신
597,흐흑테오
598,넘버
602,연기
604,진심
605,감동
607,인생
608,무대
610,최고
613,생애
617,마음
619,동생
621,센트
622,박제
624,슷딥디
626,열연
627,감동
630,연기
631,감동
632,최고
633,무대
637,추천
641,영상
644,그동안
645,고민
648,연기
651,형제
654,생각
659,고갱
661,고갱
664,희망
669,동시
671,관장
675,미치광이
677,흥밋거리냐
679,장면
680,크로스
