,Nouns
0,일요일
1,바람
2,가기
5,생각
7,검색
13,주연
17,생각
18,김우형
21,선택
24,여운
25,가시
29,드림걸스
30,이후
33,기대
35,도착
36,평소
37,자주
39,장르
41,시작
42,한지
47,생각
49,놀란
51,설연휴
53,뉴욕
54,여행
55,오페라
56,유령
57,스케일
60,무대
61,장치
62,우리나라
65,무대
68,손색
69,무대
70,란걸
73,전환
74,스토리
75,숨소리
76,음향
77,장치
79,연기력
80,가창력
82,감동
85,스토리
86,생각
89,구성
90,예술
91,면서
93,전개
94,순간
99,투자
104,생각
106,주변
107,지인
108,추천
110,감동
112,우리나라
114,발전
121,롯데
125,홍광호
128,폭발
134,무지
140,욕구
141,걸음
142,걸음
144,깊이
146,홍광호
148,지난번
149,오페라
150,유령
152,팬텀
153,라울
156,음색
159,기억
161,샤롯데
162,가면
164,집중
165,발휘
172,집중
176,이유
178,가기
180,낮잠
181,자고
185,홍광호
187,노랫말
192,홍광호
194,목소리
195,성악가
196,음색
197,면서
198,발음
199,집중
209,어워즈
210,남우
211,주연
212,홍광호
214,김준현
217,후보
223,절실
225,박수
226,절로
227,감동
229,감동
230,홍광호
233,감탄사
235,절로
242,비중
243,무대
244,장치
247,감정
248,변화
249,폭발
250,성량
253,소화
254,역할
257,짐승
258,음성
260,소름
261,연기
262,루시
264,갑자기
265,등장
266,깜짝
267,장면
269,관객
271,매너
273,소름
274,깜짝
275,장면
280,처음
281,노래
283,또박
284,또박
285,노래
288,갈수록
289,성량
292,여배우
293,거듭
294,생각
296,웨딩
297,드레스
301,극찬
302,루시
307,요염
308,섹시
313,매력
314,마음껏
315,발산
316,무대
317,노래
318,장면
320,박수
324,여자
326,홀딱
327,매력
328,장면
330,배경
331,무대
337,인터
338,미션
340,중학생
342,학생
343,아버님
346,홍광호
348,연기력
349,성량
350,매력
351,무대
353,순간
355,노래
357,집중
361,비교
362,홍광호
364,매력
365,똘똘
366,성량
367,감정
368,표현
369,본인
370,무대
374,한장
375,장면
377,혼신
378,연기
379,장면
381,장면
386,홍광호
398,관객
400,매너
401,사람
402,박수
403,호응
404,핸드폰
405,벨소리
408,핸드폰
409,불빛
412,집중
415,홍광호
416,김소현
417,케스팅
419,폭발
420,가창력
421,연기력
422,연기
423,가수
424,노래
429,어쩜
430,소화
433,순간
434,홍광호
436,탄성
437,절로
438,박사
439,진심
442,루시
443,박사
444,생각
445,듀엣곡
448,인상
450,박사
452,잠식
454,박사
455,번갈아
458,노래
459,제목
460,인간
464,표현
465,전달
469,재주
470,설명
473,가수
475,가창력
481,김소현
485,배역
488,폭발
489,가창력
490,배역
491,목소리
492,감정
493,표현
495,감동
497,제작
499,스탭
504,기립박수
505,신화
508,편이
509,자주
515,최고
516,워낙
519,불구
522,가격
523,대가
525,편이
526,선뜻
530,열연
537,시간대
539,바람
540,홍광호
543,친구
545,홍광호
547,절대
548,광팬
550,친구
552,추로
555,연기
557,온몸
558,전율
559,가창력
560,성량
561,감탄
564,갈수록
569,소화
570,내시
571,명연기
572,저절로
573,감탄사
574,기립박수
577,런닝
578,타임
580,긴장감
583,몰입
586,격조
587,연출
588,무대
590,신경
592,보이
594,조연
596,대사
597,배경
598,완젼
599,열연
602,집중
607,의상
608,헤어
609,메이크업
613,완성
615,일지
619,나니
620,해도
623,생각
624,여운
625,감동
631,추천
633,개도
639,기대
641,그동안
642,류정
646,최고
650,생각
660,위안
662,얼라이브
663,컨프롱
664,최고
669,구입
670,넘버
676,조만간
678,킬로
681,생각
685,당일
689,하루
690,종일
691,생각
693,출근
697,처음
698,미도
704,연기
706,루씨
712,넘버
714,라이브
715,최고
716,조정은
722,루씨
725,손짓
726,표정
727,목소리
728,눈빛
729,자세
734,루씨
738,조만간
743,성의
747,처음
751,처음
752,류정
754,존경
756,사람
761,롯데
764,처음
766,은근
767,거리
768,무척
775,휘둥그레
778,심장
779,쿵쾅
782,일인
785,거린
787,압도
791,연기
792,성량
800,상태
804,생각
806,파괴
808,시선
812,매력
814,매료
818,스스로
823,하이
824,아우
825,상태
826,도대체
830,등장인물
831,엄지손가락
836,충만
841,처지
845,엄마
847,초등학생
848,질투
855,눈물
862,전쟁
871,기웃
872,거리
876,그것
879,가운데
880,할인
884,먼저
887,고민
893,사람
900,감동
901,바랬습니
905,주신
906,선물
907,생각
909,시작
910,순간
915,감동
916,흥분
920,연기
923,빚나
925,무대
927,생각
934,단연
936,최고
937,생각
941,인상
945,소름
947,목소리
948,몸짓
949,표정
954,연기
955,눈물
957,지경
958,블로그
959,리뷰
961,흥분
962,중이
966,후회
968,생각
975,감히
978,가슴속
979,감동
982,머리
984,발끝
985,전율
990,최고다
992,스타
994,캐스팅
998,가득
1001,볼때
1003,감동
1004,견뎔낼
1006,최고
1007,음악
1008,최고
1011,사람
1012,변화
1021,사람
1022,내면
1023,연기
1025,절대
