,Nouns
0,어쩌면
2,사람
8,무대
10,예전
11,감성
14,일상
15,위로
18,힐링
26,무조건
29,슷딥
30,디도
31,주시
34,전하
35,고자
36,메시지
38,노래
39,무대
45,매력
46,뿜뿜
53,힐링
54,지인
55,추천
57,최근
58,시대
60,생각
69,케미
71,연기
72,노래
74,앞열
76,시야
78,설정
79,연출
82,열연
84,유잼
86,기대
87,자첫
91,회전
95,힐링
99,가족
100,친구
107,음악
108,내용
111,살짝
115,힐링
116,재미
117,최고
122,오슷
124,증말
125,인생
127,희망
129,귀염
130,뽀쨕챠
131,의미
133,미온
134,라인
135,중계
137,매력
138,직접
139,가게
153,주기
167,굿바이
170,미가
171,그동안
175,힐링
179,인생
180,퍼즐
183,마음
184,소리
185,무대
188,감정
190,전달
194,만날
198,가슴속
200,기억
201,생각
206,힐링
207,요전
208,이지
218,고민
221,메세지
223,걱정
224,나무
228,열연
231,호우
232,감동
238,의미
251,눈물
252,쭈르륵
256,최고
260,넘버
262,불법
267,최고
271,참고
273,제작사
276,아기
277,장군
278,납치
280,줗둡페어
282,미가
292,목소리
294,여요
295,차서
298,미가
300,루머
302,날로
303,오슷
304,홀로
305,노래방
307,사랑
309,강력
310,추천
313,넘버
314,마음
316,전달
317,메시지
320,사랑
322,메세지
325,열연
326,노래
332,소리
335,등장
337,화관
344,사랑
345,메세지
347,울림
349,자존감
350,정우
353,객석
354,혼절
356,생각
361,정우
364,목소리
365,꾀꼬리
375,일리
379,그동안
380,소재
381,웃기
382,넘버
386,소리
388,매력
389,쩔어요
399,만날
406,감사
410,미가
412,힐링
413,최고
414,연차
415,최고
418,사랑
419,최고
421,배틀
425,객석
426,뒤쪽
427,가까이
428,대박
429,객석
430,앵콜
431,우연
437,콘서트
438,평소
443,진혁이로
449,스타일
450,소문
452,애드립
453,예측
455,페어
464,애드립
468,사랑
471,소리
472,페어
473,사랑
474,순종
477,순종
478,상호
479,페어
481,최고
482,애드립
484,회사
486,호랑
488,미가
489,떼굴
490,떼굴
492,충격
494,축복
496,웃음
497,아무
498,노래
503,사랑
504,극다워
508,페어
516,만날
522,의미
523,용기
530,기원
532,바람
537,최고
540,위로
545,사랑
549,대진
551,금방
554,현미
555,호제
556,주머니
559,무대
561,소감
562,감동
563,감동
564,재미
565,동시
571,최고
574,최고
577,그동안
579,위로
583,소식
584,힐링
585,추천
586,내주
587,실거
591,정석
595,무대
597,협소해
601,크게
603,집중
607,넘버
610,재미
611,사람
618,매력
620,자존감
629,볼품
633,넘버
634,가사
639,세상
644,무대
645,홍나영
648,낳을
654,힐링
656,잡채
657,웃기
660,사랑
666,스토리
667,메시지
668,호도
671,이지
672,포도
673,대박
681,내용
690,거꾸로
691,호미
694,가가
695,마멋
697,해도
700,재미
701,감동
704,무대
706,우연
709,현미
710,호슈진혁풍고대
715,캐스팅
721,친구
724,미오슷
725,사랑
726,형태
728,요소
730,기억
735,전하
736,메시지
737,넘버
741,만날
744,점도
748,슬픔
750,일반
757,최고
758,내후년
761,페어
764,최고
769,기세
771,기고
781,펑펑
783,최고
787,소리
790,찰떡
792,주혜미
793,호가
795,순종
796,대가
802,사람
805,생각
807,미라
809,내용
810,에너지
815,최고
818,동영상
819,촬영
820,완료
826,내용
829,미가
831,모로
832,생각
839,마케팅
841,내용
846,내용
848,자막
851,최고
852,힐링
854,미제
855,사랑
856,이아
860,소리
861,기세
863,차서
866,페어
869,찰떡
870,연기
871,넘버
872,최고
875,성장
878,기분
879,인생
880,퍼즐
881,정해진
882,그림
885,그림
886,인생
887,살길
893,관객
894,믿음
895,사랑
896,응원
897,위로
901,미가
904,사랑
905,마음
908,배려
915,힐링
916,에너지
919,미가
922,소통
932,런해
935,넘버
938,미가
946,미가
948,힐링
951,여름
962,눈물
963,무인
964,무인
965,펑펑
967,절대
968,주책
971,애정
975,맘껏
976,감정
977,표현
980,마음속
985,중계
986,본사
987,힐링
988,회전
989,안도
993,극들
996,패스
997,우연
1001,우연
1003,읍니
1004,주혜미
1005,호랑
1006,기고
1008,중계
1009,본사
1010,우연
1016,울면
1017,목소리
1018,노래
1023,사람
1025,진심
1027,우연
1028,최고
1029,하차
1031,여름
1035,추가
1037,차로
1040,인생
1041,퍼즐
1044,최고
1048,감동
1049,재미
1050,동시
1063,퍼즐
1065,공전
1071,위로
1073,생각
1076,럭드
1078,위로
1083,슷딥디
1084,연구
1085,사이
1087,처음
1088,시작
1100,무대
1101,인사
1102,기억
1117,허위
1118,매물
1119,슈진혁
1121,감겨
1123,의미
1126,희망
1127,선물
1128,위로
1132,여왜
1133,거지
1135,허위
1136,매물
1137,우릴
1140,이제야
1141,후회
1144,퍼즐
1147,퍼즐
1148,넘버
1149,가사
1151,처음
1153,나중
1157,킹갓
1158,정우
1167,다나
1174,성장
1175,스토리
1179,언넝
1182,왓으
1184,페지
1191,오래오래
1192,연기
1193,차차
1195,사람
1196,여울
1198,사람
1206,사랑
1208,오슷
1211,넘버
1213,넘버
1214,살라
1216,데리
1217,앵콜
1218,리세
1220,넘버
1223,조조조
1224,조조조조조조조조
1225,조조조조조
1227,힐링
1229,어서
1233,사랑
1236,스토리
1238,감동
1239,악역
1242,미가
1245,사랑
1249,악역
1251,넘버
1253,연기
1254,노래
1255,실력
1259,추천
1266,세미
1268,눈물
1271,미가
1272,오열
1274,세미
1277,깨달음
1278,최고
1279,사랑
1280,오슷줘
1282,힐링
1284,마음
1286,미가
1288,생각
1292,미가
1295,넘재밋
1297,추천
1299,추천
1301,순종
1302,배우체
1305,힐링
1308,사랑
1309,마음
1311,미기
1314,오슷주
1315,가야
1326,고민
1327,내용
1344,자존감
1348,긍정
1349,정인
1354,도장
1358,지인
1370,극도
1372,믿음
1386,미기
1389,이미지
1392,신경
1395,메세지
1405,내용
1407,감동
1409,메이드
1411,옹고집
1413,해석
1416,중계
1418,직관
1424,강추
1429,소리
1432,최애
1433,페어
1435,사랑
1436,위로
1439,마음
1440,세상
1442,사람
1444,마워차
1453,중계로
1454,직접
1472,전날
1476,자리
1477,눈물
1478,줄줄
1483,사랑
1491,고개
1493,위로
1499,미라
1502,위로
1506,기억
1507,넘버
1508,가끔
1514,사람
1516,지지
1518,사람
1519,스크래치
1520,넘버
1524,처음
1527,순간
1529,미가
1531,조종
1534,둘리
1537,선택
1538,결정
1539,순간
1544,성장
1545,스토리
1546,사건
1547,사고
1549,시대
1550,젊은이
1553,마음
1554,눈물
1558,사람
1559,세상
1560,어딘가
1562,사람
1564,만하
1565,안심
1566,눈물
1568,물심
1569,양면
1571,결정
1576,눈앞
1578,마음속
1579,자신감
1580,자존감
1581,남아
1582,평생
1589,요트
1590,아웃
1597,사랑
1598,차고
1599,이아
1607,사랑
1611,소리
1612,대극장
1614,실력
1616,연기
1617,재미
1618,지게
1619,어요
1624,시드라
1628,얘기
1630,오열
1634,사람
1637,노래
1641,웃음
1642,포인트
1645,미진
1646,힐링
1654,오기
1656,미로
1657,우연
1660,페어
1661,회차
1663,우연
1667,케미
1671,마음속
1673,크게
1674,자리
1680,사랑
1685,순간
1686,기억
1687,선물
1689,마음
1690,깊이
1691,싱어
1699,무대
1700,인사
1705,애드립
1708,봣어
1709,감동
1710,재미
1713,연기
1714,노래
1715,재미
1716,감동
1717,스토리
1718,중독
1719,넘버
1720,최고
1721,힐링
1725,개성
1726,매력
1733,무인도
1736,미진
1737,힐링
1739,봄차
1740,코어
1742,성공
1743,축하
1746,페어
1747,자막
1750,힐링
1752,생각
1753,거리
1756,미고
1760,인물
1761,스토리
1762,노래
1768,최고
1771,파망
1774,캐슷
1777,수고
1782,사랑
1783,계기
1784,되었슴다
1787,사랑
1788,계기
1789,되었슴다
1792,연습
1793,보이시
1797,집중
1799,핸드폰
1801,공주
1805,통신
1806,기기
1808,등장
1809,주변
1811,보이
1814,공주
1815,기절
1816,핑크
1817,원피스
1818,퍼플
1819,커리어
1820,우먼
1822,완벽
1823,소화
1824,공주
1825,실존
1827,공주
1830,사랑
1832,질투
1833,요하
1835,사랑
1836,포에버
1841,세상
1843,가끔
1849,무대
1850,연출
1851,눈길
1853,객석
1854,입장
1856,무대
1858,연기
1859,노래
1860,실력
1862,캐스트
1864,혜홍
1871,미가
1874,애드립
1875,처음
1879,퇴근
1883,연극
1889,미제
1895,나중
1903,얼굴
1904,목소리
1907,사랑
1908,사랑
1912,넘버
1913,스토리
1918,웃음
1920,웃음
1921,겨냥
1924,시기
1926,미래
1927,자존감
1930,추하
1932,사람
1933,함차
1934,극일
1939,무대
1940,연출
1941,스토리
1943,기대
1946,넘버
1947,최고
1950,교훈
1953,순종
1958,정우
1961,순종
1964,페어
1968,페어
1971,배역
1972,찰떡
1973,몰입도
1974,최고
1975,마침
1976,간날
1977,싱어
1980,전날
1981,스크래치
1982,넘버
1983,번은
1994,미조
1996,감동
1997,재미
2000,장면
2001,메세지
2009,생각
2012,이예
2015,사람
2020,사랑
2022,시작
2023,생각
2027,주얼
2030,인기
2037,소리
2040,인생
2041,퍼즐
2042,정해진
2043,그림
2044,조각
2045,필요
2046,퍼즐
2049,주혜미
2050,호랑
2052,중고
2053,페어
2054,처음
2055,우연
2062,싱어
2065,헤이헤이
2066,헤이맆
2068,앵콜
2079,봄솔
2081,사랑
2083,광대
2085,천장
2088,명의
2089,친구
2092,공통
2093,반응
2094,넘버
2098,여운
2108,싱어
2111,기간
2114,분과
2115,소통
2116,넘버
2117,관객
2122,그것
