,id,date,rating,views,like,title,text
0,4,arie***예매자,2021.11.01,조회 7,"공감 0
공감하기",재밋어요,나이듦에관하여
1,5,ljy2***예매자,2021.09.27,조회 5,"공감 0
공감하기",재밌어요~,클리셰같지만 엠마랑 스톤 관계 너무 감동받았어요 ㅠㅜㅠ 눈물 한바가지 쏟고 나왔습니다...
2,5,kbi***예매자,2021.09.13,조회 6,"공감 0
공감하기","엠마의 이야기, 우리의 이야기",엠마의 이야기만이 아니라 우리의 미래 이야기라고 생각하니 너무 슬펐습니다 좋은 극이었어요
3,5,mawa***예매자,2021.09.13,조회 9,"공감 0
공감하기",감사합니다,땡큐베리 스트로베리 &#9994;&#127995;&#128400;&#127995;
4,5,yean1***예매자,2021.09.08,조회 15,"공감 0
공감하기",정연 배우가 너무 잘하네요,눈물 흘리다 왔습니다
5,5,ly***예매자,2021.09.07,조회 11,"공감 0
공감하기",땡큐 베리 스트로베리,"다시 볼 수 있어서 좋았고, 또 보고 싶습니다.
배우도, 노래도, 무대도 모두 넘 좋아서 계속 기억나네요.
땡큐, 땡큐 베리 스트로베리!"
6,5,yellowco***예매자,2021.09.06,조회 14,"공감 0
공감하기",최고의 뮤지컬,좋은 공연 잘 보았습니다
7,5,cmj4***예매자,2021.09.06,조회 12,"공감 0
공감하기",땡베리 다시와주세요,"너무 행복하고 따뜻한 극이었어요
20번 보는동안 내내 너무 행복했어요"
8,5,cmj4***예매자,2021.09.06,조회 7,"공감 0
공감하기",땡베리 왜 막공이죠?,"이해할수 없네요
이 공연이 오픈런이 아니란걸 전 인정할 수 없습니다"
9,5,sje9***예매자,2021.09.06,조회 9,"공감 0
공감하기",부모님이랑 같이보기 좋은 느낌,잔잔한 힐링이 되는 느낌이에요 배우들이 연기도 잘해서 재밌게 봤어요
10,5,yehe***예매자,2021.09.06,조회 10,"공감 0
공감하기",땡큐,"고마워요, 이런행복한극을 올려주어서."
11,5,yehe***예매자,2021.09.06,조회 7,"공감 0
공감하기",가볍게땡큐,베리스트로베리... 손수건 왜 안들고갔는지 기억도 안나는 극..또와주세요
12,5,joo***예매자,2021.09.06,조회 14,"공감 0
공감하기",땡큐,그동안 너무 잘봤습니다 다음에 또 볼 수있었으면 좋겠어요
13,5,sw8***예매자,2021.09.06,조회 11,"공감 0
공감하기",^^,"뮤지컬 땡큐베리스트로베리 너무너무 재미있게 잘보고 왔어요
배우님들 연기도 너무 좋고 넘버들도 너무 좋네요
마지막부분이 너무 슬퍼서 펑펑 울다 나왔어요ㅠㅠ
막공이 얼마남지않아서 아쉽네요ㅠㅠ
담에 또 올라오면 그땐 더 많이 보고싶어요^^"
14,5,829***예매자,2021.09.06,조회 4,"공감 0
공감하기",땡큐 베리 스트로베리,가슴 따뜻해지는 기억에 대한 이야기였어요 또 보고 싶어요
15,5,codnjs***예매자,2021.09.06,조회 8,"공감 0
공감하기",땡큐베리스트로베리,엄청 울었어요ㅠㅠ 너무 좋은 극인 것 같아요
16,5,zza***예매자,2021.09.06,조회 2,"공감 0
공감하기",재밌어요,강추합니다
17,5,pppars***예매자,2021.09.06,조회 4,"공감 0
공감하기",땡큐 베리 스트로베리,"나는 인생의 고통도 슬픔도 기쁨도
그냥 다 농담처럼 흘려보낼 거야"
18,5,fan***예매자,2021.09.06,조회 2,"공감 0
공감하기",즐거웠습니다,좋은 공연 감사했어요
19,3,sob***예매자,2021.09.06,조회 6,"공감 0
공감하기",귀여워요,배우님들의 연기가 좋아요
20,2,binu0***예매자,2021.09.06,조회 9,"공감 0
공감하기",연출만 바뀌었으면 이것보다 훨씬 나았을 안타까운 공연,"엠마와 로봇과의 관계설정들이 눈물나지만
아기인형 목 없는 것과
마지막에 데이케어 센터로 가지 않고 혼자 남아서
고장난 로봇 끌어안고 추억팔이 하다가
파기되야할 로봇 끌어안는 결말 등등
연출이 너무 비호감스럽게 되어서
많이 보질 못했습니다
좀만 결말이 아름다웠더라면 힐링도 되고 좋았을텐데
이게 뭐야하고 씁쓸한 마음으로 공연장을 나왔네요
배우분들 연기와 노래는 좋은데 연출이 별로였어요"
