,id,date,rating,views,like,title,text
0,5,sweette***예매자,2023.05.08,조회 1246,"공감 4
공감하기",베스트뮤지컬 레드북 후기,처음 예매할 때는 그저 ''사랑은 마치''라는 넘버를 좋아해서 단순하게 생각했었는데 막상 보니 스토리도 탄탄하고 배우들의 연기력이나 호흡도 정말 좋아 대만족한 작품 입니다. 7년동안 여러 뮤지컬들을 봤지만 이렇게 집중이 잘되고 유쾌한 뮤지컬은 손에 꼽을 정도입니다.
1,5,dpa0***예매자,2023.05.01,조회 1036,"공감 1
공감하기",베스트언제봐도 행복하고 즐거운 뮤지컬,"시작하는 넘버가 정말 신나지만 곳곳 묻어나는 가사들에서 위로를 얻고는 해요.
난 뭐지? 로 시작해서 야한 여자, 마지막에는 나는 나를 말하는 사람 까지 정말 많은 위로와 감동을 받았습니다.
우린 이상한게 아니라 위로하는 방법을 알고 있는것이다. 제2의 누군가보다는 제1의 내가 되어라. 이 두가지의 말은 바쁘고 그것이 당연한 사회분위기 속 저에게 가장 큰 위로로 다가왔던것같습니다. 주위에 추천해주고싶은 뮤지컬이예요."
2,5,heejun2***예매자,2023.03.22,조회 2509,"공감 10
공감하기","베스트가장 사랑스런 뮤지컬 레드북
라이브 후기",내 맘속 1위 뮤지컬 레드북!!!올라오면 꼭 보러 갑니다. 정말 백번천번도 매일 가서 보고싶을 만큼 가장 사랑하는 뮤지컬이에요. 모든 배우님 한분한분 진심으로 노래하고 연기하시는 모습 볼때면 가슴이 벅차기도하고 모든게 느껴져서 흠뻑 울다 웃다 함께 감정을 다 쏟고 오는 기분이랍니다 :-) 레드북은 사랑입니다! 사랑스런 민경아 김국희 배우님 ^^! 모든 배우님들 응원합니다^^ 뮤지컬 보고 난 후 여운이 남아 극장을 떠나고 싶지 않았어요 ㅜㅜ 모두 꼭 보시길 바랍니당!!
3,5,chlqhfl***예매자,2023.03.20,조회 4512,"공감 10
공감하기",베스트내 인생 4번째 뮤지컬,"다시 현실로 돌아오기 싫었던 뮤지컬.
비록 2층 맨뒷자리에서 봤지만, 그럼에도 몰입하게 만드는 공연이었다.
레드북이 주는 용기와 희망, 그리고 사랑의 힘을 온전히 느낄 수 있었다.
브라운이 안나를 이해하면서 점점 가까워지고 사랑에 빠지는 과정이 보는 내내 웃음이 나왔다.
안나와 로렐라이 언덕의 주인공들이 시대에 굴하지 않고 자신의 글을 써내려가는 것도 멋있었고
그들을 생각하면 해방감이 들었다.
그리고 마침내 세상이 레드북을 인정?해주는 순간엔 정말 행복했다.
안나와 브라운 그리고 로렐라이 언덕의 사람들이 평생 행복했으면 좋겠다.
지금 이 순간에도 어딘가에서 행복하게 잘 살고 있는 것 같다."
4,5,qkrwng***예매자,2023.06.05,조회 0,"공감 0
공감하기",나는 나를 말하는 사람,"개막전 상영보고 표 잡았는데 역시,, 레드북 말해뭐해"
5,5,s890***예매자,2023.06.05,조회 0,"공감 0
공감하기",좋은극입니다,아주좋아오
6,1,s890***예매자,2023.06.05,조회 0,"공감 0
공감하기",좋아용,좋았습니다
7,2,s890***예매자,2023.06.05,조회 0,"공감 0
공감하기",좋은 극이었습니다,캐스팅변경 아쉽.
8,2,s890***예매자,2023.06.05,조회 0,"공감 0
공감하기",좋은 극이었습니다,캐스팅변경 아쉽.
9,3,s890***예매자,2023.06.05,조회 0,"공감 0
공감하기",즐거운 관람,좋았습니다^^
10,4,s890***예매자,2023.06.05,조회 0,"공감 0
공감하기",즐거웠습니다,가족과 함께관람~
11,5,s890***예매자,2023.06.05,조회 0,"공감 0
공감하기",좋아오,재밋엇어요
12,5,s890***예매자,2023.06.05,조회 0,"공감 0
공감하기",좋아오,재밋엇어요
13,5,s890***예매자,2023.06.05,조회 0,"공감 0
공감하기",좋아오,재밋엇어요
14,5,s890***예매자,2023.06.05,조회 0,"공감 0
공감하기",좋아오,재밋엇어요
