,id,date,rating,views,like,title,text
0,5,***예매자,2011.09.03,조회 1638,"공감 3
공감하기",베스트많은 생각을 하게 해주는 RENT~,"막..8시 공연 보고나서 바로 후기 올리고 있습니다. 공연 보고 나서 그 여운이 많이 남아서 오리지널 OST를 들으면서 후기를 쓰고 있습니다.
다른 뮤지컬에서는 흔히 쓰이지 않는 동성애나 에이즈에 관한 소재가 렌트에 쓰이고 있어서 편견을 가지고 있지 않은 사람이여도 처음에는 많이 낯설다는 생각을 할 거라고 생각합니다. 물론 저도 약간은 그랬구요...거기에다가 처음에는 반주가 배우분들 목소릴보다 커서 난감했는데 후반부로 갈수록 공연에 집중하니까...가사전달도 잘 되었습니다.
[seasons of love]라는 노래가 마지막 커튼콜때도 불렸는데 너무 감동적인 노래였습니다. 자유를 추구하면서 사는 그들의 삶을 통해서도 나의 생각을 다시 돌아볼수도 있었고, 진짜 사랑에 관한 의미를 다시 생각해보기도 했습니다. 동성애라는 코드 때문에 보기를 꺼리시는 분들도 있겠지만..저는 오히려 ''엔젤''이라는 역할 때문에 렌트라는 뮤지컬을 보면서 그들의 사랑이 너무 아름다워보였습니다. 마지막에 슬퍼서 울기까지 했습니다..(제가 조금 감정적일 수도 있네요;;;)
오리지널에 비하면 배우분들의 파워풀한 면은 조금 떨어지지만...연기력과 가창력은 괜찮았습니다.~!!
저는 뮤지컬 <렌트>많이 많이 추천해 드리고 싶습니다~."
1,5,white***예매자,2011.11.06,조회 118,"공감 0
공감하기",우울한 이야기인데 보고 나면 그렇지 않았어요,"내용을 간단하게 살펴보았을 때는 정말 우울해서 봐도 되나 싶었어요

해피엔딩을 좋아하거든요.

그런데 막상 뮤지컬을 보면서부터는 배우들의 춤과 노래, 연기 등만을 넋놓고 보게 되더라구요.

음악도 굉장히 좋았고, 엔젤과 미미의 멋진 춤은 정말 감탄을 자아냈습니다.

엄마와 언니랑 함께 봤는데 동성연애와 마약 등의 이야기가 엄마에게는 좀 충격적이셨던 모양이라

엄청 좋아하시지는 않았지만 언니와 저는 재밌게 봤습니다.

미리 OST를 들어보고 가면 좀 더 즐길 수 있지 않을까 싶습니다.^^"
2,5,hwkim***예매자,2011.11.06,조회 85,"공감 0
공감하기",정말 좋습니다..,"외국 영화나온 걸 먼저 보고 간터라,
대충 내용은 알고있었습니다

렌트 뮤지컬 넘버가 너무 좋다는 것도요..

우리나라 버전은 어떨까 했는데,
역시.. 다들 노래를 너무 잘하셔서
감동적이었습니다"
3,5,***예매자,2011.10.26,조회 57,"공감 0
공감하기",굿,굿
4,4,kjn5***예매자,2011.10.19,조회 79,"공감 0
공감하기",대박~!,"신나는 음악으로 모든 스트레스가 날아가는 기분이었습니다~
너무너무 재밌었고 신이 났어요!
역시 렌트는 실망을 시키지 않네요^-^"
5,2,vhffl***예매자,2011.10.17,조회 176,"공감 0
공감하기",렌트관람후기,"박칼린이 연출을 했다하여 기대감을 가지고 보러갔는데 만족하지 못하고 돌아왔어요...
보통 무대공연을 보러 가면 관객과 함께 호흡하는 경우가 많은데 렌트에서는 딱한번 관객의 호응을
유도했을뿐 그다지 관객과 호흡하려는 의지가 없어보였어요.
그리고 과도하게 선정적인 장면이 여럿있어서 보고있기가 민망한 경우가 종종있더라구요...
주인공들이 대부분 동성연애자이던데 남자 동성연애자들은 모두 에이즈에 걸린것으로 나와서 자칫
동성연애자들은 모두 에이즈에 걸린다는 잘못된 인식이 생길수도 있는것 같았습니다.
그래도 중간중간 배우들의 가창력이 돋보이는 장면들이있어 그나마 실망하지는 않고 나올 수 있었습니다."
6,3,s***예매자,2011.10.17,조회 127,"공감 0
공감하기",아쉬움이 남는 공연,"배경음악이 너무 큰 탓이었는지.. 음악과 배우의 노래가 같이 나올경우에는 가사전달이 잘 되지 않아서 아쉬웠고, 여러배우가 동시에 노래할 때도 가사전달이 안되었다.
그리고, 남자주인공의 고뇌?와 미미를 사랑하게되는 과정...헤어졌다가 다시 만나는 과정에 잘 ...연결이 안되는 것 같았다. 집중이 잘되는 공연은 아니었다."
7,5,***예매자,2011.10.15,조회 65,"공감 0
공감하기",너무너무좋았습니다^^,"배우분들의 최고의 공연과
최고의 연출로 이루어진
렌트!!!!너무너무 재밌었습니다^^"
8,5,skyblue***,2011.10.13,조회 103,"공감 0
공감하기",최고의 뮤지컬~,"뉴욕 브로드웨이에서 처음 보고, 국내에서 두번째로 봤어요.
역시 감동적이고 신나고 아름답고~ 마크로 브라이언도 의외로 너무 괜찮았고 최고였어요!^^"
9,4,***예매자,2011.10.13,조회 103,"공감 0
공감하기",역시 박칼린 !!!!,"노래를 듣고 반해버린... 렌트 !!!

역시 박칼린 연출이라는게 새삼 느껴졌다 ^^

아주 멋진 목소리의 많은 배우분들..

쉴틈없이 움직이는 무대와 배우들의 몸놀림.!!

약 3시간에 걸쳐 눈과 귀와 온 몸의 신경이 렌트와 함께 한 듯 하다~~

너무 행복한 시간이었다 !!!"
10,5,polli***예매자,2011.10.13,조회 59,"공감 0
공감하기",부모님 선물,어머니 선물로 드렸습니다 가끔 이런 깜짝 할인이 좋을때가 있군요^^어머니께서 너무 즐거우셨다합니다
11,3,youji***예매자,2011.10.13,조회 118,"공감 0
공감하기","음. 박칼린님의 연출에 기대가 너무 컸나봐요,","저는 2009년도 신인들의 렌트도 봤는데요,

오히려 이번 연출이 더 별로였네요.

박칼린님의 연출이라 한껏 기대하고 갔는데요."
12,3,19840***예매자,2011.10.13,조회 122,"공감 0
공감하기",생각보다 실망?,"오페라 라보엠을 배경으로하여 유명한 뮤지컬이다.
아름다운 성악에 매료되어 무척 좋아하는 오페라였던지라 몹시 보고 싶어서 친구와 함께 갔다.
그러나 나이가 많아서인지(50대) 1부의 산만함과 소란스러움은 지루했다. 주위를 둘러보니까 조는사람도 꽤 많더라. 1부 끝나고 가는 사람들도 몇몇보이고..한국 토착화 시키지 못한 노래와 대사랄까? 하여간 따로 노는 느낌....그렇다고 노래가 착착 감기는 것도 아니고...하여간 지루하게 1부를 끝내고 2부를 봤는데, 1부에 비해서 감정의 몰입과 노래가 훨씬 가슴에 와 닿았다. 그렇다고 감동이 밀려올 정도는 아니고. 그나마 2부라도 건진 듯한 느낌?
출연진의 노래와 연기는 모두 만족스러웠지만, 주관적으로는 가격에 비해 재미와 감동을 주는 뮤지컬은 아니다."
13,4,alima2***예매자,2011.10.13,조회 90,"공감 0
공감하기",기억에 남는 뮤지컬,"다른분들의 관람후기를 보고 예매를 했습니다.
대사 전달이 잘안되서 다소 아쉬운 부분도 있었지만
배우들의 열연이 보기 좋았습니다.
다음에 또 공연한다면 다시 꼭 보고 싶네요.

막공을 봐서 배우들 다 볼수 있어서 좋았습니다. ^^"
14,5,eat***예매자,2011.10.13,조회 65,"공감 0
공감하기",화려한 마지막 공연,"스토리, 연기, 노래 모두 좋았습니다."
15,5,grapema***예매자,2011.10.12,조회 54,"공감 0
공감하기",정말 즐거운 공연이었습니다.,"정말 즐거운 공연이었습니다.
다음에 기회가 되면 한번더 관람하고싶네요 ^^"
