,id,date,rating,views,like,title,text
0,5,kke***예매자,2021.01.21,조회 60,"공감 0
공감하기",사이다 마신 기분,노래 시원시원하고 사이다 마신거 같습니다
1,5,rkdhs0***예매자,2020.09.24,조회 32,"공감 0
공감하기",그리운 리지,단연 최고
2,5,minmin200***예매자,2020.08.17,조회 38,"공감 0
공감하기",제박 재연 돌아와주세요,컷콜에서 누구보다 신나게 고개 흔들수있어요 ㅠㅠㅠㅠ제방 ㅠㅠㅠㅠㅠ 최고다
3,4,love081***예매자,2020.08.09,조회 24,"공감 0
공감하기",좋았어요!,"배우님들 시원한 보컬들에 제가 다 짜릿했습니다.
개인적으로 OST라도 나오면 정말 좋을텐데ㅠㅠ"
4,5,qlrmalswl***예매자,2020.07.10,조회 35,"공감 0
공감하기",한여름 리지를 만나 시원햇습니다,시원함 가창력 오싹한 연기력 다 너무 좋았어요!
5,5,roman***예매자,2020.07.06,조회 24,"공감 0
공감하기",좋았어요,리지 보면서 스트레스 해소도 되고 정말 좋았어요 이런 극이 자주 올라왔으면 좋겠습니다. 여성으로만 채워진 극이 올라온 다는 것이 어색해지지 않게!
6,3,gmlgu***예매자,2020.07.06,조회 47,"공감 0
공감하기",리지,코로나가 지나가고 건강한때애 다시 돌아오면 커튼콜 신나게 즐기고싶은 공연
7,4,gmlgu***예매자,2020.07.06,조회 30,"공감 0
공감하기",리지 보든,리지보든 마흔번
8,5,belk***예매자,2020.07.06,조회 29,"공감 0
공감하기",다시 앵콜!,배우 모두 사랑이었타ㅜㅜㅜ
9,5,khi3***예매자,2020.07.06,조회 18,"공감 0
공감하기",나하나 최고,진짜 찐이야
10,5,ssucks***예매자,2020.07.06,조회 21,"공감 0
공감하기",정말 멋진 여성서사극,여성 4인으로 무대가 폭팔합니다
11,5,sung901***예매자,2020.07.06,조회 24,"공감 0
공감하기",머리가 왜 없어~~~!!,배우님들 연기와 성대가 열일하는 극!
12,5,zkdlx***예매자,2020.07.06,조회 15,"공감 0
공감하기",최고입니다 재연 언제 와요,"나하나 배우 김려원 배우 최수진 배우 최현선 배우 네 분 다 정말정말 최고의 연기, 노래, 연기합까지 전부 좋았습니다."
13,5,chdml***예매자,2020.07.06,조회 26,"공감 0
공감하기",좋이여,좋아용
14,4,hie***예매자,2020.07.04,조회 49,"공감 0
공감하기",잘 보고 왔습니다!,잘 봤습니다
15,4,hie***예매자,2020.07.04,조회 24,"공감 0
공감하기",재밌게 잘 보았습니다!,"친구가 제 대신 가서 보고 왔는데 너무 재밌게 잘 보았다고 합니다!
리지 짱짱이래요! 너무 신난다고 또 보고 싶다고 했어요!"
