,id,date,rating,views,like,title,text
0,5,jim***예매자,2019.08.26,조회 1015,"공감 2
공감하기",베스트당신의 인생이 빛나는 순간,"""당신의 인생이 빛나는 순간""

이 캐치 프라이즈를 정말 좋아하고
또 맘마미아에 가장 어울리는 적절한 캐치프라이즈인 것 같아요

그야말로 반짝거리는 공연이었습니다.

엄마의 일기장을 훔쳐보는 소피의 이야기로 시작되는 공연인데
나도 소피를 따라 함께 아빠가 누굴지 고민하고
도나와 친구들의 우정, 위로, 사랑, 외로움, 고민까지
극 중 이야기에도 푹 빠지는 순간이었고
내 이야기에도 대입해보는 즐겁고 행복한 시간이었습니다!

도나 역할의 최정원 배우님은 그야말로 장인이라는 말이 아깝지않아요"
1,5,jungwoo***예매자,2019.07.17,조회 2664,"공감 2
공감하기",베스트역시나 좋았습니다.,"3년 전인가 맘마미아를 봤었습니다. 신나는 음악이 제 마음을 쿵쿵 울리더군요.
어떤노래도 좋지않은 곡이 없었고 이렇게 재밌을수가 있나 싶을정도로 너무 좋았습니다.
이번에 한다기에 또 예매를 ㅋㅋ 연주가 시작되는 순간 소름이 쫙~~ ~~
역시나 배우들의 연기와 열정이 대단했습니다. 간혹 소리가 잘 안들리는 부분이 있긴했지만 엉덩이가 들썩들썩 끝날때는 노래도 같이 부를수 있게 자막이 있어서 너무 좋았습니다 . 간만에 스트레스가 날아간듯 싶어용 ~~"
2,5,wndus7***예매자,2021.05.04,조회 11,"공감 0
공감하기",신영숙 도나 최고,짱입니다요
3,5,wndus7***예매자,2021.05.04,조회 4,"공감 0
공감하기",신영숙 도나 최고,짱입니다요
4,5,wndus7***예매자,2021.05.04,조회 3,"공감 0
공감하기",신영숙 도나 최고,짱입니다요
5,5,wndus7***예매자,2021.05.04,조회 6,"공감 0
공감하기",신영숙 도나 최고,짱입니다요
6,5,wndus7***예매자,2021.05.04,조회 5,"공감 0
공감하기",신영숙 도나 최고,짱입니다요
7,2,thgp1***예매자,2020.05.21,조회 44,"공감 0
공감하기","생각보다 아쉬운,.",루나분이 생각보다 아쉬웠어요..
8,5,jml0***예매자,2020.03.01,조회 20,"공감 0
공감하기",용기를 받는 무대,공연 내내 지루하지않았습니다.
9,5,hothj***예매자,2020.01.30,조회 27,"공감 0
공감하기",내인생 최고에 뮤지컬!,"덕분에 살아있음에 감사함을느꼈습니다..

충전잘하고갑니다"
10,5,lis9***예매자,2020.01.27,조회 28,"공감 0
공감하기",최고다!! 최고!!!,"몇번째 일지도 모르는 뮤지컬 최고다!!!
앙상블. 배우분을 3시간동안 쉴틈없이 봤어요!!
최고에요!"
11,5,lis9***예매자,2020.01.27,조회 23,"공감 0
공감하기",최고!!,"말이 필요없는 연기력 최고다!!!
정말 진심으로 멋있었습니다!!
꼭 한번 보시길!!"
12,5,h***예매자,2020.01.23,조회 12,"공감 0
공감하기",맘마미아!,맘마미아! 익숙한 노래를 직접 들으니 좋았어요! 실감나는 연기도 굿!
13,5,soilo***예매자,2019.12.01,조회 27,"공감 0
공감하기",맘마미아!,"넘버가 모두 익숙해서 그런지 보는 내내 흥이 넘쳤습니다.
중간 애드립도 너무 재밌고 부모님과 다시 한번 보고싶은 공연이었어요"
14,5,mylight12***예매자,2019.11.07,조회 35,"공감 0
공감하기",잼나요,^^화이팅
15,4,jjss0***,2019.10.23,조회 41,"공감 0
공감하기",맘마미아 최고,"맘마미아 최고의 작품이였습니다
한가지 아쉬운점은 최정원분과 홍지민분이 안나오고
대타로 다른분이나와서 조금 실망했습니다"
16,5,eunbin0***예매자,2019.10.16,조회 44,"공감 0
공감하기",한번더 보고싶은 공연:-),"배우분들 자연스러운 표정과 가창력에 스트레스 팍 날렸어요.
너무 좋아서 부산공연 부모님보여드리려고 예매했어요"
