,id,date,rating,views,like,title,text
0,5,gayaman***예매자,2021.08.09,조회 32,"공감 0
공감하기",김태한짱,이중섭 환생
1,4,petez***예매자,2021.08.08,조회 24,"공감 0
공감하기",유쾌하다..,유쾌하지만 막 폭소는 아님
2,5,hyo8***예매자,2021.08.05,조회 14,"공감 0
공감하기",언제 봐도 좋은 극,"이젠 없지만 아직까지 잊지 못 하고 있습니다.ㅠㅠㅠㅠㅠㅠ
다시 돌아올 거죠? 볼 때마다 위로받는 거 같아 좋았는데요ㅜㅜㅜ"
3,5,tksakfn0***예매자,2021.08.04,조회 18,"공감 0
공감하기",재밌게 봤습니다,"실제 인물들을 픽션과 적절히 섞은 스토리가 재밌었습니다 ^^
넘버도 좋았고 연기도 모두 좋았습니다~"
4,5,pal***예매자,2021.08.02,조회 16,"공감 0
공감하기",뮤지컬 명동로망스,조윤영 사랑해ㅠㅠㅠㅠㅠㅠ
5,5,9807cla***예매자,2021.08.02,조회 19,"공감 0
공감하기",내게 생명수를 줘 이 잔 가득 따라줘,명로를 보는 동안 정말 많은 힘을 얻고 생명력을 얻어갑니다 정말 감사합니다
6,5,rom***예매자,2021.08.02,조회 10,"공감 0
공감하기",너무 좋았어요,"항상 따숩고 몽글몽글하던 작품
마지막까지도 너무 좋았어요"
7,5,rom***예매자,2021.08.02,조회 11,"공감 0
공감하기",로망스 다방,"완벽했던 세미막공
로망스 다방 사랑했어요"
8,5,lseoyeo***예매자,2021.08.02,조회 11,"공감 0
공감하기",명동로망스,좋아요
9,5,1107sun***예매자,2021.08.01,조회 26,"공감 0
공감하기",유동배우와 예림배우의 막공ㅠㅠ,"다른배우님들도 정말정말 잘하지만 그 중에서도 유동배우님과 예림배우님을 정말 좋아했었는데 두분의 막공이라니ㅠㅠ 예술가라면 넘버 때 두 분이 처음하는 제스처를 서로서로 너무 잘 받아주셔서 정말 그시대의 혜린과 공무원 선호의 만남을 보는 것 같았습니다. ㅋㅋㅋㅋ 너무 재미있었어욬ㅋㅋ 석원인환 정말 유쾌하시고 혜린과 선호를 눈에 담는 그 모습이 정말 멋있었습니다!! 태한중섭은 말 할 것도 없이 너무너무 잘하시구 륜희여인(마담)과 창주홍익도 그냥 무대에 오르신 6명의 배우분들이 정말정말 다 좋았어욬ㅋㅋ 삶에 지쳐 어디론가 도망가고 싶지만 그 용기도 없고 딱히 갈 곳도 없던 사람에게 좋은 도피처가 된 것 같습니다.
완전 힐링극!! 너무 좋아요!!"
10,5,1107sun***예매자,2021.08.01,조회 26,"공감 0
공감하기",그곳엔 그들이 있었죠 정말 후회하지 않는 극입니다.,"처음 시작의 이 또한 지나가리라와 마지막의 이 또한 지나가리라의 의미가 정말 와닿는 나날이네요
혜린 역할이 집시처럼 시작하기전 ''절뚝거리며 걷는 것도 한쪽발에 힘주고 걷는 것도 그냥 다 힘들더라구요''라는 대사를 쳤는데 그게 지금 딱 제 상황이었거든요.. 그냥 뭘 해도 다 힘들고... 다른 사람들은 다 괜찮아 보이는데 나만 힘든것 같고... 그런 세상 넘버 뒤부터는 정말 사실 그냥 처음 시작부터 공무원 선호가 일하는 모습부터 그냥 다 좋은 작품이었습니다. 정말 다 좋아요 힐링되고 힘들때마다 한 번씩 보면 힘을 얻어서 다시 일상으로 돌아갈 수 있게 해주었습니다. 3월부터 정말 많은 위로를 받았어요 다음에 작품이 온다면 꼭 다시 볼 것 같습니다.!!!"
11,5,1107sun***예매자,2021.08.01,조회 14,"공감 0
공감하기",그곳엔 그들이 있었죠 정말 후회하지 않는 극입니다.,"처음 시작의 이 또한 지나가리라와 마지막의 이 또한 지나가리라의 의미가 정말 와닿는 나날이네요
혜린 역할이 집시처럼 시작하기전 ''절뚝거리며 걷는 것도 한쪽발에 힘주고 걷는 것도 그냥 다 힘들더라구요''라는 대사를 쳤는데 그게 지금 딱 제 상황이었거든요.. 그냥 뭘 해도 다 힘들고... 다른 사람들은 다 괜찮아 보이는데 나만 힘든것 같고... 그런 세상 넘버 뒤부터는 정말 사실 그냥 처음 시작부터 공무원 선호가 일하는 모습부터 그냥 다 좋은 작품이었습니다. 정말 다 좋아요 힐링되고 힘들때마다 한 번씩 보면 힘을 얻어서 다시 일상으로 돌아갈 수 있게 해주었습니다. 3월부터 정말 많은 위로를 받았어요 다음에 작품이 온다면 꼭 다시 볼 것 같습니다.!!!"
12,5,timi***예매자,2021.07.30,조회 9,"공감 0
공감하기",내 사랑스런 동그라미들,"거창한 얘기를 하라는 게 아니야
그냥 눈을 감고 그려봐요"
13,4,rladkdu***예매자,2021.07.30,조회 12,"공감 0
공감하기",세미막공,"ㅠㅠㅠㅠㅠㅠ배우분들 다 먹지까신 거 맞죠??
다시 돌아온다고 해주세요ㅠ"
14,5,tvfxq8***예매자,2021.07.30,조회 7,"공감 0
공감하기",나의 이야기,"그냥 열심히 살았다는 선호의 말이 내 이야기 같아 너무 공감이 많이 되고 힐링받고 나왔습니다!
명로 오픈런 해주세요.. 힘든날마다 가서 보고싶어요…
돌아와…."
15,5,rdy1***예매자,2021.07.28,조회 9,"공감 0
공감하기",우린 또 봅시다,언젠가 다시 돌아올 다방을 그리워하며 지낼 것 같아요 설레고 꿈꾸고 사랑할 수 있게 해주셔서 감사합니다
16,5,ye9***예매자,2021.07.27,조회 13,"공감 0
공감하기",꿈꾸는 세상,"꿈꾸는 세상이 없다는 선호의 표정과 같은 표정을 짓고 있던 나는 로망스 다방의 예술가들이 주는 메세지 덕분에 소소하지만 바라는 내 모습, 바라는 세상을 품게 되었다. 다시 꿈을 꿀 수 있게 해준 소중한 명동 로망스!"
17,5,gyf***예매자,2021.07.27,조회 16,"공감 0
공감하기",늘 그리울 다방,"정말 다음날 아침에 눈이 안 떠질 정도로 펑펑 울었어요.
늘 언제나 보고싶고 그리울 것 같은 명동 로망스 다방, 내일 또 만날 수 없다는게 슬프지만 꼭 빠른 시일내에 다시 만나고 싶습니다."
18,5,bbgg0***예매자,2021.07.26,조회 11,"공감 0
공감하기",언제나 그리운 로망스다방,언제봐도 누구와봐도 삶에 대한 열정을 갖고 나오게 됩니다. 제가 선호도 아닌데 예술가들을 보며 반성을 하기도 하고 삶에 대한 의욕도 생기고 지난 날을 반성하며 앞으로 나아갈 미래를 꿈꾸게 하는 힘을 얻게 돼요.
