,id,date,rating,views,like,title,text
0,5,aikl***예매자,2019.01.07,조회 219,"공감 0
공감하기",베르나르다알바,ㅜ ㅜㅜㅜㅜㅜ ㅜㅜㅜ ㅜ ㅜㅜㅜ
1,5,deara***예매자,2018.12.19,조회 179,"공감 0
공감하기",최고의 공연,올해 본 공연중에 가장 전율을 느낀 공연이었어요! 재연 꼭 와주세요
2,5,lillian6***예매자,2018.12.17,조회 160,"공감 1
공감하기",인생작,입니다. 표가없어서 자첫자막하는게 한입니다. 앞으로 이런 여성극 많이 생겼으면 하는 바람.
3,5,sangsan***예매자,2018.12.01,조회 184,"공감 0
공감하기",부정할 수 없는 올해의 명작,전율 그 자체
4,5,violet***예매자,2018.11.28,조회 112,"공감 0
공감하기",소름,완전 재밌었어요
5,5,seven***예매자,2018.11.28,조회 70,"공감 0
공감하기",-,너무 좋았어요!
6,5,seven***예매자,2018.11.28,조회 50,"공감 0
공감하기",-,꼭 다시 올려 주세요!!
7,5,ggb9***예매자,2018.11.26,조회 98,"공감 0
공감하기",연기 너무 잘하셔요,진짜최고 천재.......
8,5,dyddnj***예매자,2018.11.26,조회 96,"공감 0
공감하기",재연 빨리 주세요,여지껏 이렇게 절 전율시킨 뮤지컬은 없었습니다. 얼른 재연이 왔으면 좋겠어요ㅠㅠㅠ
9,5,dbs***예매자,2018.11.26,조회 85,"공감 0
공감하기",베르나르다 알바,정말 최고 갓극!!
10,5,doheeve***예매자,2018.11.26,조회 76,"공감 0
공감하기",세상에 오마이갓 이런 극이 있다니,"여성 10명이 주도하는 극은 처음 봤는데 이 좋은 걸 왜 여태까지 해주지 않았는지에 대해 원망이 들 만큼 좋은 극 입니다. 가부장제에 대한 비판뿐만 아니라 노래, 춤, 연출,무대 모든 방면에서 볼 것, 들을 것이 많아 호강한다고 느낄 정도였습니다. 꼭 긴 기간으로 다시 돌아왔으면 좋겠습니다."
11,5,pal4***예매자,2018.11.26,조회 46,"공감 0
공감하기",최고,여자배우들만 나오는게 이렇게나 재밌습니다 여러분
12,5,tears***예매자,2018.11.25,조회 67,"공감 0
공감하기",재연이 오지않는다면 우란에 드러눕겠습니다,"숨막히는 강렬함과 눈을 뗄 수 없는 연출의 향연! 억압적인 검은색과 정열의 붉은색 옷자락이 휘날릴 때마다 넋을 잃고 빠져들었네요. 모든 배우의 연기가 다 압도적이고 훌륭합니다. 어머니 정영주 배우의 카리스마부터 막내 오소연 배우의 앙칼진 목소리까지 한명 한명 배역에 녹아들었어요. 결단코 올해의 뮤지컬입니다.

유일한 흠이 있다면 적은 객석과 짧은 공연 기간이에요 재연이 오지 않은다면 우란에 드러눕겠습니다 재연 빨리 주세요ㅠㅠㅠㅠㅠ"
13,5,phb0***예매자,2018.11.23,조회 28,"공감 0
공감하기",빠른시일내레,다시와주시오
14,5,grace***예매자,2018.11.22,조회 38,"공감 0
공감하기",재연해주세요,꼭이요
15,5,hal***예매자,2018.11.22,조회 19,"공감 0
공감하기",재연다시오셔주세요,기다리고 있겠습니다 꼭 와주세요 이번에 자리가 없어서 많이 못봤습니다ㅜㅜㅜ
16,5,tpdus0***예매자,2018.11.21,조회 15,"공감 0
공감하기",진짜...다시 돌아와주세요...,정말...아직까지 그 박수소리와 발구르는소리....춤...노래...전부 잊지못해요....다음에 오실땐 오래해주시길 ㅠㅠㅠㅠㅠㅠㅠㅠ
17,5,jm***예매자,2018.11.21,조회 18,"공감 0
공감하기",담에 꼭 다시 와주세요,최고였어요. 다음에 꼭 다시 와줬으면 좋겠어요. 기다리고 있겠습니다!
18,5,pitap***예매자,2018.11.21,조회 4,"공감 0
공감하기",좋았습니다,좋았어요
19,5,cai***예매자,2018.11.20,조회 6,"공감 0
공감하기",좋았어요,또 볼수 있었으면 좋겠습니다
20,5,lazg***예매자,2018.11.20,조회 10,"공감 0
공감하기",꼭 다시 만날 수 있기를 바랍니다.,강렬한 오프닝에 압도되어 마지막까지 눈을 뗄 수 없었습니다. 여성에 의한 여성의 삶에 대한 극이 전하는 에너지는 그들의 박수소리만큼이나 크게 울렸습니다. 이런 극을 올려주셔서 감사합니다. 그리고 꼭 다시 보고 싶습니다.
21,5,yoda1***예매자,2018.11.20,조회 7,"공감 0
공감하기",대단했습니다,"배우님들의 연기에 압도되었고 매료되었습니다
첫 등장에서 플라멩코와 구두소리, 박수소리는 잊지 못할 겁니다
정말 멋있었습니다
다음엔 꼭 기간 연장해서 돌아와주세요"
22,5,myconti***예매자,2018.11.20,조회 3,"공감 0
공감하기",꼭 다시 !,이 공연이 무대에 올라왔으며 좋겠습니다
23,5,myconti***예매자,2018.11.20,조회 5,"공감 0
공감하기",최고의 공연,곧 다시 볼 수 있는 기회가 생겼으면 좋겠어요
24,5,iiizzz***예매자,2018.11.19,조회 17,"공감 0
공감하기",최고였습니다.,"시작부터 무조건 몰입하게 되는 아우라와 배우들의 열연은 정말.. 숨막히도록 멋졌습니다.
비록 딸들을 지키기 위해 억압해야했던 베르나르다였지만 그녀도 누군가의 딸이었고 그녀 또한 억압받고 고된 삶을 지냈을테니.. 딸들을 호되게 혼낼 수록 그녀가 더욱 슬퍼보였습니다.
딸들의 상황도 하나하나 이해가 되었고, 그만 미쳐버린 후에야 자유를 부르짖는 어머니의 모습도 무언가 가슴에 많이 남았습니다.
이 공연의 유일한 단점이라면 짧아도 너무 짧았던 공연기간이오니 재연으로 오소서.......... 부디 꼭 와주소서....."
25,5,wldbs2***예매자,2018.11.19,조회 8,"공감 0
공감하기",최고의 공연,한번쯤 이런 공연이 나와야 한다고 생각했습니다 재연 꼭 돌아왔으면 좋겠어요 더 많은 사람들이 이 공연을 봐줬으면 좋겠습니다
26,5,soyeo***예매자,2018.11.19,조회 18,"공감 0
공감하기",재밌어요!,잘 봤습니다.
27,5,leesn***예매자,2018.11.19,조회 7,"공감 0
공감하기",좋은 공연입니다,잘 봤습니다
28,5,shih***예매자,2018.11.19,조회 9,"공감 0
공감하기",한 번만 본게 아쉬운 작품,재연은 언제쯤 오나요ㅠㅠㅠㅠㅠㅠㅠ
29,5,joshu***예매자,2018.11.19,조회 91,"공감 0
공감하기",너무 멋진,"여성들에 의한 멋진 뮤지컬이었고.
인간군상을 다 볼 수 있고 인간의 내면을 적나라하게 끌어내는 극이었습니다.
너무 짧은기간..그리고 작은 무대에서 올라와 많이 볼 수 없어서 아쉬웠네요
어서 다시 와주세요~"
30,4,fla***예매자,2018.11.19,조회 8,"공감 0
공감하기",베르나르다알바,베르나르다알바
31,5,ehwa***예매자,2018.11.19,조회 34,"공감 0
공감하기",올해 최고의 작품,"정말 말로 다 표현하기 힘든 작품입니다.
10명의 배우들 에너지로 꽉 찬 공연장이 소름돋게 좋았어요.
빠른 시일내에 재연 꼭 올려주세요.
이번 캐슷들도 꼭 같이 와주세요."
32,4,ell***예매자,2018.11.19,조회 8,"공감 0
공감하기",재밌었어요,재밌었어요
33,5,smg2***예매자,2018.11.19,조회 7,"공감 0
공감하기",빨리,재연 올려주셨으면 좋겠어요 그 땐 더 큰 극장에서 ㅠㅜㅜ
34,5,muso***예매자,2018.11.19,조회 13,"공감 0
공감하기",뮤지컬〈베르나르다 알바〉,초연멤버 그대로 오시고 더블 트리플 캐스팅 하셔서 오셔야 합니다. 꼭이요ㅕ.
