,id,date,rating,views,like,title,text
0,5,sdj***예매자,2017.09.05,조회 2166,"공감 5
공감하기",베스트뭐! 말이 필요없다! 최고다,"뮤지컬을 너무 좋아하는 나로서 그동안 수많은 뮤지컬을 좋은 자리에서 보아왔다.
이제까지의 뮤지컬들도 모두 좋았지만 브로드웨이 42번가는 달랐다.
일단 배우들의 연기, 춤, 의상, 표정, 노래까지 어느 하나 빠짐없이 완벽했고
굳이 이번 뮤지컬을 한단어로 정리해본다면 화려함이라고 할 수있을 것같다.
긴 런닝타임동안 단 한순간도 눈을 뗄 수 없었고 지루할 틈없이 뮤지컬이 끝나버려 아쉽기까지했다.
특히나 이번 뮤지컬은 아예 뮤지컬을 처음보는 친구와 함께보았는데
친구가 내가 왜 뮤지컬을 좋아하는지 알겠다며 자기도 이제부터는 뮤지컬을 보러다닐것같다고
심지어 뮤지컬까지 추천받아갔다. 이말인 즉슨 입문자에게도 아주아주 좋은 뮤지컬임에 틀림이 없다.
늘 느끼는 것은 주연배역의 배우들도 훌륭하지만 서브해주는 조연배역 배우들은 무대에 생기를 넣어주시는 분들 같다. 주연배우들이 감동코드를 선사한다면 조연배우들은 웃음을 선사한다. 항상 최선을 다해 연기해주시는 배우분들께 감사하다."
1,5,snl***예매자,2017.08.12,조회 1703,"공감 10
공감하기","베스트탭댄스란 이런것!
라이브 후기","브로드웨이는 처음이었다!
극의 50%이상이 탭댄스로 구성되있다.
배우들 진짜 힘들겠다ㅠ 다리떨어저나가겠다ㅠ싶을정도로 격한안무...
탭댄스라 누가틀리면 딱 티가 나는데 연습을 얼마나 하신건지....
딱딱딱 맞아서 보는재미가 있었다ㅎ
그래서 앙상블여배우분들이 저렇게 마른건가....싶기도하고..ㅎㅎ
나도 탭댄스배워볼까...살빠지게..이런생각이 들었다..ㅋㅋ

중간중간 코믹요소도 있고, 춤도 멋지고!
무엇보다도 이종혁배우님 노래하시는거 들어서 너무좋다♡
여주인공인 오소연배우님 처음 뵜는데 작은체구에서 뿜어지는 에너지가...!! 발재간도 현란하고!
22명의 남여앙상블 배우분들도ㅎ

디큐브시티도 처음 가봤고, 브로드웨이 42번지도 처음이고,
이렇게 많은 배우분들이 나오시는 공연도 처음이었지만! 성공적!이었다♡ 즐거웠던 시간♡"
2,3,happym***예매자,2018.06.20,조회 22,"공감 0
공감하기",브로드웨이,무대와 좌석사이가 생각보다 가까워 뮤지컬 배우들의 얼굴을 생생하고 관람하였으며 다들 뮤지컬을 잘하여 귀가 즐겁습니다
3,5,lswook7***예매자,2018.03.19,조회 23,"공감 0
공감하기",추천 추천~,"정말 신나고, 보는내내 웃을수 있는 뮤지컬~"
4,4,gia***예매자,2018.01.23,조회 32,"공감 0
공감하기",멋진공연,"탭댄스 너무 유쾌하고 신나는 공연 이었어요
오소연 배우분 발로하는 댄스연기 최고였어요 발이 안보일 정도였고 다음에 또 보고싶네요"
5,5,applepie***예매자,2018.01.15,조회 26,"공감 0
공감하기",신나요,너무너무 신나고 재밌었어요^^
6,4,dlrma***예매자,2017.12.28,조회 44,"공감 0
공감하기",혼자 관람,"좋았습니다
화려함에 눈을 뗄수가 없었네요"
7,5,brubru2***예매자,2017.12.16,조회 15,"공감 0
공감하기",잘봤습니다,엄마와 함께 잘보고 왔습니다~^^
8,5,sesil2***예매자,2017.12.15,조회 30,"공감 0
공감하기",굿굿~~~,"너무 즐겁고 활력 넘치는 공연이었어여
감사합니다"
9,4,suyaj***예매자,2017.12.11,조회 41,"공감 0
공감하기",신나는 공연!,잼있었다ㅎ한번쯤은 온가족이 즐길만한 뮤지컬!
10,4,***예매자,2017.12.06,조회 23,"공감 0
공감하기",좋은 공연,좋은 공연 잘 봤습니다
11,1,skyse***예매자,2017.12.03,조회 44,"공감 0
공감하기",지루해,"내 스타일은 아닌가보다
무대에선 신나게 공연을 하는데 난 지루했다..스토리가 뻔하고."
12,5,cjy8***예매자,2017.11.25,조회 14,"공감 0
공감하기",부모님과함께하기 좋은 뮤지컬,가볍게 즐기고 올수있었습니다. 어머님이 좋아하셔서 다행이었어요. 가족과함께보기 좋은뮤지컬!
13,5,dmsgurd***예매자,2017.11.13,조회 28,"공감 0
공감하기",추천합니다,쇼뮤를 원한다면 보시기를
14,5,dnjsl***예매자,2017.11.04,조회 14,"공감 0
공감하기",브로드웨이42번가,♡
15,5,97sk***예매자,2017.11.01,조회 42,"공감 0
공감하기",굿,귯
16,4,***예매자,2017.10.28,조회 30,"공감 0
공감하기",열정에 갠스,볼거리가 많은 공연. 그 많은 춤을 모두 완벽하게 소화 한 공연 이었어요.
17,5,sdj***예매자,2017.09.05,조회 2166,"공감 5
공감하기",베스트뭐! 말이 필요없다! 최고다,"뮤지컬을 너무 좋아하는 나로서 그동안 수많은 뮤지컬을 좋은 자리에서 보아왔다.
이제까지의 뮤지컬들도 모두 좋았지만 브로드웨이 42번가는 달랐다.
일단 배우들의 연기, 춤, 의상, 표정, 노래까지 어느 하나 빠짐없이 완벽했고
굳이 이번 뮤지컬을 한단어로 정리해본다면 화려함이라고 할 수있을 것같다.
긴 런닝타임동안 단 한순간도 눈을 뗄 수 없었고 지루할 틈없이 뮤지컬이 끝나버려 아쉽기까지했다.
특히나 이번 뮤지컬은 아예 뮤지컬을 처음보는 친구와 함께보았는데
친구가 내가 왜 뮤지컬을 좋아하는지 알겠다며 자기도 이제부터는 뮤지컬을 보러다닐것같다고
심지어 뮤지컬까지 추천받아갔다. 이말인 즉슨 입문자에게도 아주아주 좋은 뮤지컬임에 틀림이 없다.
늘 느끼는 것은 주연배역의 배우들도 훌륭하지만 서브해주는 조연배역 배우들은 무대에 생기를 넣어주시는 분들 같다. 주연배우들이 감동코드를 선사한다면 조연배우들은 웃음을 선사한다. 항상 최선을 다해 연기해주시는 배우분들께 감사하다."
