,id,date,rating,views,like,title,text
0,5,ah1***예매자,2020.02.12,조회 249,"공감 0
공감하기",베스트고흐의 그림으로 가득찬 무대,"미술에 일가견이 1도 없는 사람이라 걱정했다. 하지만 이 극은 고흐에 대해 잘 몰라도 쉽게 따라갈 수 있게 만들어진 극이었다. 온통 새하얀 벽에는 빔프로젝터를 쏴서 여러 배경을 만들어 주었고, 그 덕분에 지루하지 않게 볼 수 있었다. 그리고 고흐의 명화를 마음껏 볼 수 있었다. 정말 무대에 많은 신경을 쓴 공연 같았다.
이번 극을 통해서 고흐가 어떤 삶을 살아왔는지, 그가 얼마나 외로워했고 괴로워했는지 조금이나마 느낄 수 있었다. 마지막 부분은 아직도 생각하면 마음이 짠하다.
정말 주변 사람들에게 추천해주고 싶은 극이다."
1,5,timothy***예매자,2019.12.09,조회 1624,"공감 16
공감하기",베스트가사가 진짜 예뻐요,"아~~~ 고흐ㅠㅠ생각만해도 눈물나는 사람
참 불쌍하지만 참 멋진 삶을 살았던 사람같아요
그 많은 작품들을 그려내는 모습들이 감동적이었습니다
노래 가사가 너무 예뻐서 기억에 남네요~~ㅠㅠㅠㅠ
천연덕스러운 웃음~~~"
2,5,2070***예매자,2019.12.09,조회 2501,"공감 16
공감하기",베스트최근에 본 공연중에,"제일 좋네요 ㅋㅋ 요즘 공연 이것저것 봤는데 ㅋㅋㅋ
제일 만족스럽고 퀄리티 높은 공연이었습니다 ㅋㅋㅋ"
3,5,***예매자,2019.12.09,조회 1724,"공감 16
공감하기",베스트아름다운 무대와 노래가 다 한 진짜 뮤지컬,화가 반고흐의 일생을 유쾌하면서도 슬프게 그려 낸 좋은 작품이었습니다 고흐와 관련된 여러 전시나 서적들을 접했지면 뮤지컬은 또 색다른 경험이었어요 그림이 살아 움직이는 무대를 노래와 함께 본다는건 진짜 멋진 경험이었습니다 뮤지컬 빈센트반고흐 많은 분들이 보셨으면 좋겠습니다!!
4,5,adist***예매자,2019.12.09,조회 1179,"공감 16
공감하기",베스트다시돌아온 인생작,너무 멋진극
5,5,yuri***예매자,2019.12.09,조회 806,"공감 16
공감하기",베스트고흐,"처음 오프닝 영상을 보자마자 저도 모르게 눈물이 났습니다
연출도 대단했고 넘버들도 좋더라구요. 영상쓰임이 제가 본 뮤지컬 중에 손가락안에 들 정도로 좋았습니다. 황홀해요.
그리고 배우님들의 연기가 너무 대단해서 극 내내 아름다워서, 슬퍼서, 공감되서 많이 울었던 것 같아요.
이런 좋은 극을 볼 수 있어 행복했고 많은 분들이 보셨으면 좋겠습니다:)"
6,5,sweetyblu***예매자,2019.12.09,조회 1075,"공감 17
공감하기",베스트바람과 온도 달과 별의 하모니,"첫공은 보통 피하는 편인데 쌀덕은 피할 수
없었고 전 또 빠지고 말았네요. 바람과 온도.. 부터 눈앞이 자꾸 흐려지더라는..
4년 전 3년 전에도 느꼈지만 쌀고흐는 등짝 한 대 때려주고 토닥여주고 싶은 고흐였어요.. 빵도 좀 먹이구요..
테오는.. 아.. 덕테오는 진짜 테오였어요.
그리웠습니다ㅠ"
7,5,wnz***예매자,2019.12.09,조회 801,"공감 16
공감하기",베스트말이 필요없는 공연,"감동 그 자체였어요. 빈센트와 테오를 너무 잘 표현해준 두 배우와 아름다운 무대 영상, 음악 등 뭐 하나 아쉬운 게 없었습니다."
8,5,kimjiwon912***예매자,2020.07.31,조회 8,"공감 0
공감하기",좋아요,감동받고갑니다..넘버들도 너무 좋아요
9,5,kimjiwon912***예매자,2020.04.24,조회 13,"공감 0
공감하기",넘버 하나하나 너무 좋아요,넘버가 너무 좋아요 연출도 너무 신기하고 눈이 재밌었던것 같아요
