,id,date,rating,views,like,title,text
0,5,jha***예매자,2022.02.28,조회 1742,"공감 5
공감하기",베스트뮤우지컬을 사랑 하는 사람들이 보면 좋은,"등장인물에 셰익스피어가 있던 것부터 너무 신선했는데 뮤우지컬 얘기라니 연뮤덕으로써 당연히 흥미로울 수 밖에 없는 스토리라서 너무 즐겁게 봤습니다
공연 내내 관객들의 웃음소리가 끊이지 않았고 배우분들 부터 오케스트라 분들까지 너무 열일해주셔서 보기 좋았어요"
1,5,mmi***예매자,2022.05.14,조회 24,"공감 0
공감하기",최고 좋아하는 뮤지컬!!,"세상 제일 좋아하는 뮤지컬이 되었습니다
썸띵로튼 최고!!!!"
2,5,fgh***예매자,2022.05.10,조회 18,"공감 0
공감하기",썸로 좋아요,내한도 봤었는데 뮤지컬 좋아하는 사람이라면 무조건 봐야됨 ㅠㅠ
3,5,hams***예매자,2022.04.28,조회 29,"공감 0
공감하기",뮤지컬 입문자들 추천!,"공연 시작하는순간 행복해짐~
넘버가 전부 좋아서 꼽을수가없어요ㅠㅠ
배우분들, 앙상블 다 너무잘해서 최고였어요!"
4,5,kyy0***예매자,2022.04.25,조회 33,"공감 0
공감하기",썸로 제발 삼연오자!!,"뮤덕들을 위한 뮤지컬입니다!!
못 보신 분들은 삼연 오면 꼭보세요~"
5,5,suhyun9***예매자,2022.04.25,조회 10,"공감 0
공감하기",추천합니다,좋았어요 추천함니다 ㅋㅋ
6,5,***예매자,2022.04.24,조회 19,"공감 0
공감하기",너무 즐겁게 봤어요:),공연 내내 너무 행복하게 극을 볼 수 있었어요:) 못하는 배우님 하나 없이 모두 잘하셔서 정말 좋았습니다.
7,5,sh***예매자,2022.04.19,조회 19,"공감 0
공감하기",너무너무 재밌는 뮤우지컬,행복했어요 ㅠㅠㅠㅠ
8,5,littlest***예매자,2022.04.18,조회 29,"공감 0
공감하기",3연 질척거려봅니다...,"''최고의 갓극'' 썸씽로튼을 보내고 마음이 헛헛합니다.
3연 와줄거죠..? 다시 오면 그때는 꼭 함성과 함께 뜨거운 박수를 보내고 싶어요!"
9,5,honestyl***예매자,2022.04.18,조회 9,"공감 0
공감하기",너무 재밌었어요,"너무 재밌었어요ㅠㅠㅠㅠㅠㅠㅠㅠ
꼭 다시 와주세요 썸씽로튼"
