,id,date,rating,views,like,title,text
0,4,ytlov***예매자,2018.06.03,조회 34,"공감 0
공감하기",good,6명의 연기가 좋았어요.
1,4,72346***예매자,2018.05.20,조회 24,"공감 0
공감하기",재미있어요,"감동도 있고 웃음도있고
즐거운시간이었어요"
2,5,luotian***예매자,2018.05.03,조회 35,"공감 0
공감하기",재미있다,"정말 좋아요!!!
언제 도 있습니까!???"
3,5,hyemifri***예매자,2018.05.02,조회 29,"공감 0
공감하기",좋아요,재밌게 잘 봤습니다
4,5,ri5***예매자,2018.04.25,조회 54,"공감 0
공감하기",가자가자! 리틀농구단!!,"친구들과의 진한 우정극이 이토록 슬플수 았다는걸 알게해주고
친구들의 소중함을 다시한번 알게해주는 극이였습니다!!&#128077;&#128077;"
5,5,ljhfrie***예매자,2018.04.25,조회 25,"공감 0
공감하기",재밌었어요!,너무 재미있었습니다!
6,5,ojim***예매자,2018.04.24,조회 33,"공감 0
공감하기",전리농주세요,임챠밍 미모로 세상지배??
7,5,ojim***예매자,2018.04.24,조회 41,"공감 0
공감하기",전리농 가지마ㅠ,2017 전리농 맴버 한번만 데려오쟈 현진다인 보고싶어ㅜ
8,5,svnat***예매자,2018.04.23,조회 40,"공감 0
공감하기",재미있다.,배우들이 귀여우면서도 아기자기한 공연을 잘 끌어간다고 느꼈다.
9,5,mjchoi4***예매자,2018.04.23,조회 28,"공감 0
공감하기",재밌었습니다!!,배우분들 연기가 너무 좋았습니다ㅠㅠ 다음에 또 올라왔으면 좋겠네요!
10,5,herb0***예매자,2018.04.23,조회 43,"공감 0
공감하기",마음 따뜻해지는 힐링극,"사회생활에 찌들어있는 제가 순수하게 응원하고, 함께 기뻐하며 웃고 울다보면 후련해지는 상태로 커튼콜을 맞이하게 되는 공연입니다.
나오는 캐릭터들 모두 사랑스럽고 열정적이라서 덩달아 에너지 뿜뿜하게 되는 극이예요.
이번에는 많이 보지 못했지만 앞으로 꾸준히 자주 보았으면 좋겠어요."
11,5,jyjy***예매자,2018.04.23,조회 29,"공감 0
공감하기",전리농 다시와죠,"전리농 다시 와주세요.....
전리농 사랑해오.."
12,5,gpfls3***예매자,2018.04.23,조회 38,"공감 0
공감하기",전리농,"농구한판이면돼!!!
좋아요
흔한농구스포츠물이아닙니다 ㅠㅜ"
13,5,rnrnrkr***예매자,2018.04.21,조회 22,"공감 0
공감하기",전설의 리틀 농구단,재미있다
14,5,triple***예매자,2018.04.19,조회 42,"공감 1
공감하기",전설의 리틀 농구단!,"좋은 공연이었어요.
배우들도 너무나 열심이었고, 넘버가 계속 머리속에 남아 있네요.
또 올라왔으면 좋겠어요!"
15,5,ohyoung1***예매자,2018.04.18,조회 24,"공감 0
공감하기",최고의 공연~!,진짜 눈물나여...
