,id,date,rating,views,like,title,text
0,5,das0***예매자,2021.08.23,조회 72,"공감 0
공감하기",그럼에도 불구하고 꼭 봐야만 하는 이유,"재연이 오면 이 공연 못 보신 분들은 꼭 봐야 합니다 재연이 오면 이 공연 보신분들이더라도 꼭 봐야 합니다 객석에 앉아서 첫 오프닝 넘버인 문을 듣는 순간 느껴지는 그 전율을 꼭 느껴보셔야 합니다 왼쪽 핀 조명 하나 떨어지는 무대 위에서 연주하는 피아니스트 안 보이는 곳에서 연주하고 있는 음악팀 10명의 배우진들 넘버 안무 연출 무대 등 모든 게 완벽한 포미니츠... 안무 진짜 최고입니다 그냥 봐도 마음이 웅장해지는 무대인데 의자, 우산, 신문 등을 사용한 안무까지 더 해지니 진짜 말로 설명할 수 없이 너무 좋더라고요 후기 적는 지금 이 순간에도 너무 좋아서 심장이 뛰네요 살인자 넘버 때 8명의 배우가 음악에 맞추면서 제니를 옥죄며 걸어가는 안무는 진짜 눈물... 또 만지지마! 넘버 때 스크린에 여러 손이 나오는 게 영상인 줄 알았는데 무대 옆에서 배우들이 조명에 대고 손 안무 하고 있더군요 이것조차 두번째 관람 때 깨달았습니다 이런 디테일들을 찾기 위해서라도 꼭 반드시 재연이 오면 회전문을 돌러 가셔야 합니다! 그리고 모든 넘버가 좋지만 1번 넘버인가 2번 넘버에서 간호병인 한나가 음악으로 사람들 죽음을 잊을 수 있게 하는 게... 언제봐도 눈물이 주륵주륵 납니다(박제 주세요) 제가 너무 사랑하는 극입니다 너무 좋아서 딤프 공연까지 따라가서 한 회차 빼고 다 보고 왔습니다 저도 이 극을 늦게 보게 되어 초연 본공은 비록 두 번 밖에 못 봤지만 재연이 오면 꼭 회전문을 돌거라 다짐합니다 막공 때 친구도 데려 갔더니 친구가 왜 막공 때 이렇게 좋은 공연을 보여주며 뭐라 하더군요 다행히 딤프 공연이 온다는 소식이 바로 떠서 살았습니다^^; ㅎㅎ 아무튼 매일매일 포미니츠 재연 기다리는 중입니다... 포미니츠가 보고 싶은 마음에 몇 자 적으려다가... 너무 좋은 기억들에 줄줄 늘어놨네요 그래서 결론은 너무너무 그립고 보고 싶은 공연 온라인 중계로 하루 빨리 다시 볼 수 있으면 참 좋겠네요(속닥속닥)"
1,5,iami***예매자,2021.06.21,조회 39,"공감 0
공감하기",또보고싶습니다,또보고싶습니다 재연 어서 올라와주세요 배우들 그대로 다 데리고
2,5,dptmfd***예매자,2021.06.14,조회 41,"공감 0
공감하기",여운이 남는 뮤지컬,최고 마지막4분의 여운
3,5,dptmfd***예매자,2021.06.14,조회 33,"공감 0
공감하기",여운이 남는 뮤지컬,최고 마지막4분의 여운
4,5,dptmfd***예매자,2021.06.14,조회 22,"공감 0
공감하기",여운이 남는 뮤지컬,최고 마지막4분의 여운
5,5,dptmfd***예매자,2021.06.14,조회 17,"공감 0
공감하기",여운이 남는 뮤지컬,최고 마지막4분의 여운
6,5,dptmfd***예매자,2021.06.14,조회 23,"공감 0
공감하기",여운이 남는 뮤지컬,최고 마지막4분의 여운
7,5,dptmfd***예매자,2021.06.14,조회 20,"공감 0
공감하기",여운이 남는 뮤지컬,최고 마지막4분의 여운
8,5,dptmfd***예매자,2021.06.14,조회 16,"공감 0
공감하기",여운이 남는 뮤지컬,최고 마지막4분의 여운
9,5,best***예매자,2021.06.07,조회 48,"공감 0
공감하기",어떻게 보내주죠ㅠㅠ,막공한지 2주가 되었는데도 여전히 못 보내겠어요ㅠㅠ 넘버도 연출도 배우님들도 정말 최고였는데ㅠㅠ OST 지금이라도 내주실 생각 없으신가요ㅠㅠ 진짜 넘버를 그렇게 멋있게 뽑았으면서... 그러면 모두가 들을 수 있게 팔아주셔야죠ㅠㅠ 아무튼 진짜 인생 뮤지컬이라고 부를 수 있을 정도로 최고의 공연이었습니다.
10,4,kim***예매자,2021.06.03,조회 52,"공감 0
공감하기",마지막 4분이 모든 것을 삼키다,"제목으로 드러나는 그 마지막 4분의 연주
4분 정도는 숨을 참을 수 있다믄 걸
알게 되었어요. 이런 좋은 무대를 위한
배우들의 노력이 숭고하게 느껴집니다
감사합니다"
11,3,cinze***예매자,2021.06.01,조회 68,"공감 0
공감하기",흠…,개인적인 취향에 맞지 않았어요ㅠㅠ 생각했던 스토리랑 결이 좀 다른 느낌이네요. 주인공의 서사에 좀 더 집중할 수 있었다면 어땠을까 하는 아쉬움이 좀 남습니다ㅜㅜ
12,5,banghy***예매자,2021.06.01,조회 34,"공감 0
공감하기",재미있어요!!!!!,재미있어요!!!!
13,5,yje880***예매자,2021.06.01,조회 32,"공감 0
공감하기",다시 오길 기다립니다,"좋은 메시지와 아름다운 음악을 가진 좋은 가능성을 가진 공연이었습니다.
재연 때 더 멋진 모습으로 돌아오길 기대합니다."
14,5,yje880***예매자,2021.06.01,조회 29,"공감 0
공감하기",너무나 좋았습니다,김환희 제니와 김선영 크뤼거를 만날 수 있는 세상에 사는 제가 행운아라고 생각했어요
15,5,sonyj0***예매자,2021.05.31,조회 49,"공감 0
공감하기",포미니츠.... ....... 그리워요...,ㅠㅠㅠㅠㅠㅠㅠㅠ 화요일 정동 8시 늦지마 포미니츠 하고싶은데 극이 없네요.. 그리워요...... 보고싶어요.. 한번만...다시.. 포미니츠...볼 수만.. 있다면..... 너를..안다고.....사랑한다고...기억한다 말항템데...내가 회전을 더 빡시게 돌았다면... 연장할수있았을까... 내가 더 영업했다면... 포미니츠 지킬 수 있었을까...용기없고 약한 덕후가 살아... 바보같고 비겁한 오타쿠만 살아남아.. 하루..하루... 쌓여가는 포미니츠 없는 내 하루가....미안해..... 재연 올때 수하제니 잊지마 포미니츠 (선생님들)
16,4,hopavecy***예매자,2021.05.31,조회 24,"공감 0
공감하기",최고!,제니와 크뤼거 같은 역할을 만날 수 있어서 의미 있는 공연이었어요
17,4,hopavecy***예매자,2021.05.31,조회 20,"공감 0
공감하기",좋았습니다!,배우들의 열연이 돋보였어요
18,5,hawn***예매자,2021.05.31,조회 32,"공감 0
공감하기",김수하 천재,와...와... 너무 최고 그리고 영화의 착장을 아주 잘 녹여냈다
19,5,m101***예매자,2021.05.31,조회 25,"공감 0
공감하기",포미니츠,"다시 보게 해주세요
지금 정말... 딤프 보러갈까 고민 중임...."
20,4,6808***예매자,2021.05.31,조회 22,"공감 0
공감하기",배우들이 빛났던,김선영 김환희 배우님의 열연이 인상적이었지만 각색과 연출이 아쉽습니다
21,5,kwi***예매자,2021.05.31,조회 22,"공감 0
공감하기",2021년 2분기를 멋지게 빛내준 공연,2021년 2분기를 멋지게 빛내준 공연
22,5,kwi***예매자,2021.05.31,조회 19,"공감 0
공감하기",강렬했던 초연의 기억으로 재공연을 기다립니다,강렬했던 초연의 기억으로 재공연을 기다립니다
23,5,kwi***예매자,2021.05.31,조회 18,"공감 0
공감하기",빠른 재공연으로 다시 만나기를,빠른 재공연으로 다시 만나기를
24,5,ojh***예매자,2021.05.31,조회 19,"공감 0
공감하기",김환희 최고예요,4분동안 연주되는 피아노 대회 진짜 최고중의 최고입니다.
25,4,fin***예매자,2021.05.31,조회 17,"공감 0
공감하기",다음이 기대되는 공연,"마지막 4분의 퍼포먼스는 정말 압도적이지만
전체적인 흐름은 이어지지 않는 느낌이었습니다
초연인만큼 다음 재연이 어떻게 돌아올지가 기대되는 공연이었습니다"
26,5,ojh***예매자,2021.05.31,조회 14,"공감 0
공감하기",김환희배우 최고예요,"김환희 배우 연기, 노래 정말 모두 최고입니다.
마지막 4분은 정말 숨도 못쉬고 관람해요.."
27,4,redboot***예매자,2021.05.31,조회 10,"공감 0
공감하기",좋은 공연,김환희 배우의 제니 연기 정말 좋았어요!
28,5,redboot***예매자,2021.05.31,조회 10,"공감 0
공감하기",최고의 공연,"김선영 배우, 김환희 배우, 오은철 피아니스트의 조합 최고로 좋았습니다^^"
29,5,redboot***예매자,2021.05.31,조회 7,"공감 0
공감하기",최고의 공연,"김선영 배우, 김환희 배우, 오은철 피아니스트의 조합 최고로 좋았습니다^^"
30,5,redboot***예매자,2021.05.31,조회 8,"공감 0
공감하기",최고의 공연,"김선영 배우, 김환희 배우, 오은철 피아니스트의 조합 최고로 좋았습니다^^"
31,5,redboot***예매자,2021.05.31,조회 4,"공감 0
공감하기",최고의 공연,"김선영 배우, 김환희 배우, 오은철 피아니스트의 조합 최고로 좋았습니다^^"
32,5,redboot***예매자,2021.05.31,조회 5,"공감 0
공감하기",최고의 공연,"김선영 배우, 김환희 배우, 오은철 피아니스트의 조합 최고로 좋았습니다^^"
33,5,redboot***예매자,2021.05.31,조회 4,"공감 0
공감하기",최고의 공연,"김선영 배우, 김환희 배우, 오은철 피아니스트의 조합 최고로 좋았습니다^^"
34,5,redboot***예매자,2021.05.31,조회 5,"공감 0
공감하기",최고의 공연,"김선영 배우, 김환희 배우, 오은철 피아니스트의 조합 최고로 좋았습니다^^"
35,5,redboot***예매자,2021.05.31,조회 4,"공감 0
공감하기",최고의 공연,"김선영 배우, 김환희 배우, 오은철 피아니스트의 조합 최고로 좋았습니다^^"
36,5,redboot***예매자,2021.05.31,조회 3,"공감 0
공감하기",최고의 공연,"김선영 배우, 김환희 배우, 오은철 피아니스트의 조합 최고로 좋았습니다^^"
37,5,redboot***예매자,2021.05.31,조회 2,"공감 0
공감하기",최고의 공연,"김선영 배우, 김환희 배우, 오은철 피아니스트의 조합 최고로 좋았습니다^^"
38,5,redboot***예매자,2021.05.31,조회 2,"공감 0
공감하기",최고의 공연,"김선영 배우, 김환희 배우, 오은철 피아니스트의 조합 최고로 좋았습니다^^"
39,5,redboot***예매자,2021.05.31,조회 2,"공감 0
공감하기",최고의 공연,"김선영 배우, 김환희 배우, 오은철 피아니스트의 조합 최고로 좋았습니다^^"
40,5,redboot***예매자,2021.05.31,조회 4,"공감 0
공감하기",최고의 공연,"김선영 배우, 김환희 배우, 오은철 피아니스트의 조합 최고로 좋았습니다^^"
41,5,redboot***예매자,2021.05.31,조회 4,"공감 0
공감하기",최고의 공연,"김선영 배우, 김환희 배우, 오은철 피아니스트의 조합 최고로 좋았습니다^^"
42,5,redboot***예매자,2021.05.31,조회 3,"공감 0
공감하기",최고의 공연,"김선영 배우, 김환희 배우, 오은철 피아니스트의 조합 최고로 좋았습니다^^"
43,5,kyungsu***예매자,2021.05.31,조회 15,"공감 0
공감하기",ㅠㅠㅠㅠ,김수하ㅠㅠ 사랑해ㅠㅠㅠ
44,5,rnfkcj***예매자,2021.05.31,조회 12,"공감 0
공감하기",최고였습니다.,"김수하 배우님 연기 진짜 미쳤네여 ㅠㅠ
최고였어요(!)

임현수 배우님이랑 여기서도 아빠랑 딸로 나와서 조선 생각났어여 ㅠㅠ"
45,4,wonan***예매자,2021.05.31,조회 16,"공감 0
공감하기",내일은 연주할거야,"내일은 꿈을 꿀 거야
내일이 오늘이 되는 날
나 당신 위해 연주할 거야
스타인웨이 소년처럼
내 꿈을 연주할 거야
누구도 멈출 수 없어 이 울림

내일은 연주할거야
내일이 오늘이 되는 날"
46,5,dicas***예매자,2021.05.31,조회 11,"공감 0
공감하기",멋있었어요,왜 막공 가까이서 봤는지 조금 후회... 연출이 정말 좋았습니다.
47,5,cco***예매자,2021.05.31,조회 12,"공감 0
공감하기",포미니츠,궁금함에 봤는데 생각보다 너무 잘봤습니다. 인상적이었어요.
48,4,hjek3***예매자,2021.05.30,조회 9,"공감 0
공감하기",좋아요,좋아요
49,5,bethchen9***예매자,2021.05.30,조회 24,"공감 0
공감하기",좋은데?,뭐 안 좋은 후기가 꽤 많은 편이긴 한데 제 생각에는 이야기건 넘버건 전적으로 호였어요! 특히 김수하 배우님ㅠㅠㅠ 너무 잘 하셨어요! 사랑합니다
50,3,coorocr***예매자,2021.05.29,조회 37,"공감 0
공감하기",아쉬운 부분이 많았습니다,"배우님들의 연기와 노래는 정말 좋았는데...

아쉬운 부분이 많았습니다.
창작 초연이니 더 개선될 수 있겠죠?"
51,3,hopavecy***예매자,2021.05.27,조회 25,"공감 0
공감하기",좋았습니다!,"배우들의 열연이 돋보이는 공연이었습니다.
특히, 제니와 크뤼거같은 캐릭터를 만날 수 있어 반가운 작품이었어요."
52,4,skmml***예매자,2021.05.27,조회 18,"공감 0
공감하기",영화랑은 또 다른 감동이네요,"김수하배우의 연기를 보고 참 대단하구나 생각했습니다
김선영배우와의 케미도 좋고
피아노 선율 좋았습니다
좋은 극 감동 받았어요"
53,5,next9***예매자,2021.05.27,조회 12,"공감 0
공감하기",좋았습니다,"초연작품이라 큰 기대없이 관람했는데 김선영배우의 눈빛과 표정에 치이고 왔습니다.
오늘이 마지막공연이라니 아쉽네여"
54,5,ideanhelt***예매자,2021.05.26,조회 16,"공감 0
공감하기",마지막 주에 본 게 너무 아쉬워요,영화 원작임에도 그 한계를 뛰어넘어 새로운 메시지를 주었습니다
55,5,tripho***예매자,2021.05.25,조회 15,"공감 0
공감하기",초연,"초연이라 아쉬운 부분도 많이 보였지만
다듬고 고쳐볼 여지가 있다고 볼 수도 있겠죠?
관객들이 남긴 의견들 꼭 정독하셨으면 좋겠습니다...

배우들과 마지막 4분은 좋았어요."
56,4,tripho***예매자,2021.05.25,조회 18,"공감 0
공감하기",마지막4분,멋있어요
57,5,doc0***예매자,2021.05.25,조회 17,"공감 0
공감하기",마지막 4분을 위한 여정,중간중간 병풍같은 제니한테 조명좀 더 주세요
58,5,nike***예매자,2021.05.25,조회 22,"공감 0
공감하기",뮤지컬 〈포미니츠〉,"제목이 왜 포미니츠인지 알 것 같아요.
중간에 바다 나오는 노래도 너무 좋았고. 음악과 배우들이 연기가 돋보이는 공연이었습니다.
자신의 자리를 찾아간다는, 나를 찾아간다는 이야기도 너무 감동적이었어요.
요즘 제게 딱 필요한 이야기였던 것 같아요.
그리고 마지막 4분간의 피아노 연주 너무 멋있었어요."
59,5,nike***예매자,2021.05.25,조회 20,"공감 0
공감하기",뮤지컬 〈포미니츠〉,"왜 포미니츠인지 알것같아요.
마지막 4분간의 피아노 연주 너무 멋있었어요.
중간에 바다 나오는 노래도 너무 좋았고. 음악과 배우들이 연기가 돋보이는 공연이었습니다."
60,3,sunho***예매자,2021.05.24,조회 30,"공감 0
공감하기",멋진 피아노연주,"남자역의 연출이 다시 재고 되었으면 좋았을 극이나,
두여배우의 연기가 압권이며, 마지막 연출은 정말 엄지척 !!"
61,5,dena***예매자,2021.05.24,조회 15,"공감 0
공감하기",최고!!!!!!!!!!,"배우들연기쩔고, 피아노 넘멋짐
극작이 좀 수정이 필요할거같은데, 담에 좀더 깊어져오길"
62,5,juris***예매자,2021.05.24,조회 13,"공감 0
공감하기",추천합니다.,배우들의 연기와 피아니스트분의 연주가 완벽하게 어우러지는 극이었어요.
63,5,juris***예매자,2021.05.24,조회 11,"공감 0
공감하기",추천합니다.,마지막 4분이 정말 소름 돋았어요.
64,4,kminj***예매자,2021.05.24,조회 24,"공감 0
공감하기",배우가 다 만들어간 공연이네요,"배우가 다 만들어간 공연이네요

뮈체 너무 화남"
65,1,gangx***예매자,2021.05.24,조회 45,"공감 1
공감하기",뮤지컬의 3요소,"극본, 음악, 가사 셋 다 별로
제일 문제인 극본은 뭘 말하고 싶은지 모르겠고
여성주연 영화 원작으로 가져다가 남성캐릭터 서사는 착즙으로 모자라 창조해줌

음악.. 보고 나면 남는 넘버가 없는 느낌
귀에 잘 들어오지도 않는데 어렵긴 엄청 어려워서 배우들만 고생함

가사
유치하고 원색적임 더 말할 것도 없음

제니 재능이 아깝다는 크뤼거 선생님의 심정 이해 가능..
배우들 재능만 아까워하다가 4분 몰입하고 극 끝남"
66,4,2joon0***예매자,2021.05.24,조회 18,"공감 0
공감하기",4분,뮈체의 성장스토리
67,4,yoon990***예매자,2021.05.24,조회 19,"공감 0
공감하기",포미니츠,"정동극장을 처음 가봤는데 어디서 보든 다 잘보인다고 해서 기대를 많이 했어요
그런데 언제 공사를 했는지, 원래 없던 좌석이 생긴 것 같더라구요
4열?까지 단차가 없는 것 같았습니다 앞사람이 키가 크면 시야방해가 심하더라구요
극 자체는 너무 좋았습니다 트리거를 누를 만한 내용도 있지만 피아노 연주가 너무 좋았기 때문에..."
68,5,rini12***예매자,2021.05.24,조회 14,"공감 0
공감하기",하루 하루 쌓여가는 네 하루를,"한 회차 한 회차가 모두 소중했어요.
정말 행복하게 봤던 것 같습니다.
제니와 크뤼거의 이야기를 통해 저도 성장했어요.
꼭 다시 돌아왔으면 좋겠습니다."
69,5,dlawodls4***예매자,2021.05.24,조회 15,"공감 0
공감하기",다시,돌아와주길
70,5,lisa2***예매자,2021.05.24,조회 12,"공감 0
공감하기",포미니츠,분량배분이 미묘하게 아쉬웠지만 재미있었어요
71,3,hlovej1***예매자,2021.05.24,조회 23,"공감 0
공감하기",뮤지컬 〈포미니츠〉,"시작은 화려했고
공연은 아쉬움만 남기고
끝은 어색하다"
72,3,hlovej1***예매자,2021.05.24,조회 18,"공감 0
공감하기",뮤지컬 〈포미니츠〉,"모든 인물들에게 서사가 있다.
특히 뮈체와 교도서장
그러나 정작 크뤼거와 제니에게는 서사가 없다."
73,2,hlovej1***예매자,2021.05.24,조회 24,"공감 0
공감하기",뮤지컬 〈포미니츠〉,배우들만 최선을 다한다고 최고가 될수 없다.
74,5,alsel9***예매자,2021.05.24,조회 14,"공감 0
공감하기",막공까지 고생많으신 배우분들 스텝분들,힘든 넘버 깔끔하게 해주시는 수하배우님bbb
75,5,daybrea***예매자,2021.05.24,조회 14,"공감 0
공감하기",포미니츠,"4분 4분 4분
마지막 4분이란 무엇인가"
76,5,withk***예매자,2021.05.24,조회 19,"공감 0
공감하기",흥미로운 무대 구성과 연출!,"그럼에도 다가올 내일을 위해 문을 열어두어야 한다는 말이 지금 내게 가장 큰 위로가 되는구나.
예술이 참 잔혹한 구원이라는 생각을 했는데, 삶을 포기하고 싶고 더는 일어날 힘이 남아있지 않다고 생각할 때조차, ‘그럼에도 다시’라고 희망을 속삭인다는 것. 그 말이 너무 아픈데도 그렇게 말해주는 이가 어딘가엔 존재하기 때문에 그 말을 붙들고 다시 일아나게 된다는 점이다.
뮈체의 삶과 비뚤어진 마음이 참..가여웠다. 평범한 사람들이 할 수 있는 평범한 질투, 평범한 인정욕구. 단지 조금 더 괜찮고 싶었을 뿐인 그 마음을 그렇게 틀어버린 척박한 환경이 안타까웠다. 극이 끝난 이후 인물들의 삶에 대해선 생각지 않는 편이지만, 이번만큼은 그가 자기 바다를 찾길 바란다.
어떤 사건에 속수무책으로 휩쓸렸다가 홀로 살아남은 이들의 삶. 그 모든 일의 이후에도 남겨진 날들을 ‘잘’ 살아가야 한다는 건 모순적이고 고통스러운 일이다. 그럼에도 살아남은 자의 의무이기 때문에, 후회가 삶을 쓸어가지 않도록 계속 자신을 지켜야 한다는 것. 그런 용기는 어디서 나오는 걸까.
넘버들도 좋았다. 초반에 제니의 격렬한 감정을 보여주었던 넘버들도 좋았고, 후반부에 크뤼거가 제니에게 자신의 과거를 들려줄 때 그 회환의 감정을 담은 넘버도 좋았다. 아주 오랫동안 삭히고 삭혀서, 이제는 누군가에게 담담하게 ''''너는 조금 덜 아팠으면 좋겠다''''라고 말해줄 수 있는 의연함.
수하제니 정말 좋았다. 사실 제니 캐릭터는 조금.. 익숙하다고 해야 하나? 제니의 과거도 그렇고, 좀 더 매력적인 캐릭터 빌딩을 할 수 있었을 것 같은데, 약간 예측 가능한 시나리오로 흘러간 면이 있다고 느껴졌다."
77,5,daeerwe***예매자,2021.05.24,조회 13,"공감 0
공감하기",뮤지컬 포미니츠 강력추천합니다.,뮤지컬 포미니츠 강력추천합니다.
78,4,cz***예매자,2021.05.24,조회 11,"공감 0
공감하기",재미있었습니다.,"배우분들 연기 노래 너무 좋았는데 뮈체 분량이 너무 많네요.
다음번에 올때는 뮈체 분량좀 줄었으면 좋겠습니다."
