,id,date,rating,views,like,title,text
0,5,tpdkdu***예매자,2019.04.22,조회 504,"공감 3
공감하기",베스트포세이돈이 아닐리없다ㅠㅠㅠㅠ,무대소품들과 조명들도 너무 아기자기하니 동화같이 예쁘구요 노래들도 다 정말 좋아요!! 제일 좋은건 역시 배우님들의 연기과 노래!!! 또 보고 싶은데 자리가 없네요ㅠㅠㅠㅠ 재연 와주실거죠ㅠㅠㅠㅠ
1,5,wjsgus***예매자,2019.04.10,조회 1016,"공감 2
공감하기",베스트보이는 걸 쓰면 돼,"보면 볼수록 또 보고 싶은 신기한 극인 것 같아요!
왜냐면 볼때마다 배우님들의 감정선도 깊어지고 보는 제 몰입도도 높아져서 그런가봐요.
같은 극을 또 보고 또 보면 질리기 마련인데 이건 이상하게 질리지 않네요. 마성의 해적들 정말ㅠㅠㅠㅠ
처음 볼때는 조금 유치하다고 생각했는데 이제는 그런 생각 안들어요ㅠㅠㅠㅠ
배우님들이 작품 아끼시는게 눈에 보이고, 배우님들끼리도 친한게 눈에 선하게 보여서 저까지 덩달아서 이 극을 아끼고 친밀감이 드나봐요.
중독성 있고 재밌는 넘버도 있고, 눈물나올만큼 감동적인 넘버도 있고 넘버 맛집이네요.
아직 보지 않으신 분들에게 강력 추천합니다!
아, 제 자리는 남겨주세요..ㅎㅎㅎ"
2,5,ej6***예매자,2019.04.02,조회 928,"공감 2
공감하기",베스트넘버도 스토리도 너무 좋아요,"모든 넘버가 좋아요!!인터미션 넘버는 진짜 신박하고 좋은 것 같아요. 인터미션 넘버가 시작되면 웃음을 참을 수가 없어요. 너무 귀여워요! 모든 배우, 모든 페어 다 좋아서 어느 회차를 봐도 좋습니다."
3,5,sue5***예매자,2019.03.26,조회 1012,"공감 6
공감하기",베스트넘버가 너무 좋아요,"공연 보고 나오면 저도 모르게 넘버를 흥얼거리게 돼요
배우들도 연기 너무 좋고
김순택 노윤 페어 짱"
4,5,jyou0***예매자,2019.07.14,조회 37,"공감 0
공감하기",재미있어요,추천하는 뮤지컬!! 펑펑 울고 왔네요
5,5,soe***예매자,2019.07.10,조회 53,"공감 0
공감하기","마지막 항해란 건 없어, 바다가 있는 한.",이라고 했으면서!!!! 왜 없어ㅠ
6,5,rnd0***예매자,2019.07.03,조회 40,"공감 0
공감하기",다시돌아와앙,"너무늦은 공연후기네요
요새 노래가 계속 샹각나요
씨디구매했지만 뮤지컬극장으로 다시보고싶어요오"
7,5,si1r***예매자,2019.06.16,조회 69,"공감 0
공감하기",초연이라 늦게 봤는데 그래서 꼭 재연와여해여..,"재연오면 진짜 더 많이 볼 것 같은데ㅠㅠ
진짜 재미잇고 마음 따뜻해 지는 극....ㅠㅠ
근데 해적이 주인공이라서 마음따뜻해도 되나 싶기도 하지만
극이 전하고자 하는 메세지가 맘에 들어요!"
8,5,jyou0***예매자,2019.06.14,조회 43,"공감 0
공감하기",최고예요,재밌어요!!!!!! 소품도 아기자기 예뻐요
9,4,lovehele***예매자,2019.06.13,조회 71,"공감 0
공감하기",티켓싸니까 믿으니까 인터파크니까 INTERPARK 검색검색폼 검색Play DB 영화 전체메뉴보기 뮤지컬 콘서트,"티켓싸니까 믿으니까 인터파크니까 INTERPARK
검색검색폼
검색Play DB 영화
전체메뉴보기
뮤지컬
콘서트
연극
클래식/무용
스포츠
레저
전시/행사
아동/가족
TOPING
랭킹
지역
공연장



커뮤니티공연관람후기

상품명
IZ*ONE 1ST CONCERT ［EYES ON ME］ IN SEOUL

관람일시
2019.06.09 17:00
응모 가능
제 목
별 점 별점별점별점별점별점 강력 추천 별점별점별점별점 추천 별점별점별점 보통 별점별점 아쉬움 별점실망
내 용

꼭 읽어주세요운영규정 자세히보기
게시판 운영 규정에 어긋난다고 판단되는 게시글은 사전 통보없이 블라인드 처리될 수 있습니다.
특히 티켓 매매 및 양도의 글은 발견 즉시 임의 삭제되며 전화번호, 이메일 등의 개인정보는 악용될 우려가 있으므로 게시를 삼가 주시기 바랍니다.
사전 경고에도 불구하고 불량 게시물을 계속적으로 게재한 게시자의 경우 인터파크 티켓 게시판 작성 권한이 제한됩니다."
