,id,date,rating,views,like,title,text
0,5,jenj***예매자,2019.05.21,조회 294,"공감 4
공감하기","베스트넘버도 내용도 너무 좋았어요ㅠㅠ 완전 울면서 나옴
라이브 후기",와 짐쨔..제가 이걸 왜 이리 늦게봤죠... 다시 보고 싶은데 막공 5일 전이라 티켓도 다 매진이네.. 넘버 진짜 개좋으니까 ost 좀 부탁드려여. 지갑 열 준비 되어 있어요. 우선 유툽으로라도 들으러 가야겠다... 나 운다 진짜.....ㅠㅠㅠ
1,5,blueorang***예매자,2019.05.14,조회 464,"공감 1
공감하기",베스트나의인생은빛날것이다.,"탄탄한 스토리와,배우들의 연기가 빛을 발한 뮤지컬.
처음엔 미스테리물인가 라고 생각했는데,
등장인물 모두의 인생과 호프,또 읽히지않은 미발표 원고의 생애까지 어디하나 공감하지 않을 수 없었다.
특히,마지막의 김선영배우님 노래시작부터 멈추지않는 눈물은,호프 그 자체의 공감과 호프가 나에게 보내는 위로같아서 더 눈물났었다.잘버텼다,잘해낼거다.
나스스로에게 가장 필요한 말이었다.
난 앞으로도 나로 빛날거야."
2,5,hoibl***예매자,2019.05.08,조회 704,"공감 6
공감하기",베스트당신의 책에는 무슨 이야기가 적혀 있나요.,"누군가는 빛이 난다고 하고, 누군가는 절망의 거울이라고 하고, 누군가에는 끝없는 기다림...아픔... 그 모든 것이 적혀 있는 한 권의 책.
볼수록 스스로를 비춰 보게 되서 많이 울게 되요. 시작부터 끝까지 내 삶을 돌아보며, 바닥을 처야 올라오는 느낌이라 힘들기도 한. 하지만 인생은, 책은 끝이 아니니까 다시 나아가자는 메세지가 참 좋았습니다.
넘버 너무 좋은데, 피아노 연주도 나오던데ㅜㅜ 오슷 내주세요ㅜ"
3,5,diddpdnjs***예매자,2019.04.09,조회 2177,"공감 6
공감하기","베스트호프 보고 오열했어요
라이브 후기","그냥 무작정 슬프기만 한게 아니라 이야기의 서사가 있어서 흐름따라가다 보니까 자연스럽게 감정이 느껴지더라고요.
넘버들도, 배우님들의 연기들도, 무대마저도 너무 너무 아름다웠고 감명깊었습니다. 꼭 다시 보고 싶어요."
4,5,kimjiwon912***예매자,2020.07.31,조회 17,"공감 0
공감하기",감동적이에요,정말 위로받고 왔습니다..너무 좋네요 눈물 줄주류ㅠㅠ
5,5,cmoonk0***예매자,2020.01.09,조회 37,"공감 0
공감하기",호프,"호프는 오래오래 기억에 남을 작품입니다.

어서 다시 만날 수 있기를 바랍니다."
6,5,cmoonk0***예매자,2020.01.09,조회 46,"공감 0
공감하기",기억에 남는 작품,"호프는 오래오래 기억에 남을 작품입니다.

어서 다시 만날 수 있기를 바랍니다."
7,5,jeb***예매자,2019.08.20,조회 51,"공감 0
공감하기",올해 최고의 창작 뮤지컬,너무너무 좋아요 재연 오면 또 회전 돌 거예요
8,5,tjfgus2***예매자,2019.08.11,조회 44,"공감 0
공감하기",에바 호프,에바호프 그게 나야
9,5,bom980***예매자,2019.08.05,조회 74,"공감 0
공감하기",시간이 지나도 몇번이고 다시 보고 싶은 뮤지컬,"지금 이 뮤지컬을 볼 수 있다는 것이 아쉬울 정도로 좋았어요. 어머니를 모시고 꼭 다시 보고 싶었던 뮤지컬 입니다 :) 많은 생각이 들었고, 또 많은 위로를 받았어요. 이런 극을 올려주셔서 감사합니다. 여성이 주연이 되는 뮤지컬이라 또 더 좋았던 것 같아요. 공감이나 위로가 되는 부분도 컸던 것 같아요."
