,id,date,rating,views,like,title,text
0,5,df0***예매자,2021.04.19,조회 38,"공감 0
공감하기",언제든 꼭 다시 인생작!,말이필요없는 인생작!
1,5,jiso***예매자,2021.03.31,조회 22,"공감 0
공감하기",호프,제 인생극...
2,5,kga***,2021.03.22,조회 23,"공감 0
공감하기",호프,시국 때문에 많이 못봤지만 한 번으로도 그 감동을 많이 느꼈어요 눈물 계속 흘렸어요ㅠㅠ
3,5,kga***,2021.03.22,조회 22,"공감 0
공감하기",호프,시국 때문에 많이 못봤지만 한 번으로도 그 감동을 많이 느꼈어요 눈물 계속 흘렸어요ㅠㅠ
4,5,glas***예매자,2021.03.21,조회 26,"공감 0
공감하기",눈물버튼 생성,넘버 들으면서 눈물 줄줄했네요
5,5,eunsoo1***예매자,2021.03.20,조회 29,"공감 0
공감하기",김경수 짱,김경수 짱
6,5,burn***예매자,2021.03.13,조회 29,"공감 0
공감하기",너무너무 좋아요,노래 무대 너무너무 좋았습니다.
7,5,seobin3***예매자,2021.03.10,조회 24,"공감 0
공감하기",호프,최고입니다 진짜ㅠㅠㅠ
8,5,musichol***예매자,2021.03.09,조회 29,"공감 0
공감하기",호프,"넌 수고했다
너무 좋아요"
9,5,swb***예매자,2021.03.09,조회 46,"공감 0
공감하기",볼때마다 눈물흘리게 되는 극,"초연때 보고 대성통곡을 하면서 봤었던 극이었는데요. 같은 내용을 두번째 보는것임에도 불구하고 또 한번 대성통곡을 했던 극이에요. 나와는 다른이야기이지만 나를 생각하게 되고 몰입하게 되는 이야기가 매력적이고, 노래들도 변형되는게 참 듣기에도 재미있었습니다. 얼른 3연이 왔으면 좋겠습니다."
10,5,6***예매자,2021.03.08,조회 19,"공감 0
공감하기",호프,"참 따듯한 극이에여

영화관상연 온라인중계도 해준다고 해서 기대하고 있습니다"
11,5,selyks2***예매자,2021.03.08,조회 42,"공감 0
공감하기",펑펑 울다 나왔어요,"젼쌀려옌은 신이다!
마리가 ''집으로 돌아오는 길만 잊지 않으면 돼'' 하는데 어찌 그리 슬프던지요...
그때부터 쉬지 않고 울었습니다."
12,5,ofn***예매자,2021.03.08,조회 28,"공감 0
공감하기",빛나잖아 에바 호프ㅠㅠ,누군가의 기준이 되기 위해 네 일사을 포기하지마
13,5,happyberr***예매자,2021.03.07,조회 10,"공감 0
공감하기",너무 좋아요,"진짜 매 시즌 보고 싶게 만드는 호프
김선영배우님 최고에요"
14,5,sychoi***예매자,2021.03.06,조회 14,"공감 0
공감하기",좋았습니다,좋았습니다
