,rating,id,date,views,like,title,text
0,4,chanso***예매자,2020.09.30,조회 31,"공감 0
공감하기",지음이 되어 주셔서 감사합니다,나중에 시간이 많이 지나고 생활이 정상화된 다음에 2020년을 어떻게 기억하게 될 지 궁금하다한창 공연중인 뮤지컬 연극들이 갑자기 중단되기도 하고개막 연기나 조기 폐막 같은 가슴 아픈 일들이 이렇게 많이 자주 일어났던 적이 있었던가이런 어려운 상황에서 무사히 공연을 마무리할 수 있다는 것이 기적처럼 느껴지게 되었다코로나로 인해서 당연했던 일들과 늘 곁에 있던 사람들이 소중하다는 것을 새삼 깨달았듯이난설도 우리가 아무렇지도 않게 쓰는 이 말과 글의 소중함을 일깨워 주는 극이라고 생각한다그리고 더 이상 신분 차이 때문에 슬프고 먹먹한 일이 일어나지 않기를 지금도 여전히 바란다사랑하는 인지초희 성일이달 석진균의 페어막이었는데성일 배우님 목상태가 별로 안 좋은 것 같아서 안타까웠고석진 배우님 커튼콜 때 뒤돌아서 눈물 훔쳐야 할 정도로 많이 우셔서 안쓰러웠다꿋꿋하면서도 먹먹하고 강인하면서도 여린 인지 배우님의 초희 너무나도 그리울 것 같다그래도 아직 와 가 나와서 길이길이 이 분들을 만날 수 있을 테니 행복하다
1,4,chanso***예매자,2020.09.29,조회 24,"공감 0
공감하기",더 멀리 날아가,정인지 양승리 최호승 배우님의 페어막 회차였다최애 페어가 따로 있더라도 모든 배우분들이 다 좋았고 나름의 캐릭터 구현이 매력 있어서배우 분들 거의 상관 없이 시간 되는대로 회전을 돌았더니 공연장 와서 캐스팅을 안 적도 많다난설 무대 연출 중에 또 정말 좋았던 것은 바닥을 활용했던 것이었다바닥에 초희의 시구들도 날아다니고 먹을 묻힌 붓으로 배우님들의 동선을 그려주는 듯한 것도 좋았다특히 낮의 문 넘버에서 이런 연출이 잘 보이는데 그 넘버의 가사와 연출이 딱 맞아 떨어지는 느낌이다그런 것들을 더 잘 보여주기 위해서 무대도 일부러 경사면으로 만든 것일 텐데관객 입장에서는 앞자리에서도 잘 보이니까 좋았지만막상 이제 와서 생각해 보니 그런 경사면에 서서 연기를 하실 배우분들은 좀 힘들었을 수도 있겠다서 있거나 걷는 것은 물론이고 뛰면서 춤춰야 하는데하지만 어쨌든 초희가 자신의 시들을 태우며 더 멀리 날아가게 어디든 닿게 하려고 한다고 할 때불길 옆에서 초희의 시 제목들이 사그라져 없어지는 연출은 정말 너무 슬펐다
2,4,chanso***예매자,2020.09.29,조회 19,"공감 0
공감하기",더 멀리 날아가,인지초희 성일달 석진균 2020 난설 재연에서 나의 최애 페어이다막공까지 딱 일주일 남은 공연 기간 중 이 페어의 공연을 볼 수 있다는 것이 좋으면서도한편으로는 또 얼마 안 남았다는 것이 실감이 나서 아쉽기도 했다난설 프리뷰 공연부터 보면서 느낀 것이 무대 양쪽 사이드를 활용한 연출이 너무 좋아서사이드에 앉으면 목이 아픈데도 불구하고 상관 없이 그냥 예매했었다무대 가운데에서는 현실 세계를 보여준다고 하면 양 사이드에서는 이상적인 세계를 보여주는 느낌이었다하지만 그것이 그들에게는 늘 이루기 어려운 꿈이었기에그 곳에 서 있을 때의 배우분들의 표정은 웃음기를 띄면서도 어딘가 슬픈 모양새였다하지만 난설은 역시 그런 것이 매력이 아닌가 싶다아름답고도 슬픈 이달의 거문고 곡조처럼난설 삼연 벌써부터 기다리고 있습니다
3,5,joonjoon1***예매자,2020.09.28,조회 13,"공감 0
공감하기",감동적인 공연,추천합니다
4,5,longyo***예매자,2020.09.24,조회 21,"공감 0
공감하기",난설 처음 봤는데,너무 좋았어요  또 해주세요
5,4,chanso***예매자,2020.09.24,조회 48,"공감 0
공감하기",저한테 왜 이러십니까,지금까지의 경험으로 비추어 봤을 때 나는 유독 사극 뮤지컬 그리고 서정적인 국악 기반 넘버에 약하다그 중에서도 이렇게 회전을 돌면서도 처음에도 그리고 나중에까지도 오열하게 만드는 극은 난설뿐인듯다행히 이 극을 프리뷰 때부터 관람해서 막공 주까지 꾸준하게 볼 수 있어서 다행이었지만아직 나는 난설을 보내줄 준비가 안 된 것 같은데 벌써 마지막 주라니 저한테 왜 이러십니까볼 때마다 어김없이 눈물을 흘리는데 그 때마다 손으로 눈물을 훔치기도 그렇고그렇다고 눈물이 마스크를 다 적셔서 축축하게 젖은 마스크를 쓰고 집에 가기도 그래서난설을 관람할 때에는 언젠가부터 손수건을 손에 꼭 쥐고 보기 시작했다눈물을 주체할 수 없을 때 손수건으로 눈가를 꾹꾹 누르면 그나마 덜 자주 눈에 손을 올려도 되니까나 같은 분들이 많아서 난설 손수건이 그렇게 입고된 지 얼마 되지도 않아서 순식간에 품절됐나 보다그런데 그렇게 손수건으로 눈물을 조금씩 닦아내는 것까지도 관크라고 여기는 분들도 있는 것인가정확히 어떤 장면이었는지는 기억이 나지 않지만 아마도 초희의 죽음을 상징하는 장면이었던 것 같은데너무 눈물이 멈추지를 않아서 평소보다 몇 초 정도 더 손수건으로 눈을 꾹 누르고 있었더니내 오른쪽 옆에 앉아 있던 분이 손수건을 든 내 팔을 탁 쳐내서 내리게 하는 것이었다그 때부터 나도 감정 깨지고 집중하기가 어려웠는데당시에는 너무 당황스러워서 아무 말도 못하고 쳐다보지도 않았지만 생각할수록 열 받네그렇게까지 예민하시면 그냥 집에서 디비디나 돌려보시기를
6,5,1004g***예매자,2020.09.21,조회 12,"공감 0
공감하기",재밌었어요,다음 시즌에 또 볼래요
7,5,1004g***예매자,2020.09.21,조회 14,"공감 0
공감하기",작품 너무 좋았어요,잔잔하면서도 감동있는 작품이었어요
8,5,yee0***예매자,2020.09.21,조회 14,"공감 0
공감하기",지음,나의 소리를 알아주는 이가 있어 행복했던 시간
9,4,kks1***예매자,2020.09.21,조회 17,"공감 0
공감하기",균아,한여름에도 눈이온다
10,5,alicia8***예매자,2020.09.19,조회 14,"공감 0
공감하기",최고의 공연,그냥 최고 진짜 최고 양승리 최고
11,4,chanso***예매자,2020.09.18,조회 28,"공감 0
공감하기",진짜 세상,내가 이 뮤지컬 난설이라는 작품을 이렇게까지 애정하고 열심히 회전 돌고 있는 이유를 생각해 보았다일단은 첫번째로 넘버들이 모두 좋아서 집에 가서도 나도 모르게 흥얼거릴 정도로 귀에 꽂혔고두번째로는 이 작품이 주는 메시지가 슬프게도 조선이 아닌 현대 한국에서도 이어진다는 것이고세번째로는 여러 번 들을수록 더 향기가 나는 그 대사와 가사들 때문인 것 같다지금은 하차한 안유진 배우님까지 포함해 아홉 분의 배우분들이 모두 좋고 각각의 디테일이 있지만허균 역할에서는 최석진 배우님의 디테일이 개인적으로 가장 마음에 든다초희를 기다리던 균이 본인 옷에 묻은 얼룩을 지우려고 하는 것도늦게 돌아온 초희에게 핀잔을 주면서 초희가 입은 자신의 옷에 묻은 얼룩을 발견하고 지우려고 하는 것도아무런 티끌이 없는 완벽한 세상에 머물고 싶어하는 그의 강박적인 성격이 드러나는 것 같아서였다균은 초희가 바꾸려 하는 소위 진짜 세상에 나가기를 두려워하고아무 것에도 상처 입지 않을 수 있고 더 없이 완벽한 초희와 자신만의 세계에 머물고 싶어한다그저 내 짐작일 뿐이지만 균의 그런 성격을 최석진 배우님은 그런 디테일로 살려낸 것이 아닐까 싶다하지만 결국 균은 자신이 머물고 싶어하던 작고 완벽했던 세계를 떠나서초희의 당부대로 더 멀리 나아가려고 노력을 하였고자신이 초희와의 약속을 지키지 못했다 생각하는 것도 완벽을 갈망하는 성격 때문인 것 같아 안타까웠다비록 억울하게 역모죄로 처형 당했다 하더라도마지막에 초희와 스승님에게 진짜 세상에 나아간 것을 인정받은 균은 행복했기를
12,5,vintag***예매자,2020.09.18,조회 21,"공감 0
공감하기",초희들 짱,짱
13,5,kimun0***예매자,2020.09.17,조회 12,"공감 0
공감하기",난설,우리는 모두 지음이오 
14,5,kha9***예매자,2020.09.17,조회 10,"공감 0
공감하기",재밌구나,난설
15,5,kha9***예매자,2020.09.17,조회 17,"공감 1
공감하기",또 와주세요,인지초희
16,5,kha9***예매자,2020.09.16,조회 18,"공감 1
공감하기",최고,자체 레젼
17,5,kimun0***예매자,2020.09.16,조회 10,"공감 0
공감하기",난설 ,끝났더니 믿기지 않아 
